date X Y Z
1957-01-01 18317.416188414358 -3343.1518332877986 43441.0
1957-01-02 18315.351443712712 -3343.325514108764 43444.0
1957-01-03 18292.80905233681 -3333.162608506303 43451.0
1957-01-04 18311.513691253753 -3342.0745555756757 43444.0
1957-01-05 18321.156617044035 -3344.935905775115 43439.0
1957-01-06 18325.685882933685 -3347.9662363956213 43436.0
1957-01-07 18330.302240748264 -3344.9527295343437 43432.0
1957-01-08 18316.335188016274 -3343.5050890101556 43437.0
1957-01-09 18307.4690342999 -3336.3840543544034 43443.0
1957-01-10 18299.986577461557 -3332.820466920901 43440.0
1957-01-11 18297.145879160456 -3337.2524142955617 43444.0
1957-01-12 18312.983358241934 -3339.590621731048 43438.0
1957-01-13 18318.3026766234 -3343.8642388129388 43438.0
1957-01-14 18320.561934017 -3342.6246307127017 43437.0
1957-01-15 18321.156617044035 -3344.935905775115 43435.0
1957-01-16 18317.124373632752 -3344.750316670721 43434.0
1957-01-17 18321.44844800599 -3343.3370705118673 43434.0
1957-01-18 18322.14035612356 -3345.1155092923923 43431.0
1957-01-19 18319.588828833774 -3347.953724660603 43434.0
1957-01-20 18324.01051061532 -3346.0077416018003 43433.0
1957-01-21 18295.015100027147 -3354.4630702660456 43466.0
1957-01-22 18229.22921833119 -3313.907980849852 43466.0
1957-01-23 18270.568840609358 -3326.9137711330072 43465.0
1957-01-24 18287.777953715395 -3327.2994328135146 43459.0
1957-01-25 18287.453226277274 -3317.8985060910104 43460.0
1957-01-26 18299.196614352153 -3331.5766941919114 43454.0
1957-01-27 18303.14560193882 -3337.7965897021836 43450.0
1957-01-28 18311.307140206085 -3337.6338650363678 43449.0
1957-01-29 18294.606982885667 -3345.5880412494002 43464.0
1957-01-30 18283.96870450426 -3337.0472595857696 43451.0
1957-01-31 18298.212786577187 -3331.3975771653418 43454.0
1957-02-01 18310.517483171596 -3336.389290605535 43449.0
1957-02-02 18314.75656812669 -3341.0149431363325 43446.0
1957-02-03 18311.50128488464 -3336.5685507221588 43445.0
1957-02-04 18289.261469330027 -3330.317538385795 43458.0
1957-02-05 18282.76194175041 -3326.93624544908 43451.0
1957-02-06 18300.776457784257 -3334.0643428418457 43451.0
1957-02-07 18306.582276319423 -3335.672250139039 43449.0
1957-02-08 18312.873210871927 -3334.6170338630013 43447.0
1957-02-09 18316.32320278336 -3337.997652962023 43445.0
1957-02-10 18321.533488988487 -3337.2952539254443 43442.0
1957-02-11 18320.950742035613 -3340.492913913269 43447.0
1957-02-12 18321.837338914735 -3341.205250557026 43446.0
1957-02-13 18302.85425454472 -3339.3938277618972 43451.0
1957-02-14 18304.71168549263 -3334.781268837511 43451.0
1957-02-15 18314.258514053432 -3338.17181709112 43444.0
1957-02-16 18316.91846076318 -3340.3082345425937 43443.0
1957-02-17 18318.3026766234 -3343.8642388129388 43444.0
1957-02-18 18314.519973007347 -3325.5607284057974 43446.0
1957-02-19 18306.180349141745 -3332.298009586873 43454.0
1957-02-20 18305.487228686714 -3330.5214787458713 43451.0
1957-02-21 18304.600248068633 -3329.8100183652737 43449.0
1957-02-22 18304.406496597232 -3330.874931204872 43451.0
1957-02-23 18312.27724381426 -3332.3071805706145 43453.0
1957-02-24 18269.857841731115 -3319.646885278031 43440.0
1957-02-25 18305.584101884706 -3329.9889922979996 43452.0
1957-02-26 18319.66292451544 -3336.403952181823 43446.0
1957-02-27 18320.24495782948 -3333.206517022835 43445.0
1957-02-28 18324.98304954796 -3340.677361521155 43445.0
1957-03-01 18324.702164758637 -3347.78651841632 43449.0
1957-03-02 18233.93557105377 -3310.3802788592084 43467.0
1957-03-03 18269.374825424715 -3322.304093266857 43469.0
1957-03-04 18302.72938252786 -3328.9196670919173 43454.0
1957-03-05 18305.487228686714 -3330.5214787458713 43458.0
1957-03-06 18305.19651615689 -3332.118921178769 43455.0
1957-03-07 18310.61452705519 -3335.856657831009 43457.0
1957-03-08 18309.325713607876 -3331.7700870584613 43451.0
1957-03-09 18315.01998113288 -3328.403234390848 43449.0
1957-03-10 18286.21313452384 -3330.3120272382553 43478.0
1957-03-11 18273.60020093111 -3321.4251002439455 43464.0
1957-03-12 18308.74393116446 -3334.965616471703 43458.0
1957-03-13 18307.85711628311 -3334.2538610252695 43458.0
1957-03-14 18316.711472457355 -3335.866429392685 43451.0
1957-03-15 18327.727619826142 -3336.7710879624256 43446.0
1957-03-16 18312.761714556946 -3329.6437325721913 43454.0
1957-03-17 18308.05106432684 -3333.1887474310365 43454.0
1957-03-18 18315.048056944477 -3339.4166663976443 43451.0
1957-03-19 18320.45259632612 -3337.6489728201727 43447.0
1957-03-20 18322.794192749694 -3330.3666419987617 43442.0
1957-03-21 18320.85356328442 -3341.0258473541394 43457.0
1957-03-22 18311.88938830768 -3334.4378882181177 43455.0
1957-03-23 18314.147979567882 -3333.1979812920854 43449.0
1957-03-24 18323.196503658033 -3333.743524678228 43447.0
1957-03-25 18310.890812951307 -3328.7533156086242 43447.0
1957-03-26 18317.58417253257 -3331.0710112791394 43453.0
1957-03-27 18312.068326019078 -3327.866827745499 43448.0
1957-03-28 18279.388754854925 -3317.5338353788215 43440.0
1957-03-29 18308.937920614946 -3333.9004512834667 43470.0
1957-03-30 18290.42285518454 -3323.9331790129395 43458.0
1957-03-31 18310.10055594321 -3327.5092233152664 43457.0
1957-04-01 18309.503699439272 -3325.2000361210785 43458.0
1957-04-02 18311.374766819958 -3326.090069295985 43450.0
1957-04-03 18321.116961420183 -3328.4101739361467 43460.0
1957-04-04 18313.228855024736 -3321.4745074272855 43454.0
1957-04-05 18315.90703389509 -3329.1148261530875 43454.0
1957-04-06 18308.341870205746 -3331.591055887743 43440.0
1957-04-07 18322.406562963843 -3332.498573361973 43447.0
1957-04-08 18324.98304954796 -3340.677361521155 43450.0
1957-04-09 18319.261109219962 -3333.0275144710376 43452.0
1957-04-10 18294.244227486623 -3319.6802775376427 43449.0
1957-04-11 18311.39032034382 -3331.5954940566567 43455.0
1957-04-12 18319.6488005722 -3330.895949094407 43452.0
1957-04-13 18322.808480951317 -3335.8755028295786 43452.0
1957-04-14 18329.1965934705 -3334.284366683421 43443.0
1957-04-15 18337.565897575794 -3338.5622582281203 43442.0
1957-04-16 18318.64910099607 -3325.2096346810717 43449.0
1957-04-17 18340.626359006063 -3344.080405632018 43441.0
1957-04-18 18323.87494647428 -3330.0124543268953 43454.0
1957-04-19 18294.1287122835 -3314.712454860072 43458.0
1957-04-20 18309.810106264697 -3329.1070683483845 43451.0
