date,X,Y,Z
1993-01-01,NA,NA,NA
1993-02-01,26661.989646063706,-5230.9935574987185,23683.11111111111
1993-03-01,26654.384943993926,-5225.823701039714,23683.225806451614
1993-04-01,26672.380877587413,-5220.799483528849,23678.366666666665
1993-05-01,26685.337006852584,-5217.826435847769,23669.1935483871
1993-06-01,26689.844228873833,-5211.564179292001,23666.3
1993-07-01,NA,NA,NA
1993-08-01,26689.262613718423,-5200.915182763922,23664.870967741936
1993-09-01,26685.039018988104,-5195.450579711484,23653.466666666667
1993-10-01,26689.665294633643,-5189.476287809943,23646.633333333335
1993-11-01,26688.911381940048,-5182.696315438971,23641.466666666667
1993-12-01,26690.238778439372,-5175.608345324955,23639.032258064515
1994-01-01,26699.913925383553,-5169.426208673419,23630.483870967742
1994-02-01,26685.616993656677,-5158.566413363008,23631.75
1994-03-01,26700.18404425527,-5157.4958574446955,23627.387096774193
1994-04-01,26704.325718352884,-5149.532579515494,23624.533333333333
1994-05-01,26711.354842427623,-5149.489395030888,23620.0
1994-06-01,26725.11692887235,-5142.576582891558,23620.166666666668
1994-07-01,26734.088009193285,-5138.392566978534,23605.935483870966
1994-08-01,26734.74452774926,-5137.712094983039,23598.709677419356
1994-09-01,26734.125231420912,-5130.144272753595,23596.8
1994-10-01,26723.739909620155,-5124.027279436887,23591.548387096773
1994-11-01,26729.02551893646,-5117.262571954003,23588.733333333334
1994-12-01,26741.549491605823,-5110.429890032024,23583.0
1995-01-01,26743.14316957476,-5106.7289789599845,23575.451612903227
1995-02-01,26748.15602518759,-5099.143114709785,23571.214285714286
1995-03-01,26752.60965128258,-5094.799437883195,23567.612903225807
1995-04-01,26756.920331400433,-5089.341161110223,23564.2
1995-05-01,26761.805026208553,-5079.768501844495,23561.1935483871
1995-06-01,26773.399554209245,-5078.678597775206,23553.166666666668
1995-07-01,26782.257426822176,-5072.326906456967,23547.548387096773
1995-08-01,26779.92065787417,-5067.510135414644,23542.8064516129
1995-09-01,26776.585423627184,-5061.855149566369,23539.833333333332
1995-10-01,26768.94761767782,-5054.350232021143,23538.516129032258
1995-11-01,26785.552183296713,-5051.014532621669,23529.033333333333
1995-12-01,26788.00915361266,-5043.78940625785,23524.290322580644
1996-01-01,NA,NA,NA
1996-02-01,NA,NA,NA
1996-03-01,NA,NA,NA
1996-04-01,NA,NA,NA
1996-05-01,NA,NA,NA
1996-06-01,NA,NA,NA
1996-07-01,NA,NA,NA
1996-08-01,NA,NA,NA
1996-09-01,NA,NA,NA
1996-10-01,NA,NA,NA
1996-11-01,NA,NA,NA
1996-12-01,NA,NA,NA
