date,X,Y,Z
1957-01-01,18305.579711869166,-3339.0075469554263,43445.25806451613
1957-02-01,18309.090195402252,-3334.6566681688482,43447.892857142855
1957-03-01,18305.67186591656,-3331.1255775986992,43454.6129032258
1957-04-01,18321.0879690847,-3330.0580093954786,43449.13333333333
1957-05-01,18339.259699007664,-3332.523522283328,43438.137931034486
1957-06-01,18340.802318312624,-3330.0757590905628,43442.86666666667
1957-07-01,18339.234979164656,-3326.578884212024,43447.87096774193
1957-08-01,18343.00485777597,-3326.1287812041396,43440.1935483871
1957-09-01,18309.592688370623,-3315.348253762315,43465.433333333334
1957-10-01,18335.659672683905,-3318.719801004685,43457.0
1957-11-01,18336.01398958335,-3315.9327608835197,43457.76666666667
1957-12-01,18340.650113140528,-3313.419962306379,43458.77419354839
1958-01-01,18343.479535932016,-3311.728677024105,43460.41935483871
1958-02-01,18341.629129743444,-3309.1274966507176,43462.42857142857
1958-03-01,18344.355754083754,-3304.866365009575,43463.67741935484
1958-04-01,18358.828923438738,-3302.301665289392,43457.4
1958-05-01,18368.056802362273,-3301.7517746950325,43454.48387096774
1958-06-01,18363.64626729636,-3298.8663387619,43461.2
1958-07-01,18364.119866958885,-3296.4766620437517,43471.45161290323
1958-08-01,18368.01849955372,-3295.2139371788885,43462.967741935485
1958-09-01,18361.117845793153,-3290.6814246505924,43472.166666666664
1958-10-01,18364.494956082228,-3287.259212319226,43469.967741935485
1958-11-01,18379.05223983427,-3290.762963215964,43467.066666666666
1958-12-01,18371.94079671691,-3284.657379568391,43474.67741935484
1959-01-01,18376.860116260832,-3285.0025210108247,43474.74193548387
1959-02-01,18374.41060846039,-3280.3290546532003,43475.28571428572
1959-03-01,18382.611353887456,-3278.6659180518714,43474.41935483871
1959-04-01,18389.315067355023,-3275.1947805406253,43475.9
1959-05-01,18398.51036486049,-3274.7642836380314,43474.22580645161
1959-06-01,18407.70140204134,-3275.376772597698,43471.96666666667
1959-07-01,18395.03555070337,-3269.4293269919813,43487.54838709677
