date,X,Y,Z
1999-01-01,26311.245475640168,1354.3543323740744,36972.08
1999-02-01,26314.350665494545,1355.3086436316532,36971.38461538462
1999-03-01,26316.72504062972,1362.3122506206462,36972.142857142855
1999-04-01,26323.650229619554,1359.8199176770243,36973.96428571428
1999-05-01,26332.318353810257,1357.5711540854147,36974.54838709677
1999-06-01,26337.156894500316,1360.2123425082827,36976.555555555555
1999-07-01,26330.665576987667,1364.5432917152245,36981.25
1999-08-01,26316.904157739365,1366.4319972568835,36987.354838709674
1999-09-01,26308.16474102655,1371.6624976117082,36995.23333333333
1999-10-01,26306.64500503987,1373.9391950329878,36999.38888888889
1999-11-01,26299.05460040862,1372.9690589305426,37018.608695652176
1999-12-01,26317.06373200814,1374.5376796551232,37016.032258064515
2000-01-01,26310.18996730112,1373.8832240813033,37020.59259259259
2000-02-01,26312.096352633802,1375.6741149457796,37021.724137931036
2000-03-01,26323.62750960363,1376.2673710073211,37017.83870967742
2000-04-01,26313.795271822233,1385.8705294274994,37025.26666666667
2000-05-01,26324.136573792362,1384.416651673234,37025.290322580644
2000-06-01,26325.558453844584,1386.906627818646,37029.833333333336
2000-07-01,26313.906372953687,1392.165373666147,37035.12903225807
2000-08-01,26312.097518081428,1393.3827424848062,37039.166666666664
2000-09-01,26306.151936598457,1397.2390339019569,37041.8
2000-10-01,26300.503036620095,1398.8366132813753,37046.06451612903
2000-11-01,26302.88245009377,1399.0840682220332,37047.36666666667
2000-12-01,26316.198041368763,1397.720230303114,37046.3870967742
2001-01-01,26319.69216658497,1401.1477556250356,37044.96666666667
2001-02-01,26326.65690605724,1404.8859955603937,37044.51851851852
2001-03-01,26310.986586079478,1412.3809624708617,37051.0
2001-04-01,26309.992802267643,1416.010422204484,37059.666666666664
2001-05-01,26333.48405617547,1413.380369920804,37054.32258064516
2001-06-01,26334.14331401664,1416.2694345254047,37056.3
2001-07-01,26335.523239570593,1417.2315394014736,37056.36666666667
2001-08-01,26329.53929071279,1420.0588206261546,37060.06451612903
2001-09-01,26323.089750988485,1423.1464529418688,37063.3
2001-10-01,26298.364649713192,1429.5796713141144,37075.290322580644
2001-11-01,26302.249192116928,1430.2935685776508,37079.8
2001-12-01,26319.855516297815,1428.6303169640923,37077.1935483871
2002-01-01,26323.02003140375,1431.870825404531,37079.48387096774
2002-02-01,26325.939285611294,1434.621183280976,37079.92857142857
2002-03-01,26332.64457959692,1436.6551344066722,37079.645161290326
2002-04-01,26326.994322358812,1441.837454656666,37085.275862068964
2002-05-01,26332.433313840407,1444.6476829259066,37091.0
2002-06-01,26343.46004414902,1444.4901751143846,37091.53333333333
2002-07-01,26341.388350039688,1448.6618770782832,37091.87096774193
2002-08-01,26328.295227790168,1452.9216535667215,37097.967741935485
2002-09-01,26322.134516601112,1456.4744379964536,37102.5
2002-10-01,26302.316549841617,1464.0922289533678,37112.55172413793
2002-11-01,26311.240640593587,1465.0930012391264,37116.545454545456
2002-12-01,26323.711128210503,1462.5579119253605,37115.620689655174
2003-01-01,26327.92217846211,1467.2251517510329,37112.645161290326
2003-02-01,26323.698264780025,1471.9676373190923,37117.17857142857
2003-03-01,26321.154125800986,1475.879932541024,37120.03333333333
2003-04-01,26325.328850731217,1478.8290799210806,37124.13333333333
2003-05-01,26325.375243371964,1483.2630866060526,37128.290322580644
2003-06-01,26325.46782822435,1486.4421990241678,37133.7
2003-07-01,26327.300978339517,1489.2215294509224,37135.1935483871
2003-08-01,26321.137157473273,1492.671216160359,37139.5
2003-09-01,26325.83234832375,1493.0588758407505,37140.55172413793
2003-10-01,26309.511516877777,1500.8503359567594,37145.096774193546
2003-11-01,26298.620939690176,1505.2368930342475,37157.23809523809
2003-12-01,26322.12711277023,1501.243696302571,37152.709677419356
2004-01-01,NA,NA,NA
2004-02-01,NA,NA,NA
2004-03-01,NA,NA,NA
2004-04-01,NA,NA,NA
2004-05-01,NA,NA,NA
2004-06-01,NA,NA,NA
2004-07-01,NA,NA,NA
2004-08-01,NA,NA,NA
2004-09-01,NA,NA,NA
2004-10-01,NA,NA,NA
2004-11-01,NA,NA,NA
2004-12-01,NA,NA,NA
2005-01-01,NA,NA,NA
2005-02-01,NA,NA,NA
2005-03-01,NA,NA,NA
2005-04-01,NA,NA,NA
2005-05-01,NA,NA,NA
2005-06-01,NA,NA,NA
2005-07-01,NA,NA,NA
2005-08-01,NA,NA,NA
2005-09-01,NA,NA,NA
2005-10-01,NA,NA,NA
2005-11-01,NA,NA,NA
2005-12-01,NA,NA,NA
2006-01-01,NA,NA,NA
2006-02-01,NA,NA,NA
2006-03-01,NA,NA,NA
2006-04-01,NA,NA,NA
2006-05-01,NA,NA,NA
2006-06-01,NA,NA,NA
