date X Y Z
1958-01-01   -624.0
1958-01-02   -621.0
1958-01-03   -626.0
1958-01-04   -625.0
1958-01-05   -623.0
1958-01-06   -620.0
1958-01-07   -623.0
1958-01-08   -620.0
1958-01-09   -621.0
1958-01-10   -625.0
1958-01-11   -625.0
1958-01-12   -630.0
1958-01-13   
1958-01-14   
1958-01-15   
1958-01-16 36089.99931111034 -268.75774231660426 -619.0
1958-01-17 36066.05391740235 -261.2351948470171 -618.0
1958-01-18 36044.069622268995 -258.9788891499855 -622.0
1958-01-19 36065.076602747315 -258.0806811221369 -617.0
1958-01-20 36081.87056713886 -285.49146438824624 -624.0
1958-01-21 36057.92866445407 -277.95940196580716 -627.0
1958-01-22 36084.870473235955 -285.5152006184146 -624.0
1958-01-23 36074.91191967679 -280.18919958020064 -625.0
1958-01-24 36092.88677603104 -283.4786986771469 -620.0
1958-01-25   
1958-01-26 36085.886991927524 -283.42372137092593 -615.0
1958-01-27 36098.89482313605 -282.47574791714555 -620.0
1958-01-28 36117.86944030398 -285.7762991502665 -621.0
1958-01-29 36114.92697094826 -278.3987842535038 -625.0
1958-01-30 36126.852467523175 -287.94928340668974 -623.0
1958-01-31 36119.93490652702 -277.3866403607387 -622.0
1958-02-01 36110.88622086865 -283.6200688931437 -622.0
1958-02-02 36110.935171908415 -277.31752600168863 -628.0
1958-02-03 36108.87801755996 -284.65472589599557 -624.0
1958-02-04 36112.951186393366 -275.2319188790611 -622.0
1958-02-05 36064.95258039716 -274.8661014092102 -621.0
1958-02-06 36063.97645804481 -271.71130559774303 -624.0
1958-02-07 36085.959955439575 -273.9764486433898 -619.0
1958-02-08 36087.983670666414 -270.84236322000135 -620.0
1958-02-09 36072.99978246639 -268.6311489382168 -629.0
1958-02-10 36079.9995883786 -268.6832756234352 -624.0
1958-02-11 35851.09694655032 -254.46361046343264 -628.0
1958-02-12 36015.12961425614 -250.38943334363026 -627.0
1958-02-13 36080.06869305279 -259.23754471967334 -623.0
1958-02-14 36091.06840912561 -259.31657836596685 -620.0
1958-02-15 36126.052343527175 -261.66977803083665 -624.0
1958-02-16 36114.99077939896 -269.99445166098786 -624.0
1958-02-17 36061.03111733735 -264.3458992075675 -623.0
1958-02-18 36065.000004281 -268.5715755836815 -620.0
