date X Y Z
1951-01-01 11637.0 240.0 50129.0
1951-01-02 11621.0 243.0 50094.0
1951-01-03 11603.0 247.0 50099.0
1951-01-04 11620.0 240.0 50116.0
1951-01-05   50101.0
1951-01-06 11616.0 244.0 50115.0
1951-01-07 11611.0 243.0 50113.0
1951-01-08 11623.0 235.0 50125.0
1951-01-09   50113.0
1951-01-10   50096.0
1951-01-11 11601.0 247.0 50094.0
1951-01-12 11620.0 244.0 50125.0
1951-01-13 11582.0 253.0 50098.0
1951-01-14 11613.0 248.0 50106.0
1951-01-15 11598.0 248.0 50098.0
1951-01-16 11599.0 256.0 50101.0
1951-01-17   50105.0
1951-01-18   50104.0
1951-01-19 11587.0 253.0 50107.0
1951-01-20 11591.0 253.0 50122.0
1951-01-21 11617.0 249.0 50065.0
1951-01-22 11569.0 280.0 50098.0
1951-01-23 11577.0 259.0 50104.0
1951-01-24 11607.0 249.0 50106.0
1951-01-25 11615.0 247.0 50117.0
1951-01-26 11629.0 232.0 50098.0
1951-01-27 11616.0 250.0 50109.0
1951-01-28 11583.0 262.0 50105.0
1951-01-29 11612.0 246.0 50107.0
1951-01-30 11624.0 243.0 50085.0
1951-01-31 11554.0 243.0 50044.0
1951-02-01 11560.0 269.0 50068.0
1951-02-02 11615.0 248.0 50118.0
1951-02-03 11616.0 247.0 50118.0
1951-02-04 11658.0 231.0 50131.0
1951-02-05 11601.0 246.0 50117.0
1951-02-06 11553.0 262.0 50114.0
1951-02-07 11585.0 258.0 50104.0
1951-02-08 11576.0 253.0 50104.0
1951-02-09 11573.0 259.0 50099.0
1951-02-10 11575.0 262.0 50090.0
1951-02-11 11575.0 262.0 50096.0
1951-02-12 11563.0 269.0 50071.0
1951-02-13 11586.0 250.0 50107.0
1951-02-14   50092.0
1951-02-15 11614.0 245.0 50115.0
1951-02-16 11615.0 246.0 50115.0
1951-02-17 11620.0 241.0 50113.0
1951-02-18 11616.0 244.0 50113.0
1951-02-19 11597.0 246.0 50107.0
1951-02-20 11610.0 249.0 50111.0
1951-02-21 11613.0 249.0 50101.0
1951-02-22 11536.0 256.0 50084.0
1951-02-23 11503.0 272.0 50071.0
1951-02-24 11598.0 262.0 50134.0
1951-02-25 11578.0 258.0 50130.0
1951-02-26 11603.0 250.0 50153.0
1951-02-27 11529.0 267.0 50131.0
1951-02-28 11555.0 259.0 50088.0
1951-03-01 11597.0 261.0 50124.0
1951-03-02 11613.0 252.0 50126.0
1951-03-03 11617.0 246.0 50120.0
1951-03-04 11599.0 250.0 50113.0
1951-03-05 11627.0 244.0 50122.0
1951-03-06 11614.0 238.0 50108.0
1951-03-07 11571.0 244.0 50079.0
1951-03-08 11564.0 263.0 50120.0
1951-03-09 11557.0 279.0 50111.0
1951-03-10 11494.0 291.0 50096.0
1951-03-11 11608.0 257.0 50075.0
1951-03-12 11591.0 250.0 50109.0
1951-03-13 11538.0 251.0 50146.0
1951-03-14 11600.0 251.0 50120.0
1951-03-15 11597.0 270.0 50132.0
1951-03-16 11580.0 255.0 50108.0
1951-03-17 11618.0 257.0 50122.0
1951-03-18 11599.0 254.0 50110.0
1951-03-19 11601.0 249.0 50110.0
1951-03-20 11624.0 247.0 50125.0
1951-03-21 11596.0 244.0 50126.0
1951-03-22 11568.0 254.0 50122.0
1951-03-23 11589.0 264.0 50104.0
1951-03-24 11561.0 260.0 50142.0
1951-03-25 11566.0 265.0 50101.0
1951-03-26 11575.0 261.0 50091.0
1951-03-27 11582.0 267.0 50104.0
1951-03-28 11614.0 252.0 50121.0
1951-03-29 11647.0 221.0 50092.0
1951-03-30 11598.0 253.0 50123.0
1951-03-31 11626.0 243.0 50119.0
1951-04-01 11578.0 257.0 50104.0
1951-04-02   50103.0
1951-04-03 11529.0 259.0 50110.0
1951-04-04 11580.0 259.0 50124.0
1951-04-05 11493.0 295.0 50122.0
1951-04-06   50118.0
1951-04-07   
1951-04-08 11551.0 269.0 50112.0
1951-04-09 11609.0 250.0 50121.0
1951-04-10 11579.0 258.0 50127.0
1951-04-11 11572.0 262.0 50121.0
1951-04-12 11554.0 276.0 50116.0
1951-04-13 11610.0 255.0 50149.0
1951-04-14 11589.0 259.0 50146.0
1951-04-15 11614.0 249.0 50133.0
1951-04-16 11595.0 255.0 50131.0
1951-04-17 11603.0 257.0 50125.0
1951-04-18 11636.0 238.0 50102.0
1951-04-19 11552.0 264.0 50125.0
1951-04-20 11559.0 253.0 50142.0
1951-04-21 11571.0 273.0 50120.0
1951-04-22 11552.0 255.0 50134.0
1951-04-23 11552.0 265.0 50130.0
1951-04-24   50128.0
1951-04-25 11577.0 262.0 50119.0
1951-04-26 11601.0 262.0 50145.0
1951-04-27 11620.0 255.0 50132.0
1951-04-28 11619.0 242.0 50137.0
1951-04-29 11618.0 255.0 50135.0
1951-04-30 11616.0 255.0 50126.0
1951-05-01 11493.0 276.0 50150.0
1951-05-02 11597.0 269.0 50120.0
1951-05-03 11578.0 265.0 50129.0
1951-05-04 11565.0 286.0 50146.0
1951-05-05 11595.0 258.0 50134.0
1951-05-06 11579.0 261.0 50102.0
1951-05-07 11606.0 251.0 50124.0
1951-05-08 11617.0 255.0 50128.0
1951-05-09 11636.0 232.0 50144.0
1951-05-10 11631.0 246.0 50135.0
1951-05-11 11605.0 268.0 50146.0
