date,X,Y,Z
1926-01-01,18081.083711193733,-4268.078704616953,42957.0
1926-01-02,18080.48282999791,-4266.271162754512,42959.0
1926-01-03,18093.135372216242,-4269.25665692019,42957.0
1926-01-04,18092.0170634079,-4273.9932823247755,42953.0
1926-01-05,18092.658701113072,-4266.9218559797255,42956.0
1926-01-06,18091.31299388698,-4268.271096968443,42955.0
1926-01-07,18091.31299388698,-4268.271096968443,42955.0
1926-01-08,18090.836201444396,-4265.936536390219,42954.0
1926-01-09,18092.286273045247,-4268.5007220543575,42954.0
1926-01-10,18096.075035224087,-4265.504931369736,42953.0
1926-01-11,18104.441769599838,-4273.592424549713,42949.0
1926-01-12,18104.214083920935,-4270.20296983163,42948.0
1926-01-13,18078.803055286153,-4260.323472246681,42957.0
1926-01-14,18080.129836876906,-4263.411906170158,42959.0
1926-01-15,18078.784429320312,-4264.76008213422,42954.0
1926-01-16,18078.325278127424,-4257.99062213845,42952.0
1926-01-17,18089.88172159137,-4261.26792150346,42946.0
1926-01-18,18080.110458760144,-4267.848966286421,42947.0
1926-01-19,18080.783941709167,-4251.908754104666,42949.0
1926-01-20,18091.45646541422,-4263.30528581076,42945.0
1926-01-21,18091.580472283833,-4262.779024870779,42944.0
1926-01-22,18085.864348345913,-4260.876878440666,42945.0
1926-01-23,18068.962929816993,-4254.121253666771,42945.0
1926-01-24,18082.094847565397,-4259.433638836146,42952.0
1926-01-25,18088.660434546873,-4262.090998988462,42950.0
1926-01-26,18094.39487691339,-4259.553384843347,NA
1926-01-27,18027.51451722062,-4229.421867276874,42969.0
1926-01-28,18062.998899250542,-4253.27165434724,42964.0
1926-01-29,18072.96301984243,-4258.947250601722,42960.0
1926-01-30,18077.95362951136,-4259.56823741997,42960.0
1926-01-31,18082.44847269756,-4262.29295476479,42957.0
1926-02-01,18080.272009972374,-4258.449136177338,42959.0
1926-02-02,18086.62461704298,-4253.282257524749,42953.0
1926-02-03,18080.643560919605,-4256.8713185832175,42954.0
1926-02-04,18079.315668021463,-4253.783489557702,42957.0
1926-02-05,18084.413242936673,-4258.314062947533,42955.0
1926-02-06,18087.45726239613,-4258.4755231178115,42955.0
1926-02-07,18090.855080844616,-4261.497206836874,42954.0
1926-02-08,18093.173656262818,-4260.376866465835,42952.0
1926-02-09,18094.748517857606,-4262.4143481705305,42950.0
1926-02-10,18094.04078654536,-4256.69261455805,42951.0
1926-02-11,18074.819615669734,-4251.061027673041,42960.0
1926-02-12,18077.137440314007,-4249.94140712523,42954.0
1926-02-13,18081.86458431199,-4256.048537623119,42953.0
1926-02-14,18081.386249735315,-4253.715586153205,42952.0
1926-02-15,18075.561290487083,-4247.90631180172,42954.0
1926-02-16,18078.944386543204,-4255.361191283064,42952.0
1926-02-17,18081.35116075044,-4262.589494852718,42953.0
1926-02-18,18071.40462215447,-4252.476923203001,42954.0
1926-02-19,18079.686811817857,-4252.205755437925,42951.0
1926-02-20,18078.431203088694,-4261.901129213242,42948.0
1926-02-21,18082.35967564378,-4253.944588338193,42949.0
1926-02-22,18078.46597200992,-4253.028579598241,42953.0
1926-02-23,18082.854522166606,-4251.840581461017,42964.0
1926-02-24,18030.041411107002,-4240.529532236109,NA
1926-02-25,18039.405478908833,-4244.393239028877,42947.0
1926-02-26,18064.07913132961,-4257.408382697403,42955.0
1926-02-27,18074.695949669935,-4251.586801064425,42956.0
1926-02-28,18086.50088642523,-4253.808374308763,42951.0
1926-03-01,18086.253379277638,-4254.8605970781455,42953.0
1926-03-02,18080.165335410562,-4254.53845254902,42951.0
1926-03-03,18081.54046547302,-4244.316599343377,42952.0
1926-03-04,18082.978195545125,-4251.314570746272,42951.0
1926-03-05,18066.537559234417,-4251.33162912188,NA
1926-03-06,18054.006767608575,-4247.828696539423,42955.0
1926-03-07,18066.19693007656,-4244.041998342175,42963.0
1926-03-08,18084.058985746604,-4255.454687813916,42959.0
1926-03-09,18083.20934500806,-4254.699611560514,42961.0
1926-03-10,18061.09614577373,-4239.517662791058,42952.0
1926-03-11,18072.022928708448,-4249.848498974541,42954.0
1926-03-12,18072.037924880984,-4245.414142538212,42959.0
1926-03-13,18076.16398110882,-4249.712546521723,42959.0
1926-03-14,18082.499250219586,-4248.9817445840035,42949.0
1926-03-15,18085.403707933958,-4254.105513624298,42951.0
1926-03-16,18083.84348075856,-4247.632395043856,42946.0
1926-03-17,NA,NA,NA
1926-03-18,18066.073468255698,-4244.567520912772,42958.0
1926-03-19,18075.931921417265,-4246.328905335569,42946.0
1926-03-20,18067.046960737014,-4244.796239929957,42945.0
1926-03-21,18070.940930662277,-4245.711115998695,42944.0
1926-03-22,18079.315668021463,-4253.783489557702,42936.0
1926-03-23,18086.005810914627,-4255.912805446365,42928.0
1926-03-24,18081.49310516129,-4257.626461774766,42935.0
1926-03-25,18084.925113955498,-4251.772291953286,42932.0
1926-03-26,18093.438738265766,-4254.884678181514,42929.0
1926-03-27,18093.56250018899,-4254.358359583114,42929.0
1926-03-28,18093.19116848961,-4255.937304576932,42932.0
1926-03-29,18087.952636082646,-4256.370923078814,42933.0
1926-03-30,18092.852239177013,-4248.637764190706,42942.0
1926-03-31,18089.66868999903,-4253.442803902351,42946.0
1926-04-01,18092.71278759699,-4253.603176781342,42955.0
1926-04-02,18095.26183949185,-4255.868884285554,42962.0
1926-04-03,18097.101537635644,-4252.412954606548,42947.0
1926-04-04,18099.666872788755,-4250.238004403207,42948.0
1926-04-05,18103.668419279107,-4255.067421886092,42945.0
1926-04-06,18095.307790048046,-4242.550174532595,42942.0
1926-04-07,18090.302316772715,-4246.373286437228,42946.0
1926-04-08,18091.646372836858,-4245.023029409724,42944.0
1926-04-09,18091.15231951272,-4247.128059311324,42946.0
1926-04-10,18096.143550972512,-4247.744411166461,42948.0
1926-04-11,18094.799277351794,-4249.094975679992,42945.0
1926-04-12,18096.034523405982,-4243.831232235665,42943.0
1926-04-13,18097.73474120886,-4245.340768047001,42942.0
1926-04-14,NA,NA,NA
1926-04-15,NA,NA,NA
1926-04-16,18056.844706288703,-4235.748842055394,42963.0
1926-04-17,18066.567223817434,-4242.465409085344,42952.0
1926-04-18,18082.40432577712,-4240.634716539141,42950.0
1926-04-19,18089.45228543063,-4245.618566608226,42944.0
1926-04-20,18091.986749061794,-4252.321774251386,42948.0
1926-04-21,18095.04644905467,-4248.042255740171,42947.0
1926-04-22,18086.640411892036,-4248.844503028304,42953.0
1926-04-23,18089.09601538332,-4242.759166655983,42947.0
1926-04-24,18094.196472905915,-4247.28736959005,42948.0
1926-04-25,18090.905201002228,-4248.180552701419,42945.0
1926-04-26,18091.043173189064,-4243.215868396204,42944.0
1926-04-27,18096.514167695826,-4246.165208559864,42945.0
1926-04-28,18099.558372827592,-4246.324023035284,42944.0
1926-04-29,18095.540608724034,-4245.936772729836,42946.0
1926-04-30,18097.48772666762,-4246.393644389892,42944.0
1926-05-01,18101.876036675494,-4245.2011675341755,42946.0
1926-05-02,18099.449029408413,-4242.410262085317,42942.0
1926-05-03,18108.56759344078,-4247.326184058196,42943.0
1926-05-04,18092.15342452275,-4238.479499010204,42945.0
1926-05-05,18075.57580134492,-4243.47127359594,42944.0
1926-05-06,18086.1752786747,-4242.074114045651,42948.0
1926-05-07,18085.09143150416,-4237.93498229207,42945.0
1926-05-08,18091.66013256951,-4240.584587954243,42944.0
1926-05-09,18091.783478520723,-4240.058321099436,42945.0
1926-05-10,18070.831536106725,-4241.802870673115,42947.0
1926-05-11,18081.320172319563,-4236.496409306828,42948.0
1926-05-12,18083.50126537657,-4240.337013154019,42943.0
1926-05-13,NA,NA,42942.0
1926-05-14,18088.122436480444,-4242.530815785873,42949.0
1926-05-15,18093.730716006303,-4240.514682989556,42943.0
1926-05-16,18098.22858652766,-4243.234972257958,42945.0
1926-05-17,18101.03951681552,-4240.005826727482,42943.0
1926-05-18,18100.435793016095,-4238.198214206349,42945.0
1926-05-19,18104.810726993892,-4241.44474674926,42950.0
1926-05-20,18094.21077942412,-4242.848249675214,42950.0
1926-05-21,18092.523232745145,-4236.900644643105,42952.0
1926-05-22,18100.66943758244,-4241.585424268742,42952.0
1926-05-23,18103.356788571717,-4238.882162277496,42954.0
1926-05-24,18103.356788571717,-4238.882162277496,42952.0
