date X Y Z
1932-01-01 15361.64118617282 -2043.768349710634 56962.0
1932-01-02 15355.396291891568 -2045.2104339071511 56956.0
1932-01-03 15355.414479806735 -2037.4852523004026 56957.0
1932-01-04 15365.208955769478 -2039.694522604161 56957.0
1932-01-05 15365.784588065297 -2042.9549660173536 56956.0
1932-01-06 15369.23351210163 -2039.773823366748 56956.0
1932-01-07 15367.25089683949 -2039.5106946485635 56955.0
1932-01-08 15363.58206208201 -2036.7499163303996 56950.0
1932-01-09 15355.23661720731 -2038.8252572439383 56954.0
1932-01-10 15358.15119212656 -2039.666874708116 56956.0
1932-01-11 15355.515251425164 -2044.3170897023658 56955.0
1932-01-12 15359.023791612366 -2040.6920808111345 56956.0
1932-01-13 15359.836926138429 -2042.1641957576217 56956.0
1932-01-14 15359.65865520732 -2043.5045866145883 56955.0
1932-01-15 15358.845649150617 -2042.032400714333 56954.0
1932-01-16 15360.946993095218 -2041.402330585272 56957.0
1932-01-17 15359.539742936226 -2044.3981718742086 56957.0
1932-01-18 15361.76006179879 -2042.8746421950673 56956.0
1932-01-19 15364.852727894227 -2042.376226389573 56955.0
1932-01-20 15366.140916935476 -2040.2730995828463 56952.0
1932-01-21 15367.428819208866 -2038.1696412587348 56951.0
1932-01-22 15370.284151672267 -2039.4582851464004 56950.0
1932-01-23 15372.326101173117 -2039.2741942151124 56951.0
1932-01-24 15366.200259573076 -2039.8261157991678 56951.0
1932-01-25 15360.70936116642 -2043.1896441041158 56949.0
1932-01-26 15350.974796398064 -2040.5314994754149 56948.0
1932-01-27 15350.202062296046 -2046.336396265821 56952.0
1932-01-28 15346.475075273724 -2044.022202424021 56949.0
1932-01-29 15359.08314644065 -2040.2453040560627 56948.0
1932-01-30 15359.95570844156 -2041.2705932123638 56950.0
1932-01-31 15356.38753818244 -2045.3424596274988 56944.0
1932-02-01 15362.988945553663 -2041.2189149613375 56946.0
1932-02-02 15363.74260810605 -2043.1382899516907 56945.0
1932-02-03 15355.117977176045 -2039.7185852477353 56947.0
1932-02-04 15342.212713664634 -2045.725555559012 56947.0
1932-02-05 15351.78793729894 -2042.0029696851086 56948.0
1932-02-06 15352.422553018954 -2044.8143567461077 56949.0
1932-02-07 15354.702327793571 -2042.8451788744737 56950.0
1932-02-08 15351.252816080221 -2046.021988344467 56952.0
1932-02-09 15353.056654991764 -2047.626027528727 56950.0
1932-02-10 15350.10219524445 -2039.506703973178 56950.0
1932-02-11 15352.084772215097 -2039.7701210482794 56949.0
1932-02-12 15349.56772760433 -2043.5252813918491 56948.0
1932-02-13 15353.294803169016 -2045.8396044126466 56946.0
1932-02-14 15349.170223279141 -2038.9285070352444 56946.0
1932-02-15 15354.939919682682 -2041.0585643080315 56946.0
1932-02-16 15358.845649150617 -2042.032400714333 56947.0
1932-02-17 15359.77751549153 -2042.610994438444 56948.0
1932-02-18 15365.784588065297 -2042.9549660173536 56947.0
1932-02-19 15362.590735326166 -2036.618496152549 56948.0
1932-02-20 15357.973139134243 -2041.0071184665476 56940.0
1932-02-21 15359.420778678648 -2045.291750214281 56945.0
1932-02-22 15352.005866082476 -2047.9404014202364 56945.0
1932-02-23 15354.008000519607 -2040.4801689749147 56950.0
1932-02-24 15350.082985292947 -2047.2294313583748 56946.0
1932-02-25 15355.990569826925 -2040.7436437207311 56945.0
1932-02-26 15359.65865520732 -2043.5045866145883 56948.0
1932-02-27 15363.74260810605 -2043.1382899516907 56948.0
1932-02-28 15364.674438440856 -2043.717054957008 56949.0
1932-02-29 15363.683169122247 -2043.5852022437848 56950.0
1932-03-01 15367.072857441806 -2040.8517325066298 56949.0
1932-03-02 15372.545106483067 -2045.2190467388857 56950.0
1932-03-03 15337.613275798305 -2042.3878187199464 56946.0
1932-03-04 15344.849052068676 -2041.0800006925472 56952.0
1932-03-05 15342.688360191474 -2042.1552051803162 56956.0
1932-03-06 15342.906220514265 -2048.0892823567574 56958.0
1932-03-07 15346.296642251824 -2045.3614272324555 56956.0
1932-03-08 15342.688360191474 -2042.1552051803162 56952.0
1932-03-09 15340.50650516572 -2050.9483574600804 56953.0
1932-03-10 15335.749555531871 -2041.2316306593018 56948.0
1932-03-11 15344.391575893918 -2036.9310655090198 56945.0
1932-03-12 15348.972640795122 -2047.990203131541 56947.0
1932-03-13 15354.286041777264 -2045.9716878011425 56949.0
1932-03-14 15356.56596951068 -2044.0023542223453 56947.0
1932-03-15 15356.38753818244 -2045.3424596274988 56947.0
1932-03-16 15362.572990508263 -2044.3471112572865 56946.0
1932-03-17 15357.378784473312 -2045.4744853478464 56946.0
1932-03-18 15356.68485875907 -2043.1089419705197 56947.0
1932-03-19 15353.651635693797 -2043.159917812886 56949.0
1932-03-20 15358.370030764183 -2045.6065110681943 56948.0
1932-03-21 15349.746000379822 -2042.1857711343594 56942.0
1932-03-22 15345.879844046895 -2048.486224526605 56938.0
1932-03-23 15352.779206617548 -2042.1348223983316 56943.0
1932-03-24 15354.523997455026 -2044.1851216506132 56944.0
1932-03-25 15355.6341589859 -2043.4237385783085 56947.0
1932-03-26 15359.420778678648 -2045.291750214281 56946.0
1932-03-27 15362.394529071424 -2045.6877408725993 56948.0
1932-03-28 15345.701021467843 -2049.825397374318 56874.0
1932-03-29 15331.764693782767 -2048.4177734232467 56955.0
1932-03-30 15342.391178478276 -2044.386687139192 56949.0
1932-03-31 15326.531360746292 -2042.273352923258 56934.0
1932-04-01 15348.457567855467 -2044.2862538647166 56947.0
1932-04-02 15339.094486356547 -2031.2334525174954 56946.0
1932-04-03 15345.483828982853 -2043.8901767036734 56949.0
1932-04-04 15350.142530288831 -2046.7829146780502 56950.0
1932-04-05 15342.231177066085 -2038.0067491206714 56944.0
1932-04-06 15345.424368135276 -2044.336557869094 56946.0
1932-04-07 15339.833345552324 -2040.8669556541306 56941.0
1932-04-08 15345.305407486143 -2045.2293150100531 56950.0
1932-04-09 15347.525777107552 -2043.7077875810076 56949.0
1932-04-10 15352.005866082476 -2047.9404014202364 56947.0
1932-04-11 15351.371822835155 -2045.12888519596 56952.0
1932-04-12 15352.60093827662 -2043.4745973531942 56951.0
1932-04-13 15365.606248103819 -2044.2958759027256 56954.0
1932-04-14 15354.761745254766 -2042.3985278247776 56942.0
1932-04-15 15354.58345389365 -2043.7384757877696 56947.0
1932-04-16 15358.310519985012 -2046.0532670773036 56947.0
1932-04-17 15360.70936116642 -2043.1896441041158 56939.0
1932-04-18 15344.948213910538 -2047.907544886679 56938.0
1932-04-19 15361.522258553254 -2044.6620503087843 56944.0
1932-04-20 15361.284247334952 -2046.4494307407367 56940.0
1932-04-21 15358.765546021614 -2050.206307262611 56943.0
1932-04-22 15359.599205570106 -2043.951380109153 56939.0
1932-04-23 15348.853467579522 -2048.8831666964525 56933.0
1932-04-24 15344.849052068676 -2041.0800006925472 56936.0
1932-04-25 15345.305407486143 -2045.2293150100531 56936.0
1932-04-26 15347.10931559413 -2046.8328351880225 56928.0
1932-04-27 15344.76944183436 -2049.246636436529 56932.0
1932-04-28 15352.758677470048 -2049.8590174370834 56934.0
1932-04-29 15355.396291891568 -2045.2104339071511 56934.0
