date X Y Z
1963-01-01 713.0 -3760.0 55385.0
1963-01-02 713.0 -3760.0 55381.0
1963-01-03 712.0 -3757.0 55380.0
1963-01-04 699.0 -3754.0 55380.0
1963-01-05 717.0 -3749.0 55379.0
1963-01-06 716.0 -3761.0 55376.0
1963-01-07 713.0 -3756.0 55378.0
1963-01-08 717.0 -3760.0 55379.0
1963-01-09 716.0 -3757.0 55376.0
1963-01-10 716.0 -3757.0 55376.0
1963-01-11 702.0 -3760.0 55376.0
1963-01-12 713.0 -3760.0 55378.0
1963-01-13 719.0 -3749.0 55392.0
1963-01-14 698.0 -3748.0 55407.0
1963-01-15 731.0 -3752.0 55408.0
1963-01-16 707.0 -3756.0 55417.0
1963-01-17 716.0 -3752.0 55400.0
1963-01-18 719.0 -3766.0 55396.0
1963-01-19 702.0 -3750.0 55408.0
1963-01-20 723.0 -3753.0 55389.0
1963-01-21 716.0 -3757.0 55379.0
1963-01-22 714.0 -3758.0 55377.0
1963-01-23 719.0 -3760.0 55375.0
1963-01-24 706.0 -3757.0 55377.0
1963-01-25 715.0 -3755.0 55379.0
1963-01-26 721.0 -3756.0 55376.0
1963-01-27 718.0 -3755.0 55371.0
1963-01-28 717.0 -3755.0 55367.0
1963-01-29 707.0 -3760.0 55369.0
1963-01-30 726.0 -3734.0 55397.0
1963-01-31 730.0 -3735.0 55446.0
1963-02-01 692.0 -3747.0 55405.0
1963-02-02 719.0 -3760.0 55388.0
1963-02-03 712.0 -3756.0 55386.0
1963-02-04 715.0 -3760.0 55384.0
1963-02-05 715.0 -3749.0 55380.0
1963-02-06 720.0 -3752.0 55382.0
1963-02-07 715.0 -3758.0 55381.0
1963-02-08 722.0 -3758.0 55378.0
1963-02-09 711.0 -3767.0 55374.0
1963-02-10 725.0 -3741.0 55400.0
1963-02-11 719.0 -3759.0 55400.0
1963-02-12 727.0 -3768.0 55397.0
1963-02-13 708.0 -3745.0 55404.0
1963-02-14 724.0 -3755.0 55398.0
1963-02-15 716.0 -3741.0 55392.0
1963-02-16 710.0 -3751.0 55380.0
1963-02-17 722.0 -3757.0 55379.0
1963-02-18 714.0 -3757.0 55372.0
1963-02-19 717.0 -3759.0 55369.0
1963-02-20 712.0 -3761.0 55372.0
1963-02-21 708.0 -3748.0 55379.0
1963-02-22 721.0 -3758.0 55374.0
1963-02-23 717.0 -3753.0 55367.0
1963-02-24 718.0 -3761.0 55371.0
1963-02-25 719.0 -3760.0 55370.0
1963-02-26 718.0 -3752.0 55371.0
1963-02-27 719.0 -3761.0 55370.0
1963-02-28 725.0 -3754.0 55369.0
1963-03-01 724.0 -3757.0 55391.0
1963-03-02 729.0 -3753.0 55385.0
1963-03-03 723.0 -3753.0 55378.0
1963-03-04 723.0 -3750.0 55381.0
1963-03-05 720.0 -3752.0 55383.0
1963-03-06 708.0 -3761.0 55376.0
1963-03-07 714.0 -3770.0 55382.0
1963-03-08 714.0 -3746.0 55384.0
1963-03-09 724.0 -3757.0 55383.0
1963-03-10 713.0 -3754.0 55415.0
1963-03-11 725.0 -3760.0 55410.0
1963-03-12 721.0 -3748.0 55387.0
1963-03-13 716.0 -3742.0 55379.0
1963-03-14 720.0 -3760.0 55378.0
1963-03-15 723.0 -3756.0 55383.0
1963-03-16 720.0 -3762.0 55377.0
1963-03-17 712.0 -3758.0 55381.0
1963-03-18 720.0 -3745.0 55388.0
1963-03-19 725.0 -3758.0 55388.0
1963-03-20 724.0 -3768.0 55381.0
1963-03-21 727.0 -3759.0 55374.0
1963-03-22 718.0 -3759.0 55376.0
1963-03-23 709.0 -3752.0 55365.0
1963-03-24 712.0 -3761.0 55367.0
1963-03-25 722.0 -3756.0 55373.0
1963-03-26 717.0 -3755.0 55370.0
1963-03-27 715.0 -3757.0 55361.0
1963-03-28 719.0 -3759.0 55372.0
1963-03-29 726.0 -3754.0 55377.0
1963-03-30 725.0 -3760.0 55376.0
1963-03-31 725.0 -3761.0 55372.0
1963-04-01 742.0 -3756.0 55381.0
1963-04-02 705.0 -3757.0 55367.0
1963-04-03 725.0 -3751.0 55372.0
1963-04-04 699.0 -3771.0 55365.0
1963-04-05 725.0 -3758.0 55377.0
1963-04-06 712.0 -3742.0 55374.0
1963-04-07 728.0 -3745.0 55375.0
1963-04-08 717.0 -3752.0 55380.0
1963-04-09 726.0 -3746.0 55374.0
1963-04-10 723.0 -3750.0 55374.0
1963-04-11 720.0 -3751.0 55384.0
1963-04-12 721.0 -3748.0 55392.0
1963-04-13 713.0 -3722.0 55388.0
1963-04-14 717.0 -3726.0 55395.0
1963-04-15 744.0 -3746.0 55383.0
1963-04-16 720.0 -3758.0 55393.0
1963-04-17 723.0 -3752.0 55391.0
1963-04-18 710.0 -3745.0 55394.0
1963-04-19 716.0 -3784.0 55361.0
1963-04-20 716.0 -3731.0 55363.0
1963-04-21 715.0 -3754.0 55359.0
1963-04-22 712.0 -3764.0 55368.0
1963-04-23 760.0 -3748.0 55387.0
1963-04-24 720.0 -3757.0 55386.0
1963-04-25 723.0 -3754.0 55390.0
1963-04-26 714.0 -3759.0 55391.0
1963-04-27 737.0 -3744.0 55398.0
1963-04-28 718.0 -3763.0 55358.0
1963-04-29 721.0 -3754.0 55359.0
1963-04-30 693.0 -3754.0 55361.0
1963-05-01 717.0 -3741.0 55351.0
1963-05-02 730.0 -3754.0 55351.0
1963-05-03 736.0 -3725.0 55365.0
1963-05-04 737.0 -3758.0 55391.0
1963-05-05 733.0 -3753.0 55353.0
1963-05-06 717.0 -3758.0 55355.0
1963-05-07 723.0 -3749.0 55348.0
1963-05-08 725.0 -3749.0 55374.0
1963-05-09 745.0 -3752.0 55391.0
1963-05-10 713.0 -3746.0 55406.0
1963-05-11 733.0 -3737.0 55397.0
1963-05-12 724.0 -3749.0 55395.0
1963-05-13 723.0 -3763.0 55386.0
1963-05-14 744.0 -3753.0 55402.0
1963-05-15 717.0 -3751.0 55369.0
1963-05-16 724.0 -3761.0 55388.0
1963-05-17 722.0 -3749.0 55349.0
1963-05-18 714.0 -3755.0 55340.0
