date,X,Y,Z
1994-01-01,NA,NA,NA
1994-01-02,20616.0,-6629.0,-17564.0
1994-01-03,20627.0,-6626.0,-17564.0
1994-01-04,20629.0,-6629.0,-17561.0
1994-01-05,20646.0,-6632.0,-17558.0
1994-01-06,20625.0,-6625.0,-17563.0
1994-01-07,20647.0,-6629.0,-17561.0
1994-01-08,20641.0,-6631.0,-17566.0
1994-01-09,20655.0,-6632.0,-17564.0
1994-01-10,20653.0,-6629.0,-17568.0
1994-01-11,20638.0,-6632.0,-17568.0
1994-01-12,20611.0,-6623.0,-17571.0
1994-01-13,20621.0,-6626.0,-17565.0
1994-01-14,20621.0,-6624.0,-17566.0
1994-01-15,20617.0,-6625.0,-17569.0
1994-01-16,20621.0,-6624.0,-17569.0
1994-01-17,20625.0,-6623.0,-17569.0
1994-01-18,20614.0,-6621.0,-17568.0
1994-01-19,20617.0,-6622.0,-17570.0
1994-01-20,20620.0,-6625.0,-17571.0
1994-01-21,20623.0,-6624.0,-17567.0
1994-01-22,20627.0,-6623.0,-17568.0
1994-01-23,20647.0,-6627.0,-17569.0
1994-01-24,20638.0,-6628.0,-17570.0
1994-01-25,20641.0,-6627.0,-17569.0
1994-01-26,20628.0,-6622.0,-17567.0
1994-01-27,20624.0,-6627.0,-17571.0
1994-01-28,20621.0,-6628.0,-17571.0
1994-01-29,20628.0,-6627.0,-17577.0
1994-01-30,20627.0,-6626.0,-17567.0
1994-01-31,20633.0,-6624.0,-17571.0
1994-02-01,20635.0,-6625.0,-17568.0
1994-02-02,20622.0,-6619.0,-17571.0
1994-02-03,20631.0,-6627.0,-17573.0
1994-02-04,20623.0,-6623.0,-17572.0
1994-02-05,20594.0,-6615.0,-17570.0
1994-02-06,20557.0,-6605.0,-17577.0
1994-02-07,20563.0,-6612.0,-17574.0
1994-02-08,20573.0,-6616.0,-17575.0
1994-02-09,20581.0,-6615.0,-17574.0
1994-02-10,NA,NA,NA
1994-02-11,20579.0,-6616.0,-17573.0
1994-02-12,20587.0,-6612.0,-17574.0
1994-02-13,20583.0,-6612.0,-17573.0
1994-02-14,20588.0,-6614.0,-17572.0
1994-02-15,20596.0,-6615.0,-17572.0
1994-02-16,20604.0,-6618.0,-17574.0
1994-02-17,20618.0,-6618.0,-17576.0
1994-02-18,20624.0,-6619.0,-17575.0
1994-02-19,20614.0,-6618.0,-17576.0
1994-02-20,20613.0,-6619.0,-17575.0
1994-02-21,NA,NA,NA
1994-02-22,20548.0,-6604.0,-17578.0
1994-02-23,20588.0,-6615.0,-17575.0
1994-02-24,20605.0,-6622.0,-17573.0
1994-02-25,20600.0,-6618.0,-17575.0
1994-02-26,20610.0,-6623.0,-17570.0
1994-02-27,20622.0,-6617.0,-17572.0
1994-02-28,20625.0,-6621.0,-17573.0
1994-03-01,20623.0,-6624.0,-17577.0
1994-03-02,20611.0,-6624.0,-17577.0
1994-03-03,20605.0,-6624.0,-17577.0
1994-03-04,20622.0,-6623.0,-17576.0
1994-03-05,20624.0,-6623.0,-17575.0
1994-03-06,20616.0,-6617.0,-17575.0
1994-03-07,20561.0,-6611.0,-17579.0
1994-03-08,20570.0,-6611.0,-17578.0
1994-03-09,20570.0,-6610.0,-17581.0
1994-03-10,20576.0,-6612.0,-17580.0
1994-03-11,20578.0,-6604.0,-17581.0
1994-03-12,20588.0,-6613.0,-17580.0
1994-03-13,20593.0,-6617.0,-17580.0
1994-03-14,20587.0,-6616.0,-17581.0
1994-03-15,20578.0,-6611.0,-17576.0
1994-03-16,20594.0,-6612.0,-17579.0
1994-03-17,20586.0,-6615.0,-17577.0
1994-03-18,20602.0,-6611.0,-17577.0
1994-03-19,20597.0,-6616.0,-17580.0
1994-03-20,20606.0,-6614.0,-17579.0
1994-03-21,20609.0,-6617.0,-17578.0
1994-03-22,20613.0,-6615.0,-17582.0
1994-03-23,20607.0,-6611.0,-17578.0
1994-03-24,20610.0,-6614.0,-17580.0
1994-03-25,20609.0,-6610.0,-17582.0
1994-03-26,20612.0,-6610.0,-17582.0
1994-03-27,20616.0,-6617.0,-17580.0
1994-03-28,20613.0,-6607.0,-17580.0
1994-03-29,20625.0,-6617.0,-17579.0
1994-03-30,20608.0,-6612.0,-17579.0
1994-03-31,20617.0,-6613.0,-17583.0
1994-04-01,20618.0,-6615.0,-17582.0
1994-04-02,20580.0,-6607.0,-17585.0
1994-04-03,20571.0,-6602.0,-17591.0
1994-04-04,20569.0,-6603.0,-17585.0
1994-04-05,20582.0,-6601.0,-17582.0
1994-04-06,20571.0,-6602.0,-17584.0
1994-04-07,20584.0,-6600.0,-17582.0
1994-04-08,20576.0,-6604.0,-17588.0
1994-04-09,20578.0,-6600.0,-17588.0
1994-04-10,20581.0,-6604.0,-17582.0
1994-04-11,20576.0,-6610.0,-17585.0
1994-04-12,20585.0,-6607.0,-17587.0
1994-04-13,20588.0,-6604.0,-17583.0
1994-04-14,20583.0,-6604.0,-17586.0
1994-04-15,20596.0,-6602.0,-17585.0
1994-04-16,20587.0,-6602.0,-17585.0
1994-04-17,20552.0,-6597.0,-17582.0
1994-04-18,20567.0,-6607.0,-17586.0
1994-04-19,20589.0,-6606.0,-17588.0
1994-04-20,20601.0,-6606.0,-17584.0
1994-04-21,20611.0,-6610.0,-17586.0
1994-04-22,20611.0,-6611.0,-17586.0
1994-04-23,20612.0,-6611.0,-17587.0
1994-04-24,20605.0,-6608.0,-17588.0
1994-04-25,20614.0,-6610.0,-17588.0
1994-04-26,20618.0,-6609.0,-17586.0
1994-04-27,20622.0,-6611.0,-17586.0
1994-04-28,20618.0,-6613.0,-17588.0
1994-04-29,20618.0,-6612.0,-17588.0
1994-04-30,20625.0,-6613.0,-17589.0
