date X Y Z
1994-01-01 20258.0 387.0 43480.0
1994-01-02 20265.0 386.0 43479.0
1994-01-03 20269.0 384.0 43480.0
1994-01-04 20274.0 381.0 43479.0
1994-01-05 20283.0 381.0 43475.0
1994-01-06 20273.0 385.0 43479.0
1994-01-07 20279.0 381.0 43477.0
1994-01-08 20281.0 379.0 43477.0
1994-01-09 20288.0 378.0 43475.0
1994-01-10 20288.0 379.0 43474.0
1994-01-11 20272.0 387.0 43482.0
1994-01-12 20265.0 390.0 43482.0
1994-01-13 20273.0 388.0 43478.0
1994-01-14 20262.0 392.0 43487.0
1994-01-15 20270.0 394.0 43480.0
1994-01-16 20266.0 386.0 43484.0
1994-01-17 20268.0 390.0 43481.0
1994-01-18 20263.0 390.0 43484.0
1994-01-19 20267.0 387.0 43483.0
1994-01-20 20269.0 386.0 43483.0
1994-01-21 20272.0 387.0 43482.0
1994-01-22 20273.0 385.0 43480.0
1994-01-23 20279.0 381.0 43479.0
1994-01-24 20281.0 380.0 43478.0
1994-01-25 20280.0 383.0 43478.0
1994-01-26 20272.0 384.0 43481.0
1994-01-27 20271.0 383.0 43480.0
1994-01-28 20271.0 381.0 43478.0
1994-01-29 20275.0 384.0 43480.0
1994-01-30 20274.0 387.0 43481.0
1994-01-31 20274.0 383.0 43480.0
1994-02-01 20280.0 382.0 43479.0
1994-02-02 20267.0 382.0 43482.0
1994-02-03 20273.0 384.0 43480.0
1994-02-04 20274.0 388.0 43480.0
1994-02-05 20242.0 398.0 43492.0
1994-02-06 20220.0 407.0 43500.0
1994-02-07 20229.0 393.0 43498.0
1994-02-08 20244.0 401.0 43491.0
1994-02-09 20248.0 402.0 43494.0
1994-02-10 20249.0 403.0 43489.0
1994-02-11 20245.0 402.0 43492.0
1994-02-12 20248.0 399.0 43492.0
1994-02-13 20251.0 402.0 43493.0
1994-02-14 20255.0 395.0 43493.0
1994-02-15 20261.0 396.0 43492.0
1994-02-16 20264.0 392.0 43488.0
1994-02-17 20267.0 386.0 43488.0
1994-02-18 20271.0 385.0 43488.0
1994-02-19 20269.0 392.0 43487.0
1994-02-20 20264.0 393.0 43487.0
1994-02-21 20246.0 403.0 43497.0
1994-02-22 20222.0 413.0 43489.0
1994-02-23 20256.0 393.0 43492.0
1994-02-24 20261.0 389.0 43491.0
1994-02-25 20259.0 389.0 43490.0
1994-02-26 20268.0 389.0 43490.0
1994-02-27 20269.0 385.0 43487.0
1994-02-28 20273.0 386.0 43485.0
1994-03-01 20273.0 386.0 43485.0
1994-03-02 20270.0 393.0 43483.0
