date X Y Z
1981-01-01   46058.0
1981-01-02   46057.0
1981-01-03   46053.0
1981-01-04   46050.0
1981-01-05   46051.0
1981-01-06   46049.0
1981-01-07   46049.0
1981-01-08   46051.0
1981-01-09   46049.0
1981-01-10   46046.0
1981-01-11   46050.0
1981-01-12   46051.0
1981-01-13   46051.0
1981-01-14   46050.0
1981-01-15   46048.0
1981-01-16   46046.0
1981-01-17   46048.0
1981-01-18   46046.0
1981-01-19   46046.0
1981-01-20   46045.0
1981-01-21   46044.0
1981-01-22   46046.0
1981-01-23   46047.0
1981-01-24   46046.0
1981-01-25   46049.0
1981-01-26   46046.0
1981-01-27   46047.0
1981-01-28   46048.0
1981-01-29   46049.0
1981-01-30   46050.0
1981-01-31   46047.0
1981-02-01 17203.0 -431.0 46053.0
1981-02-02 17198.0 -427.0 46055.0
1981-02-03 17201.0 -430.0 46054.0
1981-02-04 17208.0 -427.0 46050.0
1981-02-05 17194.0 -434.0 46059.0
1981-02-06 17172.0 -421.0 46070.0
1981-02-07 17172.0 -413.0 46059.0
1981-02-08 17196.0 -421.0 46058.0
1981-02-09 17186.0 -421.0 46051.0
1981-02-10 17199.0 -429.0 46058.0
1981-02-11 17202.0 -427.0 46056.0
1981-02-12 17199.0 -429.0 46051.0
1981-02-13 17206.0 -435.0 46052.0
1981-02-14 17209.0 -435.0 46049.0
1981-02-15 17205.0 -432.0 46052.0
1981-02-16 17200.0 -431.0 46050.0
1981-02-17 17207.0 -433.0 46050.0
1981-02-18 17213.0 -435.0 46045.0
1981-02-19 17211.0 -431.0 46046.0
1981-02-20 17205.0 -434.0 46053.0
1981-02-21 17207.0 -432.0 46049.0
1981-02-22 17215.0 -432.0 46043.0
1981-02-23 17206.0 -434.0 46044.0
1981-02-24 17203.0 -429.0 46046.0
1981-02-25 17184.0 -420.0 46057.0
1981-02-26 17190.0 -420.0 46050.0
1981-02-27 17188.0 -419.0 46059.0
1981-02-28 17194.0 -418.0 46057.0
1981-03-01 17198.0 -426.0 46053.0
1981-03-02 17179.0 -421.0 46060.0
1981-03-03 17197.0 -421.0 46053.0
1981-03-04 17198.0 -422.0 46046.0
1981-03-05 17192.0 -422.0 46107.0
1981-03-06 17156.0 -415.0 46078.0
1981-03-07 17181.0 -425.0 46076.0
1981-03-08 17185.0 -426.0 46064.0
1981-03-09 17201.0 -427.0 46061.0
1981-03-10 17211.0 -428.0 46061.0
1981-03-11 17208.0 -431.0 46057.0
1981-03-12 17207.0 -431.0 46052.0
1981-03-13 17208.0 -421.0 46049.0
1981-03-14 17182.0 -426.0 46062.0
1981-03-15 17190.0 -423.0 46060.0
1981-03-16 17199.0 -421.0 46056.0
1981-03-17 17197.0 -422.0 46052.0
1981-03-18 17196.0 -432.0 46056.0
1981-03-19 17194.0 -419.0 46057.0
1981-03-20 17202.0 -429.0 46056.0
1981-03-21 17205.0 -422.0 46049.0
1981-03-22 17207.0 -429.0 46049.0
1981-03-23 17207.0 -431.0 46050.0
1981-03-24 17214.0 -431.0 46047.0
1981-03-25 17201.0 -432.0 46054.0
1981-03-26 17181.0 -415.0 46062.0
1981-03-27 17187.0 -423.0 46060.0
1981-03-28 17198.0 -423.0 46057.0
1981-03-29 17194.0 -425.0 46062.0
1981-03-30 17193.0 -421.0 46054.0
1981-03-31 17186.0 -417.0 46055.0
1981-04-01 17188.0 -421.0 46057.0
1981-04-02 17195.0 -426.0 46059.0
1981-04-03 17206.0 -427.0 46052.0
1981-04-04 17197.0 -423.0 46053.0
1981-04-05 17206.0 -428.0 46049.0
1981-04-06 17209.0 -433.0 46049.0
1981-04-07 17217.0 -432.0 46046.0
1981-04-08 17215.0 -424.0 46051.0
1981-04-09 17205.0 -425.0 46047.0
1981-04-10 17210.0 -429.0 46049.0
1981-04-11 17214.0 -436.0 46054.0
1981-04-12 17166.0 -400.0 46057.0
1981-04-13 17084.0 -382.0 46027.0
1981-04-14 17170.0 -408.0 46079.0
1981-04-15 17188.0 -415.0 46068.0
1981-04-16 17199.0 -420.0 46063.0
