date,X,Y,Z
1991-01-01,32687.600976884347,-1921.0097282391955,24372.0
1991-01-02,32695.866319479377,-1916.723667807682,24370.0
1991-01-03,32692.815697225848,-1917.4990970593356,24370.0
1991-01-04,32699.747884455846,-1918.8601546296488,24371.0
1991-01-05,32710.784816360785,-1918.5530218737442,24371.0
1991-01-06,32708.788247568013,-1918.4359191165877,24369.0
1991-01-07,32711.89466569507,-1916.7084756087954,24368.0
1991-01-08,32708.844038768373,-1917.4844582229696,24369.0
1991-01-09,32716.886104700454,-1917.0009421120317,24368.0
1991-01-10,32711.838897065834,-1917.660025241882,24367.0
1991-01-11,32709.842324867528,-1917.542980562607,24370.0
1991-01-12,32712.83718316499,-1917.7185475815195,24369.0
1991-01-13,32693.590642345538,-1921.361733442269,24371.0
1991-01-14,32711.838897065834,-1917.660025241882,24369.0
1991-01-15,32708.67658213678,-1920.3388360330814,24368.0
1991-01-16,NA,NA,NA
1991-01-17,32703.685177195206,-1920.0457887515258,24372.0
1991-01-18,32700.74616714862,-1918.9187350471184,24371.0
1991-01-19,32701.800256793314,-1918.02605946654,24370.0
1991-01-20,32708.844038768373,-1917.4844582229696,24366.0
1991-01-21,32708.788247568013,-1918.4359191165877,24369.0
1991-01-22,32727.867270512303,-1917.6443684191513,24370.0
1991-01-23,32724.041320327047,-1914.5546911822935,24369.0
1991-01-24,32705.569973267924,-1922.0657438484159,24370.0
1991-01-25,32715.83204146245,-1917.8941146004322,24371.0
1991-01-26,32693.64651866082,-1920.4107146278288,24373.0
1991-01-27,32703.629311490946,-1920.9970995788603,24370.0
1991-01-28,32711.615545755045,-1921.4662075396855,24368.0
1991-01-29,NA,NA,NA
1991-01-30,32719.936722662067,-1916.2246384467276,24371.0
1991-01-31,32721.87754370584,-1917.293408615268,24369.0
1991-02-01,32693.36686044497,-1925.1657924341687,24374.0
1991-02-02,32666.581289879676,-1920.7279431723953,24374.0
1991-02-03,32684.60614415375,-1920.833725637659,24373.0
1991-02-04,NA,NA,NA
1991-02-05,32712.66970609004,-1920.5732738583258,24368.0
1991-02-06,NA,NA,NA
1991-02-07,32710.009537510265,-1914.6885010328676,24365.0
1991-02-08,32692.592364768676,-1921.3030659084234,24366.0
1991-02-09,32693.590642345538,-1921.361733442269,24370.0
1991-02-10,NA,NA,NA
1991-02-11,32706.344380114762,-1925.9299803823105,24370.0
1991-02-12,32700.5785853836,-1921.772406179188,24374.0
1991-02-13,32701.520945325257,-1922.7823232112376,24370.0
1991-02-14,32703.908363286453,-1916.2405292036176,24370.0
1991-02-15,32706.624149339983,-1921.1730150641697,24367.0
1991-02-16,32717.772807135483,-1918.962881523792,24370.0
1991-02-17,32712.948696146977,-1915.8153886154753,24367.0
1991-02-18,32713.83546926414,-1917.7770699211571,24362.0
1991-02-19,32714.610383604082,-1921.6421230249948,24363.0
1991-02-20,32711.838897065834,-1917.660025241882,24368.0
1991-02-21,32713.779669549942,-1918.728676009479,24364.0
1991-02-22,32715.720407540208,-1919.7974413091601,24364.0
1991-02-23,32704.906651087527,-1916.2990225042647,24366.0
1991-02-24,32707.566528421656,-1922.183078916107,24365.0
1991-02-25,32705.62587005697,-1921.1143765690665,24368.0
1991-02-26,32703.741015226937,-1919.0944762995266,24366.0
1991-02-27,32709.786531964397,-1918.4944704951658,24369.0
1991-02-28,NA,NA,24370.0
1991-03-01,32695.643077226843,-1920.5279916180352,24374.0
1991-03-02,32691.482258398973,-1923.1463149706171,24374.0
1991-03-03,32703.46154834342,-1923.8510223047947,24370.0
1991-03-04,32708.620707906008,-1921.290292054376,24368.0
