date,X,Y,Z
1979-01-01,NA,NA,NA
1979-01-02,NA,NA,NA
1979-01-03,NA,NA,NA
1979-01-04,NA,NA,NA
1979-01-05,NA,NA,NA
1979-01-06,NA,NA,NA
1979-01-07,NA,NA,NA
1979-01-08,NA,NA,NA
1979-01-09,NA,NA,NA
1979-01-10,NA,NA,NA
1979-01-11,NA,NA,NA
1979-01-12,NA,NA,NA
1979-01-13,NA,NA,NA
1979-01-14,NA,NA,NA
1979-01-15,NA,NA,NA
1979-01-16,NA,NA,NA
1979-01-17,NA,NA,NA
1979-01-18,NA,NA,NA
1979-01-19,NA,NA,NA
1979-01-20,NA,NA,NA
1979-01-21,NA,NA,NA
1979-01-22,NA,NA,NA
1979-01-23,NA,NA,NA
1979-01-24,NA,NA,NA
1979-01-25,NA,NA,NA
1979-01-26,NA,NA,NA
1979-01-27,NA,NA,NA
1979-01-28,NA,NA,NA
1979-01-29,NA,NA,NA
1979-01-30,NA,NA,NA
1979-01-31,NA,NA,NA
1979-02-01,NA,NA,NA
1979-02-02,NA,NA,NA
1979-02-03,NA,NA,NA
1979-02-04,NA,NA,NA
1979-02-05,NA,NA,NA
1979-02-06,NA,NA,NA
1979-02-07,NA,NA,NA
1979-02-08,NA,NA,NA
1979-02-09,NA,NA,NA
1979-02-10,NA,NA,NA
1979-02-11,NA,NA,NA
1979-02-12,NA,NA,NA
1979-02-13,NA,NA,NA
1979-02-14,NA,NA,NA
1979-02-15,NA,NA,NA
1979-02-16,NA,NA,NA
1979-02-17,NA,NA,NA
1979-02-18,NA,NA,NA
1979-02-19,NA,NA,NA
1979-02-20,NA,NA,NA
1979-02-21,NA,NA,NA
1979-02-22,NA,NA,NA
1979-02-23,NA,NA,NA
1979-02-24,NA,NA,NA
1979-02-25,NA,NA,NA
1979-02-26,NA,NA,NA
1979-02-27,NA,NA,NA
1979-02-28,NA,NA,NA
1979-03-01,NA,NA,NA
1979-03-02,NA,NA,NA
1979-03-03,NA,NA,NA
1979-03-04,NA,NA,NA
1979-03-05,NA,NA,NA
1979-03-06,NA,NA,NA
1979-03-07,NA,NA,NA
1979-03-08,NA,NA,NA
1979-03-09,NA,NA,NA
1979-03-10,NA,NA,NA
1979-03-11,NA,NA,NA
1979-03-12,NA,NA,NA
1979-03-13,NA,NA,NA
1979-03-14,NA,NA,NA
1979-03-15,NA,NA,NA
1979-03-16,NA,NA,NA
1979-03-17,NA,NA,NA
1979-03-18,NA,NA,NA
1979-03-19,NA,NA,NA
1979-03-20,NA,NA,NA
1979-03-21,NA,NA,NA
1979-03-22,NA,NA,NA
1979-03-23,NA,NA,NA
1979-03-24,NA,NA,NA
1979-03-25,NA,NA,NA
1979-03-26,NA,NA,NA
1979-03-27,NA,NA,NA
1979-03-28,NA,NA,NA
1979-03-29,NA,NA,NA
1979-03-30,NA,NA,NA
1979-03-31,NA,NA,NA
1979-04-01,NA,NA,NA
1979-04-02,NA,NA,NA
1979-04-03,NA,NA,NA
1979-04-04,NA,NA,NA
1979-04-05,NA,NA,NA
1979-04-06,NA,NA,NA
1979-04-07,NA,NA,NA
1979-04-08,NA,NA,NA
1979-04-09,NA,NA,NA
1979-04-10,NA,NA,NA
1979-04-11,NA,NA,NA
1979-04-12,NA,NA,NA
1979-04-13,NA,NA,NA
1979-04-14,NA,NA,NA
1979-04-15,NA,NA,NA
1979-04-16,NA,NA,NA
1979-04-17,NA,NA,NA
1979-04-18,NA,NA,NA
1979-04-19,NA,NA,NA
1979-04-20,NA,NA,NA
1979-04-21,NA,NA,NA
1979-04-22,NA,NA,NA
1979-04-23,NA,NA,NA
1979-04-24,NA,NA,NA
1979-04-25,NA,NA,NA
1979-04-26,NA,NA,NA
