date X Y Z
1996-01-01 21950.0 256.0 41551.0
1996-01-02 21947.0 258.0 41550.0
1996-01-03 21947.0 257.0 41551.0
1996-01-04 21949.0 257.0 41550.0
1996-01-05 21952.0 256.0 41549.0
1996-01-06 21954.0 254.0 41548.0
1996-01-07 21955.0 256.0 41547.0
1996-01-08 21951.0 257.0 41548.0
1996-01-09 21953.0 257.0 41548.0
1996-01-10 21954.0 257.0 41548.0
1996-01-11 21954.0 257.0 41547.0
1996-01-12 21951.0 258.0 41548.0
1996-01-13 21920.0 262.0 41555.0
1996-01-14 21930.0 265.0 41556.0
1996-01-15 21934.0 262.0 41556.0
1996-01-16 21941.0 262.0 41554.0
1996-01-17 21940.0 262.0 41554.0
1996-01-18 21942.0 260.0 41554.0
1996-01-19 21946.0 264.0 41553.0
1996-01-20 21939.0 257.0 41554.0
1996-01-21 21946.0 260.0 41553.0
1996-01-22 21947.0 263.0 41552.0
1996-01-23 21950.0 259.0 41550.0
1996-01-24 21950.0 262.0 41550.0
1996-01-25 21950.0 259.0 41551.0
1996-01-26 21950.0 260.0 41550.0
1996-01-27 21945.0 260.0 41552.0
1996-01-28 21950.0 264.0 41551.0
1996-01-29 21940.0 263.0 41554.0
1996-01-30 21945.0 262.0 41553.0
1996-01-31 21945.0 262.0 41553.0
1996-02-01 21948.0 263.0 41551.0
1996-02-02 21947.0 263.0 41552.0
1996-02-03 21948.0 260.0 41551.0
1996-02-04 21952.0 261.0 41551.0
1996-02-05 21948.0 261.0 41551.0
1996-02-06 21954.0 260.0 41550.0
1996-02-07 21952.0 260.0 41549.0
1996-02-08 21953.0 261.0 41550.0
1996-02-09 21951.0 262.0 41552.0
1996-02-10   
1996-02-11   
1996-02-12   
1996-02-13   
1996-02-14   
1996-02-15   
1996-02-16   
1996-02-17   
1996-02-18   
1996-02-19   
1996-02-20   
1996-02-21   
1996-02-22   
1996-02-23   
1996-02-24   
1996-02-25   
1996-02-26   
1996-02-27 21945.0 268.0 41555.0
1996-02-28 21943.0 266.0 41555.0
1996-02-29 21944.0 265.0 41553.0
1996-03-01 21946.0 262.0 41554.0
1996-03-02 21956.0 261.0 41553.0
1996-03-03 21952.0 261.0 41553.0
1996-03-04 21947.0 263.0 41555.0
1996-03-05 21947.0 263.0 41555.0
1996-03-06 21953.0 260.0 41553.0
1996-03-07 21950.0 262.0 41553.0
1996-03-08 21953.0 262.0 41552.0
1996-03-09 21949.0 264.0 41554.0
1996-03-10 21947.0 266.0 41555.0
1996-03-11 21943.0 269.0 41555.0
1996-03-12 21947.0 267.0 41554.0
1996-03-13 21943.0 270.0 41553.0
1996-03-14 21948.0 267.0 41553.0
1996-03-15 21946.0 266.0 41554.0
1996-03-16 21954.0 265.0 41551.0
1996-03-17 21947.0 266.0 41553.0
1996-03-18 21944.0 267.0 41553.0
1996-03-19 21940.0 267.0 41555.0
1996-03-20 21936.0 271.0 41556.0
1996-03-21 21934.0 271.0 41556.0
