date,X,Y,Z
1903-01-01,18032.17985537584,-4386.325758921435,43484.0
1903-01-02,18035.47762607396,-4385.460956317554,43483.0
1903-01-03,NA,NA,43479.0
1903-01-04,18043.456753464776,-4390.736656399055,43475.0
1903-01-05,18038.009852095976,-4387.7439049799295,43472.0
1903-01-06,18047.010208984677,-4388.821199001254,43465.0
1903-01-07,18047.854208710676,-4389.5824928032,43456.0
1903-01-08,18048.442729021237,-4391.393862686478,43450.0
1903-01-09,18050.641511656268,-4390.816554773332,43450.0
1903-01-10,18048.442729021237,-4391.393862686478,43442.0
1903-01-11,18049.669845536246,-4390.580197096917,43446.0
1903-01-12,18038.265090162688,-4386.694488680304,43449.0
1903-01-13,18027.576611602475,-4384.095176065809,43458.0
1903-01-14,18020.519861935572,-4383.489466804448,43474.0
1903-01-15,18012.49159141834,-4382.646537091894,43487.0
1903-01-16,18011.392452287375,-4382.934054909493,43501.0
1903-01-17,18011.392452287375,-4382.934054909493,43512.0
1903-01-18,18011.519939050693,-4382.410122886635,43520.0
1903-01-19,18015.27903424827,-4383.879824787016,43526.0
1903-01-20,NA,NA,43530.0
1903-01-21,NA,NA,43533.0
1903-01-22,18021.619037846285,-4383.201598687464,43529.0
1903-01-23,18025.123072197737,-4385.719921760262,43531.0
1903-01-24,18026.222299237073,-4385.431976269619,43529.0
1903-01-25,18042.99584373579,-4388.40084574473,43527.0
1903-01-26,18055.51876416283,-4379.210334862206,43505.0
1903-01-27,18050.86704124588,-4381.418042057056,43492.0
1903-01-28,18049.08124046785,-4388.768776660662,43487.0
1903-01-29,18054.783647937562,-4390.711608175433,43480.0
1903-01-30,NA,NA,NA
1903-01-31,18045.400044445225,-4391.2095413378165,43472.0
1903-02-01,18036.782900609487,-4388.55689222337,43471.0
1903-02-02,18043.83984881611,-4389.162051038423,43470.0
1903-02-03,18043.83984881611,-4389.162051038423,43475.0
1903-02-04,18049.54212109896,-4391.105238852115,43477.0
1903-02-05,18050.258271896346,-4392.39175368472,43477.0
1903-02-06,18047.726513296202,-4390.107481744086,43475.0
1903-02-07,18045.655484121977,-4390.159695088366,43475.0
1903-02-08,18046.931766318292,-4384.910241025654,43474.0
1903-02-09,18059.308916996975,-4389.030239184225,43460.0
1903-02-10,18061.38002326412,-4388.977176431416,43455.0
1903-02-11,18056.393774314653,-4388.321759726729,43455.0
1903-02-12,18054.911360922375,-4390.186413950566,43452.0
1903-02-13,18055.883047664796,-4390.422686832217,43454.0
1903-02-14,18034.378370686245,-4385.7492840932155,43455.0
1903-02-15,18033.534252589117,-4384.988410554252,43456.0
1903-02-16,18034.123187615885,-4386.7984742742665,43454.0
1903-02-17,18023.43486029564,-4384.198539833695,43457.0
1903-02-18,18023.689892126033,-4383.1499714787205,43476.0
1903-02-19,18022.2081150948,-4385.010679144484,43483.0
1903-02-20,18033.151521495864,-4386.562116597851,43493.0
1903-02-21,18047.010208984677,-4388.821199001254,43491.0
1903-02-22,18043.71216563349,-4389.686923206491,43481.0
1903-02-23,18038.058716944735,-4383.310019158357,43464.0
1903-02-24,18030.491651209803,-4384.804079506126,NA
1903-02-25,18029.009681668318,-4386.665578581297,43470.0
1903-02-26,18030.619192361853,-4384.2795919093005,43467.0
1903-02-27,18034.25078678099,-4386.273881039485,43469.0
1903-02-28,18041.307746528484,-4386.878593607457,43467.0
1903-03-01,18032.896291138903,-4387.6112354023335,43465.0
1903-03-02,18028.165617725565,-4385.904748151494,43466.0
1903-03-03,18033.534252589117,-4384.988410554252,43471.0
1903-03-04,18038.009852095976,-4387.7439049799295,43468.0
1903-03-05,18043.456753464776,-4390.736656399055,43470.0
1903-03-06,18043.04485445822,-4383.96582787876,43466.0
1903-03-07,18030.108936214056,-4386.3775200333685,43468.0
1903-03-08,18032.483288062904,-4380.844149902178,43472.0
1903-03-09,18031.463331078914,-4385.040380652898,43470.0
1903-03-10,18029.647505619432,-4384.04331902765,43473.0
1903-03-11,18028.548291471583,-4384.331477212581,43474.0
1903-03-12,18034.633492716763,-4384.70007906799,43476.0
1903-03-13,18027.831637412397,-4383.046366753687,43480.0
1903-03-14,18032.307440791035,-4385.801222216097,43481.0
1903-03-15,18032.69010548694,-4384.227589835332,43482.0
1903-03-16,18036.321730424464,-4386.221886386759,43482.0
1903-03-17,18037.293410293576,-4386.458187533532,43481.0
1903-03-18,18041.896516576067,-4388.689335685592,43480.0
1903-03-19,18040.129670563165,-4383.25751801859,43482.0
1903-03-20,18044.605627280765,-4386.012740053006,43481.0
1903-03-21,18044.605627280765,-4386.012740053006,43481.0
1903-03-22,18044.988310388257,-4384.438034452207,43480.0
1903-03-23,18041.81806090303,-4384.7793624392525,43478.0
1903-03-24,18042.789775130474,-4385.015522258417,43469.0
1903-03-25,18042.534634734413,-4386.065201796384,43468.0
1903-03-26,18042.279433270905,-4387.114866489108,43467.0
1903-03-27,18048.031045384076,-4384.621350225421,43467.0
1903-03-28,18044.733203585354,-4385.487841896748,NA
1903-03-29,18037.469422520957,-4381.499838140071,43462.0
1903-03-30,NA,NA,43466.0
1903-03-31,18035.398492560624,-4381.552374962786,43470.0
1903-04-01,18035.908187241494,-4379.453831403554,43470.0
1903-04-02,18037.59686755357,-4380.975147569504,43474.0
1903-04-03,18034.299302773055,-4381.840898298251,43475.0
1903-04-04,18043.172371221208,-4383.440975124408,43476.0
