date X Y Z
1988-01-01   
1988-01-02   
1988-01-03   
1988-01-04   
1988-01-05   
1988-01-06   
1988-01-07   
1988-01-08   
1988-01-09   
1988-01-10   
1988-01-11   
1988-01-12   
1988-01-13   
1988-01-14   
1988-01-15   
1988-01-16   
1988-01-17   
1988-01-18   
1988-01-19   
1988-01-20   
1988-01-21   
1988-01-22   
1988-01-23   
1988-01-24   
1988-01-25   
1988-01-26   
1988-01-27   
1988-01-28   
1988-01-29   
1988-01-30   
1988-01-31   
1988-02-01   
1988-02-02   
1988-02-03   
1988-02-04   
1988-02-05   
1988-02-06   
1988-02-07   
1988-02-08   
1988-02-09   
1988-02-10   
1988-02-11   
1988-02-12   
1988-02-13   
1988-02-14   
1988-02-15   
1988-02-16   
1988-02-17 3641.0 -16231.0 -52110.0
1988-02-18 3631.0 -16232.0 -52127.0
1988-02-19 3624.0 -16229.0 -52121.0
1988-02-20 3643.0 -16241.0 -52115.0
1988-02-21 3662.0 -16219.0 -52109.0
1988-02-22 3577.0 -16121.0 -52259.0
1988-02-23 3634.0 -16226.0 -52179.0
1988-02-24 3645.0 -16271.0 -52128.0
1988-02-25 3666.0 -16268.0 -52157.0
1988-02-26 3680.0 -16271.0 -52155.0
1988-02-27 3671.0 -16286.0 -52140.0
1988-02-28 3664.0 -16285.0 -52114.0
1988-02-29 3644.0 -16266.0 -52101.0
1988-03-01 3632.0 -16263.0 -52095.0
1988-03-02 3638.0 -16262.0 -52100.0
1988-03-03 3665.0 -16259.0 -52100.0
1988-03-04 3620.0 -16255.0 -52132.0
1988-03-05 3655.0 -16282.0 -52130.0
1988-03-06 3598.0 -16220.0 -52180.0
1988-03-07 3637.0 -16274.0 -52151.0
1988-03-08 3631.0 -16261.0 -52098.0
1988-03-09 3635.0 -16282.0 -52088.0
1988-03-10 3645.0 -16263.0 -52101.0
1988-03-11   
1988-03-12 3638.0 -16281.0 -52096.0
1988-03-13 3632.0 -16281.0 -52086.0
1988-03-14 3634.0 -16256.0 -52093.0
1988-03-15   
1988-03-16 3612.0 -16279.0 -52109.0
1988-03-17 3632.0 -16277.0 -52109.0
1988-03-18 3631.0 -16276.0 -52103.0
1988-03-19 3639.0 -16284.0 -52095.0
1988-03-20 3643.0 -16289.0 -52078.0
1988-03-21   
1988-03-22 3641.0 -16285.0 -52085.0
1988-03-23 3646.0 -16280.0 -52075.0
1988-03-24 3647.0 -16284.0 -52089.0
1988-03-25 3630.0 -16257.0 -52075.0
1988-03-26 3667.0 -16240.0 -52143.0
1988-03-27 3650.0 -16285.0 -52165.0
1988-03-28 3613.0 -16267.0 -52158.0
1988-03-29   
1988-03-30 3614.0 -16317.0 -52180.0
1988-03-31 3629.0 -16277.0 -52140.0
1988-04-01 3654.0 -16289.0 -52149.0
1988-04-02 3601.0 -16248.0 -52154.0
1988-04-03 3652.0 -16269.0 -52162.0
1988-04-04 3535.0 -16145.0 -52214.0
1988-04-05 3659.0 -16305.0 -52150.0
1988-04-06 3631.0 -16289.0 -52153.0
1988-04-07 3640.0 -16275.0 -52117.0
1988-04-08 3658.0 -16271.0 -52095.0
1988-04-09 3635.0 -16275.0 -52101.0
1988-04-10 3626.0 -16264.0 -52091.0
1988-04-11 3633.0 -16266.0 -52090.0
1988-04-12 3633.0 -16264.0 -52098.0
1988-04-13 3653.0 -16275.0 -52098.0
1988-04-14 3650.0 -16284.0 -52115.0
1988-04-15 3644.0 -16278.0 -52086.0
1988-04-16   
1988-04-17 3648.0 -16278.0 -52092.0
1988-04-18 3632.0 -16277.0 -52131.0
1988-04-19 3647.0 -16280.0 -52083.0
1988-04-20 3649.0 -16270.0 -52085.0
1988-04-21 3647.0 -16286.0 -52128.0
1988-04-22   
1988-04-23 3636.0 -16284.0 -52144.0
1988-04-24 3650.0 -16277.0 -52108.0
1988-04-25 3651.0 -16269.0 -52096.0
1988-04-26 3650.0 -16285.0 -52084.0
1988-04-27 3660.0 -16279.0 -52090.0
1988-04-28 3646.0 -16280.0 -52121.0
1988-04-29 3640.0 -16282.0 -52111.0
1988-04-30 3657.0 -16283.0 -52081.0
1988-05-01 3652.0 -16282.0 -52075.0
1988-05-02 3653.0 -16268.0 -52095.0
1988-05-03 3650.0 -16281.0 -52119.0
