date,X,Y,Z
1997-01-01,28959.1207425512,-3467.6911365259693,38080.0
1997-01-02,28957.336608135385,-3465.7686828670953,38081.0
1997-01-03,28958.22869105261,-3466.7298822806456,38081.0
1997-01-04,28957.336608135385,-3465.7686828670953,38082.0
1997-01-05,28962.30117688592,-3466.3628689668876,38081.0
1997-01-06,28965.481554675753,-3465.034243083141,38080.0
1997-01-07,28955.149115212167,-3467.215556585418,38080.0
1997-01-08,28958.32952188549,-3465.887520087054,38082.0
1997-01-09,28958.22869105261,-3466.7298822806456,38080.0
1997-01-10,28919.202954808752,-3464.617794011463,38083.0
1997-01-11,28949.090825494677,-3467.3442830587087,38082.0
1997-01-12,28943.13340523974,-3466.6307398532504,38082.0
1997-01-13,28941.938779402204,-3468.195595599388,38084.0
1997-01-14,28947.10501874303,-3467.106435323556,38084.0
1997-01-15,28951.27831900264,-3465.8978195624572,38083.0
1997-01-16,28953.364953134955,-3465.293333987262,38083.0
1997-01-17,28958.43032821501,-3465.0451549607687,38082.0
1997-01-18,28957.134928881685,-3467.4533465556938,38083.0
1997-01-19,28951.580665406404,-3463.3713307218645,38082.0
1997-01-20,28952.372039384845,-3465.1744967673035,38083.0
1997-01-21,28943.13340523974,-3466.6307398532504,38084.0
1997-01-22,28947.997052374136,-3468.067423758985,38085.0
1997-01-23,28956.2428704669,-3466.492150075449,38083.0
1997-01-24,28963.294090636027,-3466.481706186846,38079.0
1997-01-25,28956.933151618567,-3469.1379985082162,38080.0
1997-01-26,28955.048245749615,-3468.0578262641675,38081.0
1997-01-27,28943.722738045864,-3470.117442267165,38082.0
1997-01-28,28938.657353832983,-3470.3640381735477,38083.0
1997-01-29,28938.758290387457,-3469.5222452855405,38085.0
1997-01-30,28943.82366742501,-3469.2755020332097,38085.0
1997-01-31,28944.9174687685,-3468.5525404958444,38085.0
1997-02-01,28950.18458103838,-3466.62108165973,38086.0
1997-02-02,28949.982852206234,-3468.3053292588143,38085.0
1997-02-03,28944.9174687685,-3468.5525404958444,38085.0
1997-02-04,28947.997052374136,-3468.067423758985,38085.0
1997-02-05,28956.343694385276,-3465.649845647137,38084.0
1997-02-06,28950.18458103838,-3466.62108165973,38085.0
1997-02-07,28958.22869105261,-3466.7298822806456,38085.0
1997-02-08,28947.306677831228,-3465.422355152064,38085.0
1997-02-09,28942.140501863916,-3466.511815985674,38086.0
1997-02-10,28916.32501409252,-3463.419795428686,38088.0
1997-02-11,28930.4113918568,-3471.936159828136,38088.0
1997-02-12,28940.74406945082,-3469.7603240781905,38087.0
1997-02-13,28948.29958812408,-3465.541221254662,38086.0
1997-02-14,28945.018352625993,-3467.7105655092414,38085.0
1997-02-15,28949.090825494677,-3467.3442830587087,38085.0
1997-02-16,28938.859202455125,-3468.6804494617654,38085.0
1997-02-17,28930.108298111307,-3474.4608012685007,38090.0
1997-02-18,28946.903261679367,-3468.7905037601486,38089.0
1997-02-19,28955.24996017405,-3466.3732839728505,38087.0
1997-02-20,28956.2428704669,-3466.492150075449,38085.0
1997-02-21,28948.88905459023,-3469.0284670244523,38085.0
1997-02-22,28945.119211991387,-3466.868587588403,38086.0
1997-02-23,28946.903261679367,-3468.7905037601486,38087.0
1997-02-24,28946.903261679367,-3468.7905037601486,38087.0
1997-02-25,28949.982852206234,-3468.3053292588143,38087.0
1997-02-26,28945.119211991387,-3466.868587588403,38089.0
1997-02-27,28943.520805814638,-3471.8013139255477,38090.0
1997-02-28,28915.905015975182,-3475.314821293348,38091.0
1997-03-01,28934.382894553193,-3472.412779521983,38091.0
1997-03-02,28936.469648984454,-3471.8093630557473,38089.0
1997-03-03,28940.643125970073,-3470.6021747300683,38090.0
1997-03-04,28942.52792321007,-3471.6822167654527,38089.0
1997-03-05,28949.881951045663,-3469.1474486566044,38088.0
1997-03-06,28935.678695627346,-3470.006833338767,38089.0
1997-03-07,28942.830774431033,-3469.1564915189206,38088.0
1997-03-08,28948.788132394897,-3469.8705546046535,38086.0
1997-03-09,28959.1207425512,-3467.6911365259693,38088.0
1997-03-10,28960.416162628055,-3465.2827716352044,38086.0
1997-03-11,28959.22160134546,-3466.848748383244,38087.0
1997-03-12,28951.177487873138,-3466.7399766448675,38088.0
1997-03-13,28942.729848514184,-3469.9984028708404,38087.0
1997-03-14,28950.0837288705,-3467.4632069262852,38087.0
1997-03-15,28944.81656041899,-3469.3945125474984,38088.0
1997-03-16,28950.975752122282,-3468.424282008729,38088.0
1997-03-17,28946.903261679367,-3468.7905037601486,38088.0
1997-03-18,28943.722738045864,-3470.117442267165,38089.0
1997-03-19,28957.03405250126,-3468.29567399932,38088.0
1997-03-20,28962.30117688592,-3466.3628689668876,38087.0
1997-03-21,28961.106556220715,-3467.9289264962445,38086.0
1997-03-22,28942.729848514184,-3469.9984028708404,38089.0
1997-03-23,28951.96865203833,-3468.5432347586434,38090.0
1997-03-24,28951.076632246324,-3467.582130793862,38090.0
1997-03-25,28945.119211991387,-3466.868587588403,38089.0
1997-03-26,28945.70851710923,-3470.355521059815,38092.0
1997-03-27,28949.680075235952,-3470.8316786451146,38089.0
1997-03-28,28947.10501874303,-3467.106435323556,38090.0
1997-03-29,28932.296129503135,-3473.016077523673,38092.0
1997-03-30,28933.49101156519,-3471.451984930261,38090.0
