date X Y Z
1911-01-01 16003.0 -5279.0 45364.0
1911-01-02 16001.0 -5280.0 45354.0
1911-01-03 15993.0 -5271.0 45355.0
1911-01-04 15993.0 -5279.0 45359.0
1911-01-05 15997.0 -5277.0 45355.0
1911-01-06 15997.0 -5276.0 45355.0
1911-01-07 15999.0 -5282.0 45355.0
1911-01-08 16002.0 -5277.0 45358.0
1911-01-09 15996.0 -5275.0 45359.0
1911-01-10 15999.0 -5282.0 45350.0
1911-01-11 15999.0 -5282.0 45345.0
1911-01-12 16000.0 -5280.0 45351.0
1911-01-13 15995.0 -5283.0 45357.0
1911-01-14 16000.0 -5282.0 45360.0
1911-01-15 16003.0 -5282.0 45364.0
1911-01-16 15998.0 -5280.0 45368.0
1911-01-17 16002.0 -5281.0 45374.0
1911-01-18 16002.0 -5277.0 45373.0
1911-01-19 16001.0 -5283.0 45370.0
1911-01-20 16003.0 -5282.0 45370.0
1911-01-21 16005.0 -5282.0 45368.0
1911-01-22 16002.0 -5282.0 45364.0
1911-01-23 16002.0 -5281.0 45369.0
1911-01-24 16003.0 -5278.0 45384.0
1911-01-25 15991.0 -5268.0 45371.0
1911-01-26 15996.0 -5279.0 45369.0
1911-01-27 15997.0 -5281.0 45362.0
1911-01-28 15997.0 -5274.0 45360.0
1911-01-29 16000.0 -5279.0 45354.0
1911-01-30 15996.0 -5272.0 45361.0
1911-01-31 16000.0 -5275.0 45355.0
1911-02-01 15996.0 -5275.0 45354.0
1911-02-02 15993.0 -5274.0 45348.0
1911-02-03 15996.0 -5277.0 45347.0
1911-02-04 16000.0 -5279.0 45351.0
1911-02-05 15998.0 -5277.0 45350.0
1911-02-06 16001.0 -5281.0 45349.0
1911-02-07 16002.0 -5280.0 45343.0
1911-02-08 16002.0 -5279.0 45344.0
1911-02-09 16000.0 -5279.0 45338.0
1911-02-10 15997.0 -5283.0 45330.0
1911-02-11 15999.0 -5282.0 45330.0
1911-02-12 16009.0 -5279.0 45325.0
1911-02-13 16010.0 -5272.0 45321.0
1911-02-14 15994.0 -5274.0 45318.0
1911-02-15 16001.0 -5284.0 45317.0
1911-02-16 15998.0 -5282.0 45320.0
1911-02-17 16000.0 -5277.0 45317.0
