date,X,Y,Z
1964-01-01,29826.98935958597,-6251.106361528772,1184.0
1964-01-02,29764.531677937208,-6237.112712872224,1185.0
1964-01-03,29786.861170455762,-6242.69634148537,1182.0
1964-01-04,29784.722104471835,-6243.1525016922915,1186.0
1964-01-05,29792.733588377258,-6243.927076125869,1186.0
1964-01-06,29793.34900539126,-6245.865515919437,1190.0
1964-01-07,29794.761250309934,-6248.875981889025,1184.0
1964-01-08,29799.03961842045,-6247.963413769999,1189.0
1964-01-09,29794.761250309934,-6248.875981889025,1186.0
1964-01-10,29780.988752534267,-6241.465606844872,1187.0
1964-01-11,29786.316279009687,-6245.29571171794,1186.0
1964-01-12,29789.97897738893,-6242.445156084702,1185.0
1964-01-13,29790.664663251457,-6248.921500683218,1185.0
1964-01-14,29806.254172239263,-6247.665821718489,1186.0
1964-01-15,29808.463140974596,-6251.74968893979,1189.0
1964-01-16,29792.98558524532,-6247.598812132928,1190.0
1964-01-17,29795.48813835555,-6245.40916170539,1190.0
1964-01-18,29804.911928917725,-6249.194660870949,1191.0
1964-01-19,29808.02987116705,-6248.943206624039,1194.0
1964-01-20,29806.86936575015,-6249.605076571265,1194.0
1964-01-21,29809.623696836563,-6251.087829570143,1190.0
1964-01-22,29812.126554357656,-6248.8967271801785,1195.0
1964-01-23,29805.960082273486,-6253.940243871814,1191.0
1964-01-24,29800.200076086632,-6247.301771581584,1196.0
1964-01-25,29794.83074961501,-6253.414795277541,1196.0
1964-01-26,29797.697369738074,-6249.491776257046,1193.0
1964-01-27,29805.708847050388,-6250.266884290799,1196.0
1964-01-28,29806.68755949693,-6250.472120610635,1197.0
1964-01-29,29778.920257194786,-6246.457981579168,1195.0
1964-01-30,29794.327729776312,-6246.070695299743,1194.0
1964-01-31,29785.771160727843,-6247.895034389864,1196.0
1964-02-01,29782.835059213674,-6247.2791546138515,1098.0
1964-02-02,29803.02401659472,-6253.324193281382,1096.0
1964-02-03,29804.00270515431,-6253.529543478193,1094.0
1964-02-04,29809.874836511844,-6254.761644659057,1096.0
1964-02-05,29806.75683250153,-6255.012640124985,1096.0
1964-02-06,29788.707262242013,-6248.510914165877,1098.0
1964-02-07,29785.155885672964,-6245.9569215742395,1100.0
1964-02-08,29765.288713476355,-6248.118421044633,1102.0
1964-02-09,29752.13221149611,-6242.645983047222,1096.0
1964-02-10,29763.876474211174,-6245.110185408951,1101.0
1964-02-11,29761.73743355567,-6245.565221506462,1097.0
1964-02-12,29774.711749131806,-6251.905010163894,1098.0
1964-02-13,29743.324014459813,-6240.797831275925,1100.0
1964-02-14,29758.14407093578,-6252.945342271096,1097.0
1964-02-15,29767.35746898061,-6243.128567787494,1097.0
1964-02-16,29774.460307170804,-6248.235144159524,1101.0
1964-02-17,29772.502941999246,-6247.824386828283,1102.0
1964-02-18,29777.82959105777,-6251.655288475554,1101.0
1964-02-19,29768.042944463934,-6249.600647765502,1103.0
1964-02-20,29770.0002737827,-6250.011575907512,1103.0
1964-02-21,29745.715300762815,-6244.009708990286,1103.0
1964-02-22,29752.817749692116,-6249.115133649384,1102.0
1964-02-23,29770.797114402758,-6251.083040007417,1104.0
1964-02-24,29772.823502699262,-6256.029865427307,1106.0
1964-02-25,29768.65795976397,-6251.537992732786,1101.0
1964-02-26,29744.806831746202,-6248.33598185184,1103.0
1964-02-27,NA,NA,1101.0
1964-02-28,NA,NA,1104.0
1964-02-29,NA,NA,1106.0
1964-03-01,NA,NA,1100.0
1964-03-02,29793.920912164554,-6257.748211592062,NA
1964-03-03,29797.471339772408,-6260.303966696976,NA
1964-03-04,29738.934987270633,-6247.102514197332,NA
1964-03-05,29756.550520697343,-6250.802917160856,NA
1964-03-06,29769.8184557205,-6250.877547468298,1102.0
1964-03-07,29766.336928156627,-6252.858696585035,NA
1964-03-08,29764.015843641173,-6254.179151533581,NA
1964-03-09,29758.689630045323,-6250.3484304983385,NA
1964-03-10,29760.35212082124,-6257.025063457128,1108.0
1964-03-11,29767.133662042084,-6253.93016799205,1110.0
1964-03-12,29758.394911119434,-6256.613565968492,1111.0
1964-03-13,29775.14469486998,-6254.708898066798,1105.0
1964-03-14,29768.11229680758,-6254.135774401886,1104.0
1964-03-15,29779.059257853696,-6255.531209836469,1109.0
1964-03-16,29789.642261648452,-6258.659115418285,1111.0
1964-03-17,29779.127723585516,-6260.0680525358885,1111.0
1964-03-18,29788.48156324698,-6259.320023460599,1113.0
1964-03-19,29791.963618713486,-6257.33711264241,1112.0
1964-03-20,29790.438820815445,-6259.731293214761,1112.0
1964-03-21,29781.334890687893,-6264.150471428353,1112.0
1964-03-22,29767.816794529142,-6260.402885385946,1113.0
1964-03-23,29751.248934016752,-6261.437204521588,1109.0
1964-03-24,29753.865771684916,-6253.853823088353,1108.0
1964-03-25,29759.555506875964,-6255.953646980492,1108.0
1964-03-26,29775.577377977344,-6257.5129091424005,1110.0
1964-03-27,29789.095977176978,-6261.258728286063,1116.0
1964-03-28,29790.324430752364,-6265.136415954468,1114.0
1964-03-29,29798.699940295068,-6264.182458091285,1113.0
1964-03-30,29748.79078768571,-6253.690723925024,1114.0
1964-03-31,29754.047676330218,-6252.988315571075,1115.0
1964-04-01,29791.781587550766,-6258.203723087903,1117.0
1964-04-02,29719.068946397998,-6249.248111512482,1106.0
1964-04-03,29757.598285205007,-6255.542206424952,1111.0
1964-04-04,29752.887154865693,-6253.648131277306,1112.0
1964-04-05,29756.80162214259,-6254.470898521496,1114.0
1964-04-06,29768.613261089136,-6261.4746275704165,1112.0
1964-04-07,29761.76315284365,-6260.03378856999,1113.0
1964-04-08,29762.127296480037,-6258.30230878294,1108.0
1964-04-09,29741.827410162252,-6257.647425680143,1106.0
1964-04-10,29758.030865736437,-6258.344828617023,1113.0
1964-04-11,29756.25570328703,-6257.067645518787,1113.0
1964-04-12,29753.570309149585,-6260.118118573512,1111.0
1964-04-13,29771.798755666405,-6265.762112632463,1111.0
1964-04-14,29770.752573166956,-6261.020302416623,1111.0
1964-04-15,29773.688351804765,-6261.6377194473,1111.0
1964-04-16,29768.86306685931,-6265.144268616624,1114.0
1964-04-17,29768.86306685931,-6265.144268616624,1112.0
1964-04-18,29780.538501959658,-6263.078359185545,1112.0
1964-04-19,29768.930056672205,-6269.679998290044,1112.0
1964-04-20,29779.693919357873,-6271.946991912461,1111.0
1964-04-21,29775.713007409195,-6266.5859046535825,1111.0
1964-04-22,29776.259756815463,-6263.9874596499485,1116.0
1964-04-23,29777.23833771979,-6264.193322258718,1113.0
1964-04-24,29780.605822087684,-6267.615644679981,1121.0
1964-04-25,29770.273306449813,-6268.154134933329,1114.0
1964-04-26,29766.972990729355,-6269.267817631423,1117.0
1964-04-27,29761.581043250582,-6260.8995205184,1118.0
1964-04-28,29759.077437502332,-6263.084788563826,1119.0
1964-04-29,29745.0133023031,-6261.932021813368,NA
1964-04-30,29736.934535584198,-6256.617970307906,NA
1964-05-01,29731.927940970378,-6260.983701699362,1118.0
1964-05-02,29748.426912363026,-6255.421427833248,1116.0
1964-05-03,29751.613159318364,-6259.706336424618,1120.0
1964-05-04,29760.170098749037,-6257.890754361555,1117.0
1964-05-05,29770.820192730705,-6265.5561646271835,1114.0
1964-05-06,29787.388652114554,-6264.5189989237915,1117.0
1964-05-07,29796.262829058847,-6270.910812764458,1118.0
1964-05-08,29796.992280963284,-6267.443817715043,1117.0
1964-05-09,29782.313477580105,-6264.356305571271,1122.0
1964-05-10,29760.670117542657,-6265.22810078001,1128.0
1964-05-11,29723.735425579296,-6261.064474205839,1121.0
1964-05-12,29763.538205059234,-6261.311245735939,1122.0
1964-05-13,29791.485262445065,-6264.475625103707,1123.0
1964-05-14,29786.841856280356,-6267.118415104724,1122.0
1964-05-15,29783.292064472316,-6264.5621397141895,1123.0
1964-05-16,29771.18465763058,-6263.824157913566,1122.0
1964-05-17,29770.023868850083,-6264.4842443808875,1129.0
1964-05-18,29775.1660312479,-6269.184301934435,1125.0
1964-05-19,29784.155340401994,-6270.172219229973,1128.0
1964-05-20,29795.831374901973,-6268.1047118253455,1130.0
1964-05-21,29778.64869621629,-6267.203748669422,1134.0
1964-05-22,29791.983748021776,-6271.820258713294,1133.0
1964-05-23,29806.66201230886,-6274.91033274452,1136.0
1964-05-24,29764.037391815084,-6268.649546643491,1132.0
1964-05-25,29770.273306449813,-6268.154134933329,1130.0
1964-05-26,29769.11242167591,-6268.814052563784,1130.0
1964-05-27,29766.176804778104,-6268.195866969224,1132.0
1964-05-28,29767.76913950315,-6270.339819917562,1130.0
1964-05-29,29788.25194749538,-6270.129736499691,1133.0
1964-05-30,29788.86566068255,-6272.068769537534,1135.0
1964-05-31,29799.016073884868,-6272.395477674472,1132.0
1964-06-01,29809.59766516628,-6275.528347550766,1133.0
1964-06-02,29801.404207551765,-6275.614094103938,1135.0
1964-06-03,29801.155643737333,-6271.940552790857,1136.0
1964-06-04,29797.555614319357,-6279.3298536981665,1135.0
1964-06-05,29784.76904513087,-6272.111042401434,1134.0
1964-06-06,29798.534123304456,-6279.5360578835625,1144.0
1964-06-07,29813.75990737918,-6280.027403216471,1143.0
1964-06-08,29811.189597211116,-6277.67471275247,1137.0
1964-06-09,29815.964500153936,-6284.1150471295705,1139.0
