date X Y Z
1956-01-01   
1956-01-02 18848.61966127888 -2142.5304815687387 53304.0
1956-01-03 18857.686748996857 -2142.4498772919583 53298.0
1956-01-04 18857.624419677864 -2142.998424257253 53300.0
1956-01-05 18858.6803570241 -2142.562762579765 53301.0
1956-01-06 18861.286886975216 -2146.193366688278 53299.0
1956-01-07 18855.637210191624 -2142.7725958759625 53301.0
1956-01-08 18860.916770172138 -2140.5939803333754 53299.0
1956-01-09 18859.673965051337 -2142.6756478675725 53294.0
1956-01-10 18845.139835989703 -2146.5771735472426 53294.0
1956-01-11 18831.973637177158 -2147.297121654207 53287.0
1956-01-12 18841.29035997245 -2145.0283380900355 53299.0
1956-01-13 18850.111368105692 -2138.256862496308 53302.0
1956-01-14 18857.74906235924 -2141.901328513809 53299.0
1956-01-15 18864.76666191567 -2142.1425702961797 53295.0
1956-01-16 18870.85298172528 -2141.7216770883715 53293.0
1956-01-17 18868.554071852188 -2144.2404803543513 53293.0
1956-01-18 18850.04916075976 -2138.8051891044793 53294.0
1956-01-19 18840.47786034449 -2152.153106511967 53295.0
1956-01-20 18850.35741556623 -2144.9497209508513 53302.0
1956-01-21 18860.355717631537 -2145.5316833837337 53297.0
1956-01-22 18845.888277137994 -2131.1149771030027 53299.0
1956-01-23 18853.52532048083 -2143.6436247632837 53300.0
1956-01-24 18835.88540157706 -2148.2981959346926 53296.0
1956-01-25 18839.119291972223 -2137.565040610454 53301.0
1956-01-26 18862.717118911838 -2142.4656104381766 53298.0
1956-01-27 18868.366879724614 -2145.887064155821 53292.0
1956-01-28 18838.68364669729 -2141.4010506348595 53300.0
1956-01-29 18852.53172230847 -2143.5306527672487 53299.0
1956-01-30 18852.282183574323 -2145.724229924755 53297.0
1956-01-31 18851.538124136114 -2143.417680771214 53302.0
1956-02-01 18848.55732961904 -2143.078764783109 53302.0
1956-02-02 18855.20050420277 -2146.6119691997364 53301.0
1956-02-03 18855.699532942377 -2142.2241067163436 53301.0
1956-02-04 18861.224448761008 -2146.7420183757577 53299.0
1956-02-05 18863.461302204403 -2144.7733447236333 53298.0
1956-02-06 18862.65478913306 -2143.014303730994 53298.0
1956-02-07 18867.435694893833 -2145.225232707773 53295.0
1956-02-08 18874.51570031091 -2144.917965498223 53293.0
1956-02-09 18878.677266217095 -2143.7221550420004 53293.0
1956-02-10 18877.496514540268 -2145.256708070159 53292.0
1956-02-11 18869.173128926952 -2147.646719221093 53294.0
1956-02-12 18846.943844593836 -2139.5634411548876 53289.0
1956-02-13 18860.230863740264 -2146.6289307700904 53296.0
1956-02-14 18866.629221242023 -2143.4658448822224 53295.0
1956-02-15 18870.354069496043 -2146.113065952994 53293.0
1956-02-16 18858.555675860473 -2143.6599125026178 53295.0
1956-02-17 18868.741120287505 -2142.5938802235573 53295.0
1956-02-18 18867.435694893833 -2145.225232707773 53291.0
1956-02-19 18874.39088210033 -2146.016036680018 53291.0
1956-02-20 18865.448498549118 -2144.999288715703 53294.0
1956-02-21 18868.491690442064 -2144.789343436497 53295.0
1956-02-22 18875.634065948598 -2143.932743441532 53289.0
1956-02-23 18870.29163361385 -2146.661981394156 53287.0
1956-02-24 18870.478893358384 -2145.0152296232727 53280.0
1956-02-25 18799.18609206653 -2143.558554332555 53246.0
1956-02-26 18829.3673792036 -2143.670939996006 53302.0
1956-02-27 18837.810012907452 -2149.072804165501 53303.0
1956-02-28 18843.589338757254 -2142.513904802934 53304.0
1956-02-29 18837.50311087221 -2142.931997959762 53298.0
1956-03-01 18844.45825205983 -2143.723206567058 53300.0
1956-03-02 18845.451843658062 -2143.8362363681 53295.0
1956-03-03 18806.739532548476 -2165.4812755778726 53296.0
1956-03-04 18819.74298262068 -2139.802576898095 53311.0
1956-03-05 18841.971744232036 -2147.881931010548 53303.0
1956-03-06 18844.208690975684 -2145.915844332343 53300.0
1956-03-07 18855.38775964038 -2144.9665343785223 53299.0
1956-03-08 18862.342900828 -2145.757742985818 53298.0
1956-03-09 18876.378078445046 -2146.2419806720877 53297.0
1956-03-10 18865.011338953787 -2148.8406597849685 53300.0
1956-03-11 18834.210509359455 -2145.3322561164937 53310.0
1956-03-12 18856.31894542568 -2145.628073171266 53301.0
1956-03-13 18857.74906235924 -2141.901328513809 53295.0
1956-03-14 18858.361560259385 -2154.1959666035777 53294.0
1956-03-15 18861.286886975216 -2146.193366688278 53293.0
1956-03-16 18868.117066702358 -2148.082483801602 53291.0
1956-03-17 18868.179543906208 -2147.533631615426 53292.0
1956-03-18 18871.22277007429 -2147.323953722302 53291.0
1956-03-19 18879.35887296212 -2146.5808966601926 53290.0
1956-03-20 18871.22277007429 -2147.323953722302 53290.0
1956-03-21 18857.312533735585 -2145.741131874668 53291.0
1956-03-22 18831.418781058783 -2134.4719938164126 53308.0
1956-03-23 18826.69816982718 -2140.59338087034 53315.0
1956-03-24 18846.313814946694 -2153.930497613472 53303.0
1956-03-25 18848.739122092153 -2150.3196291046265 53301.0
1956-03-26 18852.77589908876 -2150.224615880409 53297.0
1956-03-27 18854.269353615808 -2145.9504051360886 53300.0
1956-03-28 18846.626892100267 -2151.189389608236 53312.0
1956-03-29 18831.79069635674 -2140.062655300475 53309.0
1956-03-30 18853.143152160086 -2155.8221828711244 53305.0
1956-03-31 18846.258268626134 -2145.5939206292146 53305.0
1956-04-01 18851.41339324745 -2144.5144151743534 53299.0
