date X Y Z
1940-01-01 20230.0 -1705.0 41364.0
1940-01-02 20224.0 -1706.0 41367.0
1940-01-03 20184.0 -1708.0 41385.0
1940-01-04 20190.0 -1701.0 41379.0
1940-01-05 20216.0 -1706.0 41368.0
1940-01-06 20214.0 -1702.0 41377.0
1940-01-07 20223.0 -1704.0 41373.0
1940-01-08 20223.0 -1708.0 41374.0
1940-01-09 20221.0 -1702.0 41374.0
1940-01-10 20204.0 -1703.0 41385.0
1940-01-11 20211.0 -1700.0 41380.0
1940-01-12 20211.0 -1698.0 41382.0
1940-01-13 20218.0 -1701.0 41379.0
1940-01-14 20222.0 -1703.0 41379.0
1940-01-15   41371.0
1940-01-16 20232.0 -1704.0 41374.0
1940-01-17 20218.0 -1704.0 41382.0
1940-01-18 20193.0 -1691.0 41395.0
1940-01-19 20200.0 -1699.0 41392.0
1940-01-20 20213.0 -1700.0 41388.0
1940-01-21 20219.0 -1703.0 41387.0
1940-01-22 20224.0 -1708.0 41384.0
1940-01-23 20229.0 -1709.0 41382.0
1940-01-24 20217.0 -1705.0 41386.0
1940-01-25   41386.0
1940-01-26 20224.0 -1706.0 41384.0
1940-01-27 20230.0 -1710.0 41381.0
1940-01-28 20235.0 -1710.0 41378.0
1940-01-29 20219.0 -1711.0 41386.0
1940-01-30 20227.0 -1702.0 41384.0
1940-01-31 20224.0 -1703.0 41387.0
1940-02-01 20208.0 -1693.0 41389.0
1940-02-02 20210.0 -1700.0 41389.0
1940-02-03 20215.0 -1699.0 41387.0
1940-02-04 20222.0 -1702.0 41386.0
1940-02-05 20227.0 -1704.0 41385.0
1940-02-06 20226.0 -1704.0 41385.0
1940-02-07 20222.0 -1705.0 41385.0
1940-02-08 20223.0 -1702.0 41385.0
1940-02-09 20222.0 -1700.0 41385.0
1940-02-10 20225.0 -1699.0 41384.0
1940-02-11 20226.0 -1697.0 41383.0
1940-02-12 20220.0 -1701.0 41388.0
1940-02-13 20234.0 -1707.0 41385.0
1940-02-14 20233.0 -1703.0 41384.0
1940-02-15 20233.0 -1708.0 41388.0
1940-02-16 20236.0 -1705.0 41389.0
1940-02-17 20234.0 -1705.0 41389.0
1940-02-18 20240.0 -1708.0 41382.0
1940-02-19 20244.0 -1708.0 41376.0
1940-02-20 20224.0 -1701.0 41378.0
1940-02-21 20214.0 -1698.0 41382.0
1940-02-22 20222.0 -1702.0 41381.0
1940-02-23 20221.0 -1692.0 41379.0
1940-02-24 20219.0 -1697.0 41380.0
1940-02-25 20205.0 -1693.0 41390.0
1940-02-26 20223.0 -1700.0 41382.0
1940-02-27 20228.0 -1705.0 41381.0
1940-02-28 20233.0 -1704.0 41379.0
