date,X,Y,Z
1926-01-01,NA,NA,NA
1926-01-02,NA,NA,NA
1926-01-03,NA,NA,NA
1926-01-04,NA,NA,NA
1926-01-05,NA,NA,NA
1926-01-06,NA,NA,NA
1926-01-07,NA,NA,NA
1926-01-08,NA,NA,NA
1926-01-09,NA,NA,NA
1926-01-10,NA,NA,NA
1926-01-11,NA,NA,NA
1926-01-12,NA,NA,NA
1926-01-13,NA,NA,NA
1926-01-14,NA,NA,NA
1926-01-15,NA,NA,NA
1926-01-16,NA,NA,NA
1926-01-17,NA,NA,NA
1926-01-18,NA,NA,NA
1926-01-19,NA,NA,NA
1926-01-20,NA,NA,NA
1926-01-21,NA,NA,NA
1926-01-22,NA,NA,NA
1926-01-23,NA,NA,NA
1926-01-24,NA,NA,NA
1926-01-25,NA,NA,NA
1926-01-26,NA,NA,NA
1926-01-27,NA,NA,NA
1926-01-28,NA,NA,NA
1926-01-29,NA,NA,NA
1926-01-30,NA,NA,NA
1926-01-31,NA,NA,NA
1926-02-01,4264.0,-7043.0,NA
1926-02-02,4245.0,-7061.0,NA
1926-02-03,4238.0,-7028.0,NA
1926-02-04,4247.0,-7039.0,NA
1926-02-05,4265.0,-7041.0,NA
1926-02-06,4267.0,-7045.0,NA
1926-02-07,4264.0,-7045.0,NA
1926-02-08,4263.0,-7050.0,NA
1926-02-09,4245.0,-7054.0,NA
1926-02-10,4229.0,-7037.0,NA
1926-02-11,4208.0,-7058.0,NA
1926-02-12,4236.0,-7050.0,NA
1926-02-13,4227.0,-7035.0,NA
1926-02-14,4213.0,-7028.0,NA
1926-02-15,4222.0,-7037.0,NA
1926-02-16,4248.0,-7040.0,NA
1926-02-17,4213.0,-7024.0,NA
1926-02-18,4236.0,-7048.0,NA
1926-02-19,NA,NA,NA
1926-02-20,4252.0,-7025.0,NA
1926-02-21,4235.0,-7052.0,NA
1926-02-22,4243.0,-7029.0,NA
1926-02-23,4232.0,-6953.0,NA
1926-02-24,4134.0,-6963.0,NA
1926-02-25,4319.0,-7071.0,NA
1926-02-26,4279.0,-7061.0,NA
1926-02-27,4288.0,-7094.0,NA
1926-02-28,NA,NA,NA
1926-03-01,NA,NA,NA
1926-03-02,NA,NA,NA
1926-03-03,4220.0,-7042.0,NA
1926-03-04,4261.0,-7050.0,NA
1926-03-05,4212.0,-6998.0,NA
1926-03-06,4189.0,-7004.0,NA
1926-03-07,4225.0,-7050.0,NA
1926-03-08,4254.0,-7040.0,NA
1926-03-09,4196.0,-7021.0,NA
1926-03-10,4224.0,-7014.0,NA
1926-03-11,NA,NA,NA
1926-03-12,NA,NA,NA
1926-03-13,4241.0,-7026.0,NA
1926-03-14,4254.0,-7054.0,NA
1926-03-15,4257.0,-7048.0,NA
1926-03-16,4244.0,-7039.0,NA
1926-03-17,4250.0,-7043.0,NA
1926-03-18,4241.0,-7021.0,NA
1926-03-19,4216.0,-7037.0,NA
1926-03-20,4239.0,-7043.0,NA
1926-03-21,4228.0,-7038.0,NA
1926-03-22,4269.0,-7042.0,NA
1926-03-23,4285.0,-7063.0,NA
1926-03-24,4287.0,-7045.0,NA
1926-03-25,4274.0,-7044.0,NA
1926-03-26,4291.0,-7055.0,NA
1926-03-27,4286.0,-7050.0,NA
1926-03-28,4258.0,-7038.0,NA
1926-03-29,4284.0,-7043.0,NA
1926-03-30,NA,NA,NA
1926-03-31,NA,NA,NA
1926-04-01,NA,NA,NA
1926-04-02,NA,NA,NA
1926-04-03,4286.0,-7058.0,NA
1926-04-04,4281.0,-7050.0,NA
1926-04-05,4261.0,-7052.0,NA
1926-04-06,4258.0,-7036.0,NA
1926-04-07,4242.0,-7011.0,NA
1926-04-08,4240.0,-7015.0,NA
1926-04-09,4252.0,-7030.0,NA
1926-04-10,4247.0,-7018.0,NA
1926-04-11,4223.0,-7011.0,NA
1926-04-12,4258.0,-7028.0,NA
1926-04-13,4257.0,-7035.0,NA
1926-04-14,NA,NA,NA
1926-04-15,4314.0,-7034.0,NA
1926-04-16,4233.0,-7036.0,NA
1926-04-17,NA,NA,NA
1926-04-18,NA,NA,NA
1926-04-19,4274.0,-7048.0,NA
1926-04-20,4285.0,-7049.0,NA
1926-04-21,4302.0,-7062.0,NA
1926-04-22,4321.0,-7042.0,NA
1926-04-23,4269.0,-7032.0,NA
1926-04-24,4281.0,-7047.0,NA
1926-04-25,4287.0,-7038.0,NA
1926-04-26,4254.0,-7026.0,NA
1926-04-27,4286.0,-7054.0,NA
1926-04-28,4280.0,-7044.0,NA
1926-04-29,4278.0,-7050.0,NA
1926-04-30,4279.0,-7047.0,NA
1926-05-01,4282.0,-7051.0,NA
1926-05-02,4276.0,-7049.0,NA
1926-05-03,4277.0,-7058.0,NA
1926-05-04,4189.0,-6998.0,NA
1926-05-05,4245.0,-7005.0,NA
1926-05-06,4234.0,-7006.0,NA
1926-05-07,4235.0,-7016.0,NA
1926-05-08,4247.0,-7028.0,NA
1926-05-09,4241.0,-7043.0,NA
1926-05-10,4224.0,-6980.0,NA
1926-05-11,4238.0,-7002.0,NA
1926-05-12,4245.0,-7016.0,NA
1926-05-13,4245.0,-7041.0,NA
1926-05-14,4243.0,-7027.0,NA
1926-05-15,4253.0,-7039.0,NA
1926-05-16,4254.0,-7042.0,NA
1926-05-17,4268.0,-7039.0,NA
1926-05-18,4312.0,-7062.0,NA
1926-05-19,4305.0,-7057.0,NA
1926-05-20,4338.0,-7069.0,NA
1926-05-21,4295.0,-7047.0,NA
1926-05-22,4283.0,-7054.0,NA
1926-05-23,4310.0,-7055.0,NA
1926-05-24,4305.0,-7068.0,NA
1926-05-25,4292.0,-7049.0,NA
1926-05-26,4284.0,-7056.0,NA
1926-05-27,4368.0,-7068.0,NA
1926-05-28,4342.0,-7069.0,NA
1926-05-29,4324.0,-7071.0,NA
1926-05-30,4293.0,-7046.0,NA
1926-05-31,4319.0,-7058.0,NA
1926-06-01,4188.0,-6994.0,55791.0
1926-06-02,4238.0,-7002.0,55845.0
1926-06-03,4261.0,-7033.0,55802.0
1926-06-04,4252.0,-7044.0,55813.0
1926-06-05,4262.0,-7027.0,55819.0
1926-06-06,4254.0,-7031.0,55763.0
1926-06-07,4244.0,-6977.0,55801.0
1926-06-08,4228.0,-7003.0,55773.0
1926-06-09,4206.0,-7001.0,55787.0
1926-06-10,4230.0,-6989.0,55805.0
1926-06-11,4259.0,-7035.0,55776.0
1926-06-12,4264.0,-7032.0,55761.0
1926-06-13,4219.0,-7006.0,55722.0
1926-06-14,4241.0,-7034.0,55760.0
1926-06-15,NA,NA,55787.0
1926-06-16,NA,NA,55769.0
1926-06-17,4289.0,-7052.0,55783.0
1926-06-18,4313.0,-7070.0,55778.0
1926-06-19,4352.0,-7063.0,55777.0
1926-06-20,4281.0,-7060.0,55739.0
1926-06-21,4301.0,-7069.0,55759.0
1926-06-22,4330.0,-7068.0,55776.0
1926-06-23,4293.0,-7078.0,55752.0
1926-06-24,NA,NA,NA
1926-06-25,NA,NA,NA
1926-06-26,NA,NA,NA
1926-06-27,NA,NA,NA
1926-06-28,4278.0,-7066.0,55702.0
1926-06-29,4254.0,-7022.0,55720.0
1926-06-30,4289.0,-7065.0,55705.0
1926-07-01,4307.0,-7071.0,55726.0
1926-07-02,4318.0,-7066.0,55751.0
1926-07-03,NA,NA,55675.0
1926-07-04,4235.0,-7014.0,55715.0
1926-07-05,NA,NA,NA
1926-07-06,NA,NA,NA
1926-07-07,4250.0,-7036.0,55690.0
1926-07-08,NA,NA,NA
1926-07-09,NA,NA,NA
1926-07-10,4268.0,-7056.0,55732.0
1926-07-11,4280.0,-7063.0,55742.0
1926-07-12,4364.0,-7087.0,55770.0
1926-07-13,4338.0,-7087.0,55777.0
1926-07-14,4328.0,-7070.0,55762.0
1926-07-15,4368.0,-7098.0,55763.0
1926-07-16,4342.0,-7091.0,55781.0
1926-07-17,4334.0,-7073.0,55765.0
1926-07-18,4345.0,-7077.0,55777.0
1926-07-19,4355.0,-7078.0,55773.0
1926-07-20,4303.0,-7069.0,55776.0
1926-07-21,4340.0,-7083.0,55782.0
1926-07-22,4322.0,-7076.0,55764.0
1926-07-23,4307.0,-7071.0,55770.0
1926-07-24,4284.0,-7054.0,55761.0
1926-07-25,4255.0,-7058.0,55711.0
1926-07-26,4318.0,-7078.0,55748.0
1926-07-27,4327.0,-7084.0,55762.0
1926-07-28,NA,NA,NA
1926-07-29,4324.0,-7076.0,55745.0
1926-07-30,4297.0,-7072.0,55785.0
1926-07-31,4240.0,-7025.0,55723.0
1926-08-01,4253.0,-7047.0,55763.0
1926-08-02,4275.0,-7061.0,55758.0
1926-08-03,4276.0,-7063.0,55738.0
1926-08-04,4275.0,-7067.0,55747.0
1926-08-05,4285.0,-7055.0,55763.0
1926-08-06,4269.0,-7060.0,55731.0
1926-08-07,4314.0,-7057.0,55761.0
1926-08-08,4279.0,-7056.0,55753.0
1926-08-09,4313.0,-7049.0,55743.0
1926-08-10,4344.0,-7079.0,55766.0
1926-08-11,4307.0,-7067.0,55766.0
1926-08-12,4287.0,-7023.0,55779.0
1926-08-13,4344.0,-7051.0,55745.0
1926-08-14,4317.0,-7075.0,55760.0
1926-08-15,4325.0,-7062.0,55779.0
1926-08-16,4298.0,-7057.0,55754.0
1926-08-17,4323.0,-7060.0,55756.0
1926-08-18,4275.0,-7023.0,55780.0
1926-08-19,4291.0,-7046.0,55742.0
1926-08-20,4281.0,-7059.0,55747.0
1926-08-21,4273.0,-7032.0,55747.0
1926-08-22,4277.0,-7056.0,55734.0
1926-08-23,4290.0,-7063.0,55752.0
1926-08-24,4303.0,-7069.0,55755.0
1926-08-25,4333.0,-7054.0,55754.0
1926-08-26,4342.0,-7056.0,55753.0
1926-08-27,4291.0,-7057.0,55762.0
1926-08-28,4279.0,-7046.0,55748.0
1926-08-29,4274.0,-7054.0,55743.0
1926-08-30,4265.0,-7033.0,55750.0
1926-08-31,4269.0,-7053.0,55736.0
1926-09-01,4281.0,-7053.0,55736.0
1926-09-02,4277.0,-7057.0,55736.0
1926-09-03,NA,NA,55735.0
1926-09-04,NA,NA,NA
1926-09-05,4288.0,-7055.0,55756.0
1926-09-06,4288.0,-7067.0,55748.0
1926-09-07,4302.0,-7052.0,55769.0
1926-09-08,4298.0,-7044.0,55743.0
1926-09-09,NA,NA,NA
1926-09-10,4297.0,-7027.0,55784.0
1926-09-11,4288.0,-7039.0,55787.0
1926-09-12,4284.0,-7048.0,55789.0
1926-09-13,4299.0,-7049.0,55789.0
1926-09-14,4231.0,-7040.0,55774.0
1926-09-15,NA,NA,55821.0
1926-09-16,4258.0,-7012.0,55818.0
1926-09-17,4293.0,-7048.0,55797.0
1926-09-18,4287.0,-7033.0,55758.0
1926-09-19,4290.0,-7060.0,55782.0
1926-09-20,4272.0,-7046.0,55791.0
1926-09-21,4301.0,-7016.0,55865.0
1926-09-22,4293.0,-7036.0,55826.0
1926-09-23,4282.0,-7064.0,55801.0
1926-09-24,4297.0,-7061.0,55782.0
1926-09-25,4294.0,-7038.0,55790.0
1926-09-26,4286.0,-7053.0,55786.0
1926-09-27,4281.0,-7051.0,55782.0
1926-09-28,4292.0,-7052.0,55784.0
1926-09-29,4287.0,-7051.0,55781.0
1926-09-30,4293.0,-7058.0,55769.0
1926-10-01,4288.0,-7051.0,55772.0
1926-10-02,NA,NA,55762.0
1926-10-03,NA,NA,55758.0
1926-10-04,4307.0,-7031.0,55810.0
1926-10-05,4285.0,-7049.0,55778.0
1926-10-06,4277.0,-7045.0,NA
1926-10-07,4281.0,-7027.0,55801.0
1926-10-08,NA,NA,55769.0
1926-10-09,NA,NA,NA
1926-10-10,4298.0,-7050.0,55762.0
1926-10-11,4288.0,-7039.0,55785.0
1926-10-12,NA,NA,55783.0
1926-10-13,NA,NA,55790.0
1926-10-14,4184.0,-7039.0,55751.0
1926-10-15,4113.0,-7006.0,55869.0
1926-10-16,4288.0,-7045.0,55860.0
1926-10-17,4277.0,-7027.0,55825.0
1926-10-18,4287.0,-7046.0,55803.0
1926-10-19,4266.0,-7035.0,55823.0
1926-10-20,4284.0,-7045.0,55789.0
1926-10-21,4285.0,-7054.0,55782.0
1926-10-22,NA,NA,55793.0
1926-10-23,NA,NA,NA
1926-10-24,NA,NA,55764.0
1926-10-25,4264.0,-7034.0,55837.0
1926-10-26,4312.0,-7075.0,55817.0
1926-10-27,NA,NA,55788.0
1926-10-28,NA,NA,NA
1926-10-29,NA,NA,NA
1926-10-30,NA,NA,NA
1926-10-31,4273.0,-7044.0,55773.0
1926-11-01,4280.0,-7062.0,55789.0
1926-11-02,4289.0,-7054.0,55805.0
1926-11-03,4280.0,-7023.0,55798.0
1926-11-04,4277.0,-7053.0,55787.0
1926-11-05,4289.0,-7054.0,55774.0
1926-11-06,4286.0,-7043.0,55783.0
1926-11-07,4290.0,-7056.0,55781.0
1926-11-08,NA,NA,55774.0
1926-11-09,4294.0,-7058.0,55778.0
1926-11-10,4290.0,-7051.0,55784.0
1926-11-11,4292.0,-7054.0,55770.0
1926-11-12,4289.0,-7055.0,55783.0
1926-11-13,4292.0,-7055.0,55780.0
1926-11-14,4291.0,-7054.0,55779.0
1926-11-15,4283.0,-7048.0,55768.0
1926-11-16,4293.0,-7053.0,55781.0
1926-11-17,4289.0,-7056.0,55773.0
1926-11-18,4291.0,-7048.0,55775.0
1926-11-19,4286.0,-7055.0,55771.0
1926-11-20,4291.0,-7056.0,55772.0
1926-11-21,4272.0,-7057.0,55773.0
1926-11-22,4284.0,-7049.0,55789.0
1926-11-23,4293.0,-7042.0,55800.0
1926-11-24,4294.0,-7056.0,55784.0
1926-11-25,NA,NA,NA
1926-11-26,4292.0,-7050.0,55779.0
1926-11-27,4295.0,-7055.0,55771.0
1926-11-28,4243.0,-7045.0,55777.0
1926-11-29,4278.0,-7007.0,55839.0
1926-11-30,4283.0,-7047.0,55786.0
1926-12-01,4296.0,-7052.0,55781.0
1926-12-02,4306.0,-7057.0,55803.0
1926-12-03,4295.0,-7044.0,55785.0
1926-12-04,4279.0,-7029.0,55787.0
1926-12-05,4279.0,-7035.0,55786.0
1926-12-06,NA,NA,NA
1926-12-07,4285.0,-7050.0,55798.0
1926-12-08,4295.0,-7050.0,55795.0
1926-12-09,4289.0,-7047.0,55789.0
1926-12-10,4286.0,-7043.0,55787.0
1926-12-11,4275.0,-7035.0,55792.0
1926-12-12,4292.0,-7062.0,55790.0
1926-12-13,4301.0,-7053.0,55801.0
1926-12-14,4296.0,-7052.0,55793.0
