date X Y Z
1982-01-01 13900.0 1970.0 58858.0
1982-01-02 13899.0 1964.0 58864.0
1982-01-03 13901.0 1972.0 58859.0
1982-01-04 13907.0 1967.0 58861.0
1982-01-05 13919.0 1972.0 58857.0
1982-01-06 13931.0 1984.0 58859.0
1982-01-07 13940.0 1977.0 58867.0
1982-01-08 13938.0 1973.0 58866.0
1982-01-09 13944.0 1970.0 58862.0
1982-01-10 13952.0 1968.0 58858.0
1982-01-11 13948.0 1971.0 58859.0
1982-01-12   
1982-01-13 13949.0 2011.0 58856.0
1982-01-14 13952.0 1978.0 58850.0
1982-01-15 13941.0 1971.0 58848.0
1982-01-16 13936.0 1960.0 58845.0
1982-01-17 13932.0 1972.0 58847.0
1982-01-18 13935.0 1963.0 58862.0
1982-01-19 13932.0 1965.0 58863.0
1982-01-20 13940.0 1967.0 58858.0
1982-01-21 13946.0 1972.0 58856.0
1982-01-22 13908.0 1957.0 58847.0
1982-01-23 13933.0 1957.0 58850.0
1982-01-24 13939.0 1951.0 58852.0
1982-01-25 13944.0 1959.0 58858.0
1982-01-26 13950.0 1960.0 58858.0
1982-01-27 13948.0 1962.0 58850.0
1982-01-28 13925.0 1973.0 58837.0
1982-01-29 13950.0 1963.0 58855.0
1982-01-30 13929.0 1959.0 58843.0
1982-01-31 13902.0 1944.0 58834.0
1982-02-01 13883.0 1934.0 58853.0
1982-02-02 13873.0 1940.0 58885.0
1982-02-03 13903.0 1954.0 58869.0
1982-02-04 13880.0 1950.0 58841.0
1982-02-05 13903.0 1964.0 58886.0
1982-02-06 13867.0 1945.0 58879.0
1982-02-07 13907.0 1964.0 58879.0
1982-02-08 13904.0 1961.0 58875.0
1982-02-09 13914.0 1970.0 58881.0
1982-02-10 13882.0 1944.0 58844.0
1982-02-11 13907.0 1964.0 58892.0
1982-02-12 13892.0 1969.0 58893.0
1982-02-13 13856.0 1936.0 58889.0
1982-02-14 13843.0 1949.0 58873.0
1982-02-15 13876.0 1958.0 58853.0
1982-02-16 13906.0 1967.0 58878.0
1982-02-17 13898.0 1968.0 58840.0
1982-02-18 13901.0 1964.0 58873.0
1982-02-19 13901.0 1955.0 58863.0
1982-02-20 13912.0 1966.0 58861.0
1982-02-21 13925.0 1971.0 58843.0
1982-02-22 13913.0 1953.0 58877.0
1982-02-23 13931.0 1968.0 58886.0
1982-02-24 13912.0 1967.0 58884.0
1982-02-25 13883.0 1965.0 58868.0
1982-02-26 13893.0 1971.0 58858.0
1982-02-27 13906.0 1965.0 58873.0
1982-02-28 13912.0 1967.0 58874.0
1982-03-01 13931.0 1979.0 58846.0
1982-03-02 13708.0 1870.0 58876.0
1982-03-03 13878.0 1957.0 58877.0
1982-03-04 13896.0 1962.0 58872.0
1982-03-05 13892.0 1964.0 58879.0
1982-03-06 13901.0 1962.0 58875.0
1982-03-07 13905.0 1964.0 58872.0
1982-03-08 13909.0 1964.0 58880.0
1982-03-09 13895.0 1959.0 58891.0
1982-03-10 13893.0 1965.0 58899.0
1982-03-11 13880.0 1953.0 58886.0
1982-03-12 13895.0 1962.0 58876.0
1982-03-13 13899.0 1972.0 58877.0
1982-03-14 13904.0 1963.0 58870.0
1982-03-15 13906.0 1966.0 58875.0
1982-03-16 13906.0 1971.0 58871.0
1982-03-17 13912.0 1981.0 58859.0
1982-03-18 13903.0 1975.0 58858.0
1982-03-19 13910.0 1963.0 58860.0
1982-03-20 13912.0 1963.0 58852.0
1982-03-21 13894.0 1949.0 58841.0
1982-03-22 13868.0 1944.0 58851.0
1982-03-23 13910.0 1962.0 58859.0
1982-03-24 13921.0 1967.0 58860.0
1982-03-25 13909.0 1958.0 58857.0
1982-03-26 13920.0 1962.0 58861.0
1982-03-27 13925.0 1960.0 58857.0
1982-03-28 13922.0 1965.0 58859.0
1982-03-29 13907.0 1961.0 58846.0
1982-03-30 13914.0 1961.0 58866.0
1982-03-31 13911.0 1967.0 58873.0
1982-04-01 13931.0 1970.0 58871.0
1982-04-02 13914.0 1955.0 58873.0
1982-04-03 13864.0 1938.0 58853.0
1982-04-04 13917.0 1964.0 58878.0
1982-04-05 13913.0 1952.0 58867.0
1982-04-06   
1982-04-07 13924.0 1958.0 58862.0
1982-04-08 13923.0 1960.0 58859.0
1982-04-09 13928.0 1961.0 58864.0
1982-04-10 13887.0 1941.0 58860.0
1982-04-11 13899.0 1966.0 58867.0
1982-04-12 13902.0 1958.0 58857.0
1982-04-13 13913.0 1974.0 58869.0
1982-04-14 13926.0 1964.0 58857.0
1982-04-15 13922.0 1969.0 58851.0
1982-04-16 13920.0 1971.0 58856.0
1982-04-17 13853.0 1952.0 58803.0
1982-04-18 13918.0 1967.0 58865.0
1982-04-19 13923.0 1963.0 58860.0
1982-04-20 13910.0 1972.0 58840.0
1982-04-21 13910.0 1963.0 58841.0
1982-04-22 13916.0 1974.0 58855.0
1982-04-23 13910.0 1967.0 58846.0
1982-04-24 13918.0 1971.0 58854.0
