date X Y Z
2011-01-01 31088.007804378856 -1246.8118361963143 39952.0
2011-01-02 31094.075482687684 -1245.2433002913754 39949.0
2011-01-03 31094.075482687684 -1245.2433002913754 39951.0
2011-01-04 31093.14867400093 -1243.39436080199 39952.0
2011-01-05 31093.14867400093 -1243.39436080199 39951.0
2011-01-06 31093.257062234345 -1240.6809669750721 39952.0
2011-01-07 31072.129287319174 -1243.4591075390933 39954.0
2011-01-08 31082.19360171471 -1242.050685570166 39954.0
2011-01-09 31085.22732947581 -1241.2662384880484 39954.0
2011-01-10 31083.373130250282 -1237.5697336452938 39954.0
2011-01-11 31082.26580869348 -1240.2423947455995 39954.0
2011-01-12 31089.44034046985 -1235.999723448929 39953.0
2011-01-13 31083.445076535838 -1235.761374206122 39955.0
2011-01-14 31082.409907044126 -1236.625800509272 39950.0
2011-01-15 31082.55358458395 -1233.0091895308217 39955.0
2011-01-16 31092.54572576908 -1233.4055662915287 39955.0
2011-01-17 31084.51613058027 -1233.9926773263594 39955.0
2011-01-18 31093.473128334263 -1235.2541509969221 39955.0
2011-01-19 31084.408326043518 -1236.7053083885603 39954.0
2011-01-20 31090.475492901878 -1235.1350635731485 39954.0
2011-01-21 31088.405164042302 -1236.8643241471366 39955.0
2011-01-22 31095.507473196114 -1234.429011488518 39955.0
2011-01-23 31093.329189507393 -1238.8720325067814 39955.0
2011-01-24 31099.468399199035 -1235.4923258444696 39954.0
2011-01-25 31088.36917196467 -1237.768648672561 39956.0
2011-01-26 31095.507473196114 -1234.429011488518 39955.0
2011-01-27 31090.439551125517 -1236.03944832273 39956.0
2011-01-28 31092.366005336182 -1237.9277806943749 39956.0
2011-01-29 31096.47076376665 -1235.373238420696 39957.0
2011-01-30 31097.4340257152 -1236.317522439338 39956.0
2011-01-31 31108.461305496196 -1235.8495881157908 39954.0
2011-02-01 31086.40674504291 -1236.7848162678486 39957.0
2011-02-02 31085.371546936036 -1237.6492996562008 39958.0
2011-02-03 31088.36917196467 -1237.768648672561 39958.0
2011-02-04 31090.295520945692 -1239.6569768545376 39959.0
2011-02-05 31063.208753338695 -1241.2920472242686 39961.0
2011-02-06 31064.171833858698 -1242.235596213544 39962.0
2011-02-07 31079.340288914387 -1238.314663509574 39961.0
2011-02-08 31088.33315358132 -1238.672972150636 39959.0
2011-02-09 31086.370755278916 -1237.689082661654 39958.0
2011-02-10 31089.29631491899 -1239.6171357175665 39962.0
2011-02-11 31089.332360766533 -1238.7127842218651 39961.0
2011-02-12 31088.36917196467 -1237.768648672561 39960.0
2011-02-13 31094.40042104048 -1237.1028477850014 39959.0
2011-02-14 31093.329189507393 -1238.8720325067814 39960.0
2011-02-15 31067.385796764233 -1236.933205558039 39963.0
2011-02-16 31081.446655224503 -1235.6819244585197 39962.0
2011-02-17 31092.402002041086 -1237.023339905713 39963.0
2011-02-18 31094.18403226798 -1242.5298255781013 39962.0
2011-02-19 31076.306636571815 -1239.0992009369427 39962.0
2011-02-20 31076.306636571815 -1239.0992009369427 39965.0
2011-02-21 31080.339496099605 -1238.3544755808032 39964.0
2011-02-22 31084.44428719151 -1235.8010990799232 39962.0
2011-02-23 31088.405164042302 -1236.8643241471366 39963.0
2011-02-24 31094.40042104048 -1237.1028477850014 39964.0
2011-02-25 31095.32760387782 -1238.9516566492396 39961.0
2011-02-26 31089.47628109108 -1235.095367765224 39962.0
2011-02-27 31093.401211540782 -1237.0630938453571 39962.0
2011-02-28 31104.35650545072 -1238.405176759816 39963.0
2011-03-01 31064.244051625632 -1240.4283538526176 39965.0
2011-03-02 31064.135685547346 -1243.1392158176955 39965.0
2011-03-03 31070.167042163986 -1242.4753406111536 39964.0
2011-03-04 31073.200778799754 -1241.6913305642147 39967.0
2011-03-05 31082.30187273205 -1239.338247758769 39966.0
2011-03-06 31091.222551718714 -1241.5056340981714 39964.0
2011-03-07 31084.228125768655 -1241.2263392196944 39964.0
2011-03-08 31077.16145185349 -1242.7550424083647 39966.0
2011-03-09 31091.330775136965 -1238.7924083643231 39963.0
2011-03-10 31062.028689445746 -1245.7699209923449 39970.0
2011-03-11 31033.833476350137 -1250.0643032138414 39972.0
2011-03-12 31064.099510950786 -1244.042834369953 39969.0
2011-03-13 31082.19360171471 -1242.050685570166 39969.0
2011-03-14 31082.337910470033 -1238.4340997232614 39966.0
2011-03-15 31091.330775136965 -1238.7924083643231 39968.0
2011-03-16 31095.291551079223 -1239.8561825393929 39964.0
2011-03-17 31098.36125539345 -1238.1664787270954 39964.0
2011-03-18 31098.36125539345 -1238.1664787270954 39965.0
2011-03-19 31099.360463736328 -1238.2062617325487 39963.0
2011-03-20 31085.335532025674 -1238.5535359369487 39964.0
2011-03-21 31087.22573689011 -1241.346037024756 39965.0
2011-03-22 31098.433236370867 -1236.3572473131392 39963.0
2011-03-23 31091.18642462966 -1242.4100405761176 39964.0
2011-03-24 31098.36125539345 -1238.1664787270954 39963.0
2011-03-25 31096.21857025447 -1241.7051304399406 39964.0
2011-03-26 31096.326811063038 -1238.9914687204687 39964.0
2011-03-27 31092.32998232218 -1238.8322204355522 39963.0
2011-03-28 31094.36442202194 -1238.0073467052816 39964.0
2011-03-29 31104.42850030488 -1236.595596555946 39963.0
2011-03-30 31096.290757105926 -1239.896023676364 39965.0
2011-03-31 31093.220959133017 -1241.585432634879 39966.0
2011-04-01 31087.22573689011 -1241.346037024756 39969.0
2011-04-02 31068.168639395557 -1242.3954258119504 39967.0
2011-04-03 31067.16943801134 -1242.3554684123487 39972.0
2011-04-04 31073.236884989994 -1240.7874472678022 39971.0
2011-04-05 31086.298696838872 -1239.4976123066533 39969.0
2011-04-06 31061.101913777093 -1243.9227877778108 39970.0
2011-04-07 31070.275350285265 -1239.7639523134478 39972.0
2011-04-08 31081.230514647203 -1241.106641414633 39970.0
2011-04-09 31069.276145417916 -1239.7240821107684 39976.0
2011-04-10 31081.194399168602 -1242.0107572361715 39974.0
2011-04-11 31103.429289649208 -1236.555871682145 39970.0
2011-04-12 31067.16943801134 -1242.3554684123487 39972.0
2011-04-13 31067.277735683212 -1239.6443417054097 39974.0
2011-04-14 31079.340288914387 -1238.314663509574 39969.0
2011-04-15 31086.370755278916 -1237.689082661654 39975.0
2011-04-16 31095.291551079223 -1239.8561825393929 39969.0
2011-04-17 31091.25865249964 -1240.6012265697134 39971.0
2011-04-18 31087.369963621793 -1237.7288656671076 39969.0
2011-04-19 31089.29631491899 -1239.6171357175665 39973.0
2011-04-20 31083.26501356083 -1240.282264948279 39972.0
2011-04-21 31093.29313902581 -1239.7765002654507 39971.0
2011-04-22 31088.188816991344 -1242.2902555741337 39970.0
2011-04-23 31091.330775136965 -1238.7924083643231 39966.0
2011-04-24 31090.403583041694 -1236.9438320264248 39971.0
2011-04-25 31089.404373542 -1236.9040780867808 39976.0
2011-04-26 31088.477069280285 -1235.0556719572994 39972.0
2011-04-27 31093.473128334263 -1235.2541509969221 39975.0
2011-04-28 31098.325225433466 -1239.071092862927 39969.0
2011-04-29 31095.255471969045 -1240.7607073804306 39976.0
2011-04-30 31071.274555152617 -1239.803822516127 39976.0
2011-05-01 31065.17103524291 -1242.2755536131456 39978.0
2011-05-02 31063.24484791848 -1240.3884545842639 39981.0
2011-05-03 31068.349009877027 -1237.8767307260541 39978.0
2011-05-04 31075.27137462202 -1239.9633033268444 39978.0
2011-05-05 31076.306636571815 -1239.0992009369427 39980.0
2011-05-06 31084.37233859316 -1237.6095166507473 39975.0
2011-05-07 31089.368380307547 -1237.8084316780146 39974.0
2011-05-08 31088.36917196467 -1237.768648672561 39976.0
2011-05-09 31090.367588650428 -1237.8482146834679 39977.0
2011-05-10 31093.365213679062 -1237.9675636998281 39976.0
2011-05-11 31082.3739219074 -1237.5299506398405 39977.0
2011-05-12 31092.293932999106 -1239.7366591284797 39976.0
2011-05-13 31103.357297107843 -1238.3653937543625 39977.0
2011-05-14 31100.395678038654 -1237.341371422866 39976.0
2011-05-15 31098.46918738824 -1235.452630036545 39976.0
2011-05-16 31083.409116543822 -1236.665554448916 39980.0
2011-05-17 31083.409116543822 -1236.665554448916 39979.0
2011-05-18 31085.515343545343 -1234.032344068374 39978.0
2011-05-19 31088.548869295028 -1233.2470155872459 39980.0
2011-05-20 31093.544939887594 -1233.4452039675994 39982.0
2011-05-21 31095.507473196114 -1234.429011488518 39978.0
2011-05-22 31095.65089503927 -1230.8108765539193 39978.0
2011-05-23 31090.51140837073 -1234.2306777784459 39980.0
2011-05-24 31095.471551955852 -1235.3335426127715 39978.0
2011-05-25 31093.473128334263 -1235.2541509969221 39977.0
2011-05-26 31091.474704712673 -1235.174759381073 39982.0
2011-05-27 31085.443497847176 -1235.8408239537243 39981.0
2011-05-28 31038.372794320592 -1236.6823685891816 39988.0
2011-05-29 31052.289662672945 -1239.04628866522 39989.0
2011-05-30 31065.387380078475 -1236.8536395471322 39985.0
2011-05-31 31073.3450458031 -1238.0757910821997 39985.0
2011-06-01 31072.417812047166 -1236.228261112831 39987.0
2011-06-02 31066.494409442785 -1234.1823641829587 39987.0
2011-06-03 31084.408326043518 -1236.7053083885603 39986.0
2011-06-04 31093.365213679062 -1237.9675636998281 39981.0
2011-06-05 31070.419393047774 -1236.1487532335427 39986.0
2011-06-06 31073.452969979153 -1235.3641254681106 39985.0
2011-06-07 31083.301078758755 -1239.3780888957401 39986.0
2011-06-08 31065.27932594851 -1239.5646013000512 39987.0
2011-06-09 31062.35376676574 -1237.6378582986797 39987.0
2011-06-10 31073.488892118352 -1234.4602348384308 39984.0
2011-06-11 31073.488892118352 -1234.4602348384308 39984.0
2011-06-12 31075.630750589255 -1230.9238209700236 39986.0
2011-06-13 31080.626832703496 -1231.1217186904366 39985.0
2011-06-14 31084.731029486567 -1228.5673870304408 39986.0
2011-06-15 31079.62761628065 -1231.0821391463542 39986.0
2011-06-16 31080.51927871996 -1233.8340103583018 39988.0
2011-06-17 31085.4794338479 -1234.9365845335255 39984.0
2011-06-18 31081.6618490068 -1230.2571698613824 39986.0
2011-06-19 31084.51613058027 -1233.9926773263594 39986.0
2011-06-20 31082.55358458395 -1233.0091895308217 39985.0
2011-06-21 31084.480222037102 -1234.896888725601 39988.0
2011-06-22 31075.523213894576 -1233.6356766482297 39987.0
2011-06-23 31070.563015161795 -1232.5335374179735 39987.0
2011-06-24 31074.416231046558 -1236.3077689921192 39989.0
2011-06-25 31082.481798415512 -1234.817497109752 39988.0
