date,X,Y,Z
1941-01-01,13082.54081375937,-5783.730790443168,-29286.0
1941-01-02,13084.925004537781,-5790.701047854391,-29277.0
1941-01-03,13103.23973139528,-5793.793018531483,-29270.0
1941-01-04,13097.824295730648,-5793.676097105183,-29273.0
1941-01-05,13110.29022895456,-5800.1022501830585,-29271.0
1941-01-06,13092.817968864232,-5795.104971800413,-29287.0
1941-01-07,13075.612130159738,-5787.034510145894,-29292.0
1941-01-08,13079.62878012293,-5782.898233081742,-29287.0
1941-01-09,13080.689483063084,-5787.916606835555,-29284.0
1941-01-10,13079.292322606632,-5783.659165251977,-29276.0
1941-01-11,13080.930370484903,-5789.843317614535,-29281.0
1941-01-12,13082.855190808032,-5787.964759425142,-29279.0
1941-01-13,13090.844949251194,-5789.678273847739,-29283.0
1941-01-14,13091.254167703051,-5791.225199955318,-29289.0
1941-01-15,13093.588594273393,-5790.89170369415,-29267.0
1941-01-16,13090.435560512366,-5788.131463268032,-29282.0
1941-01-17,13079.775005330768,-5787.511970607448,-29287.0
1941-01-18,13062.258744177929,-5792.488023306326,-29284.0
1941-01-19,13071.617756528627,-5786.176131713022,-29283.0
1941-01-20,13080.088133555395,-5791.745800570267,-29282.0
1941-01-21,13087.90876568612,-5793.842692123806,-29277.0
1941-01-22,13093.829206066643,-5792.819755728308,-29279.0
1941-01-23,13076.285393686649,-5785.513054419393,-29283.0
1941-01-24,13061.336872172265,-5774.810829077712,-29294.0
1941-01-25,13070.798456672723,-5783.085396658254,-29285.0
1941-01-26,13071.30307630765,-5781.944732294678,-29282.0
1941-01-27,13076.453681907175,-5785.132678248295,-29283.0
1941-01-28,13082.277373999925,-5786.7990901473,-29282.0
1941-01-29,13076.86325001341,-5786.678454903878,-29277.0
1941-01-30,13079.75116130771,-5792.506759449629,-29284.0
1941-01-31,13079.292322606632,-5783.659165251977,-29282.0
1941-02-01,13070.270898271247,-5789.217878591523,-29283.0
1941-02-02,13074.961175538408,-5783.562851578886,-29280.0
1941-02-03,13050.638724533603,-5784.155416454851,-29289.0
1941-02-04,13060.907160290808,-5778.254766818809,-29283.0
1941-02-05,13063.965945760481,-5783.6980183970945,-29286.0
1941-02-06,13057.733331516649,-5780.484429786065,-29283.0
1941-02-07,13070.630228007598,-5783.4656083263835,-29277.0
1941-02-08,13064.975192513397,-5781.417838126694,-29282.0
1941-02-09,13067.79180957314,-5784.937183898645,-29285.0
1941-02-10,13066.46770598311,-5782.987349847869,-29285.0
1941-02-11,13066.057839346011,-5781.442427185851,-29287.0
1941-02-12,13074.887638725968,-5781.256717590987,-29281.0
1941-02-13,13074.096639990956,-5790.45749903902,-29285.0
1941-02-14,13069.115672345843,-5786.887293082897,-29278.0
1941-02-15,13068.55950188458,-5780.731142831522,-29283.0
1941-02-16,13067.191169840484,-5788.763160714287,-29281.0
1941-02-17,13063.7976992778,-5784.078031315279,-29286.0
1941-02-18,13072.53217539932,-5786.580900942243,-29280.0
1941-02-19,13071.88117554942,-5783.109763121975,-29277.0
1941-02-20,13071.544705739914,-5783.87024455449,-29283.0
1941-02-21,13057.397014466787,-5781.244088134821,-29276.0
1941-02-22,13054.990110228515,-5779.2700423008155,-29274.0
1941-02-23,13053.087135013386,-5776.157221349508,-29278.0
1941-02-24,13060.234741408107,-5779.774433255742,-29270.0
1941-02-25,13059.898465659935,-5780.5342371318275,-29273.0
1941-02-26,13061.222759798608,-5782.483551115286,-29275.0
1941-02-27,13064.3024055631,-5782.9379778792545,-29273.0
1941-02-28,13071.52202740685,-5788.862400076329,-29271.0
1941-03-01,12933.276772496476,-5737.992063954352,-29377.0
1941-03-02,12943.888446877409,-5753.518651642102,-29292.0
1941-03-03,12994.444173147345,-5762.867830425839,-29293.0
1941-03-04,13011.326818042888,-5766.73204111982,-29291.0
1941-03-05,13012.484106687347,-5769.05654099604,-29287.0
1941-03-06,13020.058402464223,-5769.2426016263835,-29282.0
1941-03-07,13035.432893730132,-5776.50874430728,-29281.0
1941-03-08,13039.426045421504,-5777.370717375105,-29279.0
1941-03-09,13043.009201305755,-5776.689014881574,-29277.0
1941-03-10,13045.510028389192,-5775.9810507996835,-29275.0
1941-03-11,13044.185190407896,-5774.0330548363945,-29278.0
1941-03-12,13047.096436636042,-5774.867840316267,-29275.0
1941-03-13,13046.424411933622,-5776.385899825464,-29278.0
1941-03-14,13011.14123394076,-5772.0845273130335,-29282.0
1941-03-15,13029.462009691357,-5770.235674390577,-29275.0
1941-03-16,13036.589091796179,-5778.835942615162,-29268.0
1941-03-17,NA,NA,NA
1941-03-18,NA,NA,NA
1941-03-19,13046.92844701997,-5775.247362524057,-29275.0
1941-03-20,13041.870463542662,-5769.37915309555,-29276.0
1941-03-21,13038.194960033748,-5772.742258593446,-29276.0
1941-03-22,13035.619690821124,-5771.1485231517445,-29275.0
1941-03-23,13039.277272103622,-5772.767812860822,-29272.0
1941-03-24,13040.918417461538,-5778.939593827959,-29276.0
1941-03-25,13046.592434668617,-5776.006392278977,-29274.0
1941-03-26,13048.178857629855,-5774.893029251819,-29275.0
1941-03-27,13054.243797985499,-5778.485516357825,-29269.0
1941-03-28,13024.610663313639,-5776.246278431752,-29284.0
1941-03-29,13022.782391182349,-5775.435463401091,-29275.0
1941-03-30,13003.753281260482,-5766.543644169115,-29286.0
1941-03-31,13004.607071165212,-5759.680887392963,-29268.0
1941-04-01,13016.40133950447,-5767.6221416582275,-29267.0
1941-04-02,13031.869262893324,-5772.208634037424,-29265.0
1941-04-03,13030.208491258907,-5771.019639052037,-29265.0
1941-04-04,13040.359596691802,-5772.793309046154,-29263.0
1941-04-05,13041.441933795822,-5772.818747148732,-29263.0
1941-04-06,13044.689020178312,-5772.894712952889,-29267.0
1941-04-07,13051.668589858862,-5776.891553464681,-29266.0
1941-04-08,13042.841158715588,-5777.068418195739,-29266.0
1941-04-09,13045.6034743683,-5773.2994023824685,-29266.0
1941-04-10,13040.284611551833,-5770.491941743308,-29266.0
1941-04-11,13044.78185688465,-5770.213367484173,-29262.0
1941-04-12,13044.78185688465,-5770.213367484173,-29262.0
1941-04-13,13039.445189595757,-5772.388513217737,-29264.0
1941-04-14,13045.360638674441,-5771.376855389323,-29263.0
1941-04-15,13057.417185222785,-5776.2566122921435,-29257.0
1941-04-16,13049.093300047518,-5775.297745281622,-29260.0
1941-04-17,13051.090199508228,-5775.727538959946,-29260.0
1941-04-18,13042.449282100775,-5770.542498225706,-29260.0
1941-04-19,13034.478300943272,-5763.842418234472,-29262.0
1941-04-20,13039.94887587089,-5771.250584983597,-29259.0
1941-04-21,13042.449282100775,-5770.542498225706,-29259.0
1941-04-22,13045.360638674441,-5771.376855389323,-29259.0
1941-04-23,13049.429271167228,-5774.538570033451,-29255.0
1941-04-24,13018.808497331414,-5769.594899974463,-29270.0
1941-04-25,13017.255394478672,-5760.754030065501,-29256.0
1941-04-26,13031.643119601178,-5765.3081100103645,-29259.0
1941-04-27,13025.636809099318,-5768.994861970059,-29262.0
1941-04-28,13021.232875790498,-5766.591315017277,-29265.0
1941-04-29,13024.814676059044,-5765.911779963075,-29258.0
1941-04-30,13031.718894111926,-5767.608140715374,-29259.0
1941-05-01,13028.715493541,-5769.4517580412,-29262.0
1941-05-02,13033.790900179876,-5770.338878297206,-29258.0
1941-05-03,13041.60985276866,-5772.439384538168,-29256.0
1941-05-04,13047.038912202977,-5767.5818696799915,-29257.0
