D,H,X,Y,Z,date
NA,NA,27390.772321833672,1078.5803694998851,39233.0,1965-01-01
NA,NA,27382.84120159166,1076.6725260794533,39233.0,1965-01-02
NA,NA,27379.655206658514,1081.3333271925999,39234.0,1965-01-03
NA,NA,27387.83734106064,1076.8689704901378,39233.0,1965-01-04
NA,NA,27382.747139922918,1079.0621256643476,39235.0,1965-01-05
NA,NA,27386.838113166843,1076.8296816080008,39235.0,1965-01-06
NA,NA,27386.744037768476,1079.219629988631,39233.0,1965-01-07
NA,NA,27367.852783184717,1076.0831928474,39235.0,1965-01-08
NA,NA,27376.72039979958,1079.6222261502007,39236.0,1965-01-09
NA,NA,27378.875592995806,1075.71895179848,39234.0,1965-01-10
NA,NA,27379.812190620778,1077.3511063409087,39236.0,1965-01-11
NA,NA,27381.81064412179,1077.4297422378718,39233.0,1965-01-12
NA,NA,27370.787809706257,1077.7934292040293,39237.0,1965-01-13
NA,NA,27376.845834228883,1076.436792786632,39233.0,1965-01-14
NA,NA,27383.903023697447,1075.1186858825647,39235.0,1965-01-15
NA,NA,27378.969362932334,1073.32969008252,39233.0,1965-01-16
NA,NA,27383.934286046733,1074.3221199781322,39236.0,1965-01-17
NA,NA,27378.001339646362,1072.4941241433025,39236.0,1965-01-18
NA,NA,27380.874051068287,1075.797471429998,39231.0,1965-01-19
NA,NA,27382.99750763418,1072.6898418928815,39225.0,1965-01-20
NA,NA,27376.78316334448,1078.029511292786,39223.0,1965-01-21
NA,NA,27371.8496947599,1076.2403483759474,39224.0,1965-01-22
NA,NA,27373.005171658544,1072.2984063937233,39223.0,1965-01-23
NA,NA,27377.876363959567,1075.679691982721,39225.0,1965-01-24
NA,NA,27380.811417371282,1077.3904242893902,39221.0,1965-01-25
NA,NA,27383.777742589078,1078.3049403963355,39222.0,1965-01-26
NA,NA,27381.87328010453,1075.8367312457572,39221.0,1965-01-27
NA,NA,27381.81064412179,1077.4297422378718,39222.0,1965-01-28
NA,NA,27378.90687280825,1074.9225321358244,39225.0,1965-01-29
