date,X,Y,Z
2010-01-01,25292.0,7186.0,-19623.0
2010-01-02,25299.0,7184.0,-19624.0
2010-01-03,25291.0,7183.0,-19624.0
2010-01-04,25290.0,7184.0,-19623.0
2010-01-05,NA,NA,NA
2010-01-06,25286.0,7183.0,-19621.0
2010-01-07,25291.0,7187.0,-19619.0
2010-01-08,25285.0,7188.0,-19617.0
2010-01-09,25288.0,7184.0,-19618.0
2010-01-10,25289.0,7184.0,-19615.0
2010-01-11,25285.0,7188.0,-19618.0
2010-01-12,NA,NA,-19614.0
2010-01-13,25281.0,7176.0,-19618.0
2010-01-14,25280.0,7183.0,-19617.0
2010-01-15,25285.0,7186.0,-19618.0
2010-01-16,25287.0,7189.0,-19614.0
2010-01-17,25291.0,7186.0,-19616.0
2010-01-18,25292.0,7182.0,-19615.0
2010-01-19,25294.0,7188.0,-19618.0
2010-01-20,25287.0,7186.0,-19614.0
2010-01-21,NA,NA,-19617.0
2010-01-22,25274.0,7184.0,-19615.0
2010-01-23,25276.0,7182.0,-19617.0
2010-01-24,25273.0,7183.0,-19616.0
2010-01-25,25280.0,7183.0,-19615.0
2010-01-26,NA,NA,-19613.0
2010-01-27,25284.0,7182.0,-19615.0
2010-01-28,25285.0,7190.0,-19613.0
2010-01-29,25283.0,7186.0,-19616.0
2010-01-30,25281.0,7189.0,-19616.0
2010-01-31,25280.0,7184.0,-19613.0
2010-02-01,25274.0,7181.0,-19617.0
2010-02-02,25275.0,7184.0,-19613.0
2010-02-03,25272.0,7179.0,-19615.0
2010-02-04,25277.0,7182.0,-19612.0
2010-02-05,25281.0,7186.0,-19610.0
2010-02-06,25283.0,7185.0,-19612.0
2010-02-07,25277.0,7188.0,-19614.0
2010-02-08,25276.0,7186.0,-19614.0
2010-02-09,25276.0,7184.0,-19611.0
2010-02-10,25274.0,7182.0,-19610.0
2010-02-11,25277.0,7183.0,-19614.0
2010-02-12,NA,NA,-19615.0
2010-02-13,25272.0,7183.0,-19613.0
2010-02-14,25280.0,7183.0,-19613.0
2010-02-15,NA,NA,NA
2010-02-16,25255.0,7184.0,-19613.0
2010-02-17,NA,NA,-19616.0
2010-02-18,25278.0,7182.0,-19614.0
2010-02-19,25274.0,7183.0,-19613.0
2010-02-20,25286.0,7184.0,-19610.0
2010-02-21,25285.0,7185.0,-19610.0
2010-02-22,25278.0,7186.0,-19613.0
2010-02-23,25270.0,7185.0,-19613.0
2010-02-24,25276.0,7184.0,-19611.0
2010-02-25,NA,NA,-19611.0
2010-02-26,25274.0,7182.0,-19609.0
2010-02-27,25282.0,7184.0,-19608.0
2010-02-28,25288.0,7188.0,-19607.0
2010-03-01,25290.0,7188.0,-19608.0
2010-03-02,25284.0,7184.0,-19608.0
