date,X,Y,Z
1995-01-01,6711.0,-5079.0,57151.0
1995-01-02,6681.0,-5073.0,57131.0
1995-01-03,6671.0,-5058.0,57142.0
1995-01-04,6673.0,-5072.0,57135.0
1995-01-05,6671.0,-5053.0,57152.0
1995-01-06,6686.0,-5061.0,57147.0
1995-01-07,6714.0,-5068.0,57147.0
1995-01-08,6707.0,-5079.0,57144.0
1995-01-09,6703.0,-5068.0,57177.0
1995-01-10,6713.0,-5075.0,57145.0
1995-01-11,6681.0,-5054.0,57206.0
1995-01-12,6718.0,-5077.0,57146.0
1995-01-13,6696.0,-5059.0,57164.0
1995-01-14,6716.0,-5077.0,57156.0
1995-01-15,6711.0,-5073.0,57161.0
1995-01-16,6674.0,-5064.0,57146.0
1995-01-17,6646.0,-5051.0,57192.0
1995-01-18,6684.0,-5076.0,57202.0
1995-01-19,6706.0,-5075.0,57154.0
1995-01-20,6723.0,-5082.0,57143.0
1995-01-21,6712.0,-5083.0,57146.0
1995-01-22,6711.0,-5076.0,57146.0
1995-01-23,6717.0,-5082.0,57162.0
1995-01-24,6709.0,-5067.0,57155.0
1995-01-25,6706.0,-5069.0,57170.0
1995-01-26,6709.0,-5077.0,57154.0
1995-01-27,6712.0,-5072.0,57152.0
1995-01-28,6717.0,-5075.0,57154.0
1995-01-29,6654.0,-5055.0,57139.0
1995-01-30,6680.0,-5053.0,57162.0
1995-01-31,6638.0,-5080.0,57134.0
1995-02-01,6702.0,-5066.0,57132.0
1995-02-02,6675.0,-5057.0,57141.0
1995-02-03,6659.0,-5043.0,57148.0
1995-02-04,6682.0,-5056.0,57156.0
1995-02-05,6709.0,-5070.0,57156.0
1995-02-06,6708.0,-5073.0,57164.0
1995-02-07,6681.0,-5073.0,57189.0
1995-02-08,6661.0,-5032.0,57270.0
1995-02-09,6714.0,-5076.0,57173.0
1995-02-10,6726.0,-5083.0,57152.0
1995-02-11,6679.0,-5054.0,57135.0
1995-02-12,6703.0,-5075.0,57147.0
1995-02-13,6639.0,-5053.0,57164.0
1995-02-14,6666.0,-5056.0,57165.0
1995-02-15,6701.0,-5083.0,57153.0
1995-02-16,6727.0,-5078.0,57148.0
1995-02-17,6713.0,-5073.0,57168.0
1995-02-18,6717.0,-5076.0,57173.0
1995-02-19,6723.0,-5081.0,57161.0
1995-02-20,6722.0,-5079.0,57163.0
1995-02-21,6712.0,-5074.0,57161.0
1995-02-22,6720.0,-5078.0,57151.0
1995-02-23,6713.0,-5070.0,57150.0
1995-02-24,6726.0,-5076.0,57150.0
1995-02-25,6730.0,-5083.0,57146.0
1995-02-26,6702.0,-5057.0,57160.0
1995-02-27,6672.0,-5059.0,57138.0
1995-02-28,6679.0,-5069.0,57172.0
1995-03-01,6685.0,-5063.0,57160.0
1995-03-02,6708.0,-5060.0,57186.0
1995-03-03,6718.0,-5092.0,57151.0
1995-03-04,6661.0,-5071.0,57117.0
1995-03-05,6718.0,-5072.0,57178.0
1995-03-06,6724.0,-5078.0,57168.0
1995-03-07,6726.0,-5082.0,57156.0
1995-03-08,6729.0,-5082.0,57153.0
1995-03-09,6716.0,-5081.0,57143.0
1995-03-10,6710.0,-5080.0,57164.0
1995-03-11,6687.0,-5077.0,57123.0
1995-03-12,6681.0,-5080.0,57162.0
1995-03-13,6697.0,-5044.0,57188.0
1995-03-14,6702.0,-5065.0,57156.0
1995-03-15,6697.0,-5075.0,57175.0
1995-03-16,6706.0,-5068.0,57158.0
1995-03-17,6742.0,-5078.0,57152.0
1995-03-18,6733.0,-5079.0,57158.0
1995-03-19,6743.0,-5084.0,57144.0
1995-03-20,6729.0,-5077.0,57150.0
1995-03-21,6733.0,-5079.0,57152.0
1995-03-22,6734.0,-5077.0,57154.0
1995-03-23,6743.0,-5079.0,57141.0
1995-03-24,6737.0,-5082.0,57141.0
1995-03-25,6732.0,-5074.0,57155.0
1995-03-26,6655.0,-5023.0,57160.0
1995-03-27,6698.0,-5047.0,57136.0
1995-03-28,6695.0,-5059.0,57134.0
1995-03-29,6718.0,-5061.0,57164.0
