date X Y Z
1913-01-01   
1913-01-02   
1913-01-03   
1913-01-04   
1913-01-05   
1913-01-06   
1913-01-07   
1913-01-08   
1913-01-09 29656.676921071616 -2696.359582692592 34823.0
1913-01-10 29640.428876445727 -2698.3596906940256 34824.0
1913-01-11 29641.58169752252 -2696.725879487579 34823.0
1913-01-12 29639.74675190347 -2694.820306259341 34822.0
1913-01-13 29640.97770668067 -2692.3241989143194 34822.0
1913-01-14 29643.96540728612 -2692.595575206922 34821.0
1913-01-15 29635.002305469767 -2691.7814463291134 34822.0
1913-01-16 29635.84154875882 -2693.59605302285 34822.0
1913-01-17 29635.84154875882 -2693.59605302285 34823.0
1913-01-18 29632.461822351328 -2697.634398299927 34821.0
1913-01-19 29624.494768256933 -2696.9091059058287 34822.0
1913-01-20 29624.494768256933 -2696.9091059058287 34823.0
1913-01-21 29624.494768256933 -2696.9091059058287 34823.0
1913-01-22 29625.725894842264 -2694.4144454171505 34823.0
1913-01-23 29629.55262762235 -2696.5005260443554 34823.0
1913-01-24 29631.622827176623 -2695.819843377013 34821.0
1913-01-25 29633.849758883913 -2693.4150196165037 34820.0
1913-01-26 29633.693012200027 -2695.13904255186 34820.0
1913-01-27 29634.76729038343 -2694.3675778966203 34820.0
1913-01-28 29637.072399345558 -2691.100257506153 34820.0
1913-01-29 29632.697122530306 -2695.0484679100214 34818.0
1913-01-30 29628.791936559373 -2693.8243038613555 34820.0
1913-01-31 29627.560858825116 -2696.3192608839595 34817.0
1913-02-01   34816.0
1913-02-02   34814.0
1913-02-03   34813.0
1913-02-04 29638.829233571185 -2693.867603132369 34812.0
1913-02-05 29642.891172743955 -2693.3673943334 34811.0
1913-02-06 29644.80460319591 -2694.410703351407 
1913-02-07 29642.812813321 -2694.2296699450612 34810.0
1913-02-08 29642.891172743955 -2693.3673943334 34811.0
1913-02-09 29642.891172743955 -2693.3673943334 34811.0
1913-02-10 29641.66012955779 -2695.8636396865695 34810.0
1913-02-11 29644.80460319591 -2694.410703351407 34812.0
1913-02-12 29636.680681209185 -2695.410766477376 34810.0
1913-02-13 29638.672460548627 -2695.5919157610533 34811.0
1913-02-14 29632.304830196288 -2699.3583404812684 34808.0
1913-02-15 29635.292459653207 -2699.630498942752 34809.0
1913-02-16 29635.37097618309 -2698.7684420870273 34807.0
1913-02-17 29638.515587209895 -2697.3162192661352 34806.0
1913-02-18 29641.424758207526 -2698.450352243288 34806.0
1913-02-19 29644.412403492926 -2698.722336891075 34805.0
1913-02-20   34805.0
1913-02-21   34803.0
1913-02-22 29650.623136585273 -2696.6788114631177 34804.0
1913-02-23 29651.85425087447 -2694.181783936928 34805.0
1913-02-24 29653.767657632998 -2695.2253536799644 34805.0
1913-02-25 29642.891172743955 -2693.3673943334 34806.0
1913-02-26 29654.76355257045 -2695.3158703831373 34806.0
1913-02-27 29648.709782639547 -2695.6352173122386 34804.0
1913-02-28 29653.767657632998 -2695.2253536799644 34804.0
1913-03-01 29654.99865033478 -2692.727993808956 34802.0
1913-03-02 29657.908010111558 -2693.861997905736 34803.0
1913-03-03 29656.0728715334 -2691.9557645512236 34801.0
1913-03-04 29647.792288008273 -2694.6822534609264 34802.0
1913-03-05 29649.705674943554 -2695.7257629847827 34802.0
1913-03-06 29649.78407788318 -2694.863286867272 34798.0
1913-03-07 29648.63135724583 -2696.4976621794403 34804.0
1913-03-08 29665.036020698684 -2692.769371975529 34799.0
1913-03-09 29658.064682459022 -2692.1365662010694 34800.0
1913-03-10 29658.142980989604 -2691.273846931405 34810.0
1913-03-11 29661.208986585963 -2690.682154040511 34827.0
1913-03-12 29659.138889081645 -2691.364218786574 34833.0
1913-03-13 29663.12252144981 -2691.7257062072495 34832.0
1913-03-14 29653.846046014583 -2694.3627594043783 34832.0
1913-03-15 29639.511471608508 -2697.406851846333 34833.0
1913-03-16 29645.039622007436 -2691.8236958629545 34831.0
1913-03-17 29641.738536511486 -2695.0013976044297 34830.0
1913-03-18 29648.418566261167 -2687.7828260073643 34831.0
1913-03-19 29642.891172743955 -2693.3673943334 34829.0
1913-03-20 29647.266236499934 -2689.4173536457697 34829.0
1913-03-21 29647.18799197715 -2690.2797565245464 34830.0
1913-03-22 29644.12200597969 -2690.87095465215 34829.0
1913-03-23 29657.381810033297 -2688.5953905164024 34827.0
1913-03-24 29652.324022676286 -2689.006518068475 34825.0
1913-03-25 29659.295416112127 -2689.6387154764984 34824.0
1913-03-26 29658.299502764152 -2689.5484015610664 34821.0
1913-03-27 29660.52593965954 -2687.1406704494875 34824.0
1913-03-28 29658.142980989604 -2691.273846931405 34821.0
1913-03-29 29654.31584937224 -2689.187145899339 34844.0
1913-03-30 29647.94900809339 -2692.957410263726 34847.0
1913-03-31 29648.18390006919 -2690.3701283797154 34845.0
1913-04-01 29648.73110329475 -2684.3330576742 
1913-04-02 29646.289242791674 -2678.0259768595733 34815.0
1913-04-03 29657.850606741347 -2683.419159991971 34815.0
1913-04-04 29658.299502764152 -2689.5484015610664 34811.0
1913-04-05 29653.767657632998 -2695.2253536799644 34811.0
1913-04-06 29655.602584933873 -2697.1316846723107 34810.0
1913-04-07 29657.82963629481 -2694.7247103392797 34808.0
1913-04-08 29657.908010111558 -2693.861997905736 34808.0
1913-04-09 29633.300706681926 -2699.4490599684295 34804.0
1913-04-10 29618.729739120416 -2705.071651720882 34809.0
1913-04-11 29626.775277874294 -2704.9374547919697 34809.0
1913-04-12 29629.841530691676 -2704.3483255858187 34806.0
1913-04-13 29626.69658189874 -2705.799261606356 34802.0
1913-04-14 29631.073285346392 -2701.8534302273656 34805.0
1913-04-15 29633.82497323941 -2704.711898781878 34803.0
1913-04-16 29631.073285346392 -2701.8534302273656 34800.0
1913-04-17 29633.903637581847 -2703.8498846114526 34797.0
1913-04-18 29635.58053516512 -2707.4798879663367 34794.0
1913-04-19 29636.969874618895 -2703.260374239252 34794.0
1913-04-20 29639.957472388513 -2703.532880325365 34794.0
1913-04-21 29642.86640710627 -2704.667663586534 34792.0
1913-04-22 29642.709005754834 -2706.3922110701774 34792.0
1913-04-23 29639.642701413522 -2706.9816276702513 34790.0
1913-04-24 29644.858133667254 -2704.849392247663 34789.0
1913-04-25 29642.63026745539 -2707.254481377304 34788.0
1913-04-26 29642.945070158134 -2703.8053864114777 34791.0
1913-04-27 29638.804276424078 -2705.1663652769516 34790.0
1913-04-28 29629.447885778394 -2708.657782729706 34791.0
1913-04-29 29630.36492633965 -2709.61073439363 34789.0
1913-04-30 29635.737999807097 -2705.7557551984614 34788.0
1913-05-01 29633.74628382203 -2705.5739106636856 34787.0
1913-05-02 29631.990545002864 -2702.806197429064 34785.0
1913-05-03 29627.32544776809 -2698.9047430454625 34781.0
1913-05-04 29617.209669655 -2699.720612154964 34779.0
1913-05-05 29593.754721714504 -2703.658719402387 34778.0
1913-05-06 29601.354207273103 -2697.407106010312 34777.0
1913-05-07 29594.304631914514 -2697.632731385644 34774.0
1913-05-08 29601.354207273103 -2697.407106010312 34769.0
1913-05-09 29599.989331010474 -2690.337451708621 34766.0
1913-05-10 29595.24448037071 -2687.3022061329466 34761.0
1913-05-11 29595.791059998068 -2681.2759151080327 34760.0
1913-05-12 29594.95107374897 -2679.463928177579 34757.0
1913-05-13 29598.328291684393 -2675.4295613368813 34753.0
1913-05-14 29601.238264944626 -2676.560700222972 34750.0
1913-05-15 29601.667864461102 -2693.9628137988175 34752.0
1913-05-16 29596.610078926537 -2694.370582526484 34753.0
1913-05-17 29596.217885568643 -2698.675206457185 34750.0
1913-05-18 29603.267472769487 -2698.4497282084217 34746.0
1913-05-19 29593.99054776206 -2701.076166821288 34741.0
1913-05-20 29594.147639921026 -2699.354453671635 34740.0
1913-05-21 29605.62626360115 -2705.6116757528225 34743.0
1913-05-22 29605.0236024476 -2701.2148190250787 34742.0
1913-05-23 29610.081494692327 -2700.8078194642367 34747.0
1913-05-24 29609.924317953 -2702.530459605524 34745.0
1913-05-25 29597.895396090822 -2702.3007090377187 34747.0
1913-05-26 29600.882970068422 -2702.5734758398826 34751.0
1913-05-27 29602.166091898813 -2710.5052421340683 34749.0
1913-05-28 29601.091402471113 -2711.275121147012 34749.0
1913-05-29 29603.76319355595 -2714.993329616488 34752.0
1913-05-30 29605.9127477541 -2713.4535876575146 34752.0
1913-05-31 29608.90022633611 -2713.7273973030906 34754.0
1913-06-01 29610.970810636347 -2713.0485899891696 34754.0
1913-06-02 29589.268516447846 -2719.739815046332 34756.0
1913-06-03   34757.0
1913-06-04   34759.0
1913-06-05   34760.0
1913-06-06   34761.0
1913-06-07   34762.0
1913-06-08   34763.0
1913-06-09   34764.0
1913-06-10   34764.0
1913-06-11   34766.0
1913-06-12   34767.0
1913-06-13   34766.0
1913-06-14   34768.0
1913-06-15   34764.0
1913-06-16   34765.0
1913-06-17   34766.0
1913-06-18   34766.0
1913-06-19   34764.0
1913-06-20   34763.0
1913-06-21   34766.0
1913-06-22   34761.0
1913-06-23 29606.412041569667 -2696.9996338150777 34761.0
1913-06-24 29614.6927475886 -2694.2795819890516 34763.0
1913-06-25 29611.23444241835 -2699.175947606446 34765.0
1913-06-26 29610.395547512224 -2697.3625117637225 34767.0
1913-06-27 29608.246828800027 -2698.9036153321867 34767.0
1913-06-28 29613.540068877133 -2695.9118288639434 34769.0
1913-06-29 29599.205491263878 -2698.9476256374865 34768.0
1913-06-30 29600.04428604514 -2700.7604973722555 34770.0
1913-07-01 29601.27573035727 -2698.2681733589156 34767.0
1913-07-02 29602.114567306675 -2700.081136567936 34767.0
1913-07-03 29601.118701383468 -2699.990301205898 34768.0
1913-07-04 29607.878198175196 -2691.9228447379282 34764.0
1913-07-05 29608.581927273917 -2684.171428189417 34763.0
1913-07-06 29598.388495467127 -2685.8515356212674 34762.0
1913-07-07 29598.993436073022 -2690.246935005448 34763.0
1913-07-08 29595.30050312062 -2697.723508810397 34761.0
1913-07-09 29588.48626482816 -2695.366683046176 34759.0
1913-07-10 29588.093926679245 -2699.67012540548 34759.0
1913-07-11 29583.87480196524 -2701.8883584719333 34756.0
1913-07-12 29593.99054776206 -2701.076166821288 34755.0
1913-07-13 29597.26574074119 -2709.1883788227105 34756.0
1913-07-14 29600.33205368903 -2708.6008032468912 34754.0
1913-07-15 29606.30709043786 -2709.1475535099607 34756.0
1913-07-16 29620.169987302106 -2711.2849210895565 34757.0
1913-07-17 29624.31104177176 -2709.9260691686163 34759.0
1913-07-18 29627.613713555478 -2706.7520463351084 34756.0
1913-07-19 29628.53081484952 -2707.7048867098783 34759.0
1913-07-20 29621.08694084405 -2712.2377187404245 34761.0
1913-07-21 29622.08277499906 -2712.3289017197067 34767.0
1913-07-22 29626.853948780874 -2704.075645688775 34767.0
1913-07-23 29625.987190025757 -2713.5554198191294 34770.0
1913-07-24 29629.447885778394 -2708.657782729706 34774.0
1913-07-25 29624.389857792296 -2709.0643317450326 34776.0
1913-07-26 29626.066111619108 -2712.6936336368344 34781.0
1913-07-27 29624.833445440185 -2715.1877154128288 34784.0
1913-07-28 29632.435427997916 -2708.93089715004 34786.0
1913-07-29 29629.684147940614 -2706.0721153134086 34793.0
1913-07-30 29627.089811086076 -2701.490204653631 34797.0
1913-07-31 29628.109273850947 -2690.286389354752 34797.0
1913-08-01 29626.430275628878 -2686.6583562672467 34799.0
1913-08-02 29628.422102324832 -2686.8389840981104 34802.0
1913-08-03 29626.976723507894 -2680.6257151496407 34800.0
1913-08-04 29631.54439641958 -2696.681791204751 34796.0
1913-08-05 29636.052628171783 -2702.3074621945343 34804.0
1913-08-06 29636.891227423323 -2704.1224776031463 34802.0
1913-08-07 29636.131222571054 -2701.445383225271 34794.0
1913-08-08 29628.24280112307 -2699.8573143221906 34793.0
1913-08-09 29626.32957128245 -2698.8140235583014 34794.0
1913-08-10 29625.09807395592 -2701.3085918667634 34791.0
1913-08-11 29626.643392003676 -2695.36682532173 34788.0
1913-08-12 29621.350188854256 -2698.3604261224955 34788.0
1913-08-13 29619.122862565448 -2700.763753506161 34790.0
1913-08-14 29623.577321230652 -2695.9567305631685 34792.0
1913-08-15 29627.796044255367 -2693.7337581888114 34791.0
1913-08-16 29620.142051189072 -2689.5629509979503 34790.0
1913-08-17 29619.380736327876 -2686.887752856288 34790.0
1913-08-18 29617.915439884648 -2691.9667523657354 34791.0
1913-08-19 29616.236653021035 -2688.3397315543116 34791.0
1913-08-20 29623.207991260697 -2688.972537328771 34790.0
1913-08-21 29623.207991260697 -2688.972537328771 34790.0
1913-08-22 29627.426188976853 -2686.7486701826783 34788.0
1913-08-23 29625.356200650458 -2687.42981016832 34785.0
1913-08-24 29612.018348072193 -2690.562274587916 34782.0
1913-08-25 29619.67218276155 -2694.7326000443345 34783.0
1913-08-26 29632.14773774662 -2701.082273526259 34784.0
1913-08-27 29637.46292084383 -2719.8227176798173 34790.0
1913-08-28 29670.68619218695 -2729.8345892684824 34794.0
1913-08-29   
1913-08-30 29703.626886282327 -2731.993923954749 34798.0
1913-08-31 29702.86937969701 -2729.310281491966 34800.0
1913-09-01 29699.9613367817 -2728.1718409352625 34805.0
1913-09-02 29692.673119955965 -2730.9864502491773 34812.0
1913-09-03 29691.597871943828 -2731.758556457858 34813.0
1913-09-04 29695.50156218131 -2732.9888346803273 34817.0
1913-09-05 29693.82775432316 -2729.3505265149956 34823.0
1913-09-06 29683.94908607309 -2727.5717507373615 34824.0
1913-09-07 29675.06614706101 -2725.885024639424 34826.0
1913-09-08 29662.957884093306 -2726.5130783671043 34831.0
1913-09-09 29661.724043719718 -2729.0100319016074 34831.0
1913-09-10 29661.045572738876 -2725.467213508103 34834.0
1913-09-11 29657.899562480285 -2726.9181399212584 34834.0
1913-09-12 29662.719837993853 -2729.1016493868156 34836.0
1913-09-13 29661.724043719718 -2729.0100319016074 34833.0
1913-09-14 29659.811820976873 -2727.9640291324617 34833.0
1913-09-15 29661.565226154784 -2730.735676436881 34832.0
1913-09-16 29660.09239817336 -2735.8207053494543 34834.0
1913-09-17 29662.16351861955 -2735.1415675748026 34836.0
1913-09-18 29671.761384241996 -2729.063091356722 34837.0
1913-09-19 29660.807617915634 -2728.05561765115 34838.0
1913-09-20 29667.142396610452 -2735.6006688181847 34837.0
1913-09-21 29669.054354514716 -2736.647348280635 34837.0
1913-09-22 29652.962811311343 -2736.9029049249275 34845.0
1913-09-23 29645.076250007212 -2735.305308600563 34846.0
1913-09-24 29659.255733307073 -2734.0033552085333 34846.0
1913-09-25 29663.636230703836 -2730.0561482274998 34846.0
1913-09-26 29671.999426942195 -2726.4737313134005 34846.0
1913-09-27 29665.028792449175 -2725.833219982757 34847.0
1913-09-28 29659.65306426915 -2729.6895624208964 34848.0
1913-09-29 29662.481565999875 -2731.6901996232295 34852.0
1913-09-30 29664.473138550296 -2731.8736083918357 34853.0
1913-10-01 29658.180416226824 -2734.7742865800965 34861.0
1913-10-02 29659.65306426915 -2729.6895624208964 34860.0
1913-10-03 29665.389442625063 -2732.8282451316554 34860.0
1913-10-04 29671.241430768394 -2723.7929357888534 34861.0
1913-10-05 29650.170957340324 -2723.5982083435856 34864.0
1913-10-06 29631.64617826463 -2717.5505084791516 34869.0
1913-10-07 29642.60020797161 -2718.5551144609126 34866.0
1913-10-08 29641.84150494036 -2715.877058335888 34863.0
1913-10-09 29652.98239377812 -2703.851170882908 34860.0
1913-10-10 29651.932608900657 -2693.31924532053 34864.0
1913-10-11 29656.676921071616 -2696.359582692592 34859.0
1913-10-12 29663.412697175292 -2699.5820337710798 34858.0
1913-10-13 29659.429159580828 -2699.219503450289 34855.0
1913-10-14 29660.582033282477 -2697.584557881504 34855.0
1913-10-15 29662.652274895667 -2696.902856727857 34856.0
1913-10-16 29660.582033282477 -2697.584557881504 34854.0
1913-10-17 29659.429159580828 -2699.219503450289 34853.0
1913-10-18 29665.48298635267 -2698.9003661529364 34852.0
1913-10-19 29638.882953984306 -2704.3042062642758 34852.0
1913-10-20 29641.031970997177 -2702.761494161703 34852.0
1913-10-21 29654.056904281 -2703.079376870826 34850.0
1913-10-22 29654.13552112674 -2702.2167741780736 34848.0
1913-10-23 29658.19761882291 -2701.7170471474597 34846.0
1913-10-24 29660.949342298747 -2704.577622030378 34844.0
1913-10-25 29660.949342298747 -2704.577622030378 34844.0
1913-10-26 29657.725628525823 -2706.8933379582318 34843.0
1913-10-27 29663.93694799398 -2704.850041210679 34843.0
1913-10-28 29664.01561634208 -2703.987151118356 34842.0
1913-10-29 29658.721489162755 -2706.9842312572464 34841.0
1913-10-30 29652.74632534115 -2706.438871463158 34841.0
1913-10-31   
1913-11-01   
1913-11-02 29632.120028986064 -2712.3787692287806 34840.0
1913-11-03   
1913-11-04 29640.086723442037 -2713.1080013215965 34837.0
1913-11-05 29651.198778699552 -2712.385663220907 34839.0
1913-11-06 29650.281821497505 -2711.432076555621 34838.0
1913-11-07 29643.074233863026 -2713.381463356402 34836.0
1913-11-08 29648.368986502013 -2710.38750739182 34835.0
1913-11-09 29650.6758696951 -2707.119589209281 34835.0
1913-11-10 29657.725628525823 -2706.8933379582318 34835.0
1913-11-11 29659.796082874625 -2706.2123572061328 34835.0
1913-11-12 29656.72976788889 -2706.802444659217 34834.0
1913-11-13 29659.71734979969 -2707.0751245562615 34834.0
1913-11-14 29661.787809435606 -2706.3940858672618 34835.0
1913-11-15 29662.626165605503 -2708.2106564179367 34836.0
1913-11-16 29664.69665298436 -2707.529591051335 34837.0
1913-11-17 29668.758852399045 -2707.0301361812144 34835.0
1913-11-18 29665.771262557573 -2706.7575431895207 34838.0
1913-11-19 29663.622023598036 -2708.3015786853243 34837.0
1913-11-20 29661.551519053915 -2708.982554855305 34838.0
1913-11-21 29660.47685269525 -2709.7543930639263 34839.0
1913-11-22 29661.472705396456 -2709.84537326783 34838.0
1913-11-23 29666.53079579037 -2709.437311033726 34841.0
1913-11-24 29663.385566749213 -2710.890207731485 34840.0
1913-11-25 29664.46026350007 -2710.1183138795404 34842.0
1913-11-26 29664.38141680349 -2710.981216903531 34840.0
1913-11-27 29660.555663706626 -2708.8916036196206 34843.0
1913-11-28 29658.248579560644 -2712.160613420417 34844.0
1913-11-29 29654.18630502486 -2712.6589514489397 34844.0
1913-11-30 29661.39386664066 -2710.7081893873933 34848.0
1913-12-01 29667.21118238168 -2712.980217393313 34843.0
1913-12-02 29663.385566749213 -2710.890207731485 34835.0
1913-12-03 29662.074100093578 -2714.2505559652773 34830.0
1913-12-04 29664.223648108004 -2712.707016069014 34827.0
1913-12-05 29647.89548307384 -2715.562082650592 34822.0
1913-12-06 29657.015949160974 -2714.65761951883 34821.0
1913-12-07 29668.20702713957 -2713.0712845014123 34821.0
1913-12-08 29661.83712410444 -2716.8390499069774 34820.0
1913-12-09 29665.820450113184 -2717.2038976945164 34821.0
1913-12-10 29666.81628161537 -2717.295109641401 34822.0
1913-12-11 29665.899477819607 -2716.3409528081106 34824.0
1913-12-12 29669.803776121928 -2717.568745482055 34822.0
1913-12-13 29666.73722615327 -2718.1580811961444 34823.0
1913-12-14 29676.458117975002 -2721.660260222718 34823.0
1913-12-15   34820.0
1913-12-16   34820.0
1913-12-17 29663.069939551715 -2714.341681009122 34816.0
1913-12-18 29669.202871897465 -2713.162351609512 34815.0
1913-12-19 29662.153041892354 -2713.3877200570255 34814.0
1913-12-20 29660.082421177303 -2714.0683058775876 34816.0
1913-12-21 29666.1364103261 -2713.7521043610686 34816.0
1913-12-22 29665.219492865894 -2712.7980831771138 34816.0
1913-12-23 29667.053297384267 -2714.706181184502 34818.0
1913-12-24 29672.111462976718 -2714.2986808171336 34817.0
1913-12-25 29663.90780950958 -2716.1585868495467 34817.0
1913-12-26 29659.924472889532 -2715.7938549324194 34817.0
1913-12-27 29662.990970002953 -2715.204543588442 34820.0
1913-12-28 29664.065779009852 -2714.432806052967 34820.0
1913-12-29 29670.119778759847 -2714.116488665112 34820.0
1913-12-30 29668.886980284642 -2716.614501745956 34821.0
1913-12-31 29673.945174879915 -2716.207237716064 34819.0
1914-01-01 29671.115620868284 -2714.207584741123 34819.0
1914-01-02 29668.886980284642 -2716.614501745956 34819.0
1914-01-03 29670.957664458925 -2715.933775681258 34821.0
1914-01-04 29666.89531197462 -2716.432135787393 34816.0
1914-01-05 29657.695709842334 -2718.199621514164 34815.0
1914-01-06 29659.84546110007 -2716.656626013208 34819.0
1914-01-07 29660.920307044544 -2715.885037911701 34822.0
1914-01-08 29665.66231939437 -2718.9297805690335 34823.0
1914-01-09 29661.679014618352 -2718.5647010415987 34819.0
1914-01-10 29664.745568456237 -2717.975599367324 34820.0
1914-01-11 29671.7954391263 -2717.7511693758242 34820.0
1914-01-12 29671.95350126592 -2716.02492969286 34820.0
1914-01-13 29684.061568277957 -2715.391833729263 34821.0
1914-01-14 29677.770428139414 -2718.2984410571325 34821.0
1914-01-15 29678.924358914897 -2716.663007774074 34819.0
1914-01-16 29668.570686998053 -2720.0666151033743 34819.0
1914-01-17 29672.712199244368 -2718.705526682606 34818.0
1914-01-18 29671.6372765584 -2719.477399860185 34818.0
1914-01-19 29669.803776121928 -2717.568745482055 34820.0
1914-01-20 29670.799607624114 -2717.65995742894 34821.0
1914-01-21 29676.015852507506 -2715.5263065791064 34822.0
1914-01-22 29671.6372765584 -2719.477399860185 34821.0
1914-01-23 29667.65397178238 -2719.1123203327506 34822.0
1914-01-24 29672.553981152654 -2720.4318105002935 34824.0
1914-01-25 29675.936848493908 -2716.3895457392678 34822.0
1914-01-26 29681.832824299803 -2717.799880476621 34823.0
1914-01-27 29688.882726984863 -2717.5745478900935 34820.0
1914-01-28 29683.824492609827 -2717.982246435185 34816.0
1914-01-29 29678.845321834768 -2717.5263315387756 34817.0
1914-01-30 29677.69134348695 -2719.1617312546573 34817.0
1914-01-31 29679.920195721894 -2716.754161785676 34818.0
