date,X,Y,Z
1995-01-01,NA,NA,NA
1995-01-02,NA,NA,NA
1995-01-03,NA,NA,NA
1995-01-04,NA,NA,NA
1995-01-05,NA,NA,NA
1995-01-06,NA,NA,NA
1995-01-07,NA,NA,NA
1995-01-08,NA,NA,NA
1995-01-09,NA,NA,NA
1995-01-10,NA,NA,NA
1995-01-11,NA,NA,NA
1995-01-12,NA,NA,NA
1995-01-13,NA,NA,NA
1995-01-14,NA,NA,NA
1995-01-15,NA,NA,NA
1995-01-16,NA,NA,NA
1995-01-17,NA,NA,NA
1995-01-18,NA,NA,NA
1995-01-19,NA,NA,NA
1995-01-20,NA,NA,NA
1995-01-21,NA,NA,NA
1995-01-22,NA,NA,NA
1995-01-23,NA,NA,NA
1995-01-24,NA,NA,NA
1995-01-25,NA,NA,NA
1995-01-26,NA,NA,NA
1995-01-27,NA,NA,NA
1995-01-28,NA,NA,NA
1995-01-29,NA,NA,NA
1995-01-30,NA,NA,NA
1995-01-31,NA,NA,NA
1995-02-01,NA,NA,NA
1995-02-02,NA,NA,NA
1995-02-03,NA,NA,NA
1995-02-04,NA,NA,NA
1995-02-05,NA,NA,NA
1995-02-06,NA,NA,NA
1995-02-07,NA,NA,NA
1995-02-08,NA,NA,NA
1995-02-09,NA,NA,NA
1995-02-10,NA,NA,NA
1995-02-11,NA,NA,NA
1995-02-12,NA,NA,NA
1995-02-13,NA,NA,NA
1995-02-14,NA,NA,NA
1995-02-15,NA,NA,NA
1995-02-16,NA,NA,NA
1995-02-17,NA,NA,NA
1995-02-18,NA,NA,NA
1995-02-19,NA,NA,NA
1995-02-20,NA,NA,NA
1995-02-21,NA,NA,NA
1995-02-22,NA,NA,NA
1995-02-23,NA,NA,NA
1995-02-24,NA,NA,NA
1995-02-25,NA,NA,NA
1995-02-26,NA,NA,NA
1995-02-27,NA,NA,NA
1995-02-28,NA,NA,NA
1995-03-01,NA,NA,NA
1995-03-02,NA,NA,NA
1995-03-03,NA,NA,NA
1995-03-04,NA,NA,NA
1995-03-05,35260.0,2286.0,-30440.0
1995-03-06,35283.0,2289.0,-30438.0
1995-03-07,35291.0,2292.0,-30441.0
1995-03-08,35298.0,2294.0,-30438.0
1995-03-09,35292.0,2291.0,-30439.0
1995-03-10,35273.0,2291.0,-30441.0
1995-03-11,35280.0,2289.0,-30443.0
1995-03-12,35259.0,2288.0,-30444.0
1995-03-13,35265.0,2285.0,-30441.0
1995-03-14,35270.0,2287.0,-30440.0
1995-03-15,35274.0,2287.0,-30441.0
1995-03-16,35277.0,2288.0,-30438.0
1995-03-17,35294.0,2291.0,-30437.0
1995-03-18,35292.0,2292.0,-30437.0
1995-03-19,35299.0,2292.0,-30436.0
1995-03-20,35296.0,2291.0,-30436.0
1995-03-21,35300.0,2292.0,-30435.0
1995-03-22,35304.0,2294.0,-30433.0
1995-03-23,35304.0,2292.0,-30434.0
1995-03-24,35308.0,2292.0,-30431.0
1995-03-25,35306.0,2294.0,-30433.0
1995-03-26,35261.0,2288.0,-30438.0
1995-03-27,35254.0,2287.0,-30442.0
1995-03-28,35267.0,2285.0,-30441.0
1995-03-29,35270.0,2289.0,-30438.0
1995-03-30,35281.0,2289.0,-30436.0
1995-03-31,35292.0,2290.0,-30437.0
1995-04-01,35292.0,2289.0,-30438.0
1995-04-02,35258.0,2281.0,-30442.0
1995-04-03,35293.0,2288.0,-30437.0
1995-04-04,35294.0,2291.0,-30433.0
1995-04-05,35289.0,2290.0,-30437.0
1995-04-06,35300.0,2288.0,-30436.0
1995-04-07,35219.0,2275.0,-30442.0
1995-04-08,35226.0,2274.0,-30446.0
1995-04-09,35253.0,2283.0,-30442.0
1995-04-10,35254.0,2284.0,-30440.0
1995-04-11,35263.0,2286.0,-30438.0
1995-04-12,35266.0,2289.0,-30436.0
1995-04-13,35277.0,2289.0,-30434.0
1995-04-14,35284.0,2290.0,-30433.0
1995-04-15,35294.0,2292.0,-30430.0
1995-04-16,35300.0,2290.0,-30431.0
1995-04-17,35297.0,2286.0,-30432.0
1995-04-18,35302.0,2293.0,-30430.0
1995-04-19,35295.0,2295.0,-30428.0
1995-04-20,35294.0,2291.0,-30431.0
1995-04-21,35294.0,2288.0,-30436.0
1995-04-22,35291.0,2287.0,-30430.0
1995-04-23,35266.0,2285.0,-30432.0
1995-04-24,35267.0,2287.0,-30438.0
1995-04-25,35272.0,2286.0,-30436.0
1995-04-26,35289.0,2287.0,-30433.0
1995-04-27,35276.0,2289.0,-30435.0
1995-04-28,35278.0,2288.0,-30436.0
1995-04-29,35282.0,2289.0,-30434.0
1995-04-30,35291.0,2289.0,-30433.0
1995-05-01,35299.0,2290.0,-30433.0
1995-05-02,35276.0,2286.0,-30431.0
1995-05-03,35251.0,2284.0,-30438.0
1995-05-04,35255.0,2286.0,-30437.0
1995-05-05,35248.0,2283.0,-30438.0
1995-05-06,35261.0,2284.0,-30436.0
1995-05-07,35259.0,2285.0,-30435.0
1995-05-08,35257.0,2287.0,-30438.0
1995-05-09,35272.0,2286.0,-30436.0
1995-05-10,35280.0,2286.0,-30434.0
1995-05-11,35287.0,2292.0,-30432.0
1995-05-12,35287.0,2288.0,-30434.0
