date X Y Z
1958-01-01   32206.0
1958-01-02 32772.813177822245 -2867.2496249124583 32203.0
1958-01-03 32804.445440822994 -2861.363367359618 32199.0
1958-01-04 32817.56274563425 -2860.583757969568 32199.0
1958-01-05 32826.19559126802 -2865.184811459157 32196.0
1958-01-06 32828.52119351846 -2861.5389647371494 32193.0
1958-01-07 32827.60819336323 -2860.497212554417 32192.0
1958-01-08 32829.76701500854 -2858.7608749696387 32187.0
1958-01-09 32823.04270022104 -2855.2892847251346 32189.0
1958-01-10 32809.25998005587 -2863.7066122605047 32193.0
1958-01-11 32824.619518181746 -2860.2367885547305 32192.0
1958-01-12 32821.46440077539 -2861.8858447942566 32197.0
1958-01-13 32822.710250039454 -2859.108399825886 32196.0
1958-01-14 32815.487080724255 -2861.3646490476176 32198.0
1958-01-15 32807.35083811722 -2862.5783805320248 32199.0
1958-01-16 32814.40761563572 -2862.232316725636 32196.0
1958-01-17 32809.25998005587 -2863.7066122605047 32196.0
1958-01-18 32776.05187466468 -2864.650852947027 32201.0
1958-01-19 32801.373548398136 -2862.0568370398832 32198.0
1958-01-20 32813.57785549453 -2860.2364100540835 32198.0
1958-01-21 32790.33194399523 -2862.054507273775 32197.0
1958-01-22 32800.543780596425 -2860.0616596810205 32196.0
1958-01-23 32804.69501697189 -2858.5006285568215 32194.0
1958-01-24 32817.56274563425 -2860.583757969568 32195.0
1958-01-25 32817.56274563425 -2860.583757969568 32194.0
1958-01-26 32805.44165830426 -2861.45026229622 32194.0
1958-01-27 32825.282707274455 -2864.143011008448 32193.0
1958-01-28 32832.50608365818 -2861.8863126526335 32193.0
1958-01-29 32831.34331281735 -2863.709530647866 32193.0
1958-01-30 32843.71423653582 -2859.9753755537736 32192.0
1958-01-31 32842.38502095436 -2863.7100299074928 32192.0
1958-02-01 32841.472086472546 -2862.6678454624725 32193.0
1958-02-02 32843.54779433111 -2861.8861405527437 32192.0
1958-02-03 32845.87303788509 -2858.237985041339 32192.0
1958-02-04 32846.03926784478 -2856.327084771356 32189.0
1958-02-05 32812.49842069869 -2861.104051174298 32192.0
1958-02-06 32806.18803464289 -2864.4000481171797 32193.0
1958-02-07 32809.17666432629 -2864.6609937351186 32194.0
1958-02-08 32806.76727478699 -2869.258611203471 32194.0
1958-02-09 32814.24104217709 -2864.1413767306967 32196.0
1958-02-10 32809.592965354816 -2859.8890621385995 32191.0
1958-02-11 32622.135498301337 -2868.410627938022 32193.0
1958-02-12 32748.236865812316 -2872.778825571347 32212.0
1958-02-13 32786.59670047711 -2858.845536272196 32200.0
1958-02-14 32782.94192985075 -2866.2139529410065 32199.0
1958-02-15 32831.095664902175 -2855.027572903853 32201.0
1958-02-16 32841.721776317645 -2859.8018754703257 32190.0
1958-02-17 32817.97579307322 -2867.353107878431 32192.0
1958-02-18 32809.17666432629 -2864.6609937351186 32193.0
1958-02-19 32801.12366192416 -2864.9192859763266 32195.0
1958-02-20 32801.87257195397 -2856.3318738013695 32192.0
1958-02-21 32794.48326601027 -2860.4944179936006 32194.0
1958-02-22 32796.30921854069 -2862.5762246380054 32192.0
1958-02-23 32799.04790125802 -2865.699351115243 32193.0
1958-02-24 32816.23346702557 -2864.315282518773 32195.0
1958-02-25 32832.17286581348 -2865.7065288233875 32191.0
1958-02-26 32845.5402444521 -2862.0597565525345 32194.0
1958-02-27 32840.891862113494 -2857.804524625045 32192.0
