date,X,Y,Z
2011-01-01,36490.61140959702,1388.0086288592543,-27206.0
2011-01-02,36505.64094669394,1387.516872352498,-27205.0
2011-01-03,36503.39967965876,1393.8119769497466,-27206.0
2011-01-04,NA,NA,NA
2011-01-05,36504.601292657906,1388.540767885024,-27210.0
2011-01-06,36504.64166822721,1387.4788914899023,-27211.0
2011-01-07,NA,NA,NA
2011-01-08,NA,NA,NA
2011-01-09,NA,NA,NA
2011-01-10,NA,NA,NA
2011-01-11,36501.60346057343,1388.4267380937877,-27208.0
2011-01-12,NA,NA,NA
2011-01-13,NA,NA,NA
2011-01-14,NA,NA,NA
2011-01-15,NA,NA,NA
2011-01-16,NA,NA,NA
2011-01-17,36497.60635112746,1388.2746983721393,-27209.0
2011-01-18,36504.601292657906,1388.540767885024,-27207.0
2011-01-19,NA,NA,NA
2011-01-20,36497.56595241206,1389.3363701178453,-27204.0
2011-01-21,36499.64527589354,1387.2889871769228,-27204.0
2011-01-22,NA,NA,NA
2011-01-23,NA,NA,NA
2011-01-24,NA,NA,NA
2011-01-25,36494.729519952736,1384.9759079098026,-27206.0
2011-01-26,36501.48215849577,1391.612098616229,-27202.0
2011-01-27,36497.72736197677,1385.0896760904036,-27201.0
2011-01-28,NA,NA,NA
2011-01-29,NA,NA,NA
2011-01-30,NA,NA,NA
2011-01-31,36514.67480861904,1386.7965318682277,-27202.0
2011-02-01,NA,NA,NA
2011-02-02,NA,NA,NA
2011-02-03,36491.77194649648,1383.8006376975538,-27206.0
2011-02-04,36502.84451478127,1382.0938208757727,-27203.0
2011-02-05,NA,NA,NA
2011-02-06,36473.90543548492,1379.9356083902678,-27207.0
2011-02-07,36487.65393429274,1386.8332168257723,-27205.0
2011-02-08,NA,NA,NA
2011-02-09,36493.649605093146,1387.0611020013475,-27202.0
2011-02-10,36499.72592332613,1385.1655215441376,-27204.0
2011-02-11,NA,NA,NA
2011-02-12,NA,NA,NA
2011-02-13,NA,NA,NA
2011-02-14,NA,NA,NA
2011-02-15,NA,NA,NA
2011-02-16,NA,NA,NA
2011-02-17,36502.764046047705,1384.2174679460525,-27200.0
2011-02-18,NA,NA,NA
