date X Y Z
1996-01-01 35499.0 276.0 26723.0
1996-01-02 35495.0 275.0 26723.0
1996-01-03 35493.0 277.0 26721.0
1996-01-04 35491.0 273.0 26724.0
1996-01-05 35498.0 274.0 26723.0
1996-01-06 35501.0 273.0 26722.0
1996-01-07 35502.0 274.0 26720.0
1996-01-08 35495.0 276.0 26720.0
1996-01-09 35498.0 276.0 26720.0
1996-01-10 35499.0 278.0 26723.0
1996-01-11 35505.0 275.0 26723.0
1996-01-12 35498.0 274.0 26723.0
1996-01-13 35487.0 278.0 26721.0
1996-01-14 35457.0 279.0 26737.0
1996-01-15 35465.0 273.0 26721.0
1996-01-16 35472.0 271.0 26710.0
1996-01-17 35477.0 268.0 26709.0
1996-01-18 35473.0 270.0 26711.0
1996-01-19 35482.0 269.0 26714.0
1996-01-20 35469.0 272.0 26720.0
1996-01-21 35483.0 276.0 26723.0
1996-01-22 35485.0 273.0 26723.0
1996-01-23 35491.0 271.0 26721.0
1996-01-24 35498.0 273.0 26720.0
1996-01-25 35498.0 275.0 26742.0
1996-01-26 35497.0 273.0 26740.0
1996-01-27 35485.0 273.0 26728.0
1996-01-28 35489.0 272.0 26719.0
1996-01-29 35482.0 276.0 26720.0
1996-01-30 35484.0 273.0 26720.0
1996-01-31 35480.0 273.0 26725.0
1996-02-01 35489.0 271.0 26720.0
1996-02-02 35488.0 270.0 26721.0
1996-02-03 35486.0 268.0 26722.0
1996-02-04 35491.0 268.0 26720.0
1996-02-05 35490.0 271.0 26721.0
1996-02-06 35491.0 270.0 26720.0
1996-02-07 35490.0 269.0 26738.0
1996-02-08 35488.0 267.0 26741.0
1996-02-09 35485.0 269.0 26739.0
1996-02-10 35476.0 270.0 26738.0
1996-02-11 35463.0 270.0 26741.0
1996-02-12 35471.0 268.0 26739.0
1996-02-13 35472.0 270.0 26740.0
1996-02-14 35473.0 268.0 26743.0
1996-02-15 35469.0 265.0 26740.0
1996-02-16 35479.0 263.0 26738.0
1996-02-17 35472.0 261.0 26741.0
1996-02-18 35484.0 266.0 26740.0
1996-02-19 35473.0 262.0 26730.0
1996-02-20 35481.0 265.0 26722.0
1996-02-21 35482.0 265.0 26725.0
1996-02-22 35479.0 266.0 26725.0
1996-02-23 35472.0 268.0 26722.0
1996-02-24 35466.0 265.0 26723.0
1996-02-25 35454.0 268.0 26719.0
1996-02-26 35460.0 266.0 26718.0
1996-02-27 35464.0 267.0 26721.0
1996-02-28 35467.0 268.0 26723.0
1996-02-29 35474.0 263.0 26720.0
1996-03-01 35473.0 264.0 26723.0
1996-03-02 35479.0 263.0 26724.0
1996-03-03 35482.0 266.0 26721.0
1996-03-04 35469.0 267.0 26725.0
1996-03-05 35480.0 269.0 26727.0
1996-03-06 35484.0 269.0 26729.0
1996-03-07 35484.0 268.0 26731.0
1996-03-08 35482.0 268.0 26730.0
1996-03-09 35483.0 269.0 26729.0
1996-03-10 35486.0 267.0 26728.0
1996-03-11 35462.0 269.0 26728.0
1996-03-12 35468.0 266.0 26730.0
1996-03-13 35466.0 270.0 26742.0
1996-03-14 35473.0 268.0 26742.0
1996-03-15 35476.0 267.0 26733.0
1996-03-16 35484.0 270.0 26729.0
1996-03-17 35478.0 270.0 26730.0
1996-03-18 35471.0 269.0 26731.0
1996-03-19 35485.0 265.0 26731.0
1996-03-20 35468.0 263.0 26731.0
1996-03-21 35465.0 266.0 26733.0
1996-03-22 35461.0 269.0 26737.0
1996-03-23 35459.0 269.0 26732.0
1996-03-24 35464.0 269.0 26734.0
1996-03-25 35453.0 272.0 26743.0
1996-03-26 35461.0 274.0 26742.0
1996-03-27 35477.0 269.0 26742.0
1996-03-28 35475.0 269.0 26738.0
1996-03-29 35486.0 266.0 26740.0
1996-03-30 35490.0 268.0 26739.0
1996-03-31 35485.0 272.0 26736.0
1996-04-01 35489.0 265.0 26733.0
1996-04-02 35483.0 265.0 26736.0
1996-04-03 35497.0 265.0 26734.0
1996-04-04 35474.0 265.0 26745.0
1996-04-05 35478.0 272.0 26746.0
1996-04-06 35485.0 271.0 26741.0
1996-04-07 35493.0 266.0 26740.0
1996-04-08 35504.0 262.0 26738.0
1996-04-09 35486.0 268.0 26738.0
1996-04-10 35479.0 268.0 26740.0
1996-04-11 35482.0 263.0 26740.0
1996-04-12 35469.0 269.0 26739.0
1996-04-13 35473.0 261.0 26744.0
1996-04-14 35461.0 270.0 26749.0
1996-04-15 35467.0 268.0 26748.0
1996-04-16 35470.0 266.0 26748.0
1996-04-17 35463.0 266.0 26743.0
1996-04-18 35460.0 265.0 26743.0
1996-04-19 35461.0 262.0 26738.0
1996-04-20 35459.0 263.0 26742.0
1996-04-21 35457.0 263.0 26739.0
1996-04-22 35466.0 260.0 26736.0
1996-04-23 35470.0 262.0 26738.0
1996-04-24 35468.0 266.0 26737.0
1996-04-25 35473.0 266.0 26746.0
1996-04-26 35491.0 267.0 26745.0
1996-04-27 35483.0 268.0 26746.0
1996-04-28 35485.0 270.0 26744.0
1996-04-29 35490.0 272.0 26745.0
1996-04-30 35494.0 274.0 26745.0
1996-05-01 35494.0 274.0 26748.0
1996-05-02 35492.0 270.0 26750.0
