date,X,Y,Z
1926-01-01,NA,NA,46739.0
1926-01-02,14112.69916790991,-3825.520382389161,46747.0
1926-01-03,14120.828796494268,-3829.928863581964,46733.0
1926-01-04,14113.47776725695,-3834.106194818261,46712.0
1926-01-05,14117.227490278898,-3824.1030304783576,46713.0
1926-01-06,14113.886887866729,-3824.960903918317,46706.0
1926-01-07,14114.518204573571,-3826.4542141205943,46712.0
1926-01-08,14115.408278714769,-3823.169513007576,46704.0
1926-01-09,14113.330420573418,-3827.0136450915525,46713.0
1926-01-10,14116.707104376388,-3822.1990436461097,46706.0
1926-01-11,14118.04478337966,-3828.732883668742,46681.0
1926-01-12,14118.935387695847,-3825.447361821877,46677.0
1926-01-13,14100.664393693309,-3812.5729706367233,46678.0
1926-01-14,14102.228430423182,-3818.2788394987806,46700.0
1926-01-15,14100.818843531,-3819.65822318189,46710.0
1926-01-16,14107.4217463842,-3814.4000405891065,46721.0
1926-01-17,14116.519796435812,-3819.0633454861418,46736.0
1926-01-18,14108.65264665276,-3832.795389281571,46728.0
1926-01-19,14109.163537941631,-3811.78819710886,46700.0
1926-01-20,14114.331846735151,-3823.3186527201574,46688.0
1926-01-21,14116.262275764317,-3823.841571225624,46689.0
1926-01-22,14102.380041809018,-3825.365493176654,46692.0
1926-01-23,14070.216184463965,-3802.5835326062574,46681.0
1926-01-24,14102.228430423182,-3818.2788394987806,46688.0
1926-01-25,14107.797646443663,-3820.6676860201565,46693.0
1926-01-26,14184.202283071992,-3836.9312728918235,46671.0
1926-01-27,14036.86021250029,-3776.4866443198594,46714.0
1926-01-28,14083.09802883972,-3804.7462346509783,46678.0
1926-01-29,14093.98513388203,-3814.286833198621,46688.0
1926-01-30,14101.81834447657,-3815.966506585734,46694.0
1926-01-31,14101.152117900116,-3818.427680059037,46695.0
1926-02-01,14103.970920796202,-3815.668390378694,46710.0
1926-02-02,14102.849027162625,-3808.3215879253426,46687.0
1926-02-03,14102.484141487068,-3813.5052168714433,46682.0
1926-02-04,14102.184134860487,-3810.782941403148,46693.0
1926-02-05,14104.414798498703,-3814.0272930185956,46697.0
1926-02-06,14109.762709552946,-3817.2352927359775,46715.0
1926-02-07,14111.471173790333,-3818.578572097806,46712.0
1926-02-08,14113.623902057441,-3818.2798943075,46711.0
1926-02-09,14114.144797213334,-3820.183325875314,46717.0
1926-02-10,14118.595493724986,-3815.217724399031,46728.0
1926-02-11,14117.8520409756,-3814.1355179281536,46766.0
1926-02-12,14098.273862996319,-3802.246452290394,46737.0
1926-02-13,14110.950076739477,-3816.6755077902744,46734.0
1926-02-14,14113.135999645734,-3812.42091793438,46723.0
1926-02-15,14105.887217049778,-3804.739914878768,46713.0
1926-02-16,14110.539689154839,-3814.362159101582,46689.0
1926-02-17,14120.234389313344,-3824.476668885929,46687.0
1926-02-18,14098.243388805815,-3806.1978863418476,46688.0
1926-02-19,NA,NA,46697.0
1926-02-20,NA,NA,46704.0
1926-02-21,14116.254009367738,-3812.382030044903,46711.0
1926-02-22,14130.513142267911,-3817.115054094365,46750.0
1926-02-23,14201.577786072898,-3841.631474532769,46770.0
1926-02-24,14163.107485383105,-3815.312615957578,46599.0
1926-02-25,14038.743027286182,-3784.877040780009,46619.0
1926-02-26,14131.40834900982,-3825.2971222554133,46736.0
1926-02-27,14131.256429241463,-3818.1979690715116,46752.0
1926-02-28,14122.678987105584,-3815.4395850499836,46767.0
1926-03-01,14121.302916622102,-3812.8641382824107,46788.0
1926-03-02,NA,NA,46794.0
1926-03-03,14119.022718883947,-3802.1153932566167,46730.0
1926-03-04,14118.106281346909,-3809.357429881447,46688.0
1926-03-05,14167.865947204897,-3824.5521962749935,46648.0
1926-03-06,14056.316032970639,-3792.685141328317,46648.0
1926-03-07,14093.430219279868,-3816.336679891984,46659.0
1926-03-08,14107.865476484143,-3812.7585417158043,46639.0
1926-03-09,14119.193437241342,-3820.6682245074635,46620.0
1926-03-10,14064.778883829813,-3780.488189238925,46607.0
1926-03-11,14095.537308604631,-3808.5468333387853,46639.0
1926-03-12,14098.716179023979,-3800.606017903925,46637.0
1926-03-13,14104.47895492012,-3806.1206510324205,46646.0
1926-03-14,14098.716179023979,-3800.606017903925,46637.0
1926-03-15,14095.125670630772,-3806.235979169633,46668.0
1926-03-16,14088.618833642122,-3799.6425306000156,46650.0
1926-03-17,14100.395700351753,-3805.8988548701323,46647.0
1926-03-18,14122.110426284906,-3806.031149086296,46670.0
