date X Y Z
1965-07-01 36602.71349106609 -1489.3132950888964 25624.0
1965-07-02 36607.795951901426 -1487.3868171895476 25623.0
1965-07-03 36612.7485422216 -1488.654823674782 25625.0
1965-07-04 36614.660217958524 -1490.866232579304 25626.0
1965-07-05 36619.91576126693 -1484.678294349944 25626.0
1965-07-06 36595.71927834975 -1489.028710341111 25614.0
1965-07-07   
1965-07-08 36611.26757310162 -1475.793918796871 25624.0
1965-07-09   
1965-07-10 36602.452999370274 -1495.7016510287567 25625.0
1965-07-11 36608.70853053723 -1489.5572248727126 25618.0
1965-07-12 36621.87091417054 -1485.8246013006014 25621.0
1965-07-13 36618.91658211929 -1484.637784710262 25620.0
1965-07-14   
1965-07-15 36607.83920274209 -1486.3219389416497 25624.0
1965-07-16 36607.83920274209 -1486.3219389416497 25627.0
1965-07-17 36620.04518445131 -1481.4825981915792 25624.0
1965-07-18 36632.948277547555 -1484.1393110236113 25621.0
1965-07-19 36592.721758614185 -1488.906745449203 25618.0
1965-07-20 36612.791829944974 -1487.589801361335 25620.0
1965-07-21 36617.78770798852 -1487.7927855331225 25623.0
1965-07-22 36627.039463204135 -1481.7655553044672 25618.0
1965-07-23 36617.74441435846 -1488.857953170685 25615.0
1965-07-24 36610.836733109696 -1486.4436422501497 25623.0
1965-07-25 36614.70357000837 -1489.8011546565285 25627.0
1965-07-26 36616.831793844896 -1486.6870488671498 25630.0
1965-07-27 36626.91001530046 -1484.961861827719 25624.0
1965-07-28 36600.715144575704 -1489.2319851609577 25623.0
1965-07-29 36609.75101893948 -1488.5329459772402 
1965-07-30   
1965-07-31 36615.26432729207 -1475.9550272730364 25621.0
1965-08-01 36624.2140643897 -1477.382877171608 25622.0
1965-08-02 36613.96385136111 -1483.370180103898 25623.0
1965-08-03 36607.75267008473 -1488.451694178879 25625.0
1965-08-04 36613.70439676318 -1489.7604996925593 25630.0
1965-08-05 36614.35588612005 -1498.321742665968 25630.0
1965-08-06   
1965-08-07 36627.301399594064 -1499.918725563146 25629.0
1965-08-08 36626.51999801416 -1494.5507134483234 25628.0
1965-08-09 36619.30809905402 -1499.5913931990096 25622.0
1965-08-10 36612.40112514955 -1497.1749567596407 25622.0
1965-08-11 36615.44215911673 -1496.2324326044773 25628.0
1965-08-12 36612.5750815262 -1492.9149003231641 25626.0
1965-08-13 36619.65607826934 -1491.0696527229225 25623.0
1965-08-14 36605.537459346015 -1493.6945177699422 25621.0
1965-08-15 36604.4948267251 -1494.718528772323 25625.0
1965-08-16 36625.47734047865 -1495.5753348076503 25621.0
1965-08-17 36601.3667572752 -1497.790205412464 25618.0
1965-08-18 36616.658562082855 -1490.9476006367513 25614.0
1965-08-19 36596.37093848872 -1497.5857680072702 25617.0
1965-08-20 36599.58587550977 -1492.3852522674863 25621.0
1965-08-21 36598.54327978996 -1493.409119210482 25620.0
1965-08-22 36609.447162310666 -1495.9874564926063 25622.0
1965-08-23 36607.44883004198 -1495.9057977886491 25623.0
1965-08-24 36601.497324760305 -1494.5961279101334 25621.0
1965-08-25 36602.40947568713 -1496.7663725943814 25616.0
1965-08-26 36609.53413337804 -1493.8576026610624 25611.0
1965-08-27 36609.53413337804 -1493.8576026610624 25606.0
1965-08-28 36607.44883004198 -1495.9057977886491 
1965-08-29 36616.52831293409 -1494.1430012205228 25609.0
1965-08-30 36607.49232868989 -1494.8409296345126 25605.0
1965-08-31 36597.45716869856 -1495.497504268864 25613.0
1965-09-01 36613.48733261948 -1495.0857313588917 25620.0
1965-09-02 36604.45133163896 -1495.7833097327136 25623.0
1965-09-03 36616.13589238692 -1503.7291346032014 25627.0
1965-09-04 36609.27284844705 -1500.2471489583572 25632.0
1965-09-05 36619.39527977324 -1497.460965675322 25633.0
1965-09-06 36621.39360966573 -1497.542682508374 25631.0
1965-09-07 36621.52415547412 -1494.346857334423 25628.0
1965-09-08 36613.48733261948 -1495.0857313588917 
1965-09-09   
1965-09-10 36615.39861998827 -1497.2975320092185 25623.0
1965-09-11 36627.301399594064 -1499.918725563146 25622.0
1965-09-12 36589.33322202887 -1498.363896833499 25622.0
1965-09-13   
1965-09-14 36612.139261187374 -1503.565003390867 25628.0
1965-09-15 36594.37261097413 -1497.5039930451926 25625.0
1965-09-16   
1965-09-17 36588.29045953282 -1499.3872911491835 25629.0
1965-09-18 36595.328197433904 -1498.609396106601 25625.0
1965-09-19 36613.18214162362 -1502.541002533123 25624.0
1965-09-20   25627.0
1965-09-21   25626.0
1965-09-22   25628.0
1965-09-23   
1965-09-24   
1965-09-25 36600.324010271426 -1498.8139788341862 25624.0
1965-09-26 36598.2384304986 -1500.8613474853607 25629.0
1965-09-27 36605.14515658818 -1503.2777737692822 25629.0
1965-09-28 36576.16958039151 -1502.0878224798591 25633.0
1965-09-29 36599.23759068398 -1500.9023221597301 25628.0
1965-09-30 36606.27536431645 -1500.1243121284754 25629.0
1965-10-01 36619.39527977324 -1497.460965675322 25629.0
1965-10-02 36603.408640633366 -1496.8072310109073 25621.0
1965-10-03 36605.36341230439 -1497.9537553366192 25620.0
1965-10-04 36604.407805579605 -1496.8480894274333 25611.0
1965-10-05 36619.351704906534 -1498.526180071162 25626.0
1965-10-06 36608.36090357628 -1498.0764177797355 25625.0
1965-10-07   
1965-10-08 36622.52332398213 -1494.3876285572032 25617.0
1965-10-09 36610.44632844501 -1496.0282858445848 25620.0
1965-10-10 36613.44382684804 -1496.1507739005203 25620.0
1965-10-11 36612.53163890206 -1493.9799163294026 25624.0
1965-10-12 36611.4019602033 -1497.1340983431146 25620.0
1965-10-13 36608.404465364576 -1497.0115230935369 25627.0
1965-10-14 36606.44966390764 -1495.8649684366708 25625.0
1965-10-15 36610.44632844501 -1496.0282858445848 25628.0
1965-10-16   
1965-10-17 36622.61020195315 -1492.2570139881182 25629.0
1965-10-18 36622.392774611966 -1497.5835409248998 
1965-10-19 36622.17457256114 -1502.9100361818184 
1965-10-20 36623.391939558205 -1497.624399341426 
1965-10-21 36619.2207943917 -1501.7218156471229 25628.0
1965-10-22 36620.52498696612 -1494.306086111643 25626.0
1965-10-23 36594.241789757056 -1500.6974487878822 25629.0
1965-10-24 36599.28123467837 -1499.8376928587506 25632.0
1965-10-25 36593.41699117095 -1496.398646845648 25637.0
1965-10-26 36617.30977391901 -1499.5095601079756 25637.0
1965-10-27 36621.30642418903 -1499.6732262900437 25642.0
1965-10-28 36608.404465364576 -1497.0115230935369 25629.0
1965-10-29 36615.44215911673 -1496.2324326044773 25631.0
1965-10-30 36612.40112514955 -1497.1749567596407 25629.0
1965-10-31 36616.615176683415 -1492.0127354274564 25630.0
1965-11-01 36612.5750815262 -1492.9149003231641 
1965-11-02   
1965-11-03   
1965-11-04 36630.516672046186 -1494.7137983394437 25629.0
1965-11-05 36619.48233654906 -1495.3305330832711 25632.0
1965-11-06 36595.24094994244 -1500.7384234622518 25632.0
1965-11-07 36596.24011012783 -1500.7793981366215 25630.0
1965-11-08 36614.35588612005 -1498.321742665968 25629.0
1965-11-09 36613.31312364899 -1499.3458939259076 25628.0
1965-11-10 36622.392774611966 -1497.5835409248998 25627.0
1965-11-11 36627.257753230675 -1500.984169937649 25627.0
1965-11-12 36632.34083375138 -1499.057717324666 25629.0
1965-11-13 36621.39360966573 -1497.542682508374 25630.0
1965-11-14 36621.35003242113 -1498.6079550332395 25633.0
1965-11-15 36620.219954577085 -1501.7627903214925 25635.0
1965-11-16 36624.172890547256 -1502.9920436593063 25633.0
1965-11-17 36626.25859185381 -1500.9432243276883 25631.0
1965-11-18 36624.172890547256 -1502.9920436593063 25629.0
1965-11-19 36608.230032352454 -1501.2710942290569 25627.0
1965-11-20 36597.32652256892 -1498.691229197635 25631.0
1965-11-21 36604.1459987883 -1503.2367409661988 25632.0
1965-11-22   25631.0
1965-11-23 36617.22247402093 -1501.6398662983836 25630.0
1965-11-24 36620.2636235926 -1500.6975506679244 25629.0
1965-11-25 36618.396114826995 -1497.4201072587962 25629.0
1965-11-26 36616.441325251064 -1496.2732619564558 25627.0
1965-11-27 36617.26613946199 -1500.5747138380425 25624.0
1965-11-28 36620.39444471948 -1497.501824091848 25627.0
1965-11-29 36622.349196178424 -1498.6488425142784 25627.0
1965-11-30 36617.44049138541 -1496.3140913084344 25628.0
1965-12-01 36600.367593517905 -1497.7493179314251 25627.0
1965-12-02 36604.1459987883 -1503.2367409661988 25632.0
1965-12-03 36610.140945587606 -1503.4829377847 25631.0
1965-12-04 36612.18298263056 -1502.499998794379 25631.0
1965-12-05 36612.226673094 -1501.4349929265354 25631.0
1965-12-06 36616.223313835544 -1501.598891624014 25630.0
1965-12-07 36615.267816708256 -1500.4928226181212 25625.0
1965-12-08 36625.25943047694 -1500.9022787177278 25626.0
1965-12-09 36613.225833279386 -1501.475967600905 25629.0
