H,X,Y,Z,date
NA,15581.233868122186,-878.8555893217832,NA,1929-01-01
NA,15584.945436749967,-884.0677199889092,NA,1929-01-02
NA,15585.0481972011,-882.254323264403,NA,1929-01-03
NA,15579.288138874526,-877.8365940899835,NA,1929-01-04
NA,15573.374157939368,-876.1400212444956,NA,1929-01-05
NA,15567.485429557839,-873.9916478459021,NA,1929-01-06
NA,15574.423527828609,-875.2901095172344,NA,1929-01-07
NA,NA,NA,NA,1929-01-08
NA,NA,NA,NA,1929-01-09
NA,NA,NA,NA,1929-01-10
NA,NA,NA,NA,1929-01-11
NA,NA,NA,NA,1929-01-12
NA,NA,NA,NA,1929-01-13
NA,NA,NA,NA,1929-01-14
NA,NA,NA,NA,1929-01-15
NA,NA,NA,NA,1929-01-16
NA,NA,NA,NA,1929-01-17
NA,NA,NA,NA,1929-01-18
NA,NA,NA,NA,1929-01-19
NA,NA,NA,NA,1929-01-20
NA,NA,NA,NA,1929-01-21
NA,NA,NA,NA,1929-01-22
NA,NA,NA,NA,1929-01-23
NA,NA,NA,NA,1929-01-24
NA,NA,NA,NA,1929-01-25
NA,NA,NA,NA,1929-01-26
NA,NA,NA,NA,1929-01-27
NA,NA,NA,NA,1929-01-28
NA,NA,NA,NA,1929-01-29
NA,NA,NA,NA,1929-01-30
NA,NA,NA,NA,1929-01-31
NA,NA,NA,NA,1929-02-01
NA,15579.313667514678,-877.3834105967521,46336.0,1929-02-02
NA,15577.393328636597,-875.9115737036741,46338.0,1929-02-03
NA,15582.359948901123,-876.6455514529326,46339.0,1929-02-04
NA,15580.312085463122,-877.4396387056086,46336.0,1929-02-05
NA,NA,NA,NA,1929-02-06
NA,15573.70436086951,-870.2508145552362,46334.0,1929-02-07
NA,15574.57605755901,-872.5718465029973,46346.0,1929-02-08
NA,15569.963013375913,-865.4985627406274,46345.0,1929-02-09
NA,15571.783350774202,-868.7803384926299,46345.0,1929-02-10
NA,15570.759626758736,-869.1775685670793,46344.0,1929-02-11
NA,15572.680598946357,-870.6480133783758,46340.0,1929-02-12
NA,15579.390174339538,-876.023855664154,46338.0,1929-02-13
NA,15577.647461933664,-871.3802566684839,46338.0,1929-02-14
NA,15581.53969732658,-873.4166592388514,46339.0,1929-02-15
NA,15582.334441723135,-877.0988235592099,46338.0,1929-02-16
NA,15542.580710718876,-853.5460449147066,46332.0,1929-02-17
NA,15544.676923814442,-851.8470133954305,46327.0,1929-02-18
NA,NA,NA,NA,1929-02-19
NA,15562.0256452762,-864.1491860586729,46348.0,1929-02-20
NA,15567.865298428243,-867.1989679385508,46344.0,1929-02-21
NA,NA,NA,NA,1929-02-22
NA,15570.264180785216,-860.0635677418692,NA,1929-02-23
NA,15572.655266233776,-871.1010039263135,NA,1929-02-24
NA,15568.888971364626,-866.8017058825468,NA,1929-02-25
NA,15567.293753957925,-859.4452734075647,46337.0,1929-02-26
NA,NA,NA,NA,1929-02-27
NA,NA,NA,NA,1929-02-28
NA,15555.411818790135,-856.97383148156,46359.0,1929-03-01
NA,15557.95634693884,-865.2851014235014,46357.0,1929-03-02
NA,15562.126088255827,-862.3384563078284,46354.0,1929-03-03
NA,15565.81792274655,-867.9933155861833,46349.0,1929-03-04
NA,15572.604561277785,-872.0069828105344,46348.0,1929-03-05
NA,15571.959930525249,-865.6095667886897,46348.0,1929-03-06
NA,15569.240679679773,-860.4613054661434,46351.0,1929-03-07
NA,15566.145045502239,-862.1069669049841,46348.0,1929-03-08
NA,15568.8637505382,-867.2545861381365,46352.0,1929-03-09
NA,15574.601433055856,-872.1188000808826,46347.0,1929-03-10
NA,15574.753409285637,-869.4005060646278,46359.0,1929-03-11
NA,NA,NA,46346.0,1929-03-12
NA,15532.843225692734,-848.4794199338778,46341.0,1929-03-13
NA,15552.366487658059,-857.7136081295149,46364.0,1929-03-14
NA,15561.25286941636,-860.0198451670522,46373.0,1929-03-15
NA,15536.240982384164,-859.5441450482583,46335.0,1929-03-16
NA,15548.497109765987,-855.2319145113299,46346.0,1929-03-17
NA,15560.10406398983,-862.6804262339481,46361.0,1929-03-18
NA,15566.119961241393,-862.559767344992,46360.0,1929-03-19
NA,15570.214117965279,-860.9694075370563,46350.0,1929-03-20
NA,15552.515950046221,-854.9991950627059,46345.0,1929-03-21
NA,15558.232421837565,-860.3068685547269,46361.0,1929-03-22
NA,15563.224795224112,-860.5829264640308,46357.0,1929-03-23
NA,15566.145045502239,-862.1069669049841,46354.0,1929-03-24
NA,15564.097930536029,-862.9018534480738,46357.0,1929-03-25
NA,15571.909545049295,-866.5155052292121,46348.0,1929-03-26
NA,15570.911089705294,-866.4599451173098,46347.0,1929-03-27
NA,15575.701245644592,-870.3623994782462,46339.0,1929-03-28
NA,15564.81947387402,-867.9376392991027,46341.0,1929-03-29
NA,15566.81637161908,-868.0489918732638,46346.0,1929-03-30
NA,15569.887425092027,-866.8572950383143,46345.0,1929-03-31
NA,15571.808615981732,-868.3273733086667,46343.0,1929-04-01
NA,15571.036946502078,-864.195238743664,46342.0,1929-04-02
NA,15569.836967029696,-867.7631129032468,46350.0,1929-04-03
NA,NA,NA,46358.0,1929-04-04
NA,15571.162473909342,-861.9305140888432,46360.0,1929-04-05
NA,15569.040019673415,-864.0844089599201,46361.0,1929-04-06
NA,15573.982023876162,-865.2675424296211,46369.0,1929-04-07
NA,NA,NA,46364.0,1929-04-08
NA,15571.934744375443,-866.0625363753644,46362.0,1929-04-09
NA,15575.005648701619,-864.8699572263081,46366.0,1929-04-10
NA,15577.799309216913,-868.6614310311502,46362.0,1929-04-11
