D,H,X,Y,Z,date
NA,NA,24607.35078415653,284.90065895160706,NA,1964-01-01
NA,NA,NA,NA,-6133.0,1964-01-02
NA,NA,24561.33728149641,285.79703387971495,-6152.0,1964-01-03
NA,NA,24575.344641648244,285.2450599237015,-6150.0,1964-01-04
NA,NA,24581.360794861204,283.8846118769631,-6150.0,1964-01-05
NA,NA,NA,NA,NA,1964-01-06
NA,NA,NA,NA,NA,1964-01-07
NA,NA,24587.225573619293,295.397345894125,-6166.0,1964-01-08
NA,NA,24586.302134924383,288.94866362856493,-6168.0,1964-01-09
NA,NA,24577.336198424473,285.98319813253727,-6176.0,1964-01-10
NA,NA,NA,NA,NA,1964-01-11
NA,NA,24580.310941965367,288.1631418099692,-6171.0,1964-01-12
NA,NA,NA,NA,NA,1964-01-13
NA,NA,NA,NA,-6167.0,1964-01-14
NA,NA,24592.301720608844,289.01917330734204,-6166.0,1964-01-15
NA,NA,NA,NA,-6167.0,1964-01-16
NA,NA,NA,NA,-6168.0,1964-01-17
NA,NA,24581.377268998935,282.45452579570986,-6164.0,1964-01-18
NA,NA,24585.242860463222,293.94300815325147,-6164.0,1964-01-19
NA,NA,24591.31018614247,288.29208959940496,-6157.0,1964-01-20
NA,NA,24589.23401234864,294.70610098354604,NA,1964-01-21
NA,NA,NA,NA,-6156.0,1964-01-22
NA,NA,24600.31794647993,287.6819982160235,-6149.0,1964-01-23
NA,NA,24586.352191508828,284.6575400179655,-6154.0,1964-01-24
NA,NA,24579.268840776378,291.72633209834385,-6143.0,1964-01-25
NA,NA,NA,NA,-6157.0,1964-01-26
NA,NA,NA,NA,NA,1964-01-27
NA,NA,24599.392483754014,281.230208595234,-6145.0,1964-01-28
NA,NA,24574.294552084742,289.522481645549,NA,1964-01-29
NA,NA,24585.41783294828,278.92468400781894,-6151.0,1964-01-30
NA,NA,NA,NA,NA,1964-01-31
NA,NA,24580.335995348483,286.01810392994145,-6151.0,1964-02-01
NA,NA,24590.35192344172,284.7038483862782,-6147.0,1964-02-02
NA,NA,NA,NA,-6149.0,1964-02-03
NA,NA,NA,NA,-6153.0,1964-02-04
NA,NA,24595.301513451075,289.05442814673063,-6154.0,1964-02-05
NA,NA,24580.335995348483,286.01810392994145,-6159.0,1964-02-06
NA,NA,NA,NA,-6154.0,1964-02-07
NA,NA,24572.336536884453,285.9250218035303,-6153.0,1964-02-08
NA,NA,NA,NA,-6154.0,1964-02-09
NA,NA,24583.36890964007,283.1926067927713,-6155.0,1964-02-10
NA,NA,24577.369307709712,283.1234932828768,-6158.0,1964-02-11
NA,NA,24588.385015132728,281.81970760787885,-6156.0,1964-02-12
NA,NA,24561.328957606285,286.5114940991241,-6152.0,1964-02-13
NA,NA,24569.402604344334,280.17256403474096,-6149.0,1964-02-14
NA,NA,24578.344439586355,285.2798784605356,-6156.0,1964-02-15
NA,NA,24581.458391700526,275.3040811461557,-6150.0,1964-02-16
NA,NA,24579.410097037467,279.5716038025457,-6152.0,1964-02-17
NA,NA,NA,NA,NA,1964-02-18
NA,NA,24584.393463907003,281.0587337312476,-6149.0,1964-02-19
NA,NA,24587.481952493417,273.2256133866017,-6150.0,1964-02-20
NA,NA,24551.42002083943,278.53897451677625,-6153.0,1964-02-21
NA,NA,NA,NA,NA,1964-02-22
NA,NA,NA,NA,NA,1964-02-23
NA,NA,24574.47480106657,273.7960038860398,-6146.0,1964-02-24
NA,NA,NA,NA,NA,1964-02-25
NA,NA,24558.499578176114,271.47461893081794,NA,1964-02-26
NA,NA,NA,NA,NA,1964-02-27
NA,NA,NA,NA,NA,1964-02-28
NA,NA,NA,NA,NA,1964-02-29
NA,NA,24581.474366643048,273.87398940146954,-6147.0,1964-03-01
NA,NA,24582.418025997496,278.8906508174328,-6146.0,1964-03-02
NA,NA,24591.48964424567,272.55472286850426,-6149.0,1964-03-03
NA,NA,24531.509105479003,270.46258114699526,-6156.0,1964-03-04
NA,NA,24547.500250189147,271.3530301356942,-6156.0,1964-03-05
NA,NA,24557.50752543345,270.74921658130097,-6147.0,1964-03-06
NA,NA,24561.615524432113,260.7907781640521,-6152.0,1964-03-07
NA,NA,24558.507464662467,270.7602410210819,-6148.0,1964-03-08
NA,NA,24558.499578176114,271.47461893081794,-6152.0,1964-03-09
NA,NA,NA,NA,-6147.0,1964-03-10
NA,NA,24573.522273324445,269.4959784997375,-6145.0,1964-03-11
NA,NA,24553.55464150209,266.4197191861126,-6145.0,1964-03-12
NA,NA,24574.514363156923,270.221788525811,-6140.0,1964-03-13
NA,NA,24569.49890616308,271.5962077259417,-6140.0,1964-03-14
NA,NA,24578.482508125104,273.12560807851764,NA,1964-03-15
NA,NA,24577.53767239868,268.10998083550857,NA,1964-03-16
NA,NA,24572.553523122475,266.62586761472335,NA,1964-03-17
NA,NA,24576.490565456435,272.3884836604765,NA,1964-03-18
NA,NA,NA,NA,-6135.0,1964-03-19
NA,NA,24591.457764597122,275.4160707654642,NA,1964-03-20
NA,NA,24568.50685695264,270.87048541889186,NA,1964-03-21
NA,NA,24561.530820000844,268.649917455393,NA,1964-03-22
NA,NA,24559.546526209775,267.1992270522955,NA,1964-03-23
NA,NA,NA,NA,NA,1964-03-24
NA,NA,24567.522634112236,269.4301809058006,-6137.0,1964-03-25
NA,NA,24573.482816809374,273.0700495740265,-6133.0,1964-03-26
NA,NA,NA,NA,NA,1964-03-27
NA,NA,NA,NA,NA,1964-03-28
NA,NA,NA,NA,-6129.0,1964-03-29
NA,NA,NA,NA,-6134.0,1964-03-30
NA,NA,NA,NA,NA,1964-03-31
NA,NA,NA,NA,-6141.0,1964-04-01
NA,NA,24545.531777004464,268.47492259811634,-6140.0,1964-04-02
NA,NA,24565.538386338678,267.9790837375784,-6140.0,1964-04-03
NA,NA,24574.522213193144,269.5069447653936,-6138.0,1964-04-04
NA,NA,NA,NA,NA,1964-04-05
NA,NA,24573.591985084495,263.0626362505198,-6140.0,1964-04-06
NA,NA,24576.64487551757,258.0904157384664,-6140.0,1964-04-07
NA,NA,24580.614453510978,260.99250534660786,-6141.0,1964-04-08
NA,NA,NA,NA,-6140.0,1964-04-09
NA,NA,NA,NA,-6142.0,1964-04-10
NA,NA,24581.560741636353,266.0084683659905,-6141.0,1964-04-11
NA,NA,NA,NA,-6141.0,1964-04-12
NA,NA,NA,NA,NA,1964-04-13
NA,NA,24590.529085431775,268.96709563420694,-6142.0,1964-04-14
NA,NA,NA,NA,NA,1964-04-15
NA,NA,24576.553287674134,266.66926728390456,NA,1964-04-16
NA,NA,24570.622595634162,260.1716028161723,NA,1964-04-17
NA,NA,24574.56115146463,265.93272255471595,-6146.0,1964-04-18
NA,NA,NA,NA,-6151.0,1964-04-19
NA,NA,24571.569051434624,265.1855022059174,NA,1964-04-20
NA,NA,NA,NA,NA,1964-04-21
NA,NA,NA,NA,NA,1964-04-22
NA,NA,24579.560858730147,265.9868267056263,NA,1964-04-23
NA,NA,24584.568294411412,265.3257948656934,-6153.0,1964-04-24
NA,NA,24570.530281686304,268.7483520626111,NA,1964-04-25
NA,NA,NA,NA,-6157.0,1964-04-26
NA,NA,NA,NA,NA,1964-04-27
NA,NA,24546.492407877962,272.0560052444209,NA,1964-04-28
NA,NA,24577.55322881205,266.68011720119983,NA,1964-04-29
NA,NA,NA,NA,NA,1964-04-30
NA,NA,24538.52437791991,269.11215920177244,-6181.0,1964-05-01
NA,NA,NA,NA,-6177.0,1964-05-02
NA,NA,24558.554347191664,266.47396877258916,-6180.0,1964-05-03
NA,NA,NA,NA,NA,1964-05-04
NA,NA,NA,NA,NA,1964-05-05
NA,NA,24565.600082738983,262.2624161681889,-6174.0,1964-05-06
NA,NA,NA,NA,-6174.0,1964-05-07
NA,NA,NA,NA,NA,1964-05-08
NA,NA,NA,NA,NA,1964-05-09
NA,NA,24557.608154638503,261.4626612585546,NA,1964-05-10
NA,NA,NA,NA,NA,1964-05-11
NA,NA,24566.60002575534,262.273091562668,NA,1964-05-12
NA,NA,24578.545401825508,267.405928135883,NA,1964-05-13
NA,NA,NA,NA,NA,1964-05-14
NA,NA,NA,NA,NA,1964-05-15
NA,NA,24560.585071389316,263.6379165601865,NA,1964-05-16
NA,NA,24553.562380949465,265.7054851208923,NA,1964-05-17
NA,NA,NA,NA,NA,1964-05-18
NA,NA,NA,NA,NA,1964-05-19
NA,NA,NA,NA,NA,1964-05-20
NA,NA,24572.607304535468,261.6223558682243,NA,1964-05-21
NA,NA,24579.652208173655,257.40692536143786,NA,1964-05-22
NA,NA,NA,NA,NA,1964-05-23
NA,NA,NA,NA,NA,1964-05-24
NA,NA,NA,NA,NA,1964-05-25
NA,NA,NA,NA,NA,1964-05-26
NA,NA,24557.64592309529,257.8908991830497,NA,1964-05-27
NA,NA,24561.630655058474,259.36184085514935,NA,1964-05-28
NA,NA,24562.638133755525,258.65790182975377,NA,1964-05-29
NA,NA,24560.65324995571,257.2079614632292,NA,1964-05-30
NA,NA,24565.622875913417,260.1186621514287,NA,1964-05-31
NA,NA,24578.599341951573,262.40119629641725,NA,1964-06-01
NA,NA,NA,NA,NA,1964-06-02
NA,NA,24573.65253715746,257.34409465674037,NA,1964-06-03
NA,NA,NA,NA,NA,1964-06-04
NA,NA,24571.592099673704,263.04122728724406,NA,1964-06-05
NA,NA,24571.6300975757,259.46743131268926,NA,1964-06-06
NA,NA,NA,NA,NA,1964-06-07
NA,NA,24566.615242610762,260.8438642647247,NA,1964-06-08
NA,NA,NA,NA,NA,1964-06-09
NA,NA,NA,NA,NA,1964-06-10
NA,NA,NA,NA,NA,1964-06-11
NA,NA,NA,NA,NA,1964-06-12
NA,NA,24551.616088074814,260.684605962707,-6155.0,1964-06-13
NA,NA,24555.608267985575,261.441368643932,-6152.0,1964-06-14
NA,NA,24562.59261532515,262.9448869525033,-6150.0,1964-06-15
NA,NA,24561.638189197074,258.64737187120346,-6148.0,1964-06-16
NA,NA,NA,NA,-6147.0,1964-06-17
NA,NA,24559.600424640867,262.19836380131426,-6148.0,1964-06-18
