date X Y Z
1964-01-01 29778.691883585117 -2047.5132972711085 -16966.0
1964-01-02 29722.823789327995 -2043.6719376058875 -16968.0
1964-01-03   
1964-01-04 29740.721894547252 -2045.7717837524588 -16962.0
1964-01-05 29750.698319992407 -2046.4580310382769 -16966.0
1964-01-06 29754.51016576546 -2049.329108601129 -16967.0
1964-01-07 29750.698319992407 -2046.4580310382769 -16965.0
1964-01-08 29762.31225918327 -2052.4760624351784 -16968.0
1964-01-09 29762.491258182094 -2049.8788029135785 -16971.0
1964-01-10 29748.464733292127 -2049.7821864955736 -16968.0
1964-01-11 29756.6841752595 -2046.8697794097677 -16964.0
1964-01-12 29756.56504284506 -2048.6009496559495 -16964.0
1964-01-13 29758.917438986377 -2043.5444354337978 -16965.0
1964-01-14 29754.629340545944 -2047.5980579016177 -16965.0
1964-01-15 29764.784379240344 -2045.6871357394748 -16967.0
1964-01-16 29753.45290605669 -2050.125890541064 -16966.0
1964-01-17 29744.890902687024 -2043.450559041472 -16968.0
1964-01-18 29763.02689524714 -2042.0869307635771 -16965.0
1964-01-19 29756.74370369839 -2046.004191688343 -16965.0
1964-01-20 29746.350170350535 -2051.3752808510612 -16963.0
1964-01-21 29756.624621641706 -2047.7353653992138 -16970.0
1964-01-22 29763.42925158581 -2050.8132986320447 -16964.0
1964-01-23 29767.3004119435 -2052.820056680215 -16967.0
1964-01-24 29757.741348238695 -2046.0727873966507 -16966.0
1964-01-25 29756.50543886962 -2049.4665321792413 -16969.0
1964-01-26 29749.64113780654 -2047.2547891576276 -16966.0
1964-01-27 29757.860333568624 -2044.3415487200746 -16964.0
1964-01-28 29766.302781391452 -2052.7512578312076 -16963.0
1964-01-29 29744.652935067137 -2046.9115204136374 -16963.0
1964-01-30 29757.741348238695 -2046.0727873966507 -16963.0
1964-01-31 29752.514892661304 -2049.1916850230164 -16964.0
1964-02-01 29760.61518383323 -2048.009980394406 -16963.0
1964-02-02 29764.962785784144 -2043.0896605105527 -16966.0
1964-02-03 29761.61282438111 -2048.078634143204 -16963.0
1964-02-04 29760.79379309934 -2045.412868987574 -16962.0
1964-02-05 29764.724860020837 -2046.5529573548033 -16962.0
1964-02-06 29750.353952074223 -2036.8700808597935 -16964.0
1964-02-07 29746.82674160581 -2044.4529353559217 -16965.0
1964-02-08 29754.048004687786 -2041.4708753089842 -16965.0
1964-02-09 29755.686532714983 -2046.8011546811858 -16964.0
1964-02-10 29751.81497428207 -2044.7957687957976 -16964.0
1964-02-11 29761.672387982075 -2047.2129030526767 -16966.0
1964-02-12 29768.77496538135 -2045.9614024913756 -16966.0
1964-02-13 29747.824388141064 -2044.5215020438968 -16967.0
1964-02-14 29759.736637319307 -2046.2099788132657 -16967.0
1964-02-15 29763.667673071108 -2047.3501525098404 -16963.0
1964-02-16 29772.76555152236 -2046.2356692432763 -16964.0
1964-02-17 29765.662958160137 -2047.487401967004 -16963.0
1964-02-18 29764.962785784144 -2043.0896605105527 -16968.0
1964-02-19 29766.660600704654 -2047.5560266955858 -16965.0
1964-02-20 29776.696594504505 -2047.3761058544935 -16967.0
1964-02-21 29741.89795709896 -2043.2449460387174 -16964.0
1964-02-22 29754.92683689593 -2043.270400845252 -16968.0
1964-02-23 29760.73428185961 -2046.2785745215733 -16964.0
1964-02-24 29766.720149101446 -2046.6901487714183 -16965.0
1964-02-25 29756.043313700975 -2041.607776521116 -16965.0
1964-02-26 29741.95738010198 -2042.3797884324779 -16965.0
1964-02-27 29752.052695674596 -2041.3339740968524 -16969.0
1964-02-28 29757.800853493583 -2045.2071689236486 -16968.0
1964-02-29 29760.152673218778 -2040.150206898795 -16968.0
1964-03-01 29766.89864316727 -2044.0925046108896 -16969.0
1964-03-02 29761.61282438111 -2048.078634143204 -16963.0
1964-03-03 29769.534344000287 -2049.4938256523797 -16963.0
1964-03-04 29726.410005231508 -2035.2307488027634 -16966.0
1964-03-05 29736.32741483651 -2036.7787993895236 -16964.0
1964-03-06 29739.142528620236 -2039.5790404912823 -16965.0
1964-03-07 29744.190137423553 -2039.0559258625772 -16965.0
1964-03-08 29747.18311288516 -2039.261103556868 -16968.0
1964-03-09 29745.009735483633 -2041.7200679779496 -16968.0
1964-03-10 29747.064423141623 -2040.9917210665228 -16970.0
1964-03-11 29754.807913887827 -2045.001468859723 -16968.0
1964-03-12 29740.7813910535 -2044.906660355423 -16967.0
1964-03-13 29758.038622714164 -2041.7446777332477 -16965.0
1964-03-14 29757.919788463765 -2043.4759267866614 -16968.0
1964-03-15 29760.09331506396 -2041.0158937856 -16967.0
1964-03-16 29764.66531561562 -2047.4187772384223 -16965.0
1964-03-17 29759.273651518426 -2038.3504934238106 -16962.0
1964-03-18 29761.73192639992 -2046.3471702298807 -16963.0
1964-03-19 29771.708371802975 -2047.033127312956 -16964.0
1964-03-20 29773.58451095568 -2048.9024791287807 -16961.0
1964-03-21 29763.905691599437 -2043.8869786694802 -16968.0
1964-03-22 29756.98156566394 -2042.5418234975114 -16967.0
1964-03-23 29737.96677801153 -2042.105753843932 -16971.0
1964-03-24 29744.30871455196 -2037.3254755753626 -16970.0
1964-03-25 29753.05035018119 -2041.4024247029183 -16968.0
1964-03-26 29755.34227433312 -2037.2116083716746 -16965.0
1964-03-27 29758.798500028835 -2045.2757356116238 -16966.0
1964-03-28 29768.834467391516 -2045.0954630635076 -16969.0
1964-03-29 29774.760844592864 -2046.3728026192266 -16967.0
1964-03-30 29729.46219443238 -2034.570871170566 -16967.0
1964-03-31 29738.263475714517 -2037.780520317133 -16965.0
1964-04-01 29729.106642022914 -2039.759610157337 -16969.0
1964-04-02 29718.54701245866 -2032.9553532442173 -16970.0
1964-04-03 29741.19716196195 -2038.8507481682864 -16971.0
1964-04-04 29739.261136190755 -2037.8488838611588 -16967.0
1964-04-05 29740.258796666993 -2037.9172474051843 -16971.0
1964-04-06 29744.30871455196 -2037.3254755753626 -16968.0
1964-04-07 29745.187795910755 -2039.1243184273408 -16970.0
1964-04-08 29752.171405321165 -2039.6030663806862 -16969.0
1964-04-09 29746.945632715036 -2042.7223316681602 -16970.0
1964-04-10 29753.05035018119 -2041.4024247029183 -16968.0
1964-04-11 29749.356287622442 -2036.8017753574172 -16969.0
1964-04-12 29755.04565919438 -2041.53932591505 -16969.0
1964-04-13 29759.974523209017 -2042.747262377402 -16968.0
1964-04-14 29761.969828239067 -2042.8842216306623 -16966.0
1964-04-15 29761.209666668 -2039.3528818297234 -16966.0
1964-04-16 29755.16438078277 -2039.808244074977 -16969.0
1964-04-17 29751.410856074635 -2036.0729537627924 -16967.0
1964-04-18 29750.17608834676 -2039.4662812511588 -16968.0
1964-04-19 29746.244759524423 -2038.3274286693384 -16970.0
1964-04-20 29749.059732154812 -2041.1286222786548 -16971.0
1964-04-21 29749.356287622442 -2036.8017753574172 -16970.0
1964-04-22 29756.16203926997 -2039.8766366397406 -16967.0
1964-04-23 29753.169063808367 -2039.6714589454498 -16971.0
1964-04-24 29760.97217572404 -2042.815742004032 -16968.0
1964-04-25 29754.048004687786 -2041.4708753089842 -16969.0
1964-04-26 29747.479396753053 -2034.9345295985909 -16969.0
1964-04-27 29730.400663038625 -2035.5039708122683 -16970.0
1964-04-28 29728.641958640856 -2031.9082890077036 -16971.0
1964-04-29 29735.211211038742 -2038.4403927797046 -16968.0
1964-04-30 29743.42952456836 -2035.526741911074 -16970.0
1964-05-01 29725.530691426273 -2033.4330854676869 -16969.0
1964-05-02 29734.509707241774 -2034.0473126121476 -16969.0
1964-05-03 29744.367965363544 -2036.4602478455358 -16971.0
1964-05-04 29741.07849610205 -2040.5810174301275 -16968.0
1964-05-05 29748.477065176998 -2035.0027770590866 -16968.0
1964-05-06 29752.467738872776 -2035.2757669010691 -16967.0
1964-05-07 29745.009735483633 -2041.7200679779496 -16968.0
1964-05-08 29759.273651518426 -2038.3504934238106 -16970.0
1964-05-09 29760.27131398286 -2038.4188279470404 -16967.0
1964-05-10 29749.23774095314 -2038.5325193014155 -16970.0
1964-05-11 29719.84005783482 -2028.701046659383 -16972.0
