date X Y Z
2008-01-01 13078.0 1226.0 50337.0
2008-01-02 13080.0 1227.0 50337.0
2008-01-03 13080.0 1228.0 50336.0
2008-01-04 13083.0 1227.0 50335.0
2008-01-05 13074.0 1237.0 50342.0
2008-01-06 13064.0 1235.0 50328.0
2008-01-07 13067.0 1230.0 50328.0
2008-01-08 13067.0 1239.0 50339.0
2008-01-09 13070.0 1232.0 50333.0
2008-01-10 13075.0 1231.0 50340.0
2008-01-11 13076.0 1233.0 50339.0
2008-01-12 13077.0 1231.0 50351.0
2008-01-13 13072.0 1241.0 50345.0
2008-01-14 13067.0 1234.0 50335.0
2008-01-15 13072.0 1231.0 50340.0
2008-01-16 13070.0 1232.0 50337.0
2008-01-17 13063.0 1230.0 50336.0
2008-01-18 13072.0 1232.0 50336.0
2008-01-19 13073.0 1235.0 50345.0
2008-01-20 13075.0 1229.0 50338.0
2008-01-21 13074.0 1235.0 50340.0
2008-01-22 13076.0 1230.0 50338.0
2008-01-23 13078.0 1230.0 50340.0
2008-01-24 13073.0 1229.0 50344.0
2008-01-25 13074.0 1232.0 50327.0
2008-01-26 13074.0 1230.0 50337.0
2008-01-27 13075.0 1236.0 50339.0
2008-01-28 13076.0 1231.0 50340.0
2008-01-29 13077.0 1229.0 50340.0
2008-01-30 13079.0 1230.0 50340.0
2008-01-31 13076.0 1231.0 50329.0
2008-02-01 13060.0 1253.0 50322.0
2008-02-02 13059.0 1233.0 50325.0
2008-02-03 13066.0 1237.0 50343.0
2008-02-04 13066.0 1232.0 50344.0
2008-02-05 13071.0 1233.0 50350.0
2008-02-06 13067.0 1238.0 50341.0
2008-02-07 13072.0 1233.0 50342.0
2008-02-08 13074.0 1233.0 50343.0
2008-02-09 13076.0 1232.0 50343.0
2008-02-10 13082.0 1234.0 50351.0
2008-02-11 13063.0 1236.0 50337.0
2008-02-12 13070.0 1235.0 50348.0
2008-02-13 13072.0 1237.0 50350.0
2008-02-14 13073.0 1240.0 50334.0
2008-02-15 13071.0 1235.0 50349.0
2008-02-16 13074.0 1234.0 50342.0
2008-02-17 13074.0 1232.0 50344.0
2008-02-18 13060.0 1239.0 50340.0
2008-02-19 13068.0 1231.0 50338.0
2008-02-20 13075.0 1234.0 50345.0
2008-02-21 13075.0 1233.0 50348.0
2008-02-22 13076.0 1232.0 50344.0
2008-02-23 13076.0 1234.0 50341.0
2008-02-24 13079.0 1233.0 50342.0
2008-02-25 13076.0 1231.0 50344.0
2008-02-26 13075.0 1235.0 50346.0
2008-02-27 13072.0 1241.0 50341.0
2008-02-28 13067.0 1242.0 50328.0
2008-02-29 13064.0 1251.0 50330.0
2008-03-01 13061.0 1240.0 50329.0
2008-03-02 13072.0 1237.0 50344.0
2008-03-03 13071.0 1237.0 50346.0
2008-03-04 13072.0 1234.0 50345.0
2008-03-05 13074.0 1238.0 50356.0
2008-03-06 13072.0 1236.0 50347.0
2008-03-07 13074.0 1235.0 50343.0
2008-03-08 13086.0 1231.0 50357.0
2008-03-09 13036.0 1237.0 50306.0
2008-03-10 13057.0 1242.0 50328.0
2008-03-11 13074.0 1237.0 50350.0
2008-03-12 13068.0 1237.0 50339.0
2008-03-13 13073.0 1236.0 50355.0
2008-03-14 13066.0 1241.0 50336.0
2008-03-15 13067.0 1239.0 50349.0
2008-03-16 13073.0 1234.0 50343.0
2008-03-17 13075.0 1239.0 50346.0
2008-03-18 13074.0 1233.0 50344.0
2008-03-19 13072.0 1240.0 50348.0
2008-03-20 13074.0 1236.0 50348.0
2008-03-21 13071.0 1235.0 50342.0
2008-03-22 13075.0 1238.0 50339.0
2008-03-23 13073.0 1233.0 50338.0
2008-03-24 13076.0 1234.0 50347.0
2008-03-25 13077.0 1233.0 50343.0
2008-03-26 13059.0 1237.0 50337.0
2008-03-27 13000.0 1247.0 50304.0
2008-03-28 13054.0 1250.0 50339.0
2008-03-29 13066.0 1239.0 50348.0
2008-03-30 13063.0 1236.0 50344.0
2008-03-31 13072.0 1239.0 50352.0
2008-04-01 13070.0 1241.0 50350.0
2008-04-02 13072.0 1239.0 50352.0
2008-04-03 13075.0 1236.0 50348.0
2008-04-04 13067.0 1240.0 50344.0
2008-04-05 13071.0 1245.0 50350.0
2008-04-06 13069.0 1235.0 50338.0
2008-04-07 13068.0 1241.0 50335.0
2008-04-08 13074.0 1241.0 50344.0
2008-04-09 13069.0 1238.0 50344.0
2008-04-10 13074.0 1236.0 50343.0
2008-04-11 13074.0 1236.0 50352.0
2008-04-12 13068.0 1233.0 50348.0
2008-04-13 13078.0 1238.0 50354.0
2008-04-14 13074.0 1238.0 50350.0
2008-04-15 13072.0 1241.0 50343.0
2008-04-16 13062.0 1245.0 50335.0
2008-04-17 13072.0 1237.0 50349.0
2008-04-18 13077.0 1239.0 50350.0
2008-04-19 13074.0 1237.0 50341.0
