date,X,Y,Z
1964-01-01,8929.662618525379,-16046.732424992648,-48520.0
1964-01-02,NA,NA,NA
1964-01-03,NA,NA,-48540.0
1964-01-04,8912.47873510952,-16007.08480005715,-48547.0
1964-01-05,8917.566219788621,-16028.286767951367,-48519.0
1964-01-06,8915.391229873956,-16038.650168211992,-48519.0
1964-01-07,8933.571937604534,-16054.856630803177,-48501.0
1964-01-08,8936.623412940515,-16040.567507893335,-48527.0
1964-01-09,8914.785747742028,-16004.655418716631,-48528.0
1964-01-10,8903.165521354118,-16039.721590456964,-48539.0
1964-01-11,8914.400138100515,-16035.768742964383,-48551.0
1964-01-12,NA,NA,NA
1964-01-13,8904.878909541021,-16029.619477904382,-48528.0
1964-01-14,8919.239725020598,-16043.375540316149,-48516.0
1964-01-15,8929.195834222483,-16046.992171559874,-48517.0
1964-01-16,8913.447820341558,-16035.154004687585,-48520.0
1964-01-17,8922.716749998306,-16054.027992977328,-48525.0
1964-01-18,8912.144274102586,-16041.598593581017,-48524.0
1964-01-19,NA,NA,NA
1964-01-20,8914.553599117067,-16044.83590219822,-48519.0
1964-01-21,8918.267918556769,-16041.627515088396,-48518.0
1964-01-22,8911.715491976182,-16044.124656399043,-48496.0
1964-01-23,8925.499534708968,-16051.336830803533,-48504.0
1964-01-24,8944.175060901589,-16068.411012914316,-48503.0
1964-01-25,8901.727043863077,-16010.778139633212,-48515.0
1964-01-26,8923.51716644659,-16045.573887528391,-48513.0
1964-01-27,8912.029116280226,-16034.798471779228,-48513.0
1964-01-28,8915.333046222822,-16035.25009704954,-48503.0
1964-01-29,8907.944288045075,-16043.93123773239,-48487.0
1964-01-30,8913.524987840683,-16039.687412513369,-48509.0
1964-01-31,8916.304903534232,-16036.99809400785,-48478.0
1964-02-01,8914.36118891141,-16033.502100091231,-48526.0
1964-02-02,8918.905919317134,-16051.569586877471,-48509.0
1964-02-03,8920.24975370495,-16047.390577023007,-48501.0
1964-02-04,8930.206974434488,-16051.007052324214,-48511.0
1964-02-05,8915.779944667904,-16033.857426653687,-48531.0
1964-02-06,NA,NA,-48509.0
1964-02-07,8909.361961396875,-16016.830318162654,-48509.0
1964-02-08,8920.016916761155,-16033.7893900567,-48520.0
1964-02-09,8908.037163313378,-16049.598434136218,-48533.0
1964-02-10,8908.278274342612,-16035.738654233406,-48533.0
1964-02-11,8908.278274342612,-16035.738654233406,-48519.0
1964-02-12,8915.818974878526,-16036.124095528696,-48489.0
1964-02-13,NA,NA,-48503.0
1964-02-14,8905.983755651036,-16039.300774786907,-48512.0
1964-02-15,8906.488027739688,-16041.3083946332,-48496.0
1964-02-16,8910.16332243494,-16035.835324906999,-48494.0
1964-02-17,8913.134509773457,-16044.480334703441,-48482.0
1964-02-18,8918.382494646045,-16048.428386580134,-48482.0
1964-02-19,8904.621476467993,-16042.344602981977,-48501.0
1964-02-20,8917.445535445122,-16021.48748157829,-48495.0
1964-02-21,8905.55476717488,-16041.826525955476,-48522.0
1964-02-22,8909.114307084386,-16029.55405690702,-48500.0
1964-02-23,8910.763236282106,-16043.509670484298,-48494.0
1964-02-24,8915.915528541345,-16041.791024942173,-48499.0
1964-02-25,8911.306387839782,-16020.325916224236,-48493.0
1964-02-26,8912.349936497993,-16054.066855765994,-48507.0
1964-02-27,8906.199497888547,-16024.30964203481,-48512.0
1964-02-28,8891.298126127778,-16033.7261306384,-48491.0
1964-02-29,8899.787183373503,-16034.734456505998,-48516.0
1964-03-01,8904.191968036388,-16044.87037642736,-48501.0
1964-03-02,8903.258500247764,-16045.38837416427,-48502.0
1964-03-03,8901.07163104453,-16027.158600919074,-48495.0
1964-03-04,8870.906353153125,-15969.559933623328,NA
1964-03-05,NA,NA,-48544.0
1964-03-06,8892.036849496317,-16050.46671181868,-48525.0
1964-03-07,8885.674373407644,-16007.112635630658,-48554.0
1964-03-08,NA,NA,-48561.0
1964-03-09,8888.984387216591,-16036.15233040082,-48541.0
1964-03-10,8906.916869272869,-16038.78261851137,-48493.0
1964-03-11,8898.105772529847,-16047.102999011098,-48489.0
1964-03-12,NA,NA,-48540.0
1964-03-13,8893.34767379881,-16044.023907765075,-48501.0
1964-03-14,8887.455838405387,-16028.995998514505,-48490.0
1964-03-15,8896.614401571085,-16042.2126961887,-48496.0
1964-03-16,8905.199265043459,-16048.886006507411,-48509.0
1964-03-17,8901.500330293633,-16053.224843307415,-48492.0
1964-03-18,8906.673081158635,-16052.642730259842,-48490.0
1964-03-19,8903.835083043277,-16051.930002774363,-48486.0
1964-03-20,8909.456219829808,-16049.954481771467,-48486.0
1964-03-21,8851.136961235496,-15993.098995924802,-48514.0
1964-03-22,8896.371064156028,-16027.480865340234,-48483.0
1964-03-23,8884.37304241382,-16042.137003629867,-48489.0
1964-03-24,8889.560023834476,-16042.693152418144,-48477.0
1964-03-25,8884.136291014129,-16027.406133329427,NA
1964-03-26,NA,NA,-48522.0
1964-03-27,8901.98526711703,-16054.099392492602,-48495.0
1964-03-28,8901.015393470234,-16052.350294122227,-48495.0
1964-03-29,8905.272189899868,-16053.419922988249,-48485.0
1964-03-30,8877.622091042462,-16003.57544452598,-48497.0
1964-03-31,8899.469506896656,-16044.059694971738,-48491.0
1964-04-01,8888.792530056247,-15997.373795645843,-48523.0
1964-04-02,NA,NA,NA
1964-04-03,8872.424919479343,-16030.463500728916,-48553.0
1964-04-04,8862.73992338778,-16012.964905050792,-48550.0
1964-04-05,8860.337223955747,-16009.722929450847,-48546.0
1964-04-06,8882.092452852647,-16046.828803815975,-48510.0
1964-04-07,8873.248417074328,-16023.149457234927,-48494.0
1964-04-08,8893.006061644064,-16052.216176826236,-48492.0
1964-04-09,8894.944485939555,-16055.715106841348,-48507.0
1964-04-10,8894.9794976121,-16057.982087954277,-48489.0
1964-04-11,8901.93117826212,-16050.69896601032,-48477.0
1964-04-12,8902.55905658349,-16060.641682200723,-48487.0
1964-04-13,8899.632392513944,-16054.260471230573,-48492.0
1964-04-14,8897.208217205458,-16049.887443209427,-48490.0
1964-04-15,8894.207899704563,-16038.973341109866,-48478.0
1964-04-16,8887.190788757587,-16041.719386780904,-48504.0
1964-04-17,8862.81326232138,-16017.495967760387,-48520.0
1964-04-18,8906.488027739688,-16041.3083946332,-48472.0
1964-04-19,8894.226277942662,-16040.106605529596,-48498.0
1964-04-20,NA,NA,-48500.0
1964-04-21,8886.2395696673,-16041.103151294774,-48502.0
1964-04-22,8901.518268529446,-16054.358333955193,-48485.0
1964-04-23,8888.698029237847,-16047.743528141993,-48479.0
1964-04-24,NA,NA,NA
1964-04-25,8898.051073139199,-16043.702911105229,-48486.0
1964-04-26,8856.18191560637,-16014.30741173925,-48501.0
1964-04-27,8845.47423038278,-15964.22834463458,-48505.0
1964-04-28,NA,NA,-48578.0
1964-04-29,NA,NA,-48509.0
1964-04-30,8888.835823472262,-16027.087280705631,-48486.0
1964-05-01,8885.931961406453,-16051.561362598195,-48528.0
1964-05-02,8865.55319802959,-16012.550561759588,-48507.0
1964-05-03,8856.377559444469,-16026.76815594986,-48504.0
1964-05-04,8892.485955786711,-16049.074662613295,-48493.0
1964-05-05,8891.622745576391,-16054.125605287525,-48487.0
1964-05-06,8893.957629441033,-16052.832201381401,-48481.0
1964-05-07,8883.924161629191,-16043.528679515022,-48480.0
1964-05-08,8894.944485939555,-16055.715106841348,-48483.0
1964-05-09,8901.589437342996,-16058.892442786446,-48479.0
1964-05-10,NA,NA,NA
1964-05-11,NA,NA,-48567.0
1964-05-12,8888.750925774175,-16051.14360348037,-48485.0
1964-05-13,8900.979290887164,-16050.083384929745,-48472.0
1964-05-14,8891.498753461832,-16046.1919132605,-48461.0
1964-05-15,8862.47319237702,-16025.683695692946,NA
1964-05-16,NA,NA,NA
1964-05-17,8891.983435868671,-16047.06660347109,-48471.0
1964-05-18,8894.459879865683,-16054.84037433757,-48480.0
1964-05-19,8888.284013172606,-16051.402159972826,-48472.0
1964-05-20,8898.301839341837,-16059.571114322003,-48476.0
1964-05-21,8898.249067539551,-16056.170543813725,-48463.0
1964-05-22,8891.929496537974,-16043.666626697212,-48480.0
1964-05-23,8882.470877781387,-16040.904186029089,-48489.0
1964-05-24,NA,NA,-48503.0
1964-05-25,8879.994642596126,-16033.130672063524,-48476.0
1964-05-26,8883.008417412013,-16045.178760493362,-48498.0
1964-05-27,8847.795630250415,-16018.942302328254,-48477.0
