date X Y Z
1995-01-01 21492.26493997137 -3157.732849700472 54036.0
1995-01-02 21481.126250536632 -3150.989687146883 54037.0
1995-01-03 21468.590755908725 -3160.6345811103297 54039.0
1995-01-04 21469.94772003384 -3158.282112005463 54040.0
1995-01-05 21470.937072953984 -3158.427648253194 54040.0
1995-01-06 21470.937072953984 -3158.427648253194 54040.0
1995-01-07 21472.91577879427 -3158.718720748656 54041.0
1995-01-08 21475.883837554702 -3159.155329491848 54042.0
1995-01-09 21474.710664552305 -3160.259146614944 54042.0
1995-01-10 21479.21938613364 -3157.0927389516037 54041.0
1995-01-11 21464.287056688936 -3155.535794133184 54045.0
1995-01-12 21480.116906557894 -3157.862992690738 54041.0
1995-01-13 21478.138175324275 -3157.572092871044 54040.0
1995-01-14 21482.18749567571 -3157.5290023425227 54040.0
1995-01-15 21484.074369025133 -3158.4447923301263 54040.0
1995-01-16 21470.498617240653 -3154.5348511416446 54041.0
1995-01-17 21446.936822035772 -3149.798398565567 54045.0
1995-01-18 21439.417898273827 -3166.5350437309203 54047.0
1995-01-19 21465.62274797012 -3160.197627020775 54045.0
1995-01-20 21479.678339472164 -3153.9686797446825 54041.0
1995-01-21 21479.933153184957 -3159.112649891697 54041.0
1995-01-22 21482.37115691195 -3156.279213991914 54041.0
1995-01-23 21481.198125828352 -3157.383581212216 54041.0
1995-01-24 21483.176865523066 -3157.674423472829 54039.0
1995-01-25 21482.18749567571 -3157.5290023425227 54040.0
1995-01-26 21488.582858360012 -3155.2761748215 54038.0
1995-01-27 21487.318048441663 -3157.006031846193 54038.0
1995-01-28 21492.54042231017 -3155.8572837445295 54038.0
1995-01-29 21470.498617240653 -3154.5348511416446 54042.0
1995-01-30 21455.107426231687 -3156.0990682895017 54040.0
1995-01-31 21459.870497779604 -3158.075239529381 54041.0
1995-02-01 21466.97966127341 -3157.845503262271 54041.0
1995-02-02 21465.276422305746 -3155.6812440430313 54042.0
1995-02-03 21457.086132071974 -3156.3901407849635 54041.0
1995-02-04 21462.032896672692 -3157.1178220236175 54043.0
1995-02-05 21472.91577879427 -3158.718720748656 54042.0
1995-02-06 21480.39240030007 -3155.988486850202 54042.0
1995-02-07 21471.466802919527 -3161.696116189018 54044.0
1995-02-08 21441.786850650828 -3157.3257119368104 54050.0
1995-02-09 21473.905131714415 -3158.8642569963863 54043.0
1995-02-10 21480.39240030007 -3155.988486850202 54041.0
1995-02-11 21468.51986062877 -3154.244123999933 54045.0
1995-02-12 21468.958367113697 -3158.1365757577328 54041.0
1995-02-13 21453.19913597464 -3162.1941484066065 54044.0
1995-02-14 21452.669499816016 -3158.928193495953 54046.0
1995-02-15 21463.64407601105 -3159.9063242944053 54042.0
1995-02-16 21470.223250389798 -3156.408493592267 54044.0
1995-02-17 21474.45613046442 -3155.1163054250674 54044.0
1995-02-18 21478.138175324275 -3157.572092871044 54044.0
1995-02-19 21477.424265382244 -3155.552396137635 54043.0
1995-02-20 21478.413643688185 -3155.6977597084906 54044.0
1995-02-21 21480.116906557894 -3157.862992690738 54042.0
1995-02-22 21483.89058179777 -3159.6946797659343 54043.0
1995-02-23 21473.65026458755 -3153.7216608602234 54045.0
1995-02-24 21485.063734641943 -3158.5902422399736 54043.0
1995-02-25 21485.33929182978 -3156.7153047044812 54042.0
1995-02-26 21460.78823669225 -3151.832682718352 54047.0
1995-02-27 21455.19922435489 -3155.4749631777136 54046.0
1995-02-28 21447.079318322016 -3162.56695005877 54048.0
1995-03-01 21451.49636125337 -3160.030516171233 54047.0
1995-03-02 21452.94508661901 -3157.0560828894522 54048.0
1995-03-03 21461.84918668263 -3158.3664271407897 54049.0
1995-03-04 21458.901128733844 -3150.9178578987753 54047.0
1995-03-05 21447.72284110457 -3158.1997927872517 54046.0
1995-03-06 21460.85984223112 -3158.2208333350854 54047.0
1995-03-07 21472.91577879427 -3158.718720748656 54046.0
1995-03-08 21479.21938613364 -3157.0927389516037 54046.0
1995-03-09 21476.689353455335 -3160.5503342263523 54043.0
1995-03-10 21460.400270640966 -3161.3421554575657 54046.0
1995-03-11 21460.837483303425 -3165.233564089485 54045.0
1995-03-12 21445.813961303676 -3164.292580838926 54046.0
1995-03-13 21444.958048513417 -3149.5077865437406 54049.0
