date X Y Z
1932-01-01 18426.0 -1775.0 43023.0
1932-01-02 18424.0 -1774.0 43024.0
1932-01-03 18427.0 -1778.0 43022.0
1932-01-04 18430.0 -1779.0 43023.0
1932-01-05 18431.0 -1779.0 43022.0
1932-01-06 18437.0 -1784.0 43020.0
1932-01-07 18437.0 -1779.0 43021.0
1932-01-08 18426.0 -1785.0 43022.0
1932-01-09 18428.0 -1775.0 43024.0
1932-01-10 18430.0 -1776.0 43026.0
1932-01-11 18428.0 -1774.0 43028.0
1932-01-12 18426.0 -1778.0 43028.0
1932-01-13 18429.0 -1775.0 43030.0
1932-01-14 18428.0 -1779.0 43030.0
1932-01-15 18430.0 -1778.0 43028.0
1932-01-16 18431.0 -1780.0 43028.0
1932-01-17 18431.0 -1776.0 43026.0
1932-01-18 18433.0 -1780.0 43027.0
1932-01-19 18435.0 -1778.0 43025.0
1932-01-20 18436.0 -1782.0 43025.0
1932-01-21 18440.0 -1782.0 43021.0
1932-01-22 18440.0 -1782.0 43022.0
1932-01-23 18440.0 -1783.0 43016.0
1932-01-24 18436.0 -1781.0 43018.0
1932-01-25 18426.0 -1776.0 43024.0
1932-01-26 18422.0 -1774.0 43021.0
1932-01-27 18420.0 -1770.0 43026.0
1932-01-28 18420.0 -1774.0 43026.0
1932-01-29 18428.0 -1777.0 43024.0
1932-01-30 18432.0 -1777.0 43024.0
1932-01-31 18425.0 -1776.0 43024.0
1932-02-01 18429.0 -1778.0 43023.0
1932-02-02 18433.0 -1778.0 43022.0
1932-02-03 18426.0 -1774.0 43026.0
1932-02-04 18412.0 -1767.0 43027.0
1932-02-05 18418.0 -1775.0 43026.0
1932-02-06 18420.0 -1774.0 43029.0
1932-02-07 18423.0 -1773.0 43028.0
1932-02-08 18424.0 -1766.0 43029.0
1932-02-09 18424.0 -1771.0 43030.0
1932-02-10 18422.0 -1768.0 43030.0
1932-02-11 18424.0 -1770.0 43028.0
1932-02-12 18419.0 -1768.0 43028.0
1932-02-13 18418.0 -1773.0 43032.0
1932-02-14 18422.0 -1771.0 43030.0
1932-02-15 18425.0 -1773.0 43029.0
1932-02-16 18425.0 -1773.0 43030.0
1932-02-17 18428.0 -1773.0 43030.0
1932-02-18 18433.0 -1774.0 43029.0
1932-02-19 18441.0 -1777.0 43024.0
1932-02-20 18431.0 -1776.0 43027.0
1932-02-21 18427.0 -1774.0 43030.0
1932-02-22 18426.0 -1775.0 43031.0
1932-02-23 18430.0 -1763.0 43029.0
1932-02-24 18427.0 -1774.0 43030.0
1932-02-25 18426.0 -1773.0 43027.0
1932-02-26 18432.0 -1775.0 43027.0
1932-02-27 18434.0 -1774.0 43025.0
1932-02-28 18434.0 -1774.0 43025.0
1932-02-29 18435.0 -1774.0 43026.0
1932-03-01 18440.0 -1776.0 43024.0
1932-03-02 18444.0 -1773.0 43023.0
1932-03-03 18416.0 -1764.0 43026.0
1932-03-04 18419.0 -1765.0 43022.0
1932-03-05 18421.0 -1764.0 43025.0
1932-03-06 18422.0 -1763.0 43028.0
1932-03-07 18422.0 -1763.0 43027.0
1932-03-08 18422.0 -1766.0 43021.0
1932-03-09 18426.0 -1765.0 43023.0
1932-03-10 18420.0 -1758.0 43022.0
1932-03-11 18419.0 -1764.0 43020.0
1932-03-12 18425.0 -1769.0 43027.0
1932-03-13 18428.0 -1771.0 43024.0
1932-03-14 18429.0 -1771.0 43025.0
1932-03-15 18428.0 -1774.0 43026.0
1932-03-16 18433.0 -1770.0 43022.0
1932-03-17 18429.0 -1770.0 43022.0
1932-03-18 18431.0 -1765.0 43021.0
1932-03-19 18425.0 -1770.0 43023.0
1932-03-20 18430.0 -1771.0 43022.0
1932-03-21 18428.0 -1769.0 43019.0
1932-03-22 18420.0 -1768.0 43022.0
1932-03-23 18426.0 -1769.0 43019.0
1932-03-24 18428.0 -1770.0 43020.0
1932-03-25 18427.0 -1768.0 43022.0
1932-03-26 18432.0 -1769.0 43020.0
1932-03-27 18433.0 -1770.0 43021.0
1932-03-28 18418.0 -1760.0 43029.0
1932-03-29 18409.0 -1760.0 43029.0
1932-03-30 18414.0 -1761.0 43024.0
1932-03-31 18399.0 -1755.0 43023.0
1932-04-01 18418.0 -1766.0 43024.0
1932-04-02 18412.0 -1766.0 43024.0
1932-04-03 18412.0 -1760.0 43028.0
1932-04-04 18417.0 -1762.0 43027.0
1932-04-05 18417.0 -1763.0 43022.0
1932-04-06 18423.0 -1762.0 43021.0
1932-04-07 18410.0 -1761.0 43018.0
1932-04-08 18418.0 -1760.0 43021.0
1932-04-09 18422.0 -1760.0 43025.0
1932-04-10 18418.0 -1762.0 43024.0
1932-04-11 18415.0 -1761.0 43026.0
1932-04-12 18426.0 -1762.0 43026.0
1932-04-13 18430.0 -1761.0 43026.0
1932-04-14 18414.0 -1764.0 43027.0
1932-04-15 18428.0 -1764.0 43025.0
1932-04-16 18421.0 -1764.0 43028.0
1932-04-17 18426.0 -1763.0 43027.0
1932-04-18 18416.0 -1759.0 43030.0
1932-04-19 18425.0 -1762.0 43027.0
1932-04-20 18425.0 -1761.0 43027.0
1932-04-21 18426.0 -1761.0 43027.0
1932-04-22 18433.0 -1770.0 43029.0
1932-04-23 18418.0 -1760.0 43027.0
1932-04-24 18431.0 -1759.0 43019.0
1932-04-25 18422.0 -1757.0 43024.0
1932-04-26 18428.0 -1757.0 43022.0
1932-04-27 18418.0 -1755.0 43026.0
1932-04-28 18428.0 -1756.0 43029.0
1932-04-29 18425.0 -1757.0 43028.0
1932-04-30 18423.0 -1759.0 43026.0
1932-05-01 18432.0 -1762.0 43021.0
1932-05-02 18435.0 -1751.0 43021.0
1932-05-03 18423.0 -1755.0 43016.0
1932-05-04 18431.0 -1755.0 43023.0
1932-05-05 18426.0 -1757.0 43027.0
1932-05-06 18425.0 -1758.0 43028.0
1932-05-07 18428.0 -1757.0 43027.0
1932-05-08 18427.0 -1758.0 43025.0
1932-05-09 18436.0 -1761.0 43029.0
1932-05-10 18439.0 -1758.0 43028.0
1932-05-11 18438.0 -1758.0 43024.0
1932-05-12 18434.0 -1759.0 43026.0
1932-05-13 18437.0 -1766.0 43023.0
1932-05-14 18436.0 -1760.0 43022.0
1932-05-15 18425.0 -1758.0 43026.0
1932-05-16 18428.0 -1762.0 43025.0
1932-05-17 18430.0 -1759.0 43024.0
1932-05-18 18436.0 -1758.0 43026.0
1932-05-19 18432.0 -1756.0 43023.0
1932-05-20 18432.0 -1759.0 43018.0
1932-05-21 18437.0 -1761.0 43019.0
1932-05-22 18432.0 -1759.0 43019.0
1932-05-23 18434.0 -1761.0 43020.0
1932-05-24 18437.0 -1758.0 43018.0
1932-05-25 18438.0 -1754.0 43023.0
1932-05-26 18436.0 -1756.0 43022.0
1932-05-27 18440.0 -1758.0 43021.0
1932-05-28 18440.0 -1753.0 43022.0
1932-05-29 18421.0 -1744.0 43040.0
1932-05-30 18398.0 -1745.0 43020.0
1932-05-31 18418.0 -1744.0 43038.0
1932-06-01 18425.0 -1750.0 43038.0
1932-06-02 18434.0 -1756.0 43034.0
1932-06-03 18433.0 -1753.0 43034.0
1932-06-04 18433.0 -1758.0 43033.0
1932-06-05 18441.0 -1760.0 43032.0
1932-06-06 18440.0 -1756.0 43031.0
1932-06-07 18442.0 -1758.0 43036.0
1932-06-08 18436.0 -1749.0 43034.0
1932-06-09 18434.0 -1754.0 43036.0
1932-06-10 18430.0 -1754.0 43043.0
1932-06-11 18437.0 -1753.0 43043.0
1932-06-12 18432.0 -1755.0 43044.0
1932-06-13 18433.0 -1752.0 43043.0
1932-06-14 18436.0 -1752.0 43042.0
1932-06-15 18436.0 -1752.0 43039.0
1932-06-16 18443.0 -1756.0 43041.0
1932-06-17 18443.0 -1757.0 43038.0
1932-06-18 18447.0 -1756.0 43038.0
1932-06-19 18444.0 -1756.0 43030.0
1932-06-20 18442.0 -1760.0 43041.0
1932-06-21 18440.0 -1755.0 43035.0
1932-06-22 18438.0 -1752.0 43034.0
1932-06-23 18434.0 -1754.0 43033.0
1932-06-24 18437.0 -1755.0 43034.0
1932-06-25 18440.0 -1755.0 43032.0
1932-06-26 18440.0 -1756.0 43027.0
1932-06-27 18436.0 -1752.0 43032.0
1932-06-28 18435.0 -1752.0 43027.0
1932-06-29 18438.0 -1756.0 43026.0
1932-06-30 18437.0 -1758.0 43026.0
1932-07-01 18439.0 -1755.0 43024.0
1932-07-02 18438.0 -1754.0 43022.0
1932-07-03 18437.0 -1755.0 43026.0
1932-07-04 18451.0 -1761.0 43026.0
1932-07-05 18452.0 -1762.0 43027.0
1932-07-06 18424.0 -1756.0 43040.0
1932-07-07 18427.0 -1750.0 43035.0
1932-07-08 18434.0 -1749.0 43036.0
1932-07-09 18435.0 -1748.0 43038.0
1932-07-10 18432.0 -1746.0 43038.0
1932-07-11 18433.0 -1752.0 43035.0
1932-07-12 18433.0 -1746.0 43032.0
1932-07-13 18434.0 -1745.0 43035.0
1932-07-14 18437.0 -1752.0 43035.0
1932-07-15 18438.0 -1746.0 43031.0
1932-07-16 18438.0 -1754.0 43034.0
1932-07-17 18436.0 -1746.0 43037.0
1932-07-18 18438.0 -1748.0 43041.0
1932-07-19 18436.0 -1752.0 43039.0
1932-07-20 18439.0 -1746.0 43040.0
1932-07-21 18439.0 -1749.0 43037.0
1932-07-22 18440.0 -1751.0 43040.0
1932-07-23 18438.0 -1750.0 43040.0
1932-07-24 18441.0 -1748.0 43043.0
1932-07-25 18442.0 -1751.0 43042.0
1932-07-26 18439.0 -1750.0 43038.0
1932-07-27 18440.0 -1748.0 43043.0
1932-07-28 18436.0 -1748.0 43041.0
1932-07-29 18443.0 -1755.0 43039.0
1932-07-30 18446.0 -1752.0 43034.0
1932-07-31 18434.0 -1754.0 43038.0
1932-08-01 18439.0 -1747.0 43040.0
1932-08-02 18442.0 -1749.0 43037.0
1932-08-03 18429.0 -1749.0 43039.0
1932-08-04 18428.0 -1750.0 43039.0
1932-08-05 18430.0 -1749.0 43040.0
1932-08-06 18434.0 -1744.0 43040.0
1932-08-07 18434.0 -1746.0 43039.0
1932-08-08 18436.0 -1748.0 43042.0
1932-08-09 18429.0 -1744.0 43045.0
1932-08-10 18436.0 -1744.0 43040.0
1932-08-11 18444.0 -1750.0 43039.0
1932-08-12 18443.0 -1745.0 43033.0
1932-08-13 18434.0 -1740.0 43040.0
1932-08-14 18434.0 -1744.0 43037.0
1932-08-15 18438.0 -1747.0 43040.0
1932-08-16 18439.0 -1745.0 43041.0
1932-08-17 18437.0 -1745.0 43036.0
1932-08-18 18438.0 -1746.0 43036.0
1932-08-19 18436.0 -1746.0 43034.0
1932-08-20 18440.0 -1747.0 43034.0
1932-08-21 18435.0 -1749.0 43032.0
1932-08-22 18430.0 -1741.0 43035.0
1932-08-23 18428.0 -1741.0 43034.0
1932-08-24 18430.0 -1742.0 43033.0
1932-08-25 18434.0 -1745.0 43035.0
1932-08-26 18435.0 -1742.0 43032.0
