date X Y Z
1995-01-01 38046.5896243195 -327.60030314907414 20897.0
1995-01-02 38034.64664884527 -320.8586877161453 20897.0
1995-01-03 38022.637729271926 -321.8634936539358 20899.0
1995-01-04 38022.66567238095 -318.5453913392378 20901.0
1995-01-05 38020.69339465973 -315.2107061607126 20899.0
1995-01-06 38025.69322283744 -315.2521572556262 20899.0
1995-01-07 38025.68403643602 -316.3582797005797 20897.0
1995-01-08 38027.693154108536 -315.2687376935916 20896.0
1995-01-09 38029.67467846498 -317.49779545628826 20896.0
1995-01-10 38028.69311974408 -315.27702791257434 20896.0
1995-01-11 38013.72099272456 -311.83535285813747 20898.0
1995-01-12 38029.67467846498 -317.49779545628826 20894.0
1995-01-13 38030.656107497816 -319.71867827661566 20895.0
1995-01-14 38032.62798982326 -323.0544655509688 20898.0
1995-01-15 38032.646720006866 -320.84181640014384 20901.0
1995-01-16 38015.665918023 -318.48674896233445 20899.0
1995-01-17 37986.69456305123 -314.9288387153004 20903.0
1995-01-18 37986.71282058276 -312.7188618766713 20905.0
1995-01-19 38018.72988053137 -310.77044774414236 20901.0
1995-01-20 38032.78309321474 -304.2469136720405 20901.0
1995-01-21 38036.75626705629 -307.59824536896286 20903.0
1995-01-22 38034.78302922427 -304.2629123528877 20902.0
1995-01-23 38040.74717156237 -308.7371523957854 20901.0
1995-01-24 38036.720218894035 -312.0240208343505 20899.0
1995-01-25 38040.67429513199 -317.5896277970108 20903.0
1995-01-26 38042.64636419891 -320.92617298015125 20902.0
1995-01-27 38048.59906409272 -326.51073477414394 20900.0
1995-01-28 38050.570350635724 -329.84843689398144 20897.0
1995-01-29 38021.58101169647 -328.49105163234543 20899.0
1995-01-30 38007.63826667096 -321.73652246719035 20902.0
1995-01-31 38013.64739604199 -320.6815388981298 20901.0
1995-02-01 38019.647182557215 -320.7321528461342 20902.0
1995-02-02 38016.70268417661 -314.0716843634973 20900.0
1995-02-03 38005.69391012656 -315.08635287597195 20901.0
1995-02-04 38012.70282067151 -314.03863983886544 20904.0
1995-02-05 38021.63776509853 -321.85502890815275 20902.0
1995-02-06 38027.656213505325 -319.6934585659817 20898.0
1995-02-07 38019.647182557215 -320.7321528461342 20898.0
1995-02-08 37984.71288835044 -312.7023977900189 20900.0
1995-02-09 38024.637657618725 -321.8804231455019 20904.0
1995-02-10 38033.674539071166 -317.5311890347328 20902.0
1995-02-11 38023.65635484867 -319.6598322851365 20905.0
1995-02-12 38017.70265005288 -314.07994549465525 20902.0
1995-02-13 38006.712142905904 -312.88350274319583 20906.0
1995-02-14 37998.68497079887 -316.13365841696765 20904.0
1995-02-15 38016.69353211755 -315.1775452847818 20902.0
1995-02-16 38021.684174860144 -316.3250024733779 20900.0
1995-02-17 38032.71126192599 -313.09753586967776 20899.0
1995-02-18 38036.71112639062 -313.1304640429826 20899.0
1995-02-19 38032.6837941938 -316.4165148481828 20902.0
