E N X Y Z date
-23.0 6122.0    1966-07-19
-50.0 6118.0    1966-07-20
-23.0 6061.0    1966-07-21
8.0 6013.0    1966-07-22
63.0 5977.0    1966-07-23
68.0 6002.0    1966-07-24
48.0 6043.0    1966-07-25
82.0 6032.0    1966-07-26
133.0 5982.0    1966-07-27
93.0 6129.0    1966-07-28
54.0 6186.0    1966-07-29
77.0 6130.0    1966-07-30
55.0 6111.0    1966-07-31
  5118.480419079262 -3477.427526132238 54489.0 1969-08-01
  5080.779258711691 -3454.62271807575 54521.0 1969-08-02
  5053.182281907811 -3407.9867701933613 54538.0 1969-08-03
  5094.435883350732 -3436.2403918277378 54533.0 1969-08-04
  5104.90231273013 -3465.38199589635 54492.0 1969-08-05
  5089.860124949867 -3444.7989648810167 54521.0 1969-08-06
  5074.969847850272 -3475.554925966584 54511.0 1969-08-07
  5117.5966561731975 -3471.6077636629557 54481.0 1969-08-08
  5134.768479325638 -3512.1209637089496 54441.0 1969-08-09
  5114.433129499771 -3449.512250141341 54517.0 1969-08-10
  5099.175130366787 -3487.993261153016 54522.0 1969-08-11
  5121.56904787267 -3478.2195859193002 54459.0 1969-08-12
  5109.852806149037 -3488.319552376303 54503.0 1969-08-13
  5109.79196319937 -3481.3093934356266 54490.0 1969-08-14
  5089.406430620519 -3456.1606131600006 54530.0 1969-08-15
  5123.611952839464 -3533.6633338110432 54465.0 1969-08-16
  5092.278136097665 -3435.862684191801 54564.0 1969-08-17
  5078.976931602729 -3430.544319528218 54530.0 1969-08-18
  5072.359308327174 -3470.5168271061107 54543.0 1969-08-19
  5102.079741091829 -3433.843664982482 54546.0 1969-08-20
  5081.735819252586 -3449.6557891078414 54543.0 1969-08-21
  5089.209833727785 -3449.325625145938 54538.0 1969-08-22
  5087.244730997648 -3418.2717924320573 54573.0 1969-08-23
  5089.403719766587 -3424.021871604507 54554.0 1969-08-24
  5106.549893950819 -3450.4662265541574 54545.0 1969-08-25
  5087.001428258051 -3445.453884309083 54524.0 1969-08-26
  5112.00111567329 -3476.2866097827773 54540.0 1969-08-27
  5104.333751424535 -3460.876471945848 54553.0 1969-08-28
  5091.326793172743 -3428.3283805845304 54543.0 1969-08-29
  5092.997833700756 -3449.0830761115926 54559.0 1969-08-30
  5094.048295645577 -3443.9618118716694 54552.0 1969-08-31
  5097.2078815937975 -3442.8582328957523 54562.0 1969-09-01
  5102.978544405334 -3432.5078259690563 54566.0 1969-09-02
  5091.284675276914 -3458.7346465565192 54562.0 1969-09-04
  5095.407676371927 -3479.327609117895 54530.0 1969-09-05
  5121.061679883511 -3461.139735813722 54536.0 1969-09-06
  5106.435323142891 -3464.9039366999136 54534.0 1969-09-07
  5125.569907153401 -3418.545615738289 54567.0 1969-09-08
  5098.036561138846 -3443.4179562306404 54543.0 1969-09-09
  5103.583967934269 -3458.418089567007 54562.0 1969-09-10
  5121.541431465993 -3458.643283973828 54557.0 1969-09-11
  5114.936243062545 -3455.916120134459 54554.0 1969-09-12
  5115.989994819021 -3457.928769207322 54560.0 1969-09-13
  5099.116086174908 -3480.989965471358 54550.0 1969-09-14
  5088.606775896534 -3425.2061369061985 54591.0 1969-09-15
  5119.582417838504 -3450.8190139384105 54577.0 1969-09-16
  5080.634290692827 -3431.6637661979935 54581.0 1969-09-17
  5082.085277120716 -3452.7011507040193 54600.0 1969-09-18
  5110.160413094306 -3445.1167690578845 54594.0 1969-09-19
  5086.475442470336 -3431.94748985852 54576.0 1969-09-20
  5086.974545197737 -3431.2076556965008 54594.0 1969-09-24
  5082.3608489972385 -3443.389202599681 54602.0 1969-09-25
  5099.181218629767 -3438.1464337013695 54588.0 1969-09-26
  5084.514946786646 -3466.9040592296737 54595.0 1969-09-27
  5035.155841144429 -3400.73251747166 54613.0 1969-09-28
  5062.701715991222 -3418.9080617793065 54639.0 1969-09-29
  5079.413541507223 -3426.3226751654684 54674.0 1969-09-30
  5088.63225077765 -3451.959272115704 54620.0 1969-10-01
  5091.178478293649 -3437.491920304623 54610.0 1969-10-02
  5081.4218856238585 -3435.8561699091642 54600.0 1969-10-03
  5108.155260714049 -3448.089156683653 54585.0 1969-10-04
  5107.077297506413 -3451.471784224028 54597.0 1969-10-07
  5094.87792538209 -3467.677598257123 54590.0 1969-10-08
  5097.779894800121 -3461.630272598689 54596.0 1969-10-09
  5091.215374358338 -3453.495332543146 54587.0 1969-10-10
  5095.15002351933 -3442.33165715202 54593.0 1969-10-11
  5093.54281426049 -3458.9695863501497 54584.0 1969-10-15
  5079.839263440931 -3461.33529979456 54596.0 1969-10-16
  5092.368008203103 -3455.358746791649 54595.0 1969-10-20
  5078.626873726591 -3447.11373143708 54590.0 1969-10-21
  5083.1146657085055 -3445.8418848315005 54588.0 1969-10-22
  5091.617172321955 -3452.9029193587503 54601.0 1969-10-23
  5096.539950354236 -3427.7462762642226 54615.0 1969-10-24
  5093.721332103194 -3456.9262345148277 54595.0 1969-10-25
  5097.588820707176 -3447.651985772523 54596.0 1969-10-26
  5084.087057708248 -3456.871821407831 54601.0 1969-10-27
  5096.359361393333 -3447.6847680057026 54592.0 1969-10-28
  5103.683168773206 -3443.989998937438 54584.0 1969-10-29
  5101.952582187157 -3444.7664433331042 54592.0 1969-11-01
  5070.531878950846 -3462.5577922315183 54594.0 1969-11-02
  5108.073537887984 -3442.845441132748 54613.0 1969-11-03
  5105.341016156272 -3445.1087223413483 54604.0 1969-11-04
  5103.59834144389 -3438.749768333134 54609.0 1969-11-05
  5105.869229140349 -3446.1136683106874 54605.0 1969-11-06
  5101.110399450985 -3437.0734197297866 54607.0 1969-11-07
  5107.342662814883 -3472.466979625722 54598.0 1969-11-08
  5084.197978018516 -3395.869096463 54620.0 1969-11-09
  5084.287901903476 -3429.825874670308 54643.0 1969-11-10
  5094.264980892302 -3438.2815917917997 54616.0 1969-11-11
  5100.151301065017 -3434.9174234972256 54613.0 1969-11-12
  5093.077559759443 -3434.6775642372595 54616.0 1969-11-13
  5104.427655441524 -3439.308551200916 54612.0 1969-11-14
  5100.739442636894 -3439.4129060536284 54599.0 1969-11-15
  5098.008933060186 -3441.6719655479283 54592.0 1969-11-16
  5095.15002351933 -3442.33165715202 54591.0 1969-11-17
  5092.363907343919 -3441.096603581621 54595.0 1969-11-18
  5088.5826831146505 -3448.468540831668 54599.0 1969-11-19
  5105.127867629725 -3438.2691074362374 54602.0 1969-11-20
  5098.4093552666045 -3441.0787619771168 54601.0 1969-11-21
  5093.836068673808 -3437.1294862832515 54605.0 1969-11-22
  5094.101200315178 -3447.453257253455 54603.0 1969-11-23
  5094.621740961862 -3441.3272608862303 54591.0 1969-11-24
  5086.135217067601 -3436.0256916537614 54596.0 1969-11-25
  5095.506516063332 -3452.5118891549278 54611.0 1969-11-26
  5077.955700856978 -3419.5394280712876 54625.0 1969-11-27
  5105.385632014692 -3441.4657558107333 54629.0 1969-11-28
  5080.958129744557 -3445.4586753845565 54621.0 1969-11-29
  5097.600993471489 -3429.7521938703526 54639.0 1969-11-30
  5088.192374033377 -3436.5532681494387 54596.0 1969-12-01
  5094.0933219122735 -3440.322983042258 54594.0 1969-12-02
  5099.9476350071545 -3447.734055895978 54606.0 1969-12-03
  5092.107262226073 -3437.9033770576643 54587.0 1969-12-04
  5076.144651403167 -3445.4289251167293 54596.0 1969-12-05
  5103.8777792188 -3420.404598113587 54630.0 1969-12-06
  5098.4093552666045 -3441.0787619771168 54617.0 1969-12-07
  5102.052784222607 -3444.6180320909803 54629.0 1969-12-08
  5095.0221230829975 -3440.7344514354522 54621.0 1969-12-09
  5096.884585904376 -3455.8257360535968 54603.0 1969-12-10
  5088.532775872586 -3432.474062374024 54636.0 1969-12-11
  5102.017639369387 -3430.35275264274 54616.0 1969-12-12
  5096.022776589891 -3439.2522240273493 54593.0 1969-12-13
  5089.578045546741 -3439.8610899698583 54584.0 1969-12-14
  5091.11545583581 -3446.5123553165645 54586.0 1969-12-15
  5086.863879392611 -3436.7334596285987 54592.0 1969-12-16
  5096.5514681373825 -3440.256405070223 54587.0 1969-12-17
  5097.2078815937975 -3442.8582328957523 54593.0 1969-12-18
  5096.222855549401 -3438.9557436198425 54585.0 1969-12-19
  5095.522503731755 -3439.9933741161867 54587.0 1969-12-20
  5097.280219030721 -3440.9641626553057 54595.0 1969-12-21
  5090.706776231865 -3439.976819460703 54590.0 1969-12-22
  5080.450288328497 -3439.0768918160134 54608.0 1969-12-23
  5095.430814168462 -3447.272663718744 54621.0 1969-12-24
  5093.016886595186 -3431.189297147021 54616.0 1969-12-25
  5089.633022279779 -3443.3502143289465 54623.0 1969-12-26
  5101.449866439915 -3432.9885319062987 54631.0 1969-12-27
  5094.876730886372 -3444.5218967329265 54624.0 1969-12-28
  5098.881164336737 -3438.5914081164165 54611.0 1969-12-29
  5096.779697167906 -3441.705495613625 54603.0 1969-12-30
  5094.676328103477 -3444.818298816655 54619.0 1969-12-31
  5088.2562914928985 -3447.1675201653516 54624.0 1970-01-01
  5082.76586653493 -3424.9280497533687 54629.0 1970-01-02
  5099.421772595 -3434.210474793889 54604.0 1970-01-03
  5091.616676887939 -3445.771846137903 54597.0 1970-01-04
  5094.064941156668 -3438.5779582959162 54595.0 1970-01-05
  5091.089134437196 -3444.767107543777 54595.0 1970-01-06
  5085.171171831303 -3446.372462920376 54601.0 1970-01-07
  5088.263044868335 -3434.661582489201 54597.0 1970-01-08
  5099.481234090314 -3437.7014331033365 54607.0 1970-01-09
  5096.479332297275 -3442.150260442842 54593.0 1970-01-10
  5095.631359739239 -3446.9762177366465 54592.0 1970-01-11
  5094.475908076947 -3445.1146892409206 54599.0 1970-01-12
  5090.060526616109 -3444.5028429926624 54591.0 1970-01-13
  5098.4093552666045 -3441.0787619771168 54594.0 1970-01-14
  5093.926172712241 -3449.495636605042 54601.0 1970-01-15
  5073.654063368359 -3436.6289362201646 54628.0 1970-01-16
  5107.926599413636 -3434.1099072398147 54640.0 1970-01-17
  5096.193945053508 -3437.210536816149 54622.0 1970-01-18
  5089.182192156082 -3454.7106412898625 54627.0 1970-01-19
  5088.83306901576 -3451.663221650056 54636.0 1970-01-20
  5091.1893364965645 -3444.619012306539 54639.0 1970-01-21
  5097.012473457522 -3450.2882264266605 54619.0 1970-01-22
  5104.484483438173 -3442.8022246912365 54604.0 1970-01-23
  5086.0639774705005 -3437.9171335384094 54603.0 1970-01-24
  5096.760483232248 -3447.091756330571 54609.0 1970-01-25
  5098.49123918447 -3446.3173220060876 54608.0 1970-01-26
  5086.073540696864 -3452.1681503981313 54598.0 1970-01-27
  5099.4717333348535 -3450.222752362349 54604.0 1970-01-28
  5104.227555942618 -3439.6055089437295 54603.0 1970-01-29
  5081.150453842883 -3438.04233036946 54598.0 1970-01-30
  5099.181218629767 -3438.1464337013695 54604.0 1970-01-31
  5097.940961679552 -3450.7005015257073 54631.0 1970-02-01
  5082.713689391116 -3446.43330875213 54657.0 1970-02-02
  5096.522941646824 -3438.5110011846127 54655.0 1970-02-03
  5071.298521908408 -3436.54001892741 54665.0 1970-02-04
  5094.893783483572 -3439.1374405540187 54666.0 1970-02-05
  5098.937871134471 -3442.0831753911284 54638.0 1970-02-06
  5099.566403723474 -3442.939368332651 54619.0 1970-02-07
  5093.900626993955 -3447.749614213683 54616.0 1970-02-08
  5091.5629899231935 -3442.281557287897 54620.0 1970-02-09
  5084.040985494261 -3453.381423737398 54625.0 1970-02-10
  5098.865240683895 -3443.9776795655284 54627.0 1970-02-11
  5098.49123918447 -3446.3173220060876 54621.0 1970-02-12
  5093.520334498882 -3442.957246619016 54610.0 1970-02-13
  5086.9924806783465 -3438.329172944608 54615.0 1970-02-14
  5095.5505225037 -3441.7387862259766 54617.0 1970-02-15
  5088.48236907814 -3448.6165602428055 54595.0 1970-02-16
  5071.818551704526 -3467.7647813232375 54606.0 1970-02-17
  5083.0399593258735 -3447.733860363416 54613.0 1970-02-18
  5086.900948138006 -3452.729752504915 54604.0 1970-02-19
  5084.5116823126555 -3458.025730445932 54605.0 1970-02-20
  5089.4836531545 -3454.2665132084303 54605.0 1970-02-21
  5087.774861755649 -3456.782891083455 54605.0 1970-02-22
  5079.513207044742 -3426.174919565264 54619.0 1970-02-26
  5086.00672637959 -3462.9387201077584 54620.0 1970-02-27
  5074.981874836709 -3436.451653970835 54625.0 1970-02-28
  5076.061080512752 -3427.7148228672277 54624.0 1970-03-01
  5093.064483868555 -3440.059616221313 54635.0 1970-03-02
  5064.67117853706 -3460.5002316566943 54640.0 1970-03-03
  5054.269933456124 -3447.3583277288462 54624.0 1970-03-04
  5051.984834283396 -3452.4788535443004 54613.0 1970-03-05
  5074.206069859655 -3481.9748362961245 54599.0 1970-03-06
  5064.314770032671 -3448.6004277139646 54632.0 1970-03-07
  5039.1102846829845 -3419.8636725463452 54641.0 1970-03-08
  5071.653855186842 -3439.5800867501903 54645.0 1970-03-09
  5086.675980234045 -3451.280410530273 54631.0 1970-03-10
  5088.768066422551 -3462.4362183523453 54619.0 1970-03-11
  5096.893730211049 -3436.172769657442 54599.0 1970-03-12
  5082.031029353323 -3456.3386142983736 54602.0 1970-03-13
  5084.996083671342 -3448.4127985273344 54618.0 1970-03-14
  5082.419176320731 -3462.876739961633 54618.0 1970-03-15
  5083.72675679713 -3480.465954757341 54597.0 1970-03-17
  5084.172757173302 -3463.854987613776 54594.0 1970-03-18
  5084.109288331003 -3458.617316834348 54600.0 1970-03-19
  5084.957669807763 -3460.9256704331597 54600.0 1970-03-20
  5088.90369860686 -3456.900800761488 54604.0 1970-03-21
  5088.105868249061 -3450.953878783295 54595.0 1970-03-22
  5087.394856704805 -3459.120924739911 54594.0 1970-03-23
  5085.740957206526 -3457.996373073871 54612.0 1970-03-24
  5102.840199724819 -3484.402803361341 54598.0 1970-03-25
  5088.122520609788 -3468.713481287191 54591.0 1970-03-26
  5084.083045826528 -3474.6314312656605 54615.0 1970-03-27
  5090.212986551676 -3447.8450881007784 54578.0 1970-03-28
  5086.34959003102 -3465.9880045942573 54584.0 1970-03-29
  5082.29943697304 -3427.408997033111 54605.0 1970-03-30
  5085.723983546318 -3404.3812305882802 54626.0 1970-03-31
  5102.050750422667 -3476.687236452469 54612.0 1970-04-01
  5083.684797992878 -3457.463358396746 54610.0 1970-04-02
  5097.085629070273 -3455.529205480009 54614.0 1970-04-03
  5089.0841887092165 -3447.7284000091795 54609.0 1970-04-04
  5091.953641190655 -3463.0870788886077 54592.0 1970-04-05
  5083.507083633399 -3438.1280852593395 54581.0 1970-04-06
  5094.453090506476 -3450.5009358974266 54599.0 1970-04-07
  5100.323382937701 -3468.562438454717 54600.0 1970-04-08
  5108.734363469263 -3452.591664751031 54546.0 1970-04-09
  5088.506561264096 -3466.3741829139335 54597.0 1970-04-10
  5105.238048298884 -3477.3371234611986 54553.0 1970-04-11
  5099.487922177281 -3476.896163472249 54568.0 1970-04-12
  5087.982532217378 -3465.36718860366 54588.0 1970-04-13
  5090.435444760563 -3474.1957317810015 54602.0 1970-04-14
  5075.879572075283 -3474.226182877108 54591.0 1970-04-15
  5091.659972964909 -3484.8097106882306 54626.0 1970-04-16
  5070.831000877341 -3446.1331896114098 54618.0 1970-04-17
  5082.121395309085 -3434.821410691048 54628.0 1970-04-18
