date,H,Z,X,Y
1960-01-01,19568.0,-38823.0,NA,NA
1960-01-02,19566.0,-38827.0,NA,NA
1960-01-03,19566.0,-38828.0,NA,NA
1960-01-04,19567.0,-38828.0,NA,NA
1960-01-05,19565.0,-38828.0,NA,NA
1960-01-06,19566.0,-38828.0,NA,NA
1960-01-07,NA,-38829.0,NA,NA
1960-01-08,NA,NA,NA,NA
1960-01-09,NA,NA,NA,NA
1960-01-10,NA,NA,NA,NA
1960-01-11,NA,NA,NA,NA
1960-01-12,NA,NA,NA,NA
1960-01-13,NA,NA,NA,NA
1960-01-14,19546.0,-38826.0,NA,NA
1960-01-15,19566.0,-38826.0,NA,NA
1960-01-16,19566.0,-38827.0,NA,NA
1960-01-17,19567.0,-38828.0,NA,NA
1960-01-18,NA,NA,NA,NA
1960-01-19,NA,NA,NA,NA
1960-01-20,19567.0,NA,NA,NA
1960-01-21,19567.0,-38827.0,NA,NA
1960-01-22,19567.0,-38827.0,NA,NA
1960-01-23,19567.0,-38828.0,NA,NA
1960-01-24,19567.0,-38829.0,NA,NA
1960-01-25,19567.0,-38827.0,NA,NA
1960-01-26,19566.0,-38827.0,NA,NA
1960-01-27,19568.0,-38828.0,NA,NA
1960-01-28,19566.0,-38827.0,NA,NA
1960-01-29,19566.0,-38828.0,NA,NA
1960-01-30,19570.0,-38828.0,NA,NA
1960-01-31,19572.0,-38827.0,NA,NA
1960-02-01,19554.0,-38828.0,NA,NA
1960-02-02,19549.0,-38829.0,NA,NA
1960-02-03,19549.0,-38829.0,NA,NA
1960-02-04,19551.0,-38827.0,NA,NA
1960-02-05,19549.0,-38829.0,NA,NA
1960-02-06,19549.0,-38829.0,NA,NA
1960-02-07,19549.0,-38829.0,NA,NA
1960-02-08,19550.0,-38828.0,NA,NA
1960-02-09,19548.0,-38828.0,NA,NA
1960-02-10,19550.0,-38828.0,NA,NA
1960-02-11,19550.0,-38829.0,NA,NA
1960-02-12,19550.0,-38828.0,NA,NA
1960-02-13,19550.0,-38828.0,NA,NA
1960-02-14,19550.0,-38828.0,NA,NA
1960-02-15,19550.0,-38829.0,NA,NA
1960-02-16,19549.0,-38828.0,NA,NA
1960-02-17,19548.0,-38829.0,NA,NA
1960-02-18,19548.0,-38827.0,NA,NA
1960-02-19,19550.0,-38828.0,NA,NA
1960-02-20,19548.0,-38829.0,NA,NA
1960-02-21,19550.0,-38828.0,NA,NA
1960-02-22,19550.0,-38829.0,NA,NA
1960-02-23,19549.0,-38829.0,NA,NA
1960-02-24,19550.0,-38828.0,NA,NA
1960-02-25,19549.0,-38829.0,NA,NA
1960-02-26,19549.0,-38829.0,NA,NA
1960-02-27,19550.0,-38829.0,NA,NA
1960-02-28,19548.0,-38828.0,NA,NA
1960-02-29,19549.0,-38829.0,NA,NA
1960-03-01,19520.0,-38836.0,NA,NA
1960-03-02,19519.0,-38837.0,NA,NA
1960-03-03,19520.0,-38837.0,NA,NA
1960-03-04,NA,NA,NA,NA
1960-03-05,NA,NA,NA,NA
1960-03-06,19519.0,-38837.0,NA,NA
1960-03-07,NA,-38836.0,NA,NA
1960-03-08,NA,NA,NA,NA
1960-03-09,NA,NA,NA,NA
1960-03-10,19519.0,-38836.0,NA,NA
1960-03-11,19519.0,-38837.0,NA,NA
1960-03-12,19520.0,NA,NA,NA
1960-03-13,NA,NA,NA,NA
1960-03-14,NA,-38836.0,NA,NA
1960-03-15,19520.0,-38836.0,NA,NA
