date X Y Z
1969-01-01 22006.581682657332 -2029.8676421212294 45982.0
1969-01-02 22011.4423904106 -2031.6074654409322 45981.0
1969-01-03 22018.64907755199 -2029.6888430542585 45980.0
1969-01-04   
1969-01-05   
1969-01-06 22016.716547614742 -2028.8648210235979 45978.0
1969-01-07 22015.956676109676 -2026.2113995488874 45976.0
1969-01-08 22010.446622829037 -2031.5155582947914 45979.0
1969-01-09 22008.39598930937 -2031.9719431505994 45980.0
1969-01-10 22010.68285140237 -2028.9545127926615 45979.0
1969-01-11 22014.72498573798 -2028.6812963903076 45978.0
1969-01-12 22007.931415155836 -2026.1184135673784 45978.0
1969-01-13 22012.674407939772 -2029.1380953580608 45979.0
1969-01-14 22011.67862967107 -2029.0463040753611 45977.0
1969-01-15 22008.39598930937 -2031.9719431505994 45978.0
1969-01-16 22009.746081046073 -2028.222484807082 45978.0
1969-01-17 22002.06651501722 -2035.2604424883514 45980.0
1969-01-18 22005.585909730515 -2029.7757929066538 45977.0
1969-01-19 22007.518397145188 -2030.5996649551928 45977.0
1969-01-20 22010.38751912471 -2032.1558153742128 45975.0
1969-01-21 22012.674407939772 -2029.1380953580608 45977.0
1969-01-22 22015.83875865084 -2027.4922325590835 45977.0
1969-01-23 22019.88088246419 -2027.218518583568 45975.0
1969-01-24 22015.196485213335 -2023.558182373437 45972.0
1969-01-25 21991.645088755075 -2028.4899039025952 45974.0
1969-01-26 22000.429870048014 -2031.2364542561463 45977.0
1969-01-27 21995.51010910562 -2030.1369511026805 45977.0
1969-01-28 22004.235554980503 -2033.524438243117 45978.0
1969-01-29   45978.0
1969-01-30   
1969-01-31   
1969-02-01 22013.49301867285 -2031.150934037575 45976.0
1969-02-02 21999.552235108305 -2029.8646395120163 
1969-02-03 21954.8796437864 -2056.6625456923125 45984.0
1969-02-04 21988.362545581327 -2031.412455430018 45983.0
1969-02-05 21994.218850806086 -2033.2439949121265 45982.0
1969-02-06 21999.25677057581 -2033.064323201429 45981.0
1969-02-07 22002.48048217655 -2030.7803011256656 45980.0
1969-02-08 22003.535316126745 -2030.2321522336044 45981.0
1969-02-09 22005.46778492123 -2031.0560225640877 45981.0
1969-02-10 22007.16365545388 -2034.4406705701242 45980.0
1969-02-11 21949.942438922266 -2012.4092347232095 45975.0
1969-02-12 21979.389591873703 -2041.5457792157952 45990.0
1969-02-13 21988.944190799044 -2035.9819188600145 45988.0
1969-02-14 21996.269499932994 -2032.7882541764166 45984.0
1969-02-15 22001.661841812103 -2028.7683945066892 45980.0
1969-02-16 22002.30317938434 -2032.7003720306893 45983.0
1969-02-17 22006.522626890575 -2030.5077867747957 45983.0
1969-02-18 22009.86404099957 -2026.9420062532645 45980.0
1969-02-19 22014.141813375136 -2024.1070180720296 45978.0
1969-02-20 22012.032429799052 -2025.2045105309373 45976.0
1969-02-21 22008.63227099937 -2029.4111362474246 45976.0
1969-02-22 22013.965092892333 -2026.0281066455855 45976.0
1969-02-23 22014.082925174946 -2024.7473826433215 45975.0
1969-02-24 22011.914570925288 -2026.4851152394417 45975.0
1969-02-25 22009.805070334725 -2027.5822463880024 45975.0
1969-02-26 22011.560547291418 -2030.3268881941076 45972.0
1969-02-27 22005.998760022965 -2025.2949350323786 45970.0
1969-02-28 21990.99489278169 -2035.5266212087733 45980.0
1969-03-01 22002.48048217655 -2030.7803011256656 45976.0
1969-03-02 21997.26525681393 -2032.880277184754 45978.0
1969-03-03 22004.590136803698 -2029.6839436920782 45977.0
1969-03-04 22010.446622829037 -2031.5155582947914 45976.0
1969-03-05 22010.97771806632 -2025.753167290633 45972.0
1969-03-06 22009.569001437783 -2030.1431897649563 45974.0
1969-03-07 22003.948259386387 -2025.7517118953153 45972.0
1969-03-08 22003.180638639176 -2034.0724626753558 45975.0
1969-03-09 22006.581682657332 -2029.8676421212294 45975.0
1969-03-10 22011.501478163627 -2030.967177676781 45974.0
1969-03-11 22001.829552773983 -2037.8204853915342 45973.0
1969-03-12 21975.584778617307 -2039.258109657356 45979.0
1969-03-13 21996.151199881584 -2034.067941822001 45977.0
1969-03-14 22004.353823398473 -2032.2442802697376 45976.0
1969-03-15 21989.358305138685 -2031.5044494729232 45978.0
1969-03-16 22002.06651501722 -2035.2604424883514 45979.0
1969-03-17 21988.244325584026 -2032.6916830699736 45979.0
1969-03-18 21993.982123240297 -2035.8031247117676 45981.0
1969-03-19 22007.518397145188 -2030.5996649551928 45975.0
1969-03-20 21987.24857138035 -2032.5996310962814 45976.0
1969-03-21 21992.86790967229 -2036.9904535138855 45977.0
1969-03-22 21993.34134336812 -2031.8724256445435 45980.0
1969-03-23 21992.86790967229 -2036.9904535138855 45970.0
1969-03-24 21905.65084151576 -2067.4791920597454 46013.0
1969-03-25 21960.29293819547 -2041.7049416216087 45993.0
1969-03-26 21986.07536371282 -2034.4262338901174 45985.0
1969-03-27 21996.269499932994 -2032.7882541764166 45981.0
1969-03-28 22005.40869458636 -2031.6961348151794 45979.0
1969-03-29 22001.661841812103 -2028.7683945066892 45976.0
1969-03-30 22002.30317938434 -2032.7003720306893 45977.0
1969-03-31 22009.62804659755 -2029.502956496101 45973.0
1969-04-01 22009.854747698326 -2037.9180516452366 45967.0
1969-04-02 22003.180638639176 -2034.0724626753558 45968.0
1969-04-03 21990.757899642096 -2038.0853758684134 45972.0
1969-04-04 21997.146951407154 -2034.16002276097 45974.0
1969-04-05 22000.134205983868 -2034.4362655778764 45974.0
1969-04-06 22007.341110097277 -2032.5201755019218 45972.0
1969-04-07 21993.863647794704 -2037.0826792780688 45971.0
1969-04-08 22008.39598930937 -2031.9719431505994 45970.0
1969-04-09 21999.315900712267 -2032.424389901974 45969.0
1969-04-10 22008.39598930937 -2031.9719431505994 45970.0
1969-04-11 22007.16365545388 -2034.4406705701242 45976.0
1969-04-12 22013.729204799598 -2028.5895340736624 45969.0
1969-04-13 22004.235554980503 -2033.524438243117 
1969-04-14 22000.952327643714 -2036.4482995520873 45974.0
1969-04-15 22001.18913023182 -2033.8883587279715 45975.0
1969-04-16 22005.349585631408 -2032.3362453471323 45970.0
1969-04-17 21995.973610212703 -2035.9874603804303 45971.0
1969-04-18 21999.778794791906 -2038.2759823498964 45974.0
1969-04-19 22009.27349628585 -2033.3443303310248 45971.0
1969-04-20 22014.54786607187 -2030.6024358378345 45968.0
1969-04-21 22012.674407939772 -2029.1380953580608 45968.0
1969-04-22 22025.73760805021 -2029.0499799962097 45960.0
1969-04-23 22021.813476302108 -2028.0424588649025 45968.0
1969-04-24 22026.67435699856 -2029.782444190049 45963.0
1969-04-25 22019.526730705955 -2031.0616819107127 45962.0
1969-04-26 22023.509822413223 -2031.429078769015 45961.0
1969-04-27 22021.51827655959 -2031.245380339864 45964.0
1969-04-28 21996.019336787052 -2046.3172617387868 45978.0
1969-04-29 22000.952327643714 -2036.4482995520873 45971.0
1969-04-30 21990.9356724085 -2036.166312458607 45970.0
1969-05-01 21998.96084067131 -2036.2639638834244 45972.0
1969-05-02 22007.341110097277 -2032.5201755019218 45971.0
1969-05-03 22003.00304854901 -2035.9925946680219 45970.0
1969-05-04 22015.543638998686 -2030.6942850524101 45968.0
1969-05-05 22010.623822195732 -2029.5947767447774 45970.0
1969-05-06 22013.078975816305 -2035.6333177844715 45968.0
1969-05-07 22016.362108570724 -2032.7074320450527 45970.0
1969-05-08 22022.514049486406 -2031.3372295544393 45964.0
1969-05-09 22019.40853106309 -2032.342722610058 45963.0
1969-05-10 22021.340933109073 -2033.1671126040858 45963.0
1969-05-11 22020.522503632772 -2031.1535311252883 45965.0
1969-05-12 22027.492914120492 -2031.7964756273175 45963.0
1969-05-13 21993.745097907842 -2038.362226949582 45967.0
1969-05-14 21993.982123240297 -2035.8031247117676 45969.0
1969-05-15 21960.931948683658 -2045.6304517887236 45965.0
1969-05-16 21981.083829564574 -2044.9277927728695 45980.0
1969-05-17 21988.707144697048 -2038.5404349065627 45978.0
1969-05-18 21997.0877707841 -2034.7998929675132 45977.0
1969-05-19 22007.281977171133 -2033.1603422452147 45972.0
1969-05-20 22016.12544328697 -2035.2691383333536 45971.0
1969-05-21 22004.816767141212 -2038.0971626840837 45973.0
1969-05-22 22011.146672268587 -2034.8088784648928 45973.0
1969-05-23 22010.741861984454 -2028.3142471237272 45970.0
1969-05-24 22013.078975816305 -2035.6333177844715 45966.0
1969-05-25 22013.374813847717 -2032.4316237096327 45968.0
1969-05-26 22019.2902568925 -2033.6237564306591 45965.0
1969-05-27 22025.56045616845 -2030.9720804749247 45964.0
1969-05-28 22018.23533230207 -2034.1722767171707 45966.0
1969-05-29 22018.590026981183 -2030.3293387341894 45964.0
1969-05-30 22016.657521014586 -2029.5052604888594 45964.0
1969-05-31 22015.01125002334 -2036.457871242531 45966.0
1969-06-01 22015.07047886745 -2035.8174796624094 45965.0
1969-06-02 22020.286019125433 -2033.715721508054 45964.0
1969-06-03 22020.699671368267 -2029.2318702901784 45964.0
1969-06-04 22021.104214305353 -2035.7293982018143 45965.0
1969-06-05 22025.501368266858 -2031.6127771981662 45963.0
1969-06-06 22024.682795121797 -2029.5989195567588 45961.0
1969-06-07 22023.332462924413 -2033.3509848276992 45964.0
1969-06-08 22030.943231569334 -2037.9316297092132 45961.0
1969-06-09 22021.459180709735 -2031.8859594807514 45958.0
1969-06-10 22013.837710917236 -2038.2868388424217 45963.0
1969-06-11 22018.057733444162 -2036.0937224793158 45965.0
1969-06-12 22004.698158215564 -2039.3773475805328 45970.0
1969-06-13 22008.04100809697 -2035.8131019133573 45963.0
1969-06-14 22019.27763407567 -2044.6047230442284 45967.0
1969-06-15 22017.820674136146 -2038.655626039607 45965.0
1969-06-16 22017.879966909157 -2038.015152735721 45967.0
1969-06-17 22016.706297259156 -2039.8443127427608 45963.0
1969-06-18 22018.23533230207 -2034.1722767171707 45966.0
1969-06-19 22026.378904134017 -2032.9860726330432 45967.0
1969-06-20 22018.17615131364 -2034.8127603598425 45969.0
