date,X,Y,Z
1996-01-01,39115.0,-567.0,21573.0
1996-01-02,39109.0,-567.0,21573.0
1996-01-03,39111.0,-566.0,21573.0
1996-01-04,39111.0,-566.0,21573.0
1996-01-05,39115.0,-567.0,21573.0
1996-01-06,39121.0,-566.0,21575.0
1996-01-07,39119.0,-566.0,21574.0
1996-01-08,39112.0,-566.0,21575.0
1996-01-09,39118.0,-565.0,21575.0
1996-01-10,39117.0,-569.0,21573.0
1996-01-11,39116.0,-565.0,21575.0
1996-01-12,39113.0,-565.0,21578.0
1996-01-13,39053.0,-561.0,21575.0
1996-01-14,39081.0,-563.0,21580.0
1996-01-15,39086.0,-566.0,21581.0
1996-01-16,39093.0,-566.0,21577.0
1996-01-17,39099.0,-566.0,21578.0
1996-01-18,39096.0,-567.0,21578.0
1996-01-19,39105.0,-567.0,21576.0
1996-01-20,39093.0,-566.0,21576.0
1996-01-21,39105.0,-568.0,21579.0
1996-01-22,39111.0,-568.0,21579.0
1996-01-23,39111.0,-565.0,21578.0
1996-01-24,39114.0,-566.0,21578.0
1996-01-25,39117.0,-566.0,21579.0
1996-01-26,39114.0,-566.0,21578.0
1996-01-27,39103.0,-569.0,21579.0
1996-01-28,39109.0,-566.0,21579.0
1996-01-29,39093.0,-563.0,21582.0
1996-01-30,39100.0,-568.0,21580.0
1996-01-31,39105.0,-569.0,21581.0
1996-02-01,39107.0,-568.0,21580.0
1996-02-02,39105.0,-568.0,21582.0
1996-02-03,39108.0,-568.0,21582.0
1996-02-04,39115.0,-566.0,21581.0
1996-02-05,39110.0,-568.0,21582.0
1996-02-06,39118.0,-570.0,21582.0
1996-02-07,39120.0,-566.0,21583.0
1996-02-08,39114.0,-564.0,21581.0
1996-02-09,39111.0,-569.0,21580.0
1996-02-10,39096.0,-565.0,21583.0
1996-02-11,39088.0,-569.0,21583.0
1996-02-12,39095.0,-565.0,21582.0
1996-02-13,39100.0,-566.0,21585.0
1996-02-14,39097.0,-567.0,21584.0
1996-02-15,39099.0,-565.0,21588.0
1996-02-16,39115.0,-563.0,21585.0
1996-02-17,39104.0,-567.0,21588.0
1996-02-18,39115.0,-569.0,21585.0
1996-02-19,39105.0,-569.0,21584.0
1996-02-20,39105.0,-565.0,21585.0
1996-02-21,39110.0,-569.0,21585.0
1996-02-22,39107.0,-567.0,21586.0
1996-02-23,39101.0,-566.0,21587.0
1996-02-24,39092.0,-566.0,21588.0
1996-02-25,39087.0,-563.0,21590.0
1996-02-26,39093.0,-569.0,21591.0
1996-02-27,39099.0,-562.0,21588.0
1996-02-28,39095.0,-566.0,21586.0
1996-02-29,39103.0,-565.0,21586.0
1996-03-01,39105.0,-566.0,21588.0
1996-03-02,39111.0,-567.0,21588.0
1996-03-03,39110.0,-565.0,21586.0
1996-03-04,39098.0,-565.0,21589.0
1996-03-05,39107.0,-565.0,21589.0
1996-03-06,39112.0,-565.0,21590.0
1996-03-07,39109.0,-566.0,21590.0
1996-03-08,39111.0,-562.0,21588.0
1996-03-09,39113.0,-568.0,21585.0
1996-03-10,39111.0,-567.0,21586.0
1996-03-11,39089.0,-567.0,21589.0
1996-03-12,39096.0,-564.0,21592.0
1996-03-13,39086.0,-564.0,21591.0
1996-03-14,39095.0,-565.0,21590.0
1996-03-15,39102.0,-564.0,21591.0
1996-03-16,39109.0,-564.0,21590.0
1996-03-17,39101.0,-561.0,21590.0
1996-03-18,39101.0,-563.0,21590.0
1996-03-19,39099.0,-565.0,21590.0
1996-03-20,39091.0,-565.0,21592.0
1996-03-21,39090.0,-567.0,21592.0
1996-03-22,39085.0,-565.0,21592.0
1996-03-23,39091.0,-566.0,21591.0
1996-03-24,39093.0,-561.0,21593.0
1996-03-25,39073.0,-562.0,21594.0
1996-03-26,39094.0,-567.0,21592.0
1996-03-27,39104.0,-568.0,21592.0
1996-03-28,39100.0,-573.0,21593.0
1996-03-29,39106.0,-568.0,21594.0
1996-03-30,39120.0,-564.0,21594.0
1996-03-31,39120.0,-563.0,21594.0
1996-04-01,39113.0,-563.0,21595.0
1996-04-02,39116.0,-564.0,21595.0
1996-04-03,39119.0,-564.0,21592.0
1996-04-04,39097.0,-561.0,21595.0
1996-04-05,39108.0,-563.0,21593.0
1996-04-06,39113.0,-564.0,21595.0
1996-04-07,39119.0,-562.0,21597.0
1996-04-08,39128.0,-564.0,21596.0
1996-04-09,39104.0,-563.0,21599.0
1996-04-10,39105.0,-562.0,21598.0
1996-04-11,39108.0,-564.0,21594.0
1996-04-12,39085.0,-565.0,21595.0
1996-04-13,39098.0,-565.0,21600.0
1996-04-14,39086.0,-566.0,21600.0
1996-04-15,39083.0,-565.0,21600.0
1996-04-16,39091.0,-565.0,21599.0
1996-04-17,39083.0,-566.0,21597.0
1996-04-18,39086.0,-564.0,21601.0
1996-04-19,39088.0,-563.0,21602.0
1996-04-20,39082.0,-562.0,21602.0
1996-04-21,39089.0,-566.0,21600.0
1996-04-22,39097.0,-567.0,21601.0
1996-04-23,39100.0,-565.0,21602.0
1996-04-24,39103.0,-569.0,21603.0
1996-04-25,39105.0,-567.0,21605.0
1996-04-26,39110.0,-570.0,21602.0
1996-04-27,39112.0,-565.0,21600.0
1996-04-28,39111.0,-568.0,21602.0
1996-04-29,39118.0,-568.0,21602.0
1996-04-30,39118.0,-570.0,21605.0
1996-05-01,39111.0,-565.0,21605.0
1996-05-02,39119.0,-568.0,21603.0
1996-05-03,39118.0,-566.0,21607.0
1996-05-04,39110.0,-565.0,21607.0
1996-05-05,39104.0,-565.0,21606.0
1996-05-06,39109.0,-563.0,21606.0
1996-05-07,39121.0,-561.0,21609.0
1996-05-08,39105.0,-565.0,21607.0
1996-05-09,39117.0,-566.0,21604.0
1996-05-10,39115.0,-567.0,21603.0
1996-05-11,39117.0,-566.0,21603.0
1996-05-12,39119.0,-564.0,21605.0
1996-05-13,39111.0,-568.0,21606.0
1996-05-14,39103.0,-568.0,21605.0
1996-05-15,39102.0,-566.0,21609.0
1996-05-16,39103.0,-564.0,21608.0
1996-05-17,39097.0,-567.0,21605.0
1996-05-18,39105.0,-570.0,21609.0
1996-05-19,39113.0,-565.0,21609.0
1996-05-20,39098.0,-567.0,21606.0
1996-05-21,39101.0,-565.0,21610.0
1996-05-22,39112.0,-563.0,21611.0
1996-05-23,39117.0,-563.0,21611.0
1996-05-24,39122.0,-562.0,21607.0
1996-05-25,39118.0,-559.0,21611.0
1996-05-26,39109.0,-561.0,21614.0
1996-05-27,39104.0,-558.0,21616.0
1996-05-28,39114.0,-569.0,21617.0
1996-05-29,39130.0,-565.0,21614.0
1996-05-30,39105.0,-566.0,21609.0
1996-05-31,39118.0,-566.0,21608.0
1996-06-01,39111.0,-568.0,21612.0
1996-06-02,39115.0,-569.0,21612.0
