date X Y Z
1995-01-01 40053.753301467965 -1607.5579196856586 6287.0
1995-01-02 40043.13505909895 -1597.798372373739 6285.0
1995-01-03 40027.147781221334 -1597.1604491308701 6287.0
1995-01-04 40026.24142532577 -1594.7919492948342 6291.0
1995-01-05 40031.14460069074 -1597.3199299415874 6284.0
1995-01-06 40032.00425718791 -1600.8532576377313 6288.0
1995-01-07 40034.95527398197 -1602.13770015657 6283.0
1995-01-08 40038.952074867884 -1602.297646017269 6284.0
1995-01-09 40040.81048901983 -1605.8718449488929 6286.0
1995-01-10 40041.903046152715 -1603.5823778359386 6283.0
1995-01-11 40023.10448994386 -1598.1651939131718 6289.0
1995-01-12 40042.71538421142 -1608.2815857423313 6287.0
1995-01-13 40043.90144426851 -1603.6624088973667 6286.0
1995-01-14 40044.85397657168 -1604.8672826908557 6289.0
1995-01-15 40048.038047922506 -1600.3276265037534 6288.0
1995-01-16 40030.005854419476 -1600.7733428385282 6288.0
1995-01-17 39997.1716352008 -1595.9643430504905 6291.0
1995-01-18 39994.174020598744 -1595.8447324424524 6296.0
1995-01-19 40030.005854419476 -1600.7733428385282 6291.0
1995-01-20 40042.08936037973 -1598.9232800118948 6289.0
1995-01-21 40044.947276196755 -1602.5375648083175 6292.0
1995-01-22 40043.04203519198 -1600.1279848337804 6289.0
1995-01-23 40051.89503673168 -1603.9825331430793 6285.0
1995-01-24 40045.04044028419 -1600.2078415017695 6289.0
1995-01-25 40049.8032595736 -1606.2325079041132 6294.0
1995-01-26 40050.08299003694 -1599.2424741587256 6294.0
1995-01-27 40056.07821227985 -1599.4818697688486 6296.0
1995-01-28 40061.074230815604 -1599.6813661106178 6295.0
1995-01-29 40030.09891589392 -1598.4444887916488 6295.0
1995-01-30 40012.113249165195 -1597.7263019612797 6300.0
1995-01-31   
1995-02-01   6298.0
1995-02-02 40027.194223800856 -1595.9961059236998 6292.0
1995-02-03 40019.06117408544 -1599.1697048179099 6291.0
1995-02-04 40026.24142532577 -1594.7919492948342 6295.0
1995-02-05 40037.999465493194 -1601.0930020353408 6293.0
1995-02-06 40045.99307656692 -1601.4126612321536 6292.0
1995-02-07 40037.00026410898 -1601.0530446357393 6294.0
1995-02-08   
1995-02-09 40033.86279974351 -1604.4267921324408 6306.0
1995-02-10 40045.08697150119 -1599.0429778169564 6300.0
1995-02-11 40030.77180354016 -1606.6355569616958 6304.0
1995-02-12 40027.867612382695 -1604.1865245551235 6303.0
1995-02-13 40013.925472531606 -1602.4619429759446 6302.0
1995-02-14 40010.83458717393 -1604.6696350981588 6300.0
1995-02-15 40027.82093155327 -1605.3508873469082 6300.0
1995-02-16 40032.81691519426 -1605.5512556553638 6299.0
1995-02-17   
1995-02-18 40050.94247752563 -1602.777483599366 6299.0
1995-02-19   
1995-02-20 40046.85237235862 -1604.9473718832949 6299.0
1995-02-21 40052.034858106934 -1600.4873398397317 6301.0
1995-02-22 40053.1735804952 -1597.0319754849475 6305.0
1995-02-23 40044.227154659624 -1595.5085665769577 6302.0
1995-02-24 40054.93927841154 -1602.937429460065 6303.0
1995-02-25 40058.936079297455 -1603.0973753207638 6307.0
1995-02-26 40029.0531995465 -1599.5689881578558 6307.0
1995-02-27 40018.92146782109 -1602.662020629515 6310.0
1995-02-28 40009.06914862438 -1598.7704214779637 6315.0
1995-03-01 40020.15334714988 -1596.8813577121148 6307.0
1995-03-02 40022.10528623671 -1598.125294644818 6310.0
1995-03-03 40031.28384072319 -1593.8265474807577 6301.0
1995-03-04 40026.24142532577 -1594.7919492948342 6306.0
1995-03-05 40013.39070624526 -1590.7825713669845 6308.0
1995-03-06 40032.56062149115 -1586.8793547827458 6302.0
1995-03-07 40045.734850645575 -1582.7347446082797 6303.0
1995-03-08 40053.590309883286 -1586.5460245525207 6298.0
1995-03-09 40051.499512356655 -1588.796969941297 6298.0
1995-03-10 40027.4259286568 -1590.1743696505466 6298.0
1995-03-11 40032.514444104905 -1588.043854095954 6300.0
1995-03-12 40010.53173349762 -1587.1718252223989 6301.0
1995-03-13 40005.53566290506 -1586.9736368420454 6298.0
1995-03-14 40022.42986960282 -1589.9758906109237 6304.0
1995-03-15 40028.425140467596 -1590.2140654584712 6300.0
1995-03-16 40031.23746125184 -1594.9910096509795 6301.0
1995-03-17 40048.22398340049 -1595.6678148618741 6299.0
1995-03-18 40050.17596241508 -1596.9124520740343 6301.0
1995-03-19 40057.26325763802 -1594.8609056225469 6303.0
1995-03-20 40046.17913830826 -1596.75308752615 6301.0
1995-03-21 40055.03246574525 -1600.6071248417156 6303.0
1995-03-22 40061.980298714356 -1602.0519796257788 6305.0
1995-03-23 40061.980298714356 -1602.0519796257788 6300.0
1995-03-24 40066.97630563543 -1602.2517666237868 6302.0
1995-03-25 40062.16643473555 -1597.390545717687 6299.0
1995-03-26 40003.44484519771 -1589.2216702603569 6302.0
1995-03-27   
1995-03-28 40018.663828609344 -1583.996645436519 6306.0
1995-03-29 40027.4259286568 -1590.1743696505466 6303.0
1995-03-30 40041.36860460398 -1591.8948678334168 6300.0
1995-03-31 40054.35834312767 -1592.4112911928316 6302.0
1995-04-01 40045.08697150119 -1599.0429778169564 6300.0
1995-04-02 40010.34678682807 -1591.8272512293784 6304.0
1995-04-03 40046.17913830826 -1596.75308752615 6307.0
1995-04-04 40051.12869803776 -1598.1173339951738 6303.0
1995-04-05 40049.2231905857 -1595.7076269331033 6306.0
1995-04-06 40061.35281771735 -1592.6893653094396 6306.0
1995-04-07 39967.93339921102 -1576.166487472877 6303.0
1995-04-08 39976.696690511926 -1582.3355253589077 6316.0
1995-04-09 40004.62870516371 -1584.6066268924715 6307.0
1995-04-10 40009.578670255774 -1585.9683567505972 6308.0
1995-04-11 40019.663046183094 -1584.0361959145573 6310.0
1995-04-12 40024.659134051835 -1584.2339483047492 6309.0
1995-04-13 40032.375708702966 -1591.5373439692064 6309.0
1995-04-14 40038.1390347622 -1597.5990213603425 6312.0
1995-04-15 40050.26879923787 -1594.5824245843728 6308.0
1995-04-16 40057.26325763802 -1594.8609056225469 6307.0
1995-04-17 40058.30884281348 -1593.7354403322954 6307.0
1995-04-18 40061.49165354179 -1589.193346702004 6308.0
1995-04-19 40049.593444191894 -1586.3877063761902 6309.0
1995-04-20 40049.68566871079 -1584.0577127938761 6312.0
1995-04-21 40051.591877037594 -1586.4668654643554 6315.0
1995-04-22 40044.41252944032 -1590.8491983852643 6312.0
1995-04-23 40020.47767726384 -1588.7323511612508 6315.0
1995-04-24 40021.47689022892 -1588.7720179032651 6317.0
1995-04-25 40022.476103194 -1588.8116846452795 6312.0
1995-04-26 40047.271174209236 -1594.4630755680125 6313.0
1995-04-27 40030.37728739163 -1591.4578942216042 6313.0
1995-04-28 40033.18945996109 -1596.2351527455262 6309.0
1995-04-29 40035.04841482313 -1599.8085581618234 6313.0
1995-04-30 40046.08617520834 -1599.0828770853102 6310.0
1995-05-01 40058.98269456171 -1601.932107426974 6311.0
1995-05-02 40023.29017398017 -1593.5082834371303 6320.0
1995-05-03 40002.49184389246 -1588.0183498049912 6320.0
1995-05-04 40010.53173349762 -1587.1718252223989 6323.0
1995-05-05 40000.63183947231 -1584.448308716141 6316.0
1995-05-06 40018.70988827292 -1582.8325490230966 6317.0
1995-05-07 40018.525446445725 -1587.4889266309644 6325.0
1995-05-08 40016.75747432827 -1581.589466578646 6322.0
1995-05-09 40032.65287464182 -1584.5503521290561 6320.0
1995-05-10 40037.64896251055 -1584.748104519248 6318.0
1995-05-11 40038.50972881599 -1588.2816801523782 6314.0
1995-05-12 40041.55355893109 -1587.2358322735868 6322.0
1995-05-13 40064.62783700175 -1585.8159674262838 6319.0
1995-05-14 40053.682543605995 -1584.2157984417186 6327.0
1995-05-15 40053.682543605995 -1584.2157984417186 6324.0
1995-05-16 40010.854086739106 -1579.0247780425805 6328.0
1995-05-17 40003.85953155687 -1578.7487385478923 6331.0
1995-05-18 40023.567684051224 -1586.5228772919052 6330.0
1995-05-19 40019.43223417043 -1589.85680318715 6330.0
1995-05-20 40022.33730082442 -1592.3042985051077 6329.0
1995-05-21 40035.187872014496 -1596.3148350194683 6335.0
1995-05-22 40045.27275752348 -1594.3835095571058 6330.0
1995-05-23 40047.36386853799 -1592.1332170762237 6328.0
1995-05-24 40004.58259390026 -1585.7703137001301 6333.0
1995-05-25 40025.65835162558 -1584.2734987827876 6333.0
1995-05-26 40030.746552550416 -1582.142359420538 6333.0
1995-05-27 40039.64739765805 -1584.8272054753247 6331.0
1995-05-28 40037.60284711771 -1585.9127518471985 6330.0
1995-05-29 40056.31042381409 -1593.6559324530074 6330.0
1995-05-30 40026.61146646638 -1585.4773768622895 6326.0
1995-05-31 40017.52623232721 -1587.4492889548937 6331.0
1995-06-01 40016.75747432827 -1581.589466578646 6326.0
1995-06-02 40026.380444768954 -1591.2989947263995 6331.0
1995-06-03 40031.46901987969 -1589.1686853234094 6334.0
1995-06-04 40038.04602246145 -1599.9283431638073 6335.0
1995-06-05 40040.41568219714 -1590.690415153566 6333.0
1995-06-06 40043.32070031804 -1593.1391312376338 6338.0
1995-06-07 40048.40937668351 -1591.0079816169628 6341.0
1995-06-08 40057.40228298066 -1591.3652438882839 6352.0
1995-06-09 40060.49243942327 -1589.1537090259333 6344.0
1995-06-10 40043.55198947329 -1587.3150494937736 6353.0
1995-06-11 40037.69504402516 -1583.5834558503486 6350.0
1995-06-12 40047.54885055771 -1587.4734839341472 6347.0
1995-06-13 40048.640355821786 -1585.18315977767 6352.0
1995-06-14 40050.63879096928 -1585.2622607337466 6350.0
1995-06-15 40048.50187000111 -1588.678056913085 6351.0
1995-06-16 40041.36860460398 -1591.8948678334168 6353.0
1995-06-17 40041.27592415197 -1594.224377535292 6356.0
1995-06-18 40028.10050847961 -1598.364690254941 6356.0
1995-06-19 40028.425140467596 -1590.2140654584712 6357.0
1995-06-20 40027.33334832291 -1592.5030682033282 6357.0
1995-06-21 40035.51208646045 -1588.162767124166 6353.0
1995-06-22 40037.510514697475 -1588.2420424763075 6357.0
1995-06-23 40043.50579940855 -1588.4798685327316 6359.0
1995-06-24 40045.45800139077 -1589.724019711611 6356.0
1995-06-25 40043.644267953045 -1584.985407387478 6351.0
1995-06-26 40022.614600774985 -1585.319058685959 6352.0
1995-06-27 40036.78788439814 -1581.2146912139372 6351.0
1995-06-28 40037.510514697475 -1588.2420424763075 6355.0
1995-06-29 40049.68566871079 -1584.0577127938761 6359.0
1995-06-30 40037.64896251055 -1584.748104519248 6357.0
1995-07-01 40019.57082296681 -1586.3644428515315 6363.0
1995-07-02 40050.361500505 -1592.252391697627 6361.0
1995-07-03 40054.17278652191 -1597.0718166219185 6367.0
1995-07-04 40054.4971547122 -1588.915882969509 6365.0
1995-07-05 40057.44855697169 -1590.200020615784 6370.0
1995-07-06 40059.21526243784 -1596.105747645394 6364.0
1995-07-07 40058.401494791455 -1591.4049396962084 6369.0
1995-07-08 40053.45170511139 -1590.0413536477263 6361.0
1995-07-09 40050.50029823814 -1588.7573322652263 6362.0
1995-07-10 40057.587175574685 -1586.7043427288513 6367.0
1995-07-11 40058.678637225006 -1584.4134055015218 6370.0
1995-07-12 40074.71222696288 -1583.8800226379137 6364.0
1995-07-13 40064.62783700175 -1585.8159674262838 6374.0
1995-07-14 40061.768409932476 -1582.2012732065584 6362.0
1995-07-15 40062.537079624264 -1588.0676130855486 6364.0
1995-07-16 40044.59736207765 -1586.189808655777 6363.0
1995-07-17 40028.65600434683 -1584.3921502169028 6362.0
1995-07-18 40039.55512838888 -1587.1566150534 6365.0
1995-07-19   
1995-07-20 40038.37097263698 -1591.7756932120133 6367.0
1995-07-21 40035.696606577556 -1583.5044130264273 6361.0
1995-07-22 40047.77931563325 -1581.6487872906905 6360.0
1995-07-23 40042.55277420219 -1587.2754408836802 6360.0
1995-07-24 40028.47138098446 -1589.049685097366 6351.0
1995-07-25 40027.65678677308 -1584.3525997388642 6360.0
1995-07-26 40043.45957546061 -1589.6446862275823 6357.0
1995-07-27 40043.55198947329 -1587.3150494937736 6360.0
1995-07-28 40054.54335745543 -1587.750744204801 6363.0
1995-07-29 40044.45878842569 -1589.6843529695966 6352.0
1995-07-30 40054.265632609386 -1594.7415566061866 6358.0
1995-07-31 40060.30726181287 -1593.8149482115837 6354.0
1995-08-01 40052.359921816336 -1592.3318414452294 6362.0
1995-08-02 40053.359132472004 -1592.3715663190305 6356.0
1995-08-03 40045.319119317435 -1593.218639116922 6365.0
1995-08-04 40051.36071116067 -1592.292116571428 6361.0
1995-08-05 40051.17516844179 -1596.9522932110053 6357.0
1995-08-06 40054.265632609386 -1594.7415566061866 6359.0
1995-08-07 40057.170404602024 -1597.1913400328317 6363.0
1995-08-08 40045.27275752348 -1594.3835095571058 6360.0
1995-08-09 40040.32307181895 -1593.0198694187015 6352.0
1995-08-10 40034.281465751825 -1593.945896497118 6327.0
1995-08-11 40044.2735491806 -1594.3437265516523 6326.0
1995-08-12 40045.36544722666 -1592.0537673286212 6327.0
1995-08-13 40045.550420015505 -1587.3942667139604 6325.0
1995-08-14 40043.41331762953 -1590.8095025773398 6326.0
1995-08-15 40040.83075180584 -1580.2078044483862 6328.0
1995-08-16 40046.734070518585 -1582.7742369541293 6324.0
1995-08-17 40043.05861598979 -1574.4626627539049 6335.0
1995-08-18 40047.271174209236 -1594.4630755680125 6323.0
1995-08-19 40057.170404602024 -1597.1913400328317 6326.0
1995-08-20 40062.16643473555 -1597.390545717687 6329.0
1995-08-21 40061.167228708844 -1597.350704580716 6333.0
1995-08-22 40059.075823401305 -1599.6015675739102 6331.0
1995-08-23 40029.19263585426 -1596.075788197642 6321.0
1995-08-24 40051.941677747105 -1602.8174700645407 6321.0
1995-08-25 40039.045225007554 -1599.9682714978019 6330.0
1995-08-26 40047.085378915486 -1599.122776353664 6325.0
1995-08-27 40061.980298714356 -1602.0519796257788 6333.0
1995-08-28 40066.88302260013 -1604.5827661037906 6325.0
1995-08-29 40051.08219374409 -1599.2823734270794 6324.0
1995-08-30 40054.12631263982 -1598.2369446032117 6327.0
1995-08-31 40064.88462448434 -1604.5027350423625 6327.0
1995-09-01 40068.02209884462 -1601.1261931836455 6330.0
1995-09-02 40063.0260861141 -1600.9265515136724 6330.0
1995-09-03 40071.20574866042 -1596.5834925001432 6331.0
1995-09-04 40073.111205119494 -1598.9944784541187 6326.0
1995-09-05 40023.521517038294 -1587.687115011318 6330.0
1995-09-06 40023.47531615907 -1588.851351387294 6335.0
1995-09-07 40032.375708702966 -1591.5373439692064 6324.0
1995-09-08 40019.663046183094 -1584.0361959145573 6327.0
1995-09-09 40026.2877990088 -1593.6276324534906 6325.0
1995-09-10 40042.08936037973 -1598.9232800118948 6324.0
1995-09-11 40023.91746311057 -1602.8620982830853 6323.0
1995-09-12 40035.094934429675 -1598.643985133418 6323.0
1995-09-13 40038.90544897902 -1603.4623312437964 6323.0
