date X Y Z
1883-01-01 18660.575432753198 -5492.106018507632 42251.0
1883-01-02 18653.53956742605 -5487.676886121369 42266.0
1883-01-03 18639.951009064258 -5487.8035113954675 42254.0
1883-01-04 18646.345350939704 -5487.328498776914 42251.0
1883-01-05 18648.262157874695 -5484.35616013207 42244.0
1883-01-06 18638.18733052722 -5479.626085069549 42251.0
1883-01-07 18624.92350099666 -5485.734279202951 42248.0
1883-01-08 18620.124824001683 -5480.789317114484 42247.0
1883-01-09 18629.877385567917 -5483.07109188866 42260.0
1883-01-10 18644.586302168773 -5486.221524964203 42251.0
1883-01-11 18648.262157874695 -5484.35616013207 42247.0
1883-01-12 18649.859569721873 -5482.468333666271 42246.0
1883-01-13 18644.74745572399 -5489.215637253991 42244.0
1883-01-14 18643.626971769896 -5485.9392393184635 42241.0
1883-01-15 18642.8288770601 -5488.650786910582 42240.0
1883-01-16 18640.589417817017 -5485.634617468448 42234.0
1883-01-17 18640.90852755647 -5484.550142652772 42232.0
1883-01-18 18637.232742270473 -5486.4141030769315 42236.0
1883-01-19 18639.631710053105 -5488.887930499469 42235.0
1883-01-20 18632.43625453569 -5485.002116741983 42237.0
1883-01-21 18628.12043525919 -5485.498158734455 42239.0
1883-01-22 18640.108711946523 -5483.725668449814 42240.0
1883-01-23 18631.796013516996 -5483.635774802346 42239.0
1883-01-24 18636.273444723516 -5486.131705809942 42239.0
1883-01-25 18623.477812476365 -5476.478628480218 42240.0
1883-01-26 18615.643528727265 -5474.763192262716 42244.0
1883-01-27 18624.5997711894 -5479.751761075648 42239.0
1883-01-28 18637.227934463466 -5479.344022677771 42241.0
1883-01-29 18632.595798896687 -5484.46011882095 42244.0
1883-01-30 18634.673955440616 -5484.482799172874 42252.0
1883-01-31 18628.277685387868 -5481.422668986617 42256.0
1883-02-01 18623.962047046298 -5481.918794562627 42259.0
1883-02-02 18602.20192943388 -5463.755794008957 42253.0
1883-02-03 18610.850430016475 -5476.882897374704 42253.0
1883-02-04 18614.36563338297 -5475.563995309611 42259.0
1883-02-05 18617.727901773902 -5481.8493025173175 42257.0
1883-02-06 18620.44038595483 -5476.173922831738 42259.0
1883-02-07 18621.883981519168 -5481.895746805096 42265.0
1883-02-08 18628.11822938453 -5481.9645413001035 42255.0
1883-02-09 18632.755327491537 -5483.9181162591885 42254.0
1883-02-10 18634.03366778113 -5483.11638286106 42253.0
1883-02-11 18627.799270090916 -5483.048272010771 42246.0
1883-02-12 18623.481033393484 -5480.011240757915 42248.0
1883-02-13 18636.273444723516 -5486.131705809942 42249.0
1883-02-14 18627.960860704723 -5486.040026471998 42255.0
1883-02-15 18625.396571781173 -5477.0428648936195 42252.0
1883-02-16 18622.19980911026 -5477.279915210987 42249.0
1883-02-17 18627.47466033687 -5477.065252350741 42255.0
1883-02-18 18631.312211770804 -5478.193613548176 42254.0
1883-02-19 18631.630888625896 -5477.109678471063 42248.0
