date,X,Y,Z
1994-01-01,NA,NA,NA
1994-01-02,NA,NA,NA
1994-01-03,NA,NA,NA
1994-01-04,NA,NA,NA
1994-01-05,NA,NA,NA
1994-01-06,NA,NA,NA
1994-01-07,NA,NA,NA
1994-01-08,NA,NA,NA
1994-01-09,NA,NA,NA
1994-01-10,NA,NA,NA
1994-01-11,NA,NA,NA
1994-01-12,NA,NA,NA
1994-01-13,NA,NA,NA
1994-01-14,NA,NA,NA
1994-01-15,NA,NA,NA
1994-01-16,NA,NA,NA
1994-01-17,NA,NA,NA
1994-01-18,NA,NA,NA
1994-01-19,NA,NA,NA
1994-01-20,NA,NA,NA
1994-01-21,NA,NA,NA
1994-01-22,NA,NA,NA
1994-01-23,NA,NA,NA
1994-01-24,NA,NA,NA
1994-01-25,NA,NA,NA
1994-01-26,NA,NA,NA
1994-01-27,NA,NA,NA
1994-01-28,NA,NA,NA
1994-01-29,NA,NA,NA
1994-01-30,NA,NA,NA
1994-01-31,NA,NA,NA
1994-02-01,NA,NA,NA
1994-02-02,NA,NA,NA
1994-02-03,NA,NA,NA
1994-02-04,NA,NA,NA
1994-02-05,NA,NA,NA
1994-02-06,NA,NA,NA
1994-02-07,19695.0,1622.0,-22300.0
1994-02-08,NA,NA,NA
1994-02-09,19698.0,1625.0,-22310.0
1994-02-10,NA,NA,NA
1994-02-11,NA,NA,NA
1994-02-12,19701.0,1620.0,-22312.0
1994-02-13,19701.0,1625.0,-22315.0
1994-02-14,NA,NA,NA
1994-02-15,NA,NA,NA
1994-02-16,19708.0,1614.0,-22310.0
1994-02-17,19714.0,1618.0,-22309.0
1994-02-18,19718.0,1615.0,-22306.0
1994-02-19,NA,NA,NA
1994-02-20,19709.0,1613.0,-22307.0
1994-02-21,19699.0,1606.0,-22315.0
1994-02-22,19663.0,1605.0,-22317.0
1994-02-23,19693.0,1614.0,-22307.0
1994-02-24,19700.0,1612.0,-22309.0
1994-02-25,19708.0,1610.0,-22307.0
1994-02-26,19709.0,1612.0,-22305.0
1994-02-27,19712.0,1611.0,-22305.0
1994-02-28,19714.0,1611.0,-22305.0
1994-03-01,19711.0,1615.0,-22306.0
1994-03-02,19708.0,1610.0,-22310.0
1994-03-03,NA,NA,NA
1994-03-04,19718.0,1610.0,-22306.0
1994-03-05,NA,NA,NA
1994-03-06,19713.0,1611.0,-22307.0
1994-03-07,19674.0,1614.0,-22324.0
1994-03-08,19667.0,1609.0,-22317.0
1994-03-09,19676.0,1610.0,-22315.0
1994-03-10,19675.0,1614.0,-22317.0
1994-03-11,19680.0,1618.0,-22318.0
1994-03-12,19686.0,1611.0,-22315.0
1994-03-13,19683.0,1606.0,-22315.0
1994-03-14,19683.0,1605.0,-22315.0
1994-03-15,NA,NA,NA
1994-03-16,NA,NA,NA
1994-03-17,19688.0,1608.0,-22314.0
1994-03-18,NA,NA,NA
1994-03-19,NA,NA,NA
1994-03-20,19696.0,1607.0,-22313.0
1994-03-21,19703.0,1602.0,-22309.0
1994-03-22,19700.0,1603.0,-22309.0
1994-03-23,19698.0,1603.0,-22310.0
1994-03-24,19697.0,1607.0,-22311.0
1994-03-25,19689.0,1608.0,-22314.0
1994-03-26,NA,NA,NA
1994-03-27,NA,NA,NA
