date,X,Y,Z
1965-01-01,22593.41666709548,-1286.2438754032055,39700.0
1965-01-02,22581.473452046816,-1284.9049515450195,39701.0
1965-01-03,22581.585495172694,-1282.9343413465156,39700.0
1965-01-04,22578.627629654442,-1282.1073907457824,39699.0
1965-01-05,22575.557836347958,-1283.25070726975,39701.0
1965-01-06,22577.517271985504,-1284.0209629115177,39699.0
1965-01-07,22573.710206593,-1280.5106437507518,39699.0
1965-01-08,22589.759037645377,-1280.1025822640177,39705.0
1965-01-09,22584.729808342734,-1280.4766628702134,39702.0
1965-01-10,22595.712171098214,-1281.099325143834,39702.0
1965-01-11,22599.668475738134,-1281.98314603901,39702.0
1965-01-12,22594.67650090253,-1281.6999725220373,39701.0
1965-01-13,22589.759037645377,-1280.1025822640177,39703.0
1965-01-14,22593.64081488302,-1282.300560731453,39702.0
1965-01-15,22593.715377869947,-1280.9861138213575,39701.0
1965-01-16,22588.760639385073,-1280.0460056449836,39704.0
1965-01-17,22586.68934116557,-1281.2468948948808,39703.0
1965-01-18,22588.648848286713,-1282.0172420039385,39702.0
1965-01-19,22593.715377869947,-1280.9861138213575,39700.0
1965-01-20,22590.01922606031,-1275.5027895796593,39701.0
1965-01-21,22589.497912618026,-1284.702321872999,39702.0
1965-01-22,22570.6032049416,-1282.310401221181,39705.0
1965-01-23,22576.77986026142,-1279.3670862165752,39703.0
1965-01-24,22578.739428657922,-1280.1370289027839,39703.0
1965-01-25,22581.622804666116,-1282.2774691084726,39701.0
1965-01-26,22582.621196336673,-1282.334161896036,39701.0
1965-01-27,22580.736221886193,-1280.2502402252603,39701.0
1965-01-28,22577.81546589526,-1278.7669013470763,39701.0
1965-01-29,22571.75065235898,-1279.7407892741162,39702.0
1965-01-30,22570.752255744846,-1279.684183612878,39702.0
1965-01-31,22572.711811625883,-1280.4540090473572,39702.0
1965-02-01,22571.67616185927,-1281.0539583303885,39701.0
1965-02-02,22574.745842201384,-1279.910606257831,39701.0
1965-02-03,22572.897807360278,-1277.1709276637723,39700.0
1965-02-04,22565.83466702771,-1278.088330425693,39701.0
1965-02-05,22570.90100097279,-1277.0579486795039,39699.0
1965-02-06,22562.950900841126,-1275.9497036453747,39701.0
1965-02-07,22543.019877597955,-1274.1647453227552,39711.0
1965-02-08,22561.17642306971,-1271.8991340209616,39706.0
1965-02-09,22561.841067405196,-1277.862140118565,39704.0
1965-02-10,22562.839467310823,-1277.918687695347,39704.0
1965-02-11,22559.992787732113,-1275.124079246777,39706.0
1965-02-12,22563.83786721645,-1277.9752352721289,39707.0
