date,X,Y,Z
2000-01-01,18841.52169743964,-6899.368458410619,48142.0
2000-01-02,18853.593118969722,-6901.301000850318,48141.0
2000-01-03,18854.79733605832,-6898.010322996625,48140.0
2000-01-04,18860.568178265614,-6902.60994066697,48137.0
2000-01-05,18849.901101875563,-6896.840758601749,48141.0
2000-01-06,18847.55732009322,-6900.335069096319,48140.0
2000-01-07,18854.46007500595,-6896.02140948,48142.0
2000-01-08,18860.833479475634,-6898.974522310616,48139.0
2000-01-09,18861.234813624946,-6897.877231823012,48138.0
2000-01-10,18861.973308747736,-6898.7693757718835,48136.0
2000-01-11,18853.126467413225,-6905.483792155545,48142.0
2000-01-12,18836.014851288626,-6891.138768159751,48148.0
2000-01-13,18853.657558850828,-6898.21517884061,48142.0
2000-01-14,18858.01604679932,-6897.943952994929,48140.0
2000-01-15,18859.557108360452,-6896.641695527667,48138.0
2000-01-16,18859.693654229624,-6899.1796083745185,48137.0
2000-01-17,18861.63608393581,-6896.779917988591,48135.0
2000-01-18,18866.53266604597,-6897.948184860509,48133.0
2000-01-19,NA,NA,NA
2000-01-20,18861.507262520656,-6902.953627678555,48129.0
2000-01-21,18869.21361930256,-6896.439471867117,48129.0
2000-01-22,18859.29751039104,-6908.988523261446,48134.0
2000-01-23,18829.102911127433,-6886.747023244896,48147.0
2000-01-24,18849.162590627413,-6895.948856545563,48138.0
2000-01-25,18853.447070698854,-6890.055337394387,48135.0
2000-01-26,18858.01604679932,-6897.943952994929,48133.0
2000-01-27,18867.736297760708,-6894.655248680893,48131.0
2000-01-28,18850.566365004415,-6892.110614214222,48131.0
2000-01-29,18847.420998695026,-6897.798322504784,48133.0
2000-01-30,18856.739585760726,-6895.611372083287,48133.0
2000-01-31,18863.44101029742,-6891.841716916413,48130.0
2000-02-01,18868.611719577442,-6898.0860951299255,48128.0
2000-02-02,18869.952226168458,-6897.331656671303,48127.0
2000-02-03,18868.27438517517,-6896.096194641042,48126.0
2000-02-04,18871.75729668993,-6892.391278419297,48126.0
2000-02-05,18870.094382306474,-6908.586179736462,48126.0
2000-02-06,18848.560733792907,-6897.5937300279,48137.0
2000-02-07,18839.507155091425,-6896.144876179662,48132.0
2000-02-08,18857.678759960636,-6895.954813231414,48128.0
2000-02-09,18863.0400272764,-6892.93913576555,48125.0
2000-02-10,18866.65981155132,-6891.773614621591,48125.0
2000-02-11,18866.13132775981,-6899.045783564552,48122.0
2000-02-12,18819.12215438656,-6893.649638491716,48121.0
2000-02-13,18845.60664074424,-6894.026352019294,48134.0
2000-02-14,18846.016066242148,-6901.635924253239,48128.0
2000-02-15,18852.444753362244,-6892.7973872314315,48132.0
2000-02-16,18859.557108360452,-6896.641695527667,48128.0
2000-02-17,18862.976494574083,-6896.025939999474,48126.0
2000-02-18,18869.277182136437,-6893.351842442491,48126.0
2000-02-19,18872.23195294934,-6896.920335488737,48123.0
2000-02-20,18873.773024992104,-6895.616564244306,48121.0
2000-02-21,18873.49848897747,-6890.538352448599,48118.0
2000-02-22,18878.670022587496,-6896.783248606283,48119.0
2000-02-23,18876.59084718156,-6896.646068061004,48114.0
2000-02-24,18867.13455374406,-6896.3017430298705,48114.0
2000-02-25,18861.361998606757,-6891.704038734753,48114.0
2000-02-26,18867.471860224883,-6898.2915713691145,48118.0
2000-02-27,18864.718000049143,-6894.174336250996,48120.0
2000-02-28,18861.499208895275,-6894.241915747007,48118.0
2000-02-29,NA,NA,NA
2000-03-01,18863.249454204684,-6901.102522673219,48110.0
2000-03-02,18864.380284360574,-6892.184884855312,48120.0
2000-03-03,18866.596488274194,-6894.860836060431,48117.0
2000-03-04,18869.8153753304,-6894.792796084916,48117.0
2000-03-05,18870.015928739493,-6894.243892488708,48115.0
2000-03-06,18872.432568245018,-6896.371361596236,48114.0
2000-03-07,18860.021779486524,-6892.458086727409,48112.0
2000-03-08,18860.158882072403,-6894.995862434247,48117.0
2000-03-09,18866.997583089185,-6893.7632103015285,48115.0
2000-03-10,18870.08874164409,-6899.87064244519,48112.0
2000-03-11,18860.28514909092,-6888.823201025016,48117.0
2000-03-12,18867.323715380444,-6887.040062250444,48116.0
2000-03-13,18870.61749316383,-6892.597146700163,48115.0
2000-03-14,18873.03431831686,-6894.724404908007,48111.0
2000-03-15,18878.59620154348,-6891.154798658062,48108.0
2000-03-16,18883.831381839245,-6894.310795305305,48103.0
2000-03-17,18887.113669370636,-6891.151009829413,48099.0
2000-03-18,18881.55158725266,-6894.723392415147,48105.0
2000-03-19,18879.860762785767,-6884.771134745329,48102.0
2000-03-20,18884.232444625,-6893.212166861871,48103.0
2000-03-21,18884.36958908151,-6895.752404413418,48101.0
2000-03-22,18890.13241787422,-6891.629795279011,48098.0
2000-03-23,18879.397896017254,-6888.958127602413,48097.0
2000-03-24,18875.915583594953,-6892.665368418605,48098.0
2000-03-25,18872.35869943656,-6890.744380674784,48099.0
2000-03-26,18878.195258460095,-6892.253099201647,48098.0
2000-03-27,18880.47494923732,-6891.840588059332,48098.0
2000-03-28,18879.73603294473,-6890.948507014723,48097.0
2000-03-29,18886.913205922618,-6891.700410780042,48099.0
2000-03-30,18877.593724030714,-6893.900506276274,48099.0
2000-03-31,18862.426552162822,-6885.874277407551,48094.0
2000-04-01,18871.2189138802,-6890.9503484214865,48102.0
2000-04-02,18860.948356526234,-6884.091159510479,48112.0
2000-04-03,18873.484570294673,-6881.823971509941,48108.0
2000-04-04,18864.718000049143,-6894.174336250996,48113.0
2000-04-05,18865.24464377918,-6886.903043484853,48107.0
2000-04-06,18896.183865677303,-6927.489539112758,48147.0
2000-04-07,18786.796282493193,-6883.047976013235,48138.0
2000-04-08,18848.951215823472,-6887.790797019523,48120.0
2000-04-09,18861.762909775585,-6890.606717511457,48116.0
2000-04-10,18852.908621883114,-6888.615281384591,48107.0
2000-04-11,18868.47497649924,-6895.547335869866,48106.0
2000-04-12,18877.51906854091,-6888.272556808006,48105.0
2000-04-13,18873.360717964842,-6887.999434493414,48100.0
2000-04-14,18882.416550825652,-6889.437219476309,48100.0
2000-04-15,18886.850012837935,-6894.790250077501,48101.0
2000-04-16,18871.005018827607,-6882.78567001641,48103.0
2000-04-17,18876.441520424498,-6885.39065892372,48104.0
2000-04-18,NA,NA,NA
2000-04-19,18886.374683158116,-6890.25887230402,48096.0
2000-04-20,18882.95511142706,-6890.878555005208,48099.0
2000-04-21,18886.575104673702,-6889.709487018991,48094.0
2000-04-22,18892.21176656328,-6891.7657075185,48093.0
2000-04-23,18894.89249906187,-6890.252640425858,48093.0
2000-04-24,18885.97379218445,-6891.357625382839,48092.0
2000-04-25,18876.441520424498,-6885.39065892372,48101.0
2000-04-26,18890.533324675052,-6890.530800260696,48098.0
2000-04-27,18896.170046375275,-6892.586856795486,48094.0
2000-04-28,18884.820267656014,-6882.845593090747,48102.0
2000-04-29,18890.996471586794,-6886.341649271786,48102.0
2000-04-30,18889.918479507094,-6883.458784475755,48099.0
2000-05-01,18894.629059042603,-6893.893074394378,48100.0
2000-05-02,18889.455959497474,-6887.647606709088,48101.0
2000-05-03,18886.29885471914,-6884.62922532757,48101.0
2000-05-04,18878.658855989666,-6888.066187193826,48099.0
2000-05-05,18887.9776078038,-6885.863626815614,48095.0
2000-05-06,18886.482024811678,-6875.3616433221405,48094.0
2000-05-07,18897.079038230186,-6875.484333694706,48094.0
2000-05-08,18905.15187403044,-6888.386866302117,48085.0
2000-05-09,18896.433228499693,-6888.946235880543,48089.0
2000-05-10,18888.778686558268,-6883.665864219601,48090.0
2000-05-11,18891.797605941265,-6884.143535411789,48091.0
2000-05-12,18897.83557601089,-6885.098368364619,48086.0
2000-05-13,18899.852960406384,-6888.324475154898,48094.0
2000-05-14,18906.30342128722,-6896.906258767271,48089.0
2000-05-15,18906.41534908434,-6881.995251953328,48089.0
2000-05-16,18901.255181242686,-6884.475911320086,48088.0
2000-05-17,18872.606204796335,-6878.394001413623,48084.0
2000-05-18,18886.174245661638,-6890.808251758792,48094.0
2000-05-19,18896.433228499693,-6888.946235880543,48091.0
2000-05-20,18892.81311464067,-6890.1170247871405,48088.0
2000-05-21,18901.11644562067,-6881.934474338438,48088.0
2000-05-22,18905.627863651844,-6892.921302402273,48082.0
2000-05-23,18917.366325318264,-6892.837392084231,48084.0
2000-05-24,18838.463565527738,-6872.779604372887,48077.0
2000-05-25,18863.227632329505,-6883.67948781178,48090.0
2000-05-26,18879.998999135863,-6887.310563102898,48090.0
2000-05-27,18889.17913003866,-6882.56694797166,48092.0
2000-05-28,18895.01682660861,-6884.071405947024,48094.0
2000-05-29,18898.636565656765,-6882.8994587471025,48095.0
2000-05-30,18888.161346198624,-6876.595230197004,48092.0
2000-05-31,18893.799322820545,-6878.647843071049,48089.0
2000-06-01,18890.980334509582,-6877.621536634027,48087.0
2000-06-02,18899.314111677948,-6886.882539155922,48088.0
2000-06-03,18899.637442909465,-6880.150690688005,48087.0
2000-06-04,18907.431778322698,-6887.97158444146,48090.0
2000-06-05,18900.253674895033,-6887.224914623939,48082.0
2000-06-06,18899.637442909465,-6880.150690688005,48083.0
2000-06-07,18903.87372110319,-6886.052522061112,48081.0
2000-06-08,18903.009822374275,-6891.343820708822,48084.0
2000-06-09,18879.18300787462,-6880.791012316689,48086.0
2000-06-10,18884.419807972077,-6883.944255749883,48080.0
2000-06-11,18898.650433130893,-6891.623016845991,48079.0
2000-06-12,18890.519102677426,-6881.810301903074,48083.0
2000-06-13,18895.956409742703,-6884.413726752889,48082.0
2000-06-14,18916.35122930822,-6886.85829456723,48078.0
2000-06-15,18902.656618398636,-6880.627062042403,48084.0
2000-06-16,18897.696942698196,-6882.5572472690155,48083.0
2000-06-17,18900.577115630735,-6880.492765499852,48080.0
2000-06-18,18901.3166249831,-6881.384660236443,48081.0
2000-06-19,18904.67482172901,-6883.852909867054,48078.0
2000-06-20,18909.29555956377,-6879.929174131228,48073.0
2000-06-21,18904.474570566686,-6884.402821653988,48077.0
2000-06-22,18908.29471442719,-6882.679346908791,48074.0
2000-06-23,18912.993127784317,-6884.389584297447,48077.0
2000-06-24,18883.9419510376,-6879.414247582591,48075.0
2000-06-25,18900.315568239046,-6884.133672509621,48077.0
2000-06-26,18888.70089300644,-6878.036244055248,48073.0
2000-06-27,18889.440443963522,-6878.927875327309,48081.0
2000-06-28,18898.358372218445,-6877.817374371105,48080.0
2000-06-29,18891.440643768532,-6873.43286887785,48077.0
2000-06-30,18902.934118055273,-6885.710255918557,48077.0
2000-07-01,18910.43542294658,-6879.721005576261,48072.0
2000-07-02,18907.89426437534,-6883.779375256162,48070.0
2000-07-03,18914.47190376758,-6886.174090275881,48071.0
2000-07-04,18910.296004693344,-6877.178855815731,48067.0
2000-07-05,18906.091447206425,-6888.729214439202,48064.0
2000-07-06,18908.83392714566,-6884.121477401836,48068.0
2000-07-07,18904.736144970906,-6880.7612434258035,48067.0
2000-07-08,18905.67583759169,-6881.103263569129,48069.0
2000-07-09,18911.052000955573,-6886.798110671911,48066.0
2000-07-10,18916.6132022491,-6883.214725438618,48061.0
2000-07-11,18937.27214906599,-6882.000040119851,48061.0
2000-07-12,18900.916250264876,-6882.484282617217,48070.0
2000-07-13,18922.18958821995,-6888.360486172344,48059.0
2000-07-14,18905.15187403044,-6888.386866302117,48071.0
2000-07-15,18933.147584834376,-6925.425801413236,48099.0
2000-07-16,18808.241402851094,-6879.737228417801,48096.0
2000-07-17,18857.652448090426,-6878.537137141086,48089.0
2000-07-18,18877.025237609723,-6875.02859475112,48083.0
2000-07-19,18895.217068134447,-6883.521769274848,48080.0
2000-07-20,18862.087992435223,-6883.88535389942,48062.0
2000-07-21,18875.006067414146,-6871.805800157565,48079.0
2000-07-22,18888.716801606137,-6886.755592346951,48070.0
2000-07-23,18895.278393068675,-6880.431341742462,48085.0
2000-07-24,18879.44404185727,-6877.153602354686,48080.0
2000-07-25,18890.980334509582,-6877.621536634027,48071.0
2000-07-26,18899.298074787795,-6878.159367179735,48073.0
2000-07-27,18887.761250140407,-6877.694087242789,48078.0
2000-07-28,18897.018522370083,-6878.574777176015,48062.0
2000-07-29,18886.482024811678,-6875.3616433221405,48063.0
2000-07-30,18887.221683428306,-6876.253128051329,48071.0
2000-07-31,18890.17995902966,-6879.819555444326,48070.0
2000-08-01,18891.440643768532,-6873.43286887785,48070.0
2000-08-02,18887.621695655827,-6875.154302398703,48070.0
2000-08-03,18894.878073822496,-6881.530612834757,48067.0
2000-08-04,18895.2594906254,-6871.7104698852545,48063.0
2000-08-05,18898.297487164946,-6880.908085900804,48067.0
2000-08-06,18887.48180586213,-6872.61464314907,48066.0
2000-08-07,18894.677890217197,-6882.080239646829,48068.0
2000-08-08,18899.976607398843,-6882.1421258047585,48067.0
2000-08-09,18900.577115630735,-6880.492765499852,48063.0
2000-08-10,18905.597094047112,-6875.469985212458,48059.0
2000-08-11,18863.28916979065,-6880.593193675876,48053.0
2000-08-12,18798.988843524163,-6878.8329287062925,48021.0
2000-08-13,18870.587665122195,-6875.171064994532,48086.0
2000-08-14,18882.323389249184,-6875.091884754209,48073.0
2000-08-15,18896.21803593471,-6880.773498554921,48069.0
2000-08-16,18895.07824143971,-6880.9809801998135,48070.0
2000-08-17,18897.018522370083,-6878.574777176015,48071.0
2000-08-18,18895.939308038993,-6875.692086394422,48064.0
2000-08-19,18902.777747659373,-6874.444662850493,48061.0
2000-08-20,18909.356222564096,-6876.837081695076,48060.0
2000-08-21,18901.29805062579,-6872.661493294258,48064.0
2000-08-22,18897.738712443715,-6870.744905481946,48063.0
2000-08-23,18902.856759729333,-6880.077203139152,48055.0
2000-08-24,18906.536876176357,-6875.811759333113,48057.0
2000-08-25,18904.796968812618,-6877.669704774518,48058.0
2000-08-26,18910.216054694803,-6871.544860128834,48056.0
2000-08-27,18901.97774174564,-6876.644054373647,48055.0
2000-08-28,18903.056885065198,-6879.527338414258,48054.0
2000-08-29,18886.20197811139,-6870.28266099594,48055.0
2000-08-30,18895.939308038993,-6875.692086394422,48058.0
2000-08-31,18893.320108589083,-6874.116690483468,48058.0
2000-09-01,18892.320109012955,-6876.864539787359,48059.0
2000-09-02,18886.06145187953,-6867.74335832594,48050.0
2000-09-03,18892.980154250923,-6872.12608230384,48059.0
2000-09-04,18889.70106303833,-6875.288921132593,48063.0
2000-09-05,18889.16130664925,-6873.847985763493,48060.0
2000-09-06,18904.59689751239,-6878.219620117181,48055.0
2000-09-07,18896.399164656734,-6871.502572942858,48055.0
2000-09-08,18899.175705863592,-6884.341191348338,48057.0
