date,X,Y,Z
1908-01-01,18658.0,-3082.0,42978.0
1908-01-02,18653.0,-3083.0,42979.0
1908-01-03,18652.0,-3080.0,42979.0
1908-01-04,18652.0,-3080.0,42986.0
1908-01-05,18648.0,-3076.0,42988.0
1908-01-06,18649.0,-3082.0,42988.0
1908-01-07,18641.0,-3079.0,42993.0
1908-01-08,18640.0,-3076.0,42991.0
1908-01-09,18634.0,-3068.0,42996.0
1908-01-10,18642.0,-3074.0,42994.0
1908-01-11,18646.0,-3077.0,42992.0
1908-01-12,18647.0,-3078.0,42990.0
1908-01-13,18648.0,-3079.0,42990.0
1908-01-14,18652.0,-3080.0,42989.0
1908-01-15,18650.0,-3078.0,42989.0
1908-01-16,18652.0,-3078.0,42986.0
1908-01-17,18653.0,-3079.0,42986.0
1908-01-18,18652.0,-3078.0,42984.0
1908-01-19,18654.0,-3080.0,42982.0
1908-01-20,18658.0,-3080.0,42981.0
1908-01-21,18656.0,-3081.0,42980.0
1908-01-22,18656.0,-3078.0,42980.0
1908-01-23,18659.0,-3082.0,42978.0
1908-01-24,18655.0,-3082.0,42978.0
1908-01-25,18651.0,-3076.0,42980.0
1908-01-26,18647.0,-3077.0,42981.0
1908-01-27,18654.0,-3076.0,42981.0
1908-01-28,18651.0,-3075.0,42977.0
1908-01-29,18643.0,-3084.0,42982.0
1908-01-30,18641.0,-3074.0,42984.0
1908-01-31,18649.0,-3077.0,42984.0
1908-02-01,18649.0,-3075.0,42983.0
1908-02-02,18651.0,-3078.0,42981.0
1908-02-03,18647.0,-3078.0,42984.0
1908-02-04,18642.0,-3075.0,42985.0
1908-02-05,18644.0,-3073.0,42985.0
1908-02-06,18639.0,-3065.0,42984.0
1908-02-07,18639.0,-3070.0,42987.0
1908-02-08,18642.0,-3075.0,42986.0
1908-02-09,18643.0,-3073.0,42984.0
1908-02-10,18648.0,-3078.0,42983.0
1908-02-11,18641.0,-3069.0,42987.0
1908-02-12,18643.0,-3074.0,42982.0
1908-02-13,18646.0,-3075.0,42981.0
1908-02-14,18649.0,-3073.0,42979.0
1908-02-15,18652.0,-3074.0,42979.0
1908-02-16,18651.0,-3077.0,42978.0
1908-02-17,18650.0,-3074.0,42979.0
1908-02-18,18654.0,-3074.0,42978.0
1908-02-19,18650.0,-3075.0,42979.0
1908-02-20,18651.0,-3077.0,42979.0
1908-02-21,18655.0,-3076.0,42976.0
1908-02-22,18652.0,-3077.0,42980.0
1908-02-23,18640.0,-3074.0,42982.0
1908-02-24,18649.0,-3073.0,42979.0
1908-02-25,18647.0,-3075.0,42978.0
1908-02-26,18649.0,-3074.0,42975.0
1908-02-27,18649.0,-3074.0,42976.0
1908-02-28,18649.0,-3078.0,42979.0
1908-02-29,18648.0,-3069.0,42980.0
1908-03-01,18639.0,-3064.0,42978.0
1908-03-02,18628.0,-3063.0,42986.0
1908-03-03,18640.0,-3070.0,42980.0
1908-03-04,18635.0,-3067.0,42983.0
1908-03-05,18642.0,-3074.0,42982.0
1908-03-06,18648.0,-3069.0,42981.0
1908-03-07,18647.0,-3072.0,42980.0
1908-03-08,18651.0,-3072.0,42979.0
1908-03-09,18637.0,-3072.0,42982.0
1908-03-10,18648.0,-3076.0,42980.0
1908-03-11,18647.0,-3075.0,42980.0
1908-03-12,18646.0,-3072.0,42977.0
1908-03-13,18648.0,-3073.0,42979.0
1908-03-14,18648.0,-3075.0,42979.0
1908-03-15,18650.0,-3076.0,42978.0
1908-03-16,18649.0,-3080.0,42980.0
1908-03-17,18643.0,-3073.0,42982.0
1908-03-18,18646.0,-3072.0,42984.0
1908-03-19,18649.0,-3075.0,42980.0
1908-03-20,18648.0,-3061.0,42976.0
1908-03-21,18644.0,-3069.0,42982.0
1908-03-22,18649.0,-3071.0,42978.0
1908-03-23,18650.0,-3069.0,42976.0
1908-03-24,18650.0,-3074.0,42978.0
1908-03-25,18652.0,-3072.0,42976.0
1908-03-26,18636.0,-3048.0,42977.0
1908-03-27,18613.0,-3058.0,42976.0
1908-03-28,18623.0,-3051.0,42982.0
1908-03-29,18626.0,-3063.0,42983.0
1908-03-30,18634.0,-3070.0,42988.0
1908-03-31,18636.0,-3063.0,42988.0
1908-04-01,18633.0,-3068.0,42990.0
1908-04-02,18633.0,-3071.0,42985.0
1908-04-03,18640.0,-3070.0,42977.0
1908-04-04,18641.0,-3069.0,42981.0
1908-04-05,18648.0,-3070.0,42982.0
1908-04-06,18638.0,-3065.0,42987.0
1908-04-07,18634.0,-3067.0,42986.0
1908-04-08,18639.0,-3066.0,42977.0
1908-04-09,18643.0,-3069.0,42980.0
1908-04-10,18644.0,-3070.0,42981.0
1908-04-11,18646.0,-3069.0,42980.0
1908-04-12,18650.0,-3071.0,42978.0
1908-04-13,18649.0,-3069.0,42975.0
1908-04-14,18655.0,-3074.0,42973.0
1908-04-15,18640.0,-3059.0,42983.0
1908-04-16,18634.0,-3062.0,42982.0
1908-04-17,18635.0,-3065.0,42985.0
1908-04-18,18642.0,-3070.0,42982.0
1908-04-19,18641.0,-3072.0,42976.0
1908-04-20,18644.0,-3069.0,42976.0
1908-04-21,18653.0,-3074.0,42972.0
1908-04-22,18649.0,-3071.0,42974.0
1908-04-23,18642.0,-3069.0,42975.0
1908-04-24,18644.0,-3064.0,42972.0
1908-04-25,18651.0,-3065.0,42970.0
1908-04-26,18646.0,-3066.0,42970.0
1908-04-27,18643.0,-3065.0,42968.0
1908-04-28,18645.0,-3067.0,42972.0
1908-04-29,18647.0,-3071.0,42968.0
1908-04-30,18646.0,-3065.0,42973.0
1908-05-01,18655.0,-3071.0,42971.0
1908-05-02,18647.0,-3072.0,42968.0
1908-05-03,18647.0,-3068.0,42972.0
1908-05-04,18648.0,-3068.0,42971.0
1908-05-05,18647.0,-3070.0,42972.0
1908-05-06,18650.0,-3065.0,42970.0
1908-05-07,18651.0,-3067.0,42966.0
1908-05-08,18649.0,-3070.0,42968.0
1908-05-09,18648.0,-3069.0,42968.0
1908-05-10,18655.0,-3060.0,42969.0
1908-05-11,18641.0,-3050.0,42961.0
1908-05-12,18643.0,-3069.0,42972.0
1908-05-13,18650.0,-3066.0,42968.0
1908-05-14,18647.0,-3066.0,42972.0
1908-05-15,18646.0,-3068.0,42972.0
1908-05-16,18649.0,-3072.0,42972.0
1908-05-17,18651.0,-3066.0,42969.0
1908-05-18,18650.0,-3067.0,42972.0
1908-05-19,18654.0,-3070.0,42976.0
1908-05-20,18656.0,-3066.0,42971.0
1908-05-21,18656.0,-3066.0,42969.0
1908-05-22,18655.0,-3067.0,42974.0
1908-05-23,18640.0,-3068.0,42967.0
1908-05-24,18636.0,-3063.0,42976.0
1908-05-25,18635.0,-3060.0,42975.0
1908-05-26,18606.0,-3069.0,42974.0
1908-05-27,18642.0,-3057.0,42976.0
1908-05-28,18642.0,-3066.0,42981.0
1908-05-29,18643.0,-3066.0,42980.0
1908-05-30,18645.0,-3066.0,42980.0
1908-05-31,18648.0,-3062.0,42976.0
1908-06-01,18645.0,-3072.0,42978.0
1908-06-02,18652.0,-3065.0,42973.0
1908-06-03,18654.0,-3069.0,42983.0
1908-06-04,18648.0,-3061.0,42974.0
1908-06-05,18640.0,-3061.0,42974.0
1908-06-06,18651.0,-3061.0,42972.0
1908-06-07,18652.0,-3064.0,42975.0
1908-06-08,18650.0,-3061.0,42972.0
1908-06-09,18647.0,-3064.0,42971.0
1908-06-10,18647.0,-3064.0,42974.0
1908-06-11,18653.0,-3063.0,42972.0
1908-06-12,18657.0,-3062.0,42966.0
1908-06-13,18660.0,-3065.0,42970.0
1908-06-14,18655.0,-3066.0,42971.0
1908-06-15,18653.0,-3067.0,42974.0
1908-06-16,18652.0,-3064.0,42970.0
1908-06-17,18660.0,-3066.0,42970.0
1908-06-18,18654.0,-3061.0,42971.0
1908-06-19,18649.0,-3070.0,42969.0
1908-06-20,18648.0,-3064.0,42967.0
1908-06-21,18646.0,-3058.0,42969.0
1908-06-22,18648.0,-3060.0,42971.0
1908-06-23,18652.0,-3062.0,42970.0
1908-06-24,18658.0,-3066.0,42967.0
1908-06-25,18656.0,-3069.0,42968.0
1908-06-26,18649.0,-3064.0,42972.0
1908-06-27,18649.0,-3065.0,42970.0
1908-06-28,18650.0,-3064.0,42970.0
1908-06-29,18647.0,-3064.0,42974.0
1908-06-30,18651.0,-3062.0,42972.0
1908-07-01,18644.0,-3061.0,42970.0
1908-07-02,18642.0,-3061.0,42972.0
1908-07-03,18652.0,-3062.0,42972.0
1908-07-04,18655.0,-3066.0,42970.0
1908-07-05,18655.0,-3066.0,42971.0
1908-07-06,18652.0,-3055.0,42969.0
1908-07-07,18649.0,-3064.0,42970.0
1908-07-08,18653.0,-3058.0,42968.0
1908-07-09,18657.0,-3064.0,42969.0
1908-07-10,18660.0,-3055.0,42969.0
1908-07-11,18660.0,-3065.0,42964.0
1908-07-12,18663.0,-3065.0,42966.0
1908-07-13,18657.0,-3065.0,42971.0
1908-07-14,18649.0,-3065.0,42971.0
1908-07-15,18659.0,-3066.0,42964.0
1908-07-16,18626.0,-3061.0,42966.0
1908-07-17,18635.0,-3059.0,42968.0
1908-07-18,18643.0,-3057.0,42970.0
1908-07-19,18643.0,-3063.0,42969.0
1908-07-20,18649.0,-3058.0,42971.0
1908-07-21,18654.0,-3060.0,42969.0
1908-07-22,18650.0,-3064.0,42968.0
1908-07-23,18651.0,-3060.0,42969.0
1908-07-24,18657.0,-3064.0,42968.0
1908-07-25,18637.0,-3061.0,42975.0
1908-07-26,18646.0,-3058.0,42971.0
1908-07-27,18650.0,-3062.0,42970.0
1908-07-28,18650.0,-3058.0,42971.0
1908-07-29,18649.0,-3060.0,42970.0
1908-07-30,18649.0,-3064.0,42972.0
1908-07-31,18645.0,-3062.0,42968.0
1908-08-01,18656.0,-3064.0,42966.0
1908-08-02,18656.0,-3061.0,42966.0
1908-08-03,18653.0,-3059.0,42964.0
1908-08-04,18652.0,-3060.0,42966.0
1908-08-05,18649.0,-3059.0,42964.0
1908-08-06,18658.0,-3062.0,42963.0
1908-08-07,18650.0,-3060.0,42965.0
1908-08-08,18649.0,-3069.0,42962.0
1908-08-09,18626.0,-3051.0,42960.0
1908-08-10,18631.0,-3051.0,42969.0
1908-08-11,18638.0,-3062.0,42971.0
1908-08-12,18642.0,-3057.0,42964.0
1908-08-13,18632.0,-3052.0,42969.0
1908-08-14,18628.0,-3058.0,42970.0
1908-08-15,18638.0,-3060.0,42966.0
1908-08-16,18639.0,-3055.0,42967.0
1908-08-17,18647.0,-3056.0,42965.0
1908-08-18,18644.0,-3053.0,42968.0
1908-08-19,18622.0,-3063.0,42968.0
1908-08-20,18628.0,-3052.0,42974.0
1908-08-21,18640.0,-3048.0,42980.0
1908-08-22,18628.0,-3046.0,42969.0
1908-08-23,18637.0,-3050.0,42973.0
1908-08-24,18640.0,-3052.0,42970.0
1908-08-25,18638.0,-3056.0,42969.0
1908-08-26,18644.0,-3057.0,42964.0
1908-08-27,18644.0,-3057.0,42969.0
1908-08-28,18643.0,-3056.0,42966.0
1908-08-29,18645.0,-3059.0,42963.0
1908-08-30,18644.0,-3056.0,42961.0
1908-08-31,18643.0,-3054.0,42961.0
1908-09-01,18641.0,-3056.0,42959.0
1908-09-02,18643.0,-3060.0,42955.0
1908-09-03,18652.0,-3060.0,42954.0
1908-09-04,18649.0,-3052.0,42954.0
1908-09-05,18612.0,-3040.0,42953.0
1908-09-06,18623.0,-3046.0,42962.0
1908-09-07,18630.0,-3048.0,42967.0
1908-09-08,18638.0,-3057.0,42965.0
1908-09-09,18643.0,-3046.0,42962.0
1908-09-10,18624.0,-3051.0,42961.0
1908-09-11,18632.0,-3056.0,42958.0
1908-09-12,18546.0,-3011.0,42909.0
1908-09-13,18602.0,-3034.0,42984.0
1908-09-14,18610.0,-3038.0,42978.0
1908-09-15,18618.0,-3044.0,42980.0
1908-09-16,18607.0,-3043.0,42992.0
1908-09-17,18607.0,-3043.0,42983.0
1908-09-18,18624.0,-3047.0,42980.0
1908-09-19,18625.0,-3046.0,42977.0
1908-09-20,18626.0,-3047.0,42975.0
1908-09-21,18630.0,-3050.0,42976.0
1908-09-22,18632.0,-3051.0,42973.0
1908-09-23,18635.0,-3046.0,42968.0
1908-09-24,18633.0,-3052.0,42978.0
1908-09-25,18635.0,-3051.0,42975.0
1908-09-26,18633.0,-3047.0,42975.0
1908-09-27,18636.0,-3050.0,42974.0
1908-09-28,18625.0,-3050.0,42979.0
1908-09-29,18572.0,-3032.0,43003.0
1908-09-30,18574.0,-3027.0,42988.0
1908-10-01,18604.0,-3038.0,42991.0
1908-10-02,18612.0,-3040.0,42993.0
1908-10-03,18617.0,-3042.0,42984.0
1908-10-04,18611.0,-3047.0,42984.0
1908-10-05,18622.0,-3041.0,42981.0
1908-10-06,18623.0,-3039.0,42978.0
1908-10-07,18622.0,-3044.0,42980.0
1908-10-08,18621.0,-3044.0,42981.0
1908-10-09,18627.0,-3048.0,42979.0
1908-10-10,18631.0,-3048.0,42976.0
1908-10-11,18635.0,-3053.0,42972.0
1908-10-12,18624.0,-3032.0,42979.0
1908-10-13,18617.0,-3042.0,42973.0
1908-10-14,18615.0,-3043.0,42983.0
1908-10-15,18631.0,-3045.0,42978.0
1908-10-16,18636.0,-3049.0,42975.0
1908-10-17,18642.0,-3052.0,42972.0
1908-10-18,18636.0,-3042.0,42972.0
