H,X,Y,Z,date
NA,37443.76324459011,-492.3444760352948,27406.0,1980-01-01
NA,37450.64703030396,-501.15168520623115,27407.0,1980-01-02
NA,37472.717596836694,-495.99587470642416,27401.0,1980-01-03
NA,37482.6877939658,-498.3088802009259,27395.0,1980-01-04
NA,37486.7163706214,-496.1811650854905,27395.0,1980-01-05
NA,37487.658294429944,-500.55629059846376,27399.0,1980-01-06
NA,37499.67177421489,-499.62568604014683,27393.0,1980-01-07
NA,37493.62857033244,-502.8176905708732,27394.0,1980-01-08
NA,37496.715494753334,-496.31351535625214,27394.0,1980-01-09
NA,37498.700865769846,-497.4307786129171,27396.0,1980-01-10
NA,37477.7459551986,-493.88168380169293,27396.0,1980-01-11
NA,37484.74534746899,-493.97392178324657,27396.0,1980-01-12
NA,37458.70438465869,-496.90021407917175,27394.0,1980-01-13
NA,37460.60224702961,-504.55454595124667,27400.0,1980-01-14
NA,37478.70262521427,-497.16549634604445,27396.0,1980-01-15
NA,37472.688677550614,-498.1759482049272,27398.0,1980-01-16
NA,37484.70209738094,-497.2450810261062,27397.0,1980-01-17
NA,37487.687352173394,-498.3753461989253,27398.0,1980-01-18
NA,37493.672306688415,-499.5457523250776,27396.0,1980-01-19
NA,37491.584730618146,-506.0626313813386,27398.0,1980-01-20
NA,37488.67275041636,-499.4791408958533,27392.0,1980-01-21
NA,37496.59898205238,-505.03938375965595,27394.0,1980-01-22
NA,37485.67301665312,-499.4391740383187,27394.0,1980-01-23
NA,37487.64371797741,-501.64676216336875,27395.0,1980-01-24
NA,37493.672306688415,-499.5457523250776,27395.0,1980-01-25
NA,37496.61365718849,-503.94865169524314,27395.0,1980-01-26
NA,37457.747691568926,-493.6181467115397,27398.0,1980-01-27
NA,37448.60333535536,-504.39293334844353,27404.0,1980-01-28
NA,37436.63369531553,-502.05334653368254,27405.0,1980-01-29
NA,37462.66052276846,-500.222506296499,27406.0,1980-01-30
NA,37472.73200891789,-494.905837327174,27410.0,1980-01-31
NA,37484.643986544426,-501.6066207884657,27409.0,1980-02-01
NA,37488.65820529641,-500.56964197054236,27409.0,1980-02-02
NA,37490.61419900334,-503.8680199109719,27415.0,1980-02-03
NA,37491.68699873947,-498.4285189973248,27419.0,1980-02-04
NA,37488.65820529641,-500.56964197054236,27414.0,1980-02-05
NA,37442.77763652229,-491.24216222366067,27417.0,1980-02-06
NA,37442.66230543928,-499.95547885492715,27421.0,1980-02-07
NA,37447.71978650686,-495.66499902952,27428.0,1980-02-08
NA,37460.71864787837,-495.83705438151014,27426.0,1980-02-09
NA,37480.67346038106,-499.37256260909436,27427.0,1980-02-10
NA,37490.74482655789,-494.05298291029254,27423.0,1980-02-11
NA,37486.65838356349,-500.54293922638516,27422.0,1980-02-12
NA,37496.7443056468,-494.1320440373385,27422.0,1980-02-13
NA,37462.76160231295,-492.59428363122163,27422.0,1980-02-14
