date X Y Z
2005-01-01 19317.0 4685.0 48242.0
2005-01-02 19302.0 4673.0 48240.0
2005-01-03 19299.0 4690.0 48242.0
2005-01-04 19309.0 4686.0 48242.0
2005-01-05 19306.0 4688.0 48245.0
2005-01-06 19318.0 4689.0 48250.0
2005-01-07 19310.0 4685.0 48229.0
2005-01-08 19288.0 4680.0 48262.0
2005-01-09 19310.0 4688.0 48253.0
2005-01-10 19317.0 4691.0 48250.0
2005-01-11 19313.0 4689.0 
2005-01-12 19307.0 4679.0 
2005-01-13 19311.0 4683.0 48251.0
2005-01-14 19312.0 4685.0 48253.0
2005-01-15 19305.0 4682.0 48254.0
2005-01-16 19315.0 4691.0 48250.0
2005-01-17 19300.0 4690.0 48217.0
2005-01-18 19288.0 4665.0 48236.0
2005-01-19 19271.0 4697.0 
2005-01-20 19309.0 4680.0 
2005-01-21 19304.0 4666.0 48237.0
2005-01-22 19285.0 4671.0 48261.0
2005-01-23 19303.0 4680.0 48254.0
2005-01-24 19310.0 4683.0 48255.0
2005-01-25 19316.0 4688.0 48254.0
2005-01-26 19319.0 4687.0 48254.0
2005-01-27 19326.0 4691.0 48250.0
2005-01-28 19324.0 4687.0 48249.0
2005-01-29 19319.0 4688.0 48247.0
2005-01-30 19316.0 4687.0 48247.0
2005-01-31 19320.0 4688.0 48237.0
2005-02-01 19322.0 4688.0 48247.0
2005-02-02 19322.0 4687.0 48245.0
2005-02-03 19318.0 4682.0 48251.0
2005-02-04 19322.0 4686.0 48248.0
2005-02-05 19325.0 4688.0 48248.0
2005-02-06 19324.0 4684.0 48249.0
2005-02-07 19314.0 4674.0 48243.0
2005-02-08 19303.0 4673.0 48247.0
2005-02-09 19306.0 4679.0 48250.0
2005-02-10 19308.0 4680.0 48248.0
2005-02-11 19315.0 4680.0 48249.0
2005-02-12 19319.0 4682.0 48251.0
2005-02-13 19321.0 4684.0 48248.0
2005-02-14 19324.0 4682.0 48247.0
2005-02-15 19324.0 4683.0 48248.0
2005-02-16 19319.0 4691.0 48236.0
2005-02-17 19321.0 4682.0 48247.0
2005-02-18 19297.0 4666.0 48258.0
2005-02-19 19309.0 4680.0 48252.0
2005-02-20 19313.0 4682.0 48249.0
2005-02-21 19312.0 4678.0 48254.0
2005-02-22 19327.0 4683.0 48247.0
2005-02-23 19333.0 4687.0 48245.0
2005-02-24 19331.0 4687.0 48240.0
2005-02-25 19328.0 4682.0 48241.0
2005-02-26 19326.0 4681.0 48243.0
2005-02-27 19328.0 4684.0 48244.0
2005-02-28 19324.0 4683.0 48245.0
2005-03-01 19325.0 4683.0 48244.0
2005-03-02 19325.0 4682.0 48242.0
2005-03-03 19326.0 4682.0 48244.0
2005-03-04 19328.0 4684.0 48245.0
2005-03-05 19326.0 4680.0 48239.0
2005-03-06 19309.0 4662.0 48236.0
2005-03-07 19304.0 4664.0 48244.0
2005-03-08 19306.0 4665.0 48251.0
2005-03-09 19310.0 4668.0 48246.0
2005-03-10 19312.0 4670.0 48249.0
2005-03-11 19320.0 4679.0 48250.0
2005-03-12 19321.0 4680.0 48248.0
2005-03-13 19325.0 4682.0 48247.0
2005-03-14 19316.0 4675.0 48247.0
2005-03-15 19323.0 4678.0 48250.0
2005-03-16 19329.0 4682.0 48243.0
2005-03-17 19320.0 4671.0 48250.0
2005-03-18 19328.0 4673.0 48243.0
2005-03-19 19317.0 4670.0 48250.0
2005-03-20 19323.0 4679.0 48245.0
2005-03-21 19323.0 4679.0 48242.0
2005-03-22 19329.0 4680.0 48246.0
2005-03-23 19334.0 4684.0 48242.0
2005-03-24 19337.0 4683.0 48242.0
2005-03-25 19322.0 4675.0 48245.0
2005-03-26 19326.0 4679.0 48240.0
2005-03-27 19327.0 4675.0 48240.0
2005-03-28 19331.0 4677.0 48246.0
2005-03-29 19336.0 4679.0 48242.0
2005-03-30 19328.0 4678.0 48245.0
2005-03-31 19333.0 4675.0 48242.0
2005-04-01 19332.0 4677.0 48244.0
2005-04-02 19334.0 4682.0 48241.0
2005-04-03   
2005-04-04 19325.0 4673.0 48234.0
2005-04-05 19300.0 4665.0 48252.0
2005-04-06 19318.0 4675.0 48247.0
2005-04-07 19322.0 4679.0 48248.0
2005-04-08 19327.0 4678.0 48248.0
2005-04-09 19332.0 4680.0 48245.0
2005-04-10 19335.0 4678.0 48245.0
2005-04-11 19336.0 4680.0 48241.0
2005-04-12 19311.0 4665.0 48247.0
2005-04-13 19312.0 4665.0 48237.0
2005-04-14 19313.0 4670.0 48248.0
2005-04-15 19321.0 4669.0 48250.0
2005-04-16 19321.0 4669.0 48251.0
2005-04-17 19325.0 4670.0 48250.0
2005-04-18 19326.0 4670.0 48246.0
2005-04-19 19331.0 4674.0 48250.0
2005-04-20 19324.0 4673.0 48250.0
2005-04-21 19330.0 4672.0 48247.0
2005-04-22 19335.0 4669.0 48245.0
2005-04-23 19341.0 4674.0 48242.0
2005-04-24 19334.0 4672.0 48245.0
2005-04-25 19333.0 4673.0 48244.0
2005-04-26 19335.0 4674.0 48246.0
2005-04-27 19338.0 4676.0 48244.0
2005-04-28 19342.0 4674.0 48242.0
2005-04-29 19340.0 4674.0 48234.0
2005-04-30 19326.0 4663.0 48238.0
2005-05-01 19322.0 4658.0 48244.0
2005-05-02 19330.0 4671.0 48244.0
2005-05-03 19325.0 4670.0 48241.0
2005-05-04 19328.0 4672.0 48247.0
2005-05-05 19333.0 4674.0 48244.0
2005-05-06 19342.0 4678.0 48243.0
2005-05-07 19344.0 4676.0 48243.0
2005-05-08 19282.0 4660.0 48214.0
2005-05-09 19311.0 4660.0 48259.0
2005-05-10 19316.0 4661.0 48262.0
2005-05-11 19319.0 4666.0 48255.0
2005-05-12 19320.0 4662.0 48255.0
2005-05-13 19314.0 4663.0 48256.0
2005-05-14 19325.0 4664.0 48256.0
2005-05-15 19300.0 4658.0 48267.0
2005-05-16 19294.0 4648.0 48265.0
2005-05-17 19304.0 4651.0 48271.0
2005-05-18 19311.0 4665.0 48270.0
2005-05-19 19317.0 4668.0 48263.0
2005-05-20 19315.0 4665.0 48280.0
2005-05-21 19314.0 4655.0 48272.0
2005-05-22 19319.0 4660.0 48271.0
2005-05-23 19325.0 4666.0 48262.0
2005-05-24 19330.0 4670.0 48261.0
2005-05-25 19331.0 4666.0 48258.0
2005-05-26 19332.0 4668.0 48256.0
2005-05-27 19338.0 4669.0 48253.0
2005-05-28 19343.0 4666.0 48248.0
2005-05-29 19333.0 4663.0 48258.0
2005-05-30 19279.0 4660.0 48203.0
2005-05-31 19316.0 4663.0 48266.0
2005-06-01 19321.0 4660.0 48262.0
2005-06-02 19329.0 4667.0 48261.0
2005-06-03 19332.0 4666.0 48263.0
2005-06-04 19332.0 4668.0 48252.0
2005-06-05 19326.0 4658.0 48265.0
2005-06-06 19327.0 4658.0 48262.0
2005-06-07 19325.0 4657.0 48265.0
2005-06-08 19326.0 4663.0 48256.0
2005-06-09 19330.0 4666.0 48251.0
2005-06-10 19337.0 4668.0 48256.0
2005-06-11 19338.0 4667.0 48251.0
2005-06-12 19336.0 4647.0 48242.0
2005-06-13 19304.0 4658.0 48277.0
2005-06-14 19326.0 4661.0 48263.0
2005-06-15 19321.0 4669.0 48263.0
2005-06-16 19334.0 4665.0 48253.0
2005-06-17 19325.0 4657.0 48263.0
2005-06-18 19326.0 4663.0 48259.0
2005-06-19 19331.0 4664.0 48260.0
2005-06-20 19334.0 4666.0 48258.0
2005-06-21 19336.0 4667.0 48253.0
2005-06-22 19342.0 4666.0 48251.0
2005-06-23 19313.0 4650.0 48279.0
2005-06-24 19323.0 4653.0 48264.0
2005-06-25 19327.0 4656.0 48258.0
2005-06-26 19329.0 4659.0 48258.0
2005-06-27 19333.0 4663.0 48255.0
2005-06-28 19341.0 4664.0 48258.0
2005-06-29   
2005-06-30 19341.0 4666.0 48255.0
2005-07-01 19345.0 4662.0 48251.0
2005-07-02 19337.0 4653.0 48254.0
2005-07-03 19331.0 4658.0 48253.0
2005-07-04 19338.0 4661.0 48253.0
2005-07-05 19340.0 4663.0 48250.0
2005-07-06 19341.0 4661.0 48247.0
2005-07-07 19342.0 4663.0 48251.0
2005-07-08 19347.0 4661.0 48253.0
2005-07-09 19329.0 4659.0 48243.0
2005-07-10 19321.0 4648.0 48233.0
2005-07-11 19321.0 4651.0 48261.0
2005-07-12 19313.0 4648.0 48263.0
2005-07-13 19318.0 4665.0 48253.0
2005-07-14 19328.0 4658.0 48263.0
2005-07-15 19332.0 4660.0 48261.0
2005-07-16 19336.0 4656.0 48261.0
2005-07-17 19334.0 4665.0 48253.0
2005-07-18 19322.0 4642.0 48272.0
2005-07-19 19327.0 4656.0 48262.0
2005-07-20 19334.0 4656.0 48250.0
2005-07-21 19328.0 4643.0 48264.0
2005-07-22 19331.0 4654.0 48253.0
2005-07-23 19332.0 4660.0 48255.0
2005-07-24 19339.0 4660.0 48254.0
2005-07-25 19341.0 4661.0 48252.0
