date,X,Y,Z
1926-01-01,NA,NA,NA
1926-01-02,27687.842417458363,-2081.8593290598146,35748.0
1926-01-03,27708.965013659905,-2081.0158268911164,35745.0
1926-01-04,27704.551993544163,-2086.3575525322344,35745.0
1926-01-05,27702.921330676665,-2081.3723228533277,35748.0
1926-01-06,27701.924141182742,-2081.2974021405075,35748.0
1926-01-07,27700.7452252879,-2083.6398354057183,35744.0
1926-01-08,27702.981863622765,-2080.5664766567857,35742.0
1926-01-09,27703.918520170588,-2081.4472435661473,35745.0
1926-01-10,NA,NA,NA
1926-01-11,27716.821396687516,-2083.227463366665,35740.0
1926-01-12,27720.055191670755,-2080.2269517356094,35738.0
1926-01-13,27677.93109143582,-2080.3044242923243,35743.0
1926-01-14,27677.87056612311,-2081.1095417915517,35741.0
1926-01-15,27684.035221838494,-2079.143534248072,35740.0
1926-01-16,27678.746626007818,-2082.7948082470534,35731.0
1926-01-17,27698.75085938378,-2083.4898199382496,35732.0
1926-01-18,27704.430567297073,-2087.9693345008,35731.0
1926-01-19,27687.268554912825,-2076.1466634454023,35739.0
1926-01-20,27695.638064224626,-2084.8760671732844,35736.0
1926-01-21,27703.1028591915,-2078.954778982911,35730.0
1926-01-22,27691.709976014594,-2083.7702858745783,35732.0
1926-01-23,27663.788914461536,-2081.669257138371,35735.0
1926-01-24,27687.721252935586,-2083.4701389122633,35733.0
1926-01-25,27701.56046433635,-2086.132268270002,35735.0
1926-01-26,27672.31054921055,-2075.0250282949723,35748.0
1926-01-27,27596.554381352315,-2082.261097236456,35770.0
1926-01-28,27648.52830765896,-2084.5650434997706,35766.0
1926-01-29,27671.159482232037,-2090.318853400133,35765.0
1926-01-30,27676.69167107923,-2083.449817973447,35764.0
1926-01-31,27686.48147071962,-2086.616584689008,35764.0
1926-02-01,27681.55628513325,-2085.4355979027323,35764.0
1926-02-02,27683.42925225333,-2087.196405584471,35763.0
1926-02-03,27674.5760656089,-2084.9097315776125,35766.0
1926-02-04,27679.561936697723,-2085.2853503812694,35767.0
1926-02-05,27680.68038542563,-2083.7500809628864,35758.0
1926-02-06,27685.423591944436,-2087.3467691321684,35749.0
1926-02-07,27692.707156784345,-2083.8453226151573,35750.0
1926-02-08,27693.825528259513,-2082.3092014207728,35755.0
1926-02-09,27706.54634634937,-2086.507742040389,35755.0
1926-02-10,27696.635242811226,-2084.9511329206443,35756.0
1926-02-11,27683.30777723949,-2088.806958680343,35759.0
1926-02-12,27675.75508369856,-2082.569698025317,35761.0
1926-02-13,27688.111183536468,-2091.599409094108,35757.0
1926-02-14,27681.67756401223,-2083.8251467102464,35749.0
1926-02-15,27679.501266495055,-2086.090515317756,35755.0
1926-02-16,27683.61128908948,-2084.780562696609,35760.0
1926-02-17,27695.456019008347,-2087.292959594904,35755.0
1926-02-18,27674.69731390603,-2083.299686478727,35754.0
1926-02-19,27682.553459351013,-2085.5107216634638,35752.0
1926-02-20,27690.470158847944,-2086.9171957582953,35750.0
1926-02-21,27691.163497255737,-2091.019887100915,35750.0
1926-02-22,27687.357197091413,-2088.3025261370453,35755.0
1926-02-23,27674.75790292881,-2082.494661284738,35760.0
1926-02-24,27585.827560227888,-2078.223716872521,35770.0
1926-02-25,27630.518640575017,-2084.015511659273,35763.0
1926-02-26,27648.978772441693,-2091.8787825943846,35750.0
1926-02-27,27673.578891391135,-2084.8346078168815,35753.0
1926-02-28,27682.189047436677,-2090.3422069070402,35750.0
1926-03-01,27684.183369618688,-2090.492802505679,35757.0
1926-03-02,27679.258351472174,-2089.311157405235,35756.0
1926-03-03,27678.710422543263,-2096.5574986140437,35757.0
1926-03-04,27683.186208527684,-2090.4175047063595,35757.0
1926-03-05,27650.522647350066,-2084.7154070474676,35765.0
1926-03-06,27642.42399297082,-2085.722127425178,35771.0
1926-03-07,27659.254342343524,-2088.610357522693,35758.0
1926-03-08,27683.247004595807,-2089.612232577424,35749.0
1926-03-09,27685.241331157627,-2089.7627701635183,35751.0
1926-03-10,27642.484652473206,-2084.9180410230147,35760.0
1926-03-11,27663.30373897763,-2088.106856716479,35763.0
1926-03-12,27667.59584608455,-2084.3838652524933,35759.0
1926-03-13,27672.27820850581,-2088.784275853904,35761.0
1926-03-14,27683.30777723949,-2088.806958680343,35757.0
1926-03-15,27696.149302710768,-2091.3963760975125,35758.0
1926-03-16,27684.42642209888,-2087.2715873583197,35760.0
1926-03-17,27687.357197091413,-2088.3025261370453,35754.0
1926-03-18,27656.44499968776,-2085.97099194738,35766.0
1926-03-19,27677.87056612311,-2081.1095417915517,35762.0
1926-03-20,27666.355964250044,-2087.52788230625,35757.0
1926-03-21,27664.664937440004,-2083.3537623691386,35758.0
1926-03-22,NA,NA,NA
1926-03-23,NA,NA,NA
1926-03-24,NA,NA,NA
1926-03-25,NA,NA,NA
1926-03-26,NA,NA,NA
1926-03-27,NA,NA,NA
1926-03-28,NA,NA,NA
1926-03-29,NA,NA,NA
1926-03-30,NA,NA,NA
1926-03-31,NA,NA,NA
1926-04-01,NA,NA,NA
1926-04-02,NA,NA,NA
1926-04-03,NA,NA,NA
1926-04-04,NA,NA,NA
1926-04-05,NA,NA,NA
1926-04-06,NA,NA,NA
1926-04-07,NA,NA,NA
1926-04-08,NA,NA,NA
1926-04-09,NA,NA,NA
1926-04-10,NA,NA,NA
1926-04-11,NA,NA,NA
1926-04-12,NA,NA,NA
1926-04-13,NA,NA,NA
1926-04-14,NA,NA,NA
1926-04-15,NA,NA,NA
1926-04-16,NA,NA,NA
1926-04-17,NA,NA,NA
1926-04-18,NA,NA,NA
1926-04-19,NA,NA,NA
1926-04-20,NA,NA,NA
1926-04-21,NA,NA,NA
1926-04-22,NA,NA,NA
1926-04-23,NA,NA,NA
1926-04-24,NA,NA,NA
1926-04-25,NA,NA,NA
1926-04-26,NA,NA,NA
1926-04-27,NA,NA,NA
1926-04-28,NA,NA,NA
1926-04-29,NA,NA,NA
1926-04-30,NA,NA,NA
1926-05-01,NA,NA,NA
1926-05-02,NA,NA,35764.0
1926-05-03,27686.565516095718,-2098.7724800319547,35761.0
1926-05-04,27639.760912034697,-2094.415843513149,35768.0
1926-05-05,27627.223770432745,-2087.808118203399,35773.0
1926-05-06,27633.778063971196,-2093.9624903957533,35771.0
1926-05-07,27636.70855881686,-2094.993087105296,35773.0
1926-05-08,27643.9930217975,-2091.501568445763,35773.0
1926-05-09,27639.455999253732,-2098.4358616161776,35770.0
1926-05-10,27617.519131690562,-2096.770376246736,35772.0
1926-05-11,27640.39207467639,-2099.315592798414,35777.0
1926-05-12,27646.435911660195,-2098.965788779182,35778.0
1926-05-13,27649.549381992307,-2097.58431839313,35777.0
1926-05-14,27660.27351512349,-2101.6348561437226,35762.0
1926-05-15,27660.63989831071,-2096.8071957100924,35761.0
1926-05-16,27668.860869134278,-2094.1924946121712,35760.0
1926-05-17,27665.564577691122,-2097.9898945424347,35766.0
1926-05-18,27665.442474767788,-2099.5994082954044,35767.0
1926-05-19,27676.349821973614,-2101.236905192057,35759.0
1926-05-20,27655.471149312834,-2098.8426595448923,35760.0
1926-05-21,27656.712314881286,-2095.7003440124354,35759.0
1926-05-22,27665.625594038596,-2097.185135002758,35760.0
1926-05-23,27664.689445632623,-2096.304814835629,35762.0
1926-05-24,27667.55885158391,-2098.1411282706413,35759.0
1926-05-25,27662.389997160688,-2100.1770508660484,35764.0
1926-05-26,27661.00543890666,-2091.979471404062,NA
1926-05-27,27668.494942173267,-2099.0215899157047,NA
1926-05-28,27665.68658697654,-2096.380373688528,NA
1926-05-29,NA,NA,NA
