date,X,Y,Z
1959-01-01,14062.727263129116,-7298.769617054991,-57118.0
1959-01-02,14058.038460383666,-7294.77886206111,-57113.0
1959-01-03,14069.903052329586,-7306.650675791653,NA
1959-01-04,14092.474703156671,-7356.409840464932,-57087.0
1959-01-05,14075.01503078825,-7285.928416000586,-57090.0
1959-01-06,14093.606399775499,-7304.3914632368305,-57091.0
1959-01-07,14111.494585414135,-7285.045062717702,-57095.0
1959-01-08,NA,NA,NA
1959-01-09,14107.88544002709,-7315.957381715099,-57038.0
1959-01-10,14041.05694927505,-7268.867913727341,-57090.0
1959-01-11,14130.791233678996,-7293.445215409576,-57100.0
1959-01-12,14091.193313711208,-7304.700883377805,-57067.0
1959-01-13,14041.052907175774,-7279.745136877441,-57096.0
1959-01-14,14062.939569781369,-7298.360545812834,-57100.0
1959-01-15,14088.392783135267,-7307.929240770065,-57105.0
1959-01-16,14006.16769010533,-7281.830994787607,-57082.0
1959-01-17,14060.253243766776,-7307.872106238989,-57128.0
1959-01-18,14058.439362292203,-7270.090212421934,-57067.0
1959-01-19,14070.31036962082,-7292.836903602111,-57095.0
1959-01-20,14055.49124578375,-7299.685598688231,NA
1959-01-21,14053.329623016194,-7301.677581683236,-57147.0
1959-01-22,14066.99859470785,-7316.5761484787,-57117.0
1959-01-23,14072.815080621787,-7309.722272879047,-57102.0
1959-01-24,14060.276806671716,-7296.978629526705,-57117.0
1959-01-25,14024.854083561935,-7282.738285479998,-57087.0
1959-01-26,14068.080284201737,-7342.634276419767,-57117.0
1959-01-27,14068.700858382419,-7313.302411178539,NA
1959-01-28,14076.922000022161,-7282.243336039525,NA
1959-01-29,14071.289746804794,-7310.489303833658,NA
1959-01-30,14108.66811152517,-7323.134582870423,-57118.0
1959-01-31,14074.961714479085,-7294.728352443837,-57152.0
1959-02-01,14056.064835223731,-7283.378498196208,-57121.0
1959-02-02,14091.547483634897,-7338.721517843759,-57156.0
1959-02-03,14066.043546777215,-7288.030113835086,-57138.0
1959-02-04,14097.506516763873,-7301.211270042808,-57105.0
1959-02-05,14072.376037963091,-7297.5431924834975,-57138.0
1959-02-06,14055.26584885056,-7276.223671530113,-57107.0
1959-02-07,14068.361758839035,-7294.422967064322,-57105.0
1959-02-08,14045.792470758557,-7264.0679283981235,-57115.0
1959-02-09,14089.449261235566,-7271.0690077229065,-57164.0
1959-02-10,14059.966193878014,-7304.086981068023,-57084.0
1959-02-11,13968.867324358904,-7229.950668881368,-57106.0
1959-02-12,14042.198599622843,-7271.012824136009,-57116.0
1959-02-13,14055.012669292644,-7274.537433130939,-57080.0
1959-02-14,14049.472557820463,-7272.188174617716,-57102.0
1959-02-15,14041.462489863334,-7246.304723496036,-56673.0
1959-02-16,14081.468635404948,-7227.573940825975,-56646.0
1959-02-17,14090.708923409267,-7290.4147368825625,-57170.0
1959-02-18,14034.879445360672,-7278.616554963764,-57119.0
1959-02-19,14043.044525323654,-7269.378890921653,-57117.0
1959-02-20,14029.170666890124,-7278.763315239047,-57123.0
1959-02-21,14050.764496607066,-7293.59843019112,-57107.0
1959-02-22,14021.775140021891,-7271.3029728284655,-57154.0
1959-02-23,14082.216604201685,-7306.8050824109405,-57158.0
