date,X,Y,Z
1953-01-01,31964.42181608789,-3316.3585396040016,17850.0
1953-01-02,31958.13366308826,-3309.128853971218,17852.0
1953-01-03,31965.512935398383,-3315.531899541682,17852.0
1953-01-04,31972.572034913985,-3315.32403729051,17852.0
1953-01-05,31929.576282721773,-3303.3556281229,17858.0
1953-01-06,31928.197024832753,-3306.9677566406676,17860.0
1953-01-07,31946.80704350547,-3311.7131103145484,17858.0
1953-01-08,31965.609366787914,-3314.602059059393,17856.0
1953-01-09,31970.293280829264,-3317.9077048289137,17852.0
1953-01-10,31980.625819253622,-3315.218877976006,17850.0
1953-01-11,31973.8559056442,-3312.6369443543817,17853.0
1953-01-12,31975.845257388213,-3312.8430502460824,17856.0
1953-01-13,31968.689780754274,-3313.9815482131385,17849.0
1953-01-14,31964.903822796143,-3311.70946784173,17854.0
1953-01-15,31975.36308569136,-3317.4937133635126,17851.0
1953-01-16,31976.357746564398,-3317.5969109780135,17850.0
1953-01-17,31982.325711802652,-3318.2160966650194,17852.0
1953-01-18,31968.20744354529,-3318.63117059664,17853.0
1953-01-19,31956.657364911538,-3313.673801333671,17855.0
1953-01-20,31954.668031161233,-3313.467521839066,17849.0
1953-01-21,31970.486254770978,-3316.0477429464086,17850.0
1953-01-22,31972.572034913985,-3315.32403729051,17848.0
1953-01-23,31976.743550035742,-3313.8762703588586,17848.0
1953-01-24,31964.614699912763,-3314.4989193120905,17848.0
1953-01-25,31959.737751879762,-3313.053550890988,17851.0
1953-01-26,31948.475408870425,-3305.3108853482686,17852.0
1953-01-27,31934.45361777304,-3304.799106496819,17854.0
1953-01-28,31950.079959956787,-3309.234284901551,17852.0
1953-01-29,31954.44355397,-3305.9283349983853,17852.0
1953-01-30,31962.30487774182,-3307.681348358894,17850.0
1953-01-31,31963.39577161936,-3306.8545094735596,17850.0
1953-02-01,31972.95757395009,-3311.6038371742925,17850.0
1953-02-02,31984.18801057443,-3309.94596696481,17850.0
1953-02-03,31984.893720381384,-3312.8401253165925,17851.0
1953-02-04,31983.70626015302,-3314.5978435171423,17849.0
1953-02-05,31984.990073462173,-3311.9097210712594,17848.0
1953-02-06,31987.684951648607,-3315.010171036162,17848.0
1953-02-07,31989.7707195963,-3314.285791487985,17846.0
1953-02-08,31992.75474721232,-3314.5949503255356,17845.0
1953-02-09,31979.823960876238,-3313.255262029483,17847.0
1953-02-10,31969.171441698003,-3309.3318557257126,17849.0
1953-02-11,31967.374535019077,-3307.2661425736374,17849.0
1953-02-12,31981.01134599937,-3311.4977407601423,17846.0
1953-02-13,31982.711587279122,-3314.4947616373875,17847.0
1953-02-14,31981.300206918084,-3308.706858423909,17847.0
1953-02-15,31988.48670491643,-3316.97427324735,17845.0
1953-02-16,31965.802148422874,-3312.7423696815554,17848.0
1953-02-17,31983.802664364262,-3313.6674738128836,17844.0
1953-02-18,31984.79734023627,-3313.770526758734,17842.0
1953-02-19,31981.01134599937,-3311.4977407601423,17844.0
1953-02-20,31985.2789703178,-3309.118491523987,17844.0
1953-02-21,31978.316134368295,-3308.398133598851,17842.0
1953-02-22,31974.144866004426,-3309.8466864437783,17840.0
1953-02-23,31952.22786887383,-3298.1840784835867,17849.0
1953-02-24,31962.079032906364,-3300.1405870428243,17846.0
1953-02-25,31951.747829487787,-3302.8313067461577,17845.0
1953-02-26,31944.97698570393,-3300.2530786057087,17846.0
1953-02-27,31950.046516637565,-3299.837508832192,17844.0
1953-02-28,31956.817405523456,-3302.415829363878,17844.0
1953-03-01,31962.881690226506,-3302.102823441919,17842.0
1953-03-02,31919.17341229194,-3287.265227515901,17849.0
1953-03-03,31970.262380590044,-3308.5048460337725,17842.0
1953-03-04,31975.235819870184,-3309.0195320805715,17840.0
1953-03-05,31979.40705208256,-3307.57080003021,17841.0
1953-03-06,31978.316134368295,-3308.398133598851,17838.0
1953-03-07,31957.71602844728,-3303.448235575013,17842.0
1953-03-08,31967.56688986473,-3305.40635051489,17845.0
1953-03-09,31944.97698570393,-3300.2530786057087,17845.0
1953-03-10,31946.355489098332,-3296.6387372833165,17847.0
1953-03-11,31961.983022185497,-3301.070324837982,17843.0
1953-03-12,31983.866615690044,-3303.3304875152644,17840.0
1953-03-13,31992.72286443081,-3305.18573150227,17838.0
1953-03-14,31995.610815391028,-3306.4247382985805,17837.0
1953-03-15,31987.364602826467,-3308.3938347549456,17838.0
1953-03-16,31985.85603328137,-3303.535956849563,17838.0
1953-03-17,31997.69639346486,-3305.6995495123283,17839.0
1953-03-18,32003.88902891048,-3313.866627549066,17836.0
1953-03-19,31991.535822551094,-3306.9441656051904,17836.0
1953-03-20,31978.090452915632,-3300.8536752098357,17840.0
