date X Y Z
1961-01-01 27653.39754766791 -6182.111295555458 25622.0
1961-01-02 27674.43145183333 -6184.277873590263 25622.0
1961-01-03 27673.81524956422 -6182.449800280378 25618.0
1961-01-04 27670.527734027943 -6183.405527732297 25622.0
1961-01-05 27677.35924018737 -6184.9321329837385 25616.0
1961-01-06 27679.207018464876 -6190.417419606269 25623.0
1961-01-07 27685.602591395786 -6189.310959331338 25622.0
1961-01-08   25625.0
1961-01-09   
1961-01-10 27646.386377155693 -6181.388297544494 25621.0
1961-01-11 27665.108472659864 -6184.729355110324 25620.0
1961-01-12 27681.158801211306 -6190.853933192251 25623.0
1961-01-13   
1961-01-14 27672.55579464631 -6188.0846626550665 25626.0
1961-01-15 27673.198928260354 -6180.621819601163 25622.0
1961-01-16 27670.34785434539 -6184.210428140647 25628.0
1961-01-17 27668.396008131276 -6183.774198434575 25619.0
1961-01-18 27666.264284201552 -6184.142750350585 25619.0
1961-01-19 27645.872193293282 -6174.5185781640685 25620.0
1961-01-20 27619.42027962849 -6173.6718747635505 25624.0
1961-01-21 27636.807070595976 -6178.402377852733 25618.0
1961-01-22 27651.62553277247 -6180.870601729636 25620.0
1961-01-23 27659.612700167778 -6181.811164757248 25620.0
1961-01-24 27658.816580611787 -6180.788490158397 25616.0
1961-01-25 27637.447657939403 -6170.948950903718 25611.0
1961-01-26 27632.388334815903 -6170.66316646193 25610.0
1961-01-27 27641.249850487548 -6176.862933797546 25606.0
1961-01-28 27639.14148621555 -6167.950948650492 25607.0
1961-01-29 27644.09986874088 -6173.278500689936 25604.0
1961-01-30 27660.87087793342 -6176.178938008093 25610.0
1961-01-31 27665.211541717337 -6179.682787330579 25603.0
1961-02-01 27653.14074599021 -6178.675576728074 25602.0
1961-02-02 27656.68493084661 -6181.156820198138 25604.0
1961-02-03 27651.18887440059 -6178.239460576549 25599.0
1961-02-04 27595.201775102112 -6167.415584456846 25609.0
1961-02-05 27569.210267636405 -6159.922582212506 25626.0
1961-02-06 27601.595531392835 -6166.315603453579 25608.0
1961-02-07 27586.25878441033 -6156.992064274891 25612.0
1961-02-08 27594.505087950372 -6161.360641212364 25608.0
1961-02-09 27607.11291986877 -6159.9604081207235 25613.0
1961-02-10 27615.359078378297 -6164.330293894818 25609.0
1961-02-11 27615.538379794452 -6163.5269930535305 25607.0
1961-02-12 27622.649020505003 -6159.209534509606 25605.0
1961-02-13 27601.077765110906 -6159.4566484634315 25606.0
1961-02-14 27604.901403376574 -6156.095151137453 25601.0
1961-02-15 27607.032526941945 -6155.727418946476 25605.0
1961-02-16 27597.17379371556 -6158.585438187835 25604.0
1961-02-17 27601.63171196201 -6147.78096854573 25605.0
1961-02-18   
1961-02-19 27621.573614936482 -6164.03050241031 25610.0
1961-02-20 27627.788210060517 -6163.730008691244 25607.0
1961-02-21   
1961-02-22 27658.02042496427 -6179.765867106887 25611.0
1961-02-23 27658.559605956565 -6177.352225974148 25608.0
1961-02-24 27654.9128628064 -6179.91614430043 25606.0
1961-02-25   
1961-02-26   
1961-02-27   
1961-02-28   
1961-03-01 27626.37394274207 -6160.883684649635 25597.0
1961-03-02 27626.812204542093 -6163.512262903676 25598.0
1961-03-03 27627.96749400983 -6162.926346301427 25598.0
1961-03-04 27628.405564878343 -6165.555120392603 25593.0
1961-03-05 27600.65563049543 -6147.5635634616165 25590.0
1961-03-06 27548.219921615844 -6129.99699431312 25603.0
1961-03-07 27585.65690078379 -6145.907366064001 25597.0
1961-03-08 27596.572492874475 -6147.49669747971 25601.0
1961-03-09 27608.62639088727 -6157.768898586784 25600.0
1961-03-10 27572.527898276865 -6140.456766295485 25609.0
1961-03-11 27585.120464150772 -6148.314645355284 25605.0
1961-03-12 27603.226139486433 -6149.821679721532 25606.0
1961-03-13 27622.031258536757 -6157.384928069576 25605.0
1961-03-14 27615.557040779422 -6154.255302427584 25603.0
1961-03-15 27612.628872288195 -6153.602746462954 25600.0
1961-03-16 27600.200311008106 -6154.203993387607 25596.0
1961-03-17 27604.722318148433 -6156.8981425647835 25593.0
1961-03-18 27620.876098605335 -6157.970813952631 25597.0
1961-03-19 27618.824910077295 -6162.573698260632 25594.0
1961-03-20 27634.182138874978 -6162.624969563155 25598.0
