date,X,Y,Z
1995-01-01,38007.43247886489,-520.7661322765045,26360.0
1995-01-02,37993.46401432406,-518.3639573334319,26360.0
1995-01-03,37982.41967065994,-521.5284861490004,26362.0
1995-01-04,37979.41995342169,-521.4872976727605,26364.0
1995-01-05,37981.43491909402,-520.4099217206342,26362.0
1995-01-06,37984.44976076525,-519.3461003036937,26363.0
1995-01-07,37985.44966730839,-519.3597716235922,26361.0
1995-01-08,37989.43416825429,-520.5195249685943,26362.0
1995-01-09,37993.433792834425,-520.5743265925744,26362.0
1995-01-10,37993.46401432406,-518.3639573334319,26361.0
1995-01-11,37974.48083744667,-517.0001222397211,26362.0
1995-01-12,37995.44873273978,-519.496484822577,26364.0
1995-01-13,37994.46392126446,-518.3775995672223,26365.0
1995-01-14,37998.463549026055,-518.4321685023839,26366.0
1995-01-15,37997.44854582606,-519.523827462374,26365.0
1995-01-16,37979.435106803954,-520.3825209086441,26366.0
1995-01-17,37954.542557802466,-512.3116512061034,26368.0
1995-01-18,37948.407702167984,-522.165558072864,26369.0
1995-01-19,37978.43520065892,-520.3688205026491,26367.0
1995-01-20,37993.46401432406,-518.3639573334319,26365.0
1995-01-21,37996.44863928292,-519.5101561424756,26364.0
1995-01-22,37992.418728120756,-521.6657810697999,26364.0
1995-01-23,38000.49346134624,-516.2486747505924,26364.0
1995-01-24,37997.433417414555,-520.6291282165544,26366.0
1995-01-25,37997.47870619334,-517.3132246361483,26364.0
1995-01-26,38003.447985084895,-519.605855381765,26365.0
1995-01-27,38006.44770471431,-519.6468693414604,26365.0
1995-01-28,38011.38650850773,-524.1380551311522,26363.0
1995-01-29,37982.389265084166,-523.7382128689188,26364.0
1995-01-30,37970.4510691613,-519.1547018251149,26368.0
1995-01-31,37973.450788790724,-519.1957157848103,26370.0
1995-02-01,37980.43501294899,-520.3962213146391,26369.0
1995-02-02,37977.43529451389,-520.3551200966541,26370.0
1995-02-03,37970.4510691613,-519.1547018251149,26369.0
1995-02-04,37974.420424691285,-521.4186502123607,26370.0
1995-02-05,37986.434449819186,-520.4784237506092,26370.0
1995-02-06,37995.46382820486,-518.3912418010127,26370.0
1995-02-07,37983.41957640602,-521.5422156410804,26368.0
1995-02-08,37949.45303175539,-518.8676041072466,26372.0
1995-02-09,37989.43416825429,-520.5195249685943,26373.0
1995-02-10,37993.479076846095,-517.2587720454653,26373.0
1995-02-11,37983.48000347798,-517.1226405687578,26372.0
1995-02-12,37980.43501294899,-520.3962213146391,26373.0
1995-02-13,37965.42127297655,-521.2950847836412,26374.0
1995-02-14,37965.45153644561,-519.0863452256225,26376.0
1995-02-15,37978.45032150642,-519.2640723843027,26372.0
1995-02-16,37983.44985422211,-519.3324289837952,26372.0
1995-02-17,37994.44882619664,-519.4828135026786,26368.0
1995-02-18,37996.41835110508,-521.7206990381197,26368.0
1995-02-19,37993.46401432406,-518.3639573334319,26369.0
1995-02-20,37996.44863928292,-519.5101561424756,26370.0
1995-02-21,38000.47842820378,-517.3540640791606,26371.0
1995-02-22,38002.448078541755,-519.5921840618664,26370.0
