date,X,Y,Z
1947-01-01,916.0,-4311.0,55775.0
1947-01-02,911.0,-4329.0,55776.0
1947-01-03,893.0,-4326.0,55784.0
1947-01-04,914.0,-4326.0,55814.0
1947-01-05,893.0,-4331.0,55810.0
1947-01-06,916.0,-4340.0,55799.0
1947-01-07,927.0,-4348.0,55798.0
1947-01-08,930.0,-4342.0,55789.0
1947-01-09,926.0,-4359.0,55780.0
1947-01-10,927.0,-4363.0,55783.0
1947-01-11,921.0,-4336.0,55771.0
1947-01-12,922.0,-4338.0,55771.0
1947-01-13,919.0,-4334.0,55769.0
1947-01-14,915.0,-4332.0,55767.0
1947-01-15,914.0,-4346.0,55764.0
1947-01-16,874.0,-4350.0,55782.0
1947-01-17,913.0,-4345.0,55798.0
1947-01-18,909.0,-4339.0,55782.0
1947-01-19,921.0,-4340.0,55783.0
1947-01-20,915.0,-4354.0,55787.0
1947-01-21,925.0,-4346.0,55785.0
1947-01-22,913.0,-4337.0,55781.0
1947-01-23,920.0,-4350.0,55773.0
1947-01-24,920.0,-4340.0,55782.0
1947-01-25,908.0,-4294.0,55817.0
1947-01-26,915.0,-4327.0,55819.0
1947-01-27,897.0,-4328.0,55795.0
1947-01-28,918.0,-4341.0,55802.0
1947-01-29,930.0,-4315.0,55803.0
1947-01-30,924.0,-4340.0,55795.0
1947-01-31,929.0,-4357.0,55796.0
1947-02-01,935.0,-4352.0,55801.0
1947-02-02,914.0,-4335.0,55792.0
1947-02-03,924.0,-4339.0,55796.0
1947-02-04,935.0,-4339.0,55799.0
1947-02-05,917.0,-4343.0,55784.0
1947-02-06,918.0,-4338.0,55784.0
1947-02-07,907.0,-4340.0,55775.0
1947-02-08,893.0,-4328.0,55793.0
1947-02-09,921.0,-4350.0,55802.0
1947-02-10,908.0,-4328.0,55780.0
1947-02-11,917.0,-4353.0,55789.0
1947-02-12,920.0,-4340.0,55780.0
1947-02-13,920.0,-4337.0,55773.0
1947-02-14,922.0,-4342.0,55776.0
1947-02-15,922.0,-4342.0,55759.0
1947-02-16,894.0,-4300.0,55783.0
1947-02-17,936.0,-4328.0,55816.0
1947-02-18,920.0,-4334.0,55813.0
1947-02-19,918.0,-4331.0,55796.0
1947-02-20,938.0,-4350.0,55807.0
1947-02-21,924.0,-4345.0,55786.0
1947-02-22,921.0,-4348.0,55781.0
1947-02-23,924.0,-4354.0,55779.0
1947-02-24,923.0,-4342.0,55768.0
1947-02-25,919.0,-4340.0,55769.0
1947-02-26,926.0,-4346.0,55777.0
1947-02-27,923.0,-4354.0,55768.0
1947-02-28,922.0,-4340.0,55779.0
1947-03-01,929.0,-4331.0,55783.0
1947-03-02,898.0,-4322.0,55797.0
1947-03-03,885.0,-4338.0,55823.0
1947-03-04,962.0,-4328.0,55850.0
1947-03-05,930.0,-4354.0,55809.0
1947-03-06,925.0,-4343.0,55781.0
1947-03-07,935.0,-4322.0,55778.0
1947-03-08,896.0,-4280.0,55790.0
1947-03-09,944.0,-4328.0,55807.0
1947-03-10,927.0,-4349.0,55779.0
1947-03-11,934.0,-4347.0,55777.0
1947-03-12,940.0,-4334.0,55803.0
1947-03-13,940.0,-4381.0,55787.0
1947-03-14,981.0,-4281.0,55728.0
1947-03-15,1002.0,-4270.0,55818.0
1947-03-16,896.0,-4314.0,55789.0
1947-03-17,956.0,-4365.0,55807.0
1947-03-18,930.0,-4314.0,55803.0
1947-03-19,915.0,-4338.0,55799.0
1947-03-20,938.0,-4334.0,55807.0
1947-03-21,919.0,-4325.0,55809.0
1947-03-22,947.0,-4331.0,55763.0
1947-03-23,925.0,-4320.0,55760.0
1947-03-24,946.0,-4343.0,55809.0
1947-03-25,931.0,-4341.0,55779.0
1947-03-26,957.0,-4314.0,55789.0
1947-03-27,916.0,-4323.0,55791.0
1947-03-28,940.0,-4317.0,55799.0
1947-03-29,915.0,-4344.0,55814.0
1947-03-30,966.0,-4336.0,55813.0
1947-03-31,968.0,-4332.0,55748.0
1947-04-01,939.0,-4347.0,55761.0
1947-04-02,944.0,-4336.0,55724.0
1947-04-03,927.0,-4388.0,55764.0
1947-04-04,921.0,-4326.0,55744.0
1947-04-05,931.0,-4356.0,55760.0
1947-04-06,942.0,-4351.0,55747.0
1947-04-07,938.0,-4328.0,55744.0
1947-04-08,953.0,-4343.0,55732.0
1947-04-09,992.0,-4365.0,55672.0
1947-04-10,960.0,-4346.0,55687.0
1947-04-11,916.0,-4316.0,55796.0
1947-04-12,937.0,-4328.0,55773.0
1947-04-13,930.0,-4319.0,55800.0
1947-04-14,935.0,-4322.0,55785.0
1947-04-15,949.0,-4311.0,55800.0
1947-04-16,934.0,-4318.0,55791.0
1947-04-17,877.0,-4291.0,55842.0
1947-04-18,904.0,-4276.0,55767.0
1947-04-19,940.0,-4323.0,55792.0
1947-04-20,933.0,-4325.0,55754.0
1947-04-21,959.0,-4369.0,55724.0
1947-04-22,954.0,-4363.0,55723.0
1947-04-23,953.0,-4343.0,55732.0
1947-04-24,940.0,-4354.0,55747.0
1947-04-25,971.0,-4341.0,55667.0
1947-04-26,946.0,-4334.0,55642.0
1947-04-27,961.0,-4337.0,55633.0
1947-04-28,959.0,-4332.0,55703.0
1947-04-29,973.0,-4342.0,55672.0
1947-04-30,952.0,-4324.0,55719.0
1947-05-01,984.0,-4348.0,55678.0
1947-05-02,984.0,-4397.0,55659.0
1947-05-03,986.0,-4359.0,55705.0
1947-05-04,953.0,-4362.0,55673.0
1947-05-05,941.0,-4349.0,55704.0
1947-05-06,978.0,-4331.0,55658.0
1947-05-07,974.0,-4379.0,55647.0
1947-05-08,958.0,-4358.0,55683.0
1947-05-09,949.0,-4356.0,55688.0
1947-05-10,934.0,-4303.0,55762.0
1947-05-11,926.0,-4316.0,55750.0
1947-05-12,937.0,-4309.0,55793.0
1947-05-13,890.0,-4311.0,55833.0
1947-05-14,971.0,-4345.0,55780.0
1947-05-15,931.0,-4349.0,55770.0
1947-05-16,960.0,-4341.0,55781.0
1947-05-17,959.0,-4304.0,55742.0
1947-05-18,905.0,-4322.0,55782.0
1947-05-19,945.0,-4348.0,55782.0
1947-05-20,948.0,-4323.0,55802.0
1947-05-21,953.0,-4376.0,55723.0
1947-05-22,960.0,-4349.0,55678.0
1947-05-23,938.0,-4460.0,55623.0
1947-05-24,978.0,-4381.0,55795.0
1947-05-25,1007.0,-4333.0,55545.0
1947-05-26,1008.0,-4370.0,55533.0
1947-05-27,994.0,-4346.0,55694.0
1947-05-28,950.0,-4315.0,55688.0
1947-05-29,1027.0,-4308.0,55598.0
1947-05-30,961.0,-4351.0,55708.0
1947-05-31,936.0,-4332.0,55575.0
1947-06-01,997.0,-4396.0,55662.0
1947-06-02,975.0,-4400.0,55617.0
1947-06-03,1030.0,-4389.0,55525.0
1947-06-04,991.0,-4367.0,55548.0
1947-06-05,1008.0,-4365.0,55549.0
1947-06-06,782.0,-4289.0,55890.0
1947-06-07,924.0,-4342.0,55803.0
1947-06-08,945.0,-4323.0,55781.0
1947-06-09,944.0,-4310.0,55782.0
1947-06-10,922.0,-4336.0,55817.0
1947-06-11,934.0,-4346.0,55788.0
1947-06-12,924.0,-4303.0,55817.0
1947-06-13,916.0,-4344.0,55800.0
1947-06-14,1012.0,-4386.0,55623.0
1947-06-15,959.0,-4355.0,55768.0
1947-06-16,917.0,-4331.0,55692.0
1947-06-17,968.0,-4297.0,55689.0
1947-06-18,976.0,-4323.0,55671.0
1947-06-19,956.0,-4354.0,55702.0
1947-06-20,1004.0,-4375.0,55547.0
1947-06-21,982.0,-4344.0,55561.0
1947-06-22,999.0,-4332.0,55496.0
1947-06-23,1042.0,-4334.0,55568.0
1947-06-24,1017.0,-4344.0,55497.0
1947-06-25,979.0,-4363.0,55612.0
1947-06-26,978.0,-4316.0,55665.0
1947-06-27,1022.0,-4353.0,55528.0
1947-06-28,1023.0,-4407.0,55611.0
1947-06-29,1032.0,-4421.0,55531.0
1947-06-30,1006.0,-4349.0,55581.0
1947-07-01,984.0,-4356.0,55573.0
1947-07-02,975.0,-4333.0,55593.0
1947-07-03,975.0,-4368.0,55629.0
1947-07-04,939.0,-4355.0,55736.0
1947-07-05,916.0,-4323.0,55768.0
1947-07-06,939.0,-4317.0,55782.0
1947-07-07,904.0,-4325.0,55808.0
1947-07-08,892.0,-4298.0,55821.0
1947-07-09,883.0,-4338.0,55834.0
1947-07-10,900.0,-4325.0,55849.0
1947-07-11,904.0,-4316.0,55834.0
1947-07-12,923.0,-4322.0,55831.0
1947-07-13,948.0,-4308.0,55791.0
1947-07-14,910.0,-4324.0,55738.0
1947-07-15,924.0,-4344.0,55788.0
1947-07-16,941.0,-4347.0,55780.0
1947-07-17,865.0,-4325.0,55651.0
1947-07-18,958.0,-4271.0,55701.0
1947-07-19,1000.0,-4371.0,55609.0
1947-07-20,995.0,-4339.0,55606.0
1947-07-21,945.0,-4341.0,55727.0
1947-07-22,950.0,-4336.0,55640.0
1947-07-23,1021.0,-4375.0,55622.0
1947-07-24,990.0,-4352.0,55605.0
1947-07-25,984.0,-4343.0,55615.0
1947-07-26,1002.0,-4354.0,55610.0
1947-07-27,1004.0,-4345.0,55648.0
1947-07-28,943.0,-4312.0,55708.0
1947-07-29,986.0,-4347.0,55705.0
1947-07-30,963.0,-4352.0,55637.0
1947-07-31,931.0,-4314.0,55757.0
1947-08-01,922.0,-4325.0,55857.0
1947-08-02,900.0,-4318.0,55833.0
1947-08-03,900.0,-4319.0,55810.0
1947-08-04,959.0,-4340.0,55837.0
1947-08-05,870.0,-4319.0,55834.0
1947-08-06,931.0,-4318.0,55824.0
1947-08-07,908.0,-4307.0,55843.0
1947-08-08,951.0,-4319.0,55771.0
1947-08-09,894.0,-4311.0,55844.0
1947-08-10,952.0,-4325.0,55808.0
1947-08-11,906.0,-4291.0,55820.0
1947-08-12,933.0,-4303.0,55857.0
1947-08-13,941.0,-4324.0,55667.0
1947-08-14,964.0,-4318.0,55631.0
1947-08-15,892.0,-4322.0,55749.0
1947-08-16,939.0,-4339.0,55736.0
1947-08-17,963.0,-4318.0,55672.0
1947-08-18,969.0,-4315.0,55713.0
