H,X,Y,Z,date
NA,22765.442985028687,3262.301288263865,-56041.0,1924-01-01
NA,22775.110828948913,3258.278031275728,-56043.0,1924-01-02
NA,22778.88088222954,3260.169743003824,-56050.0,1924-01-03
NA,22763.042279208563,3257.9028829852214,-56060.0,1924-01-04
NA,22762.75788687359,3259.88932075524,-56057.0,1924-01-05
NA,22765.022104586184,3258.186240487547,-56053.0,1924-01-06
NA,22769.402536813195,3262.86869434931,-56057.0,1924-01-07
NA,22771.05637260861,3258.373931193403,-56058.0,1924-01-08
NA,22770.392424759324,3263.0105458706707,-56058.0,1924-01-09
NA,22767.85421508713,3252.5090992246805,-56061.0,1924-01-10
NA,22758.70346611849,3259.984285435455,-56066.0,1924-01-11
NA,22764.73768751607,3260.1728510288435,-56072.0,1924-01-12
NA,22769.59232428592,3261.5440186849783,-56072.0,1924-01-13
NA,NA,NA,NA,1924-01-14
NA,NA,NA,NA,1924-01-15
NA,22761.062453830942,3257.6195254828963,-56045.0,1924-01-16
NA,22763.463209136433,3262.017585221143,-56037.0,1924-01-17
NA,NA,NA,NA,1924-01-18
NA,NA,NA,NA,1924-01-19
NA,22767.517656038868,3261.9227124440617,-56036.0,1924-01-20
NA,22770.202551966155,3264.3352680804796,-56046.0,1924-01-21
NA,22768.69728880102,3260.7399115760504,-56049.0,1924-01-22
NA,22757.659180969993,3267.2663807550516,-56053.0,1924-01-23
NA,22758.893085801214,3258.6602322227054,-56047.0,1924-01-24
NA,22761.48343324418,3261.7338821784206,-56046.0,1924-01-25
NA,22763.842608024213,3259.3689139312482,-56051.0,1924-01-26
NA,22764.3581950799,3262.8216264605235,-56067.0,1924-01-27
NA,22768.127835541738,3264.713749232761,-56069.0,1924-01-28
NA,22767.042987801335,3265.2340791444153,-56070.0,1924-01-29
NA,22729.427873299748,3259.8393445788724,-56082.0,1924-01-30
NA,22752.669274958844,3259.795371544642,-56081.0,1924-01-31
NA,22756.81848494616,3259.0387299344297,-56070.0,1924-02-01
NA,22759.218955470446,3263.436308089198,-56056.0,1924-02-02
NA,22764.92731815888,3258.8484467590047,-56050.0,1924-02-03
NA,22765.863122480623,3266.4165822008795,-56037.0,1924-02-04
NA,22763.558087750862,3261.35542153755,-56036.0,1924-02-05
NA,22745.170915667688,3262.77244334703,-56042.0,1924-02-06
NA,22748.140517580257,3263.198429826708,-56046.0,1924-02-07
NA,22756.059456013772,3264.334393772516,-56050.0,1924-02-08
NA,22762.66305090665,3260.5514611625545,-56053.0,1924-02-09
NA,NA,NA,NA,1924-02-10
NA,22760.303755047506,3262.916176975806,-56059.0,1924-02-11
NA,22761.578303606857,3261.071776084294,-56063.0,1924-02-12
NA,22764.45309708256,3262.159436742504,-56065.0,1924-02-13
NA,22763.178457724352,3264.0040597085595,-56064.0,1924-02-14
NA,22764.968261751477,3265.61235321155,-56057.0,1924-02-15
NA,22766.622635694803,3261.1186368896538,-56060.0,1924-02-16
NA,22758.134144893065,3263.956378852576,-56059.0,1924-02-17
NA,22762.188582160878,3263.862121803719,-56054.0,1924-02-18
NA,22765.863122480623,3266.4165822008795,-56048.0,1924-02-19
NA,22762.093630630072,3264.524245648949,-56047.0,1924-02-20
NA,22753.27970208958,3262.5846806601558,-56059.0,1924-02-21
NA,22761.38854362166,3262.3959855126004,-56066.0,1924-02-22
NA,22761.38854362166,3262.3959855126004,-56077.0,1924-02-23
NA,22762.283514431238,3263.1999951967405,-56082.0,1924-02-24
NA,22758.134144893065,3263.956378852576,-56084.0,1924-02-25
NA,22757.944217094308,3265.2803879029702,-56081.0,1924-02-26
NA,22761.1987065974,3263.7201838988785,-56077.0,1924-02-27
NA,22761.10375919582,3264.382278949856,-56082.0,1924-02-28
NA,22762.188582160878,3263.862121803719,-56082.0,1924-02-29
NA,22765.158208851306,3264.28793551824,-56073.0,1924-03-01
NA,22760.303755047506,3262.916176975806,-56064.0,1924-03-02
NA,22748.99404135521,3257.2428688056193,-56063.0,1924-03-03
NA,NA,NA,NA,1924-03-04
NA,NA,NA,NA,1924-03-05
NA,22752.85888366121,3258.4716693872233,-56061.0,1924-03-06
NA,22750.350023577335,3268.918751623354,-56067.0,1924-03-07
NA,22752.899929101855,3265.2321228783703,-56073.0,1924-03-08
NA,22750.635203926042,3266.9333966092922,-56083.0,1924-03-09
NA,22752.899929101855,3265.2321228783703,-56083.0,1924-03-10
NA,22754.879647184956,3265.5162290406324,-56087.0,1924-03-11
NA,22758.229079906967,3263.294370184358,-56084.0,1924-03-12
NA,22757.659180969993,3267.2663807550516,-56075.0,1924-03-13
NA,22761.71363190405,3267.172713401186,-56073.0,1924-03-14
NA,22759.828942392713,3266.2264944462877,-56071.0,1924-03-15
NA,22760.113887761567,3264.2403122507626,-56068.0,1924-03-16
NA,22755.869506226507,3265.6582821217635,-56068.0,1924-03-17
NA,22759.218955470446,3263.436308089198,-56065.0,1924-03-18
NA,22760.533670339166,3268.3547912301633,-56074.0,1924-03-19
NA,22756.764357359174,3266.4623040266697,-56083.0,1924-03-20
NA,22755.869506226507,3265.6582821217635,-56087.0,1924-03-21
NA,22756.954353921017,3265.1383636157316,-56088.0,1924-03-22
NA,22757.144273458813,3263.814412153483,-56085.0,1924-03-23
NA,22756.059456013772,3264.334393772516,-56080.0,1924-03-24
NA,22755.869506226507,3265.6582821217635,-56075.0,1924-03-25
NA,22757.944217094308,3265.2803879029702,-56068.0,1924-03-26
NA,22756.574283773916,3267.786233381815,-56066.0,1924-03-27
NA,22757.84922430961,3265.9423882840256,-56071.0,1924-03-28
NA,22761.71363190405,3267.172713401186,-56073.0,1924-03-29
NA,22750.92021101875,3264.948016716108,-56082.0,1924-03-30
NA,22746.7708224388,3265.703163400943,-56085.0,1924-03-31
NA,22752.899929101855,3265.2321228783703,-56080.0,1924-04-01
NA,22757.754212268148,3266.6043859015726,-56073.0,1924-04-02
NA,22762.51336362179,3268.6390701543373,-56075.0,1924-04-03
NA,22756.47921809771,3268.4481939120647,-56081.0,1924-04-04
NA,22762.70348681303,3267.314795276089,-56083.0,1924-04-05
NA,22761.903669787465,3265.848485051925,-56082.0,1924-04-06
NA,22761.71363190405,3267.172713401186,-56081.0,1924-04-07
NA,22754.11911092259,3270.8114415152954,-56079.0,1924-04-08
NA,22761.618584072246,3267.8348234292725,-56075.0,1924-04-09
NA,22758.55397705654,3268.070512305989,-56080.0,1924-04-10
NA,22761.523516980476,3268.4969306922503,-56084.0,1924-04-11
NA,22764.302840128283,3270.2477280670037,-56085.0,1924-04-12
NA,22767.36748566618,3270.012044722549,-56085.0,1924-04-13
NA,22767.27235523918,3270.674319213373,-56084.0,1924-04-14
NA,22756.384133165895,3269.1101516766857,-56084.0,1924-04-15
NA,22761.523516980476,3268.4969306922503,-56088.0,1924-04-16
NA,NA,NA,NA,1924-04-17
NA,NA,NA,NA,1924-04-18
NA,22762.323163387686,3269.963333969424,-56084.0,1924-04-19
NA,22760.34348664709,3269.6789398718447,-56085.0,1924-04-20
NA,22766.47275018704,3269.2076280026854,-56087.0,1924-04-21
NA,22766.377643159954,3269.8698764670503,-56091.0,1924-04-22
NA,22762.323163387686,3269.963333969424,-56095.0,1924-04-23
NA,22765.387800653727,3269.7277082115515,-56094.0,1924-04-24
NA,22758.363809906492,3269.394545774265,-56096.0,1924-04-25
NA,22740.1266799751,3262.7239507326753,-56101.0,1924-04-26
