date X Y Z
1901-01-01 18973.29483333276 -5169.749333132933 42161.0
1901-01-02 18966.991967269132 -5166.253934288191 42160.0
1901-01-03 18961.716926493198 -5166.594642464354 42163.0
1901-01-04 18967.50587991298 -5168.171987798643 42161.0
1901-01-05 18965.72654148387 -5167.094517584747 42160.0
1901-01-06 18959.93754218342 -5165.517340644955 42159.0
1901-01-07 18966.991967269132 -5166.253934288191 42161.0
1901-01-08 18965.813394386303 -5162.96990978226 42162.0
1901-01-09 18968.858254153794 -5163.206129317468 42160.0
1901-01-10 18967.592959815953 -5164.046989594519 42161.0
1901-01-11 18968.557838896217 -5164.309684018651 42162.0
1901-01-12 18968.193695569036 -5161.839974987126 42161.0
1901-01-13 18969.158605208653 -5162.102557140702 42160.0
1901-01-14 18973.532488156914 -5165.071240636873 42161.0
1901-01-15 18974.948063046348 -5163.678050062154 42161.0
1901-01-16 18974.797849712642 -5164.230006742589 42162.0
1901-01-17 18973.468741610846 -5161.497157910302 42162.0
1901-01-18 18974.433674161402 -5161.759655858627 42161.0
1901-01-19 18974.948063046348 -5163.678050062154 42162.0
1901-01-20 18979.32180848487 -5166.647238777832 42160.0
1901-01-21 18973.081678415383 -5166.7269740309 42159.0
1901-01-22 18970.851361300523 -5167.305161052723 42161.0
1901-01-23 18964.634267487807 -5159.686337407267 42162.0
1901-01-24 18963.883620943652 -5162.444577068608 42162.0
1901-01-25 18968.708054550283 -5163.75790885274 42161.0
1901-01-26 18972.417355217272 -5165.3604617151805 42162.0
1901-01-27 18972.116814619694 -5166.464223472823 42160.0
1901-01-28 18973.23196438365 -5166.17506727081 42162.0
1901-01-29 18976.941133598135 -5167.777976263209 42159.0
1901-01-30 18973.23196438365 -5166.17506727081 42160.0
1901-01-31 18974.347113377797 -5165.885850563445 42160.0
1901-02-01 18977.24175061859 -5166.673933835843 42162.0
1901-02-02 18968.921664284826 -5166.779547670457 42168.0
1901-02-03 18971.903143709635 -5163.442176077944 42166.0
1901-02-04 18974.948063046348 -5163.678050062154 42165.0
1901-02-05 18977.542303407947 -5165.569873921154 42164.0
1901-02-06 18971.60271471426 -5164.54590792322 42166.0
1901-02-07 18974.797849712642 -5164.230006742589 42166.0
1901-02-08 18976.577409046375 -5165.307235631855 42166.0
1901-02-09 18978.50719776952 -5165.8325122104525 42166.0
1901-02-10 18975.91297268596 -5163.94063221573 42168.0
1901-02-11 18977.392035042216 -5166.121906064179 42168.0
1901-02-12 18972.116814619694 -5166.464223472823 42167.0
1901-02-13 18972.0533341275 -5162.890303601428 42168.0
1901-02-14 18972.868045710635 -5163.704786299492 42167.0
1901-02-15 18976.36353926252 -5162.284651755277 42166.0
1901-02-16 18979.922846711284 -5164.43885943933 42161.0
1901-02-17 18984.597159442506 -5166.303871597909 42160.0
1901-02-18 18978.807701604812 -5164.7283786764565 42164.0
1901-02-19 18974.046542211072 -5166.989724588977 42165.0
1901-02-20 18970.573943959174 -5160.709664065328 42168.0
1901-02-21 18973.168425769396 -5162.600980841665 42164.0
1901-02-22 18970.959363223796 -5155.4807573020225 42164.0
1901-02-23 18973.98315340673 -5163.415467908579 42162.0
1901-02-24 18972.65393526386 -5160.682770013748 42163.0
1901-02-25 18972.0533341275 -5162.890303601428 42165.0
1901-02-26 18977.028094879046 -5163.651197183188 42163.0
1901-02-27 18980.0730661181 -5163.886753678688 42164.0
1901-02-28 18982.002915946887 -5164.411805712616 42164.0
1901-03-01 18980.0730661181 -5163.886753678688 42166.0
1901-03-02 18980.436986492663 -5166.357788789049 42166.0
1901-03-03 18980.286695206196 -5166.909905134658 42168.0
1901-03-04 18981.552163719658 -5166.068278293425 42170.0
1901-03-05 18979.622359717654 -5165.543057850328 42170.0
1901-03-06 18981.70243052366 -5165.516125137183 42172.0
1901-03-07 18979.772611244425 -5164.990960830032 42176.0
1901-03-08 18981.188202015306 -5163.597141496901 42175.0
1901-03-09 18979.986064452336 -5168.0141247093225 42175.0
1901-03-10 18986.076015534152 -5168.485903275618 42174.0
1901-03-11 18985.047932217534 -5164.6471332902 42173.0
1901-03-12 18986.827540518854 -5165.724435797436 42172.0
1901-03-13 18980.286695206196 -5166.909905134658 42174.0
1901-03-14 18986.16309786653 -5164.35734832624 42174.0
1901-03-15 18987.642184930588 -5166.5392921223765 42173.0
1901-03-16 18990.3866172802 -5167.879364519363 42171.0
1901-03-17 18991.20118372968 -5168.694380508905 42174.0
1901-03-18 18986.076015534152 -5168.485903275618 42176.0
1901-03-19 18984.984065675544 -5161.07120916246 42175.0
1901-03-20 18982.667340163272 -5165.778707290759 42174.0
1901-03-21 18988.306477726674 -5167.9065498442615 42173.0
1901-03-22 18985.862615604463 -5165.461909780472 42173.0
1901-03-23 18988.543626943494 -5163.225244715132 42171.0
1901-03-24 18966.77828110763 -5163.2325761390875 42183.0
1901-03-25 18964.419549767277 -5156.66560292644 42181.0
1901-03-26 18973.018243767114 -5163.152885755004 42180.0
1901-03-27 18979.344271234182 -5158.945147408551 42176.0
1901-03-28 18983.568649504858 -5162.465528169304 42175.0
1901-03-29 18987.27826272008 -5164.067502854467 42176.0
1901-03-30 18980.523627977025 -5162.230410181805 42173.0
1901-03-31 18980.887763988696 -5164.701413524711 42177.0
1901-04-01 18987.128038052437 -5164.619818205703 42176.0
1901-04-02 18984.533604959008 -5162.727941910379 42178.0
